Orthogroup	Syan	Syaj
OG0000001	Syan.g_02266	Syaj.g_01950
OG0000001	Syan.g_01149	Syaj.g_02660
OG0000004	Syan.g_00183	Syaj.g_00441
OG0000004	Syan.g_00989	Syaj.g_01314
OG0000005	Syan.g_01423	Syaj.g_01736
OG0000005	Syan.g_01378	Syaj.g_01698
OG0000005	Syan.g_00449	Syaj.g_01155
OG0000006	Syan.g_01505, Syan.g_02101, Syan.g_02441	Syaj.g_02635
OG0000007	Syan.g_02743	Syaj.g_00091
OG0000007	Syan.g_01400	Syaj.g_01721
OG0000008	Syan.g_00640, Syan.g_02532	Syaj.g_00496
OG0000008	Syan.g_00641, Syan.g_02531	Syaj.g_00497
OG0000009	Syan.g_02972	Syaj.g_01069, Syaj.g_01885
OG0000010	Syan.g_02847	Syaj.g_01445
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172, Syaj.g_01306
OG0000014	Syan.g_01987	Syaj.g_02522
OG0000015	Syan.g_01691	Syaj.g_02242
OG0000016	Syan.g_01766	Syaj.g_02276
OG0000016	Syan.g_02598	Syaj.g_00590
OG0000017	Syan.g_01013	Syaj.g_00255
OG0000017	Syan.g_01006	Syaj.g_00248
OG0000018	Syan.g_02816	Syaj.g_01413
OG0000019	Syan.g_02088	Syaj.g_02613
OG0000021	Syan.g_01001	Syaj.g_00982, Syaj.g_00042
OG0000022	Syan.g_00089	Syaj.g_01220
OG0000023	Syan.g_00404	Syaj.g_00829, Syaj.g_01791
OG0000025	Syan.g_00374	Syaj.g_00383
OG0000026	Syan.g_01743	Syaj.g_02298
OG0000027	Syan.g_02678	Syaj.g_00396
OG0000028	Syan.g_01971	Syaj.g_02506
OG0000030	Syan.g_01884	Syaj.g_02396
OG0000030	Syan.g_01883	Syaj.g_02395
OG0000031	Syan.g_01967	Syaj.g_02501
OG0000032	Syan.g_02835	Syaj.g_01432
OG0000033	Syan.g_03036	Syaj.g_01990
OG0000034	Syan.g_01227, Syan.g_03003	Syaj.g_01959
OG0000035	Syan.g_01276	Syaj.g_01378
OG0000037	Syan.g_00136	Syaj.g_01891
OG0000037	Syan.g_02978, Syan.g_00917	Syaj.g_02902
OG0000038	Syan.g_01569	Syaj.g_02115
OG0000039	Syan.g_02771	Syaj.g_00275
OG0000040	Syan.g_01651	Syaj.g_02208
OG0000041	Syan.g_01465	Syaj.g_01602
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Syaj.g_02399
OG0000044	Syan.g_01065	Syaj.g_01344
OG0000048	Syan.g_02036	Syaj.g_02578
OG0000053	Syan.g_02812	Syaj.g_01409
OG0000054	Syan.g_02503	Syaj.g_01341
OG0000055	Syan.g_00312	Syaj.g_00394
OG0000058	Syan.g_01128, Syan.g_01124	Syaj.g_02495
OG0000060	Syan.g_02856	Syaj.g_01469, Syaj.g_00067
OG0000060	Syan.g_00277	Syaj.g_00635
OG0000061	Syan.g_02696	Syaj.g_00302
OG0000062	Syan.g_01380	Syaj.g_01700
OG0000063	Syan.g_01739	Syaj.g_02302
OG0000064	Syan.g_02518	Syaj.g_01253
OG0000065	Syan.g_02974	Syaj.g_00007, Syaj.g_01887
OG0000066	Syan.g_01156	Syaj.g_00157
OG0000067	Syan.g_00690	Syaj.g_01023
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Syaj.g_00059
OG0000070	Syan.g_00289	Syaj.g_01529
OG0000071	Syan.g_01213	Syaj.g_01511
OG0000072	Syan.g_03038	Syaj.g_01992
OG0000073	Syan.g_02741	Syaj.g_00093
OG0000075	Syan.g_00981, Syan.g_01937	Syaj.g_02457
OG0000076	Syan.g_01896	Syaj.g_02417
OG0000077	Syan.g_02919, Syan.g_02579	Syaj.g_01831
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Syaj.g_02609
OG0000080	Syan.g_01110	Syaj.g_02368
OG0000082	Syan.g_00952	Syaj.g_00229
OG0000085	Syan.g_01387	Syaj.g_01707
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Syaj.g_01848
OG0000087	Syan.g_02268	Syaj.g_01945
OG0000088	Syan.g_03031	Syaj.g_01986
OG0000089	Syan.g_02316	Syaj.g_02829, Syaj.g_01915
OG0000090	Syan.g_01166	Syaj.g_00144
OG0000091	Syan.g_00235, Syan.g_00808	Syaj.g_01275
OG0000092	Syan.g_02502	Syaj.g_00339
OG0000093	Syan.g_00708	Syaj.g_01042
OG0000094	Syan.g_00353	Syaj.g_00804
OG0000095	Syan.g_00290	Syaj.g_00427
OG0000098	Syan.g_00043	Syaj.g_02671
OG0000099	Syan.g_01968	Syaj.g_02503
OG0000100	Syan.g_00658	Syaj.g_00987
OG0000102	Syan.g_01891	Syaj.g_02411
OG0000104	Syan.g_01792	Syaj.g_02258
OG0000105	Syan.g_02031	Syaj.g_02573
OG0000106	Syan.g_00076	Syaj.g_01130
OG0000107	Syan.g_02106	Syaj.g_02637
OG0000108	Syan.g_02764	Syaj.g_00072
OG0000110	Syan.g_00882	Syaj.g_00215
OG0000111	Syan.g_00187	Syaj.g_00437
OG0000112	Syan.g_00556, Syan.g_00252	Syaj.g_00907
OG0000113	Syan.g_00664	Syaj.g_00992
OG0000114	Syan.g_00741	Syaj.g_00741
OG0000115	Syan.g_02810	Syaj.g_01402
OG0000116	Syan.g_02710, Syan.g_00460	Syaj.g_00289
OG0000117	Syan.g_02644	Syaj.g_00637
OG0000118	Syan.g_01241, Syan.g_01237	Syaj.g_00267
OG0000119	Syan.g_02672	Syaj.g_00317
OG0000120	Syan.g_01966	Syaj.g_02502
OG0000121	Syan.g_01273	Syaj.g_01383
OG0000123	Syan.g_02190	Syaj.g_02745
OG0000124	Syan.g_01873	Syaj.g_02388
OG0000125	Syan.g_01573	Syaj.g_02117
OG0000126	Syan.g_01705	Syaj.g_02256
OG0000127	Syan.g_00162	Syaj.g_00036
OG0000128	Syan.g_01768	Syaj.g_02274
OG0000129	Syan.g_01563	Syaj.g_02106
OG0000130	Syan.g_02906, Syan.g_02907	Syaj.g_01818
OG0000131	Syan.g_03008	Syaj.g_01964
OG0000132	Syan.g_03029	Syaj.g_01984, Syaj.g_00688
OG0000133	Syan.g_00561	Syaj.g_00902
OG0000134	Syan.g_02319	Syaj.g_02832
OG0000135	Syan.g_01616	Syaj.g_02167
OG0000136	Syan.g_01342	Syaj.g_01550
OG0000137	Syan.g_02846	Syaj.g_01444
OG0000138	Syan.g_02747	Syaj.g_02631, Syaj.g_00088
OG0000140	Syan.g_00042	Syaj.g_00153
OG0000141	Syan.g_01032	Syaj.g_01340
OG0000142	Syan.g_00816	Syaj.g_01283
OG0000143	Syan.g_00812	Syaj.g_01279
OG0000144	Syan.g_00782	Syaj.g_01151
OG0000145	Syan.g_02740	Syaj.g_00094
OG0000146	Syan.g_00555, Syan.g_00253	Syaj.g_00908
OG0000147	Syan.g_00254, Syan.g_00554	Syaj.g_00909
OG0000148	Syan.g_00670	Syaj.g_01003, Syaj.g_01002
OG0000149	Syan.g_00393	Syaj.g_00369
OG0000150	Syan.g_01031	Syaj.g_01339, Syaj.g_00154
OG0000151	Syan.g_00731	Syaj.g_01074
OG0000152	Syan.g_00565	Syaj.g_00898
OG0000153	Syan.g_00601	Syaj.g_00842
OG0000154	Syan.g_00363	Syaj.g_00814
OG0000155	Syan.g_02654	Syaj.g_00338
OG0000156	Syan.g_02717	Syaj.g_00282
OG0000157	Syan.g_02718	Syaj.g_00281
OG0000158	Syan.g_01078, Syan.g_01926	Syaj.g_02445
OG0000160	Syan.g_01274	Syaj.g_01382
OG0000161	Syan.g_01268	Syaj.g_01389
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Syaj.g_01395
OG0000163	Syan.g_02405	Syaj.g_01639
OG0000165	Syan.g_01448	Syaj.g_01582
OG0000166	Syan.g_02239	Syaj.g_02698
OG0000167	Syan.g_01941	Syaj.g_02460
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Syaj.g_02444
OG0000169	Syan.g_01912	Syaj.g_02431, Syaj.g_02429
OG0000170	Syan.g_01901	Syaj.g_02422
OG0000171	Syan.g_01875	Syaj.g_02389
OG0000172	Syan.g_01810	Syaj.g_02365
OG0000173	Syan.g_01720	Syaj.g_02321
OG0000174	Syan.g_01619	Syaj.g_02169
OG0000175	Syan.g_01678, Syan.g_00258	Syaj.g_02229
OG0000176	Syan.g_01801	Syaj.g_02266
OG0000177	Syan.g_01775	Syaj.g_02267
OG0000178	Syan.g_01774	Syaj.g_02268
OG0000179	Syan.g_01759	Syaj.g_02283
OG0000180	Syan.g_01758	Syaj.g_02284
OG0000181	Syan.g_01757	Syaj.g_02285
OG0000182	Syan.g_01756	Syaj.g_02286
OG0000183	Syan.g_01752	Syaj.g_02290
OG0000184	Syan.g_01549	Syaj.g_02098
OG0000185	Syan.g_01540	Syaj.g_02087
OG0000186	Syan.g_02902	Syaj.g_01812
OG0000187	Syan.g_02904	Syaj.g_01814
OG0000188	Syan.g_02926	Syaj.g_01837
OG0000189	Syan.g_02966	Syaj.g_01874
OG0000190	Syan.g_00971	Syaj.g_01876
OG0000191	Syan.g_02300	Syaj.g_01910
OG0000192	Syan.g_02294	Syaj.g_01919
OG0000193	Syan.g_03009	Syaj.g_01965
OG0000194	Syan.g_03012	Syaj.g_01968
OG0000196	Syan.g_03026	Syaj.g_01981
OG0000197	Syan.g_03027	Syaj.g_01982
OG0000198	Syan.g_03028	Syaj.g_01983
OG0000199	Syan.g_03037	Syaj.g_01991
OG0000200	Syan.g_03055	Syaj.g_02008
OG0000201	Syan.g_03074	Syaj.g_02024
OG0000202	Syan.g_03075	Syaj.g_02025
OG0000203	Syan.g_03076	Syaj.g_02026
OG0000204	Syan.g_03077	Syaj.g_02027
OG0000205	Syan.g_03087	Syaj.g_02035
OG0000206	Syan.g_03095	Syaj.g_02043
OG0000207	Syan.g_03100	Syaj.g_02045
OG0000208	Syan.g_03101	Syaj.g_02046
OG0000209	Syan.g_01521	Syaj.g_02070
OG0000210	Syan.g_01522	Syaj.g_02071
OG0000211	Syan.g_02416	Syaj.g_02856
OG0000212	Syan.g_01508, Syan.g_02438	Syaj.g_02881
OG0000213	Syan.g_02059	Syaj.g_02601
OG0000214	Syan.g_02040	Syaj.g_02582
OG0000215	Syan.g_02010	Syaj.g_02551
OG0000216	Syan.g_02006	Syaj.g_02547
OG0000217	Syan.g_02001	Syaj.g_02543
OG0000218	Syan.g_01999	Syaj.g_02541
OG0000219	Syan.g_01998	Syaj.g_02540
OG0000220	Syan.g_01997	Syaj.g_02539
OG0000221	Syan.g_01994	Syaj.g_02530
OG0000222	Syan.g_01981	Syaj.g_02516
OG0000223	Syan.g_00228	Syaj.g_02494
OG0000224	Syan.g_01959	Syaj.g_02487
OG0000225	Syan.g_02997	Syaj.g_02821
OG0000226	Syan.g_02990	Syaj.g_02825
OG0000227	Syan.g_02988	Syaj.g_02827
OG0000228	Syan.g_02315	Syaj.g_02828
OG0000229	Syan.g_02396	Syaj.g_01555
OG0000230	Syan.g_02398	Syaj.g_01553
OG0000232	Syan.g_02801	Syaj.g_01497
OG0000233	Syan.g_02876	Syaj.g_01481
OG0000234	Syan.g_02844	Syaj.g_01442
OG0000235	Syan.g_02765	Syaj.g_00071
OG0000236	Syan.g_02749	Syaj.g_00086
OG0000237	Syan.g_02731	Syaj.g_00103
OG0000238	Syan.g_02726	Syaj.g_00108
OG0000239	Syan.g_01187	Syaj.g_00125
OG0000240	Syan.g_01186	Syaj.g_00126
OG0000241	Syan.g_00822	Syaj.g_01291
OG0000242	Syan.g_01168	Syaj.g_00142
OG0000243	Syan.g_00840	Syaj.g_00164
OG0000244	Syan.g_00848	Syaj.g_00180
OG0000245	Syan.g_00850	Syaj.g_00182
OG0000246	Syan.g_00854	Syaj.g_00186
OG0000247	Syan.g_00866	Syaj.g_00197
OG0000248	Syan.g_00869	Syaj.g_00200
OG0000249	Syan.g_00871	Syaj.g_00202
OG0000250	Syan.g_00878	Syaj.g_00211
OG0000251	Syan.g_00961	Syaj.g_00237
OG0000252	Syan.g_00966	Syaj.g_00243
OG0000253	Syan.g_01000	Syaj.g_00245
OG0000254	Syan.g_01026	Syaj.g_01335
OG0000255	Syan.g_00978	Syaj.g_01315
OG0000256	Syan.g_00001, Syan.g_01135	Syaj.g_01297
OG0000257	Syan.g_00827	Syaj.g_01292
OG0000258	Syan.g_00803	Syaj.g_01274
OG0000259	Syan.g_00772	Syaj.g_00707
OG0000260	Syan.g_00769	Syaj.g_00712
OG0000261	Syan.g_00765	Syaj.g_00715
OG0000262	Syan.g_00760	Syaj.g_00720
OG0000263	Syan.g_02618	Syaj.g_00605
OG0000264	Syan.g_00540	Syaj.g_00485
OG0000266	Syan.g_00330	Syaj.g_00946
OG0000267	Syan.g_00470	Syaj.g_00770
OG0000268	Syan.g_00471	Syaj.g_00771
OG0000269	Syan.g_00695	Syaj.g_01031
OG0000270	Syan.g_00692	Syaj.g_01025
OG0000271	Syan.g_00684	Syaj.g_01017
OG0000272	Syan.g_00683	Syaj.g_01016
OG0000273	Syan.g_00654	Syaj.g_00389
OG0000274	Syan.g_00653	Syaj.g_00388
OG0000275	Syan.g_00373	Syaj.g_00384
OG0000276	Syan.g_00380	Syaj.g_00377
OG0000278	Syan.g_00384	Syaj.g_00373
OG0000279	Syan.g_00398	Syaj.g_00357
OG0000280	Syan.g_00518	Syaj.g_00348
OG0000282	Syan.g_00739	Syaj.g_00743
OG0000283	Syan.g_00491	Syaj.g_00790
OG0000284	Syan.g_00497	Syaj.g_00930
OG0000285	Syan.g_00533	Syaj.g_00917
OG0000286	Syan.g_00564	Syaj.g_00899
OG0000287	Syan.g_00593	Syaj.g_00849
OG0000288	Syan.g_00364	Syaj.g_00815
OG0000289	Syan.g_00350	Syaj.g_00800
OG0000290	Syan.g_00293	Syaj.g_00424
OG0000291	Syan.g_00291	Syaj.g_00426
OG0000292	Syan.g_01703	Syaj.g_02255
OG0000293	Syan.g_02709	Syaj.g_00290
OG0000295	Syan.g_02662	Syaj.g_00330
OG0000296	Syan.g_02660	Syaj.g_00332
OG0000299	Syan.g_02601	Syaj.g_00592
OG0000301	Syan.g_02592	Syaj.g_00585
OG0000302	Syan.g_02591	Syaj.g_00582
OG0000303	Syan.g_02582	Syaj.g_00572
