Orthogroup	Syan	Prbi
OG0000004	Syan.g_00183	Prbi.g_00698
OG0000004	Syan.g_00989	Prbi.g_00256
OG0000005	Syan.g_01423	Prbi.g_01800
OG0000005	Syan.g_01378	Prbi.g_01666
OG0000006	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prbi.g_00265
OG0000007	Syan.g_02743	Prbi.g_00500
OG0000007	Syan.g_01400	Prbi.g_01787
OG0000008	Syan.g_00640, Syan.g_02532	Prbi.g_01764
OG0000008	Syan.g_00641, Syan.g_02531	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Syan.g_02972	Prbi.g_01338, Prbi.g_01701, Prbi.g_00112
OG0000010	Syan.g_02847	Prbi.g_01094, Prbi.g_00477
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Prbi.g_00625
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prbi.g_00351
OG0000014	Syan.g_01987	Prbi.g_00330
OG0000016	Syan.g_01766	Prbi.g_00013
OG0000017	Syan.g_01006	Prbi.g_00600
OG0000018	Syan.g_02816	Prbi.g_01188, Prbi.g_00874
OG0000019	Syan.g_02088	Prbi.g_00273, Prbi.g_00827
OG0000021	Syan.g_01001	Prbi.g_01742, Prbi.g_00389
OG0000022	Syan.g_00089	Prbi.g_00805, Prbi.g_01170
OG0000023	Syan.g_00404	Prbi.g_00384
OG0000025	Syan.g_00374	Prbi.g_00882, Prbi.g_00355
OG0000026	Syan.g_01743	Prbi.g_00031, Prbi.g_01101
OG0000027	Syan.g_02678	Prbi.g_00472, Prbi.g_01374
OG0000028	Syan.g_01971	Prbi.g_00344, Prbi.g_01319, Prbi.g_01768
OG0000030	Syan.g_01884, Syan.g_01883	Prbi.g_02004
OG0000032	Syan.g_01819	Prbi.g_01497
OG0000033	Syan.g_03036	Prbi.g_00193
OG0000034	Syan.g_01227, Syan.g_03003	Prbi.g_01401
OG0000035	Syan.g_01276	Prbi.g_01589, Prbi.g_01591
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prbi.g_00116
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Prbi.g_02057
OG0000039	Syan.g_02771, Syan.g_00535	Prbi.g_00689
OG0000041	Syan.g_01465	Prbi.g_01833
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prbi.g_02001
OG0000044	Syan.g_01065	Prbi.g_01744, Prbi.g_01760
OG0000045	Syan.g_00086, Syan.g_00151	Prbi.g_00395
OG0000048	Syan.g_02036	Prbi.g_00398
OG0000053	Syan.g_02812	Prbi.g_01611
OG0000054	Syan.g_02503	Prbi.g_00608
OG0000055	Syan.g_00312	Prbi.g_00828
OG0000061	Syan.g_02696	Prbi.g_01207
OG0000062	Syan.g_00098	Prbi.g_01668
OG0000063	Syan.g_01739	Prbi.g_00033
OG0000065	Syan.g_02974	Prbi.g_00114
OG0000066	Syan.g_01156	Prbi.g_00542
OG0000067	Syan.g_00690	Prbi.g_00847
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Prbi.g_01439
OG0000069	Syan.g_00278	Prbi.g_01702
OG0000070	Syan.g_00289	Prbi.g_00451
OG0000071	Syan.g_01213	Prbi.g_01391
OG0000072	Syan.g_03038, Syan.g_02999	Prbi.g_00195
OG0000073	Syan.g_02741	Prbi.g_00502
OG0000075	Syan.g_00981, Syan.g_01937	Prbi.g_01970
OG0000076	Syan.g_01896	Prbi.g_01994
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Prbi.g_00276
OG0000082	Syan.g_00952	Prbi.g_00587
OG0000085	Syan.g_01387	Prbi.g_01780
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Prbi.g_00095
OG0000087	Syan.g_02268	Prbi.g_00147
OG0000088	Syan.g_03031	Prbi.g_00190
OG0000089	Syan.g_02316	Prbi.g_00380
OG0000090	Syan.g_01166	Prbi.g_00536
OG0000091	Syan.g_00235, Syan.g_00808	Prbi.g_00645
OG0000092	Syan.g_02502	Prbi.g_00956
OG0000094	Syan.g_00353, Syan.g_00065	Prbi.g_01067
OG0000097	Syan.g_00160, Syan.g_00733	Prbi.g_01248
OG0000098	Syan.g_00043	Prbi.g_01421
OG0000099	Syan.g_01968	Prbi.g_01462
OG0000100	Syan.g_00658	Prbi.g_01664
OG0000101	Syan.g_02199	Prbi.g_01938
OG0000102	Syan.g_01891	Prbi.g_01999
OG0000103	Syan.g_01692	Prbi.g_02091
OG0000104	Syan.g_01792	Prbi.g_02099
OG0000105	Syan.g_02031	Prbi.g_00298
OG0000106	Syan.g_00076	Prbi.g_00394
OG0000107	Syan.g_02106	Prbi.g_00409
OG0000108	Syan.g_02764	Prbi.g_00483
OG0000109	Syan.g_02748	Prbi.g_00497
OG0000110	Syan.g_00882	Prbi.g_00577
OG0000111	Syan.g_00187	Prbi.g_00703
OG0000112	Syan.g_00556, Syan.g_00252	Prbi.g_00811
OG0000113	Syan.g_00664	Prbi.g_00869
OG0000114	Syan.g_00741	Prbi.g_00951
OG0000115	Syan.g_02810	Prbi.g_01148
OG0000116	Syan.g_02710, Syan.g_00460	Prbi.g_01197
