Orthogroup	Syan	Prad
OG0000004	Syan.g_00183	Prad.g_01269
OG0000004	Syan.g_00989	Prad.g_01759
OG0000005	Syan.g_01423	Prad.g_00928
OG0000005	Syan.g_01378	Prad.g_00438
OG0000006	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prad.g_01750
OG0000007	Syan.g_02743	Prad.g_00132
OG0000007	Syan.g_01400	Prad.g_00941
OG0000009	Syan.g_02972	Prad.g_00317, Prad.g_00401, Prad.g_01888
OG0000010	Syan.g_02847	Prad.g_01304, Prad.g_01011, Prad.g_00033
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Prad.g_01412
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prad.g_01664
OG0000014	Syan.g_01987	Prad.g_01685
OG0000016	Syan.g_01766	Prad.g_01973
OG0000017	Syan.g_01006	Prad.g_01387
OG0000018	Syan.g_02816	Prad.g_01515, Prad.g_01173
OG0000019	Syan.g_02088	Prad.g_01742, Prad.g_01125
OG0000021	Syan.g_01001	Prad.g_01981, Prad.g_00745
OG0000022	Syan.g_00089	Prad.g_01105, Prad.g_01993
OG0000023	Syan.g_00404	Prad.g_00751
OG0000025	Syan.g_00374	Prad.g_01181, Prad.g_01660
OG0000026	Syan.g_01743	Prad.g_01955, Prad.g_01004
OG0000027	Syan.g_02678	Prad.g_01298, Prad.g_00353
OG0000028	Syan.g_01971	Prad.g_01671, Prad.g_01204
OG0000032	Syan.g_02835	Prad.g_00572
OG0000032	Syan.g_01819	Prad.g_00561
OG0000033	Syan.g_03036	Prad.g_01822
OG0000034	Syan.g_01227, Syan.g_03003	Prad.g_00618
OG0000035	Syan.g_01276	Prad.g_00515
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prad.g_01884
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Prad.g_01582
OG0000039	Syan.g_02771, Syan.g_00535	Prad.g_01260
OG0000041	Syan.g_01465	Prad.g_00894
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prad.g_01624
OG0000044	Syan.g_01065	Prad.g_01213
OG0000045	Syan.g_00086, Syan.g_00151	Prad.g_00738
OG0000048	Syan.g_02036	Prad.g_00735
OG0000052	Syan.g_01954, Syan.g_01953	Prad.g_00571
OG0000053	Syan.g_02812	Prad.g_00494
OG0000054	Syan.g_02503	Prad.g_01395
OG0000055	Syan.g_00312	Prad.g_01126
OG0000058	Syan.g_01128, Syan.g_01124	Prad.g_00565
OG0000061	Syan.g_02696	Prad.g_01496
OG0000062	Syan.g_00098	Prad.g_00436
OG0000063	Syan.g_01739	Prad.g_01953, Prad.g_00081
OG0000065	Syan.g_02974	Prad.g_01886
OG0000066	Syan.g_01156	Prad.g_00090
OG0000067	Syan.g_00690	Prad.g_01146
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Prad.g_00594
OG0000069	Syan.g_00278	Prad.g_00952, Prad.g_00400
OG0000070	Syan.g_00289	Prad.g_00057
OG0000071	Syan.g_01213	Prad.g_00628
OG0000072	Syan.g_03038, Syan.g_02999	Prad.g_01820
OG0000073	Syan.g_02741	Prad.g_00130
OG0000075	Syan.g_00981, Syan.g_01937	Prad.g_00775
OG0000076	Syan.g_01896	Prad.g_01631
