Orthogroup	Syan	Praz
OG0000004	Syan.g_00183	Praz.g_01635
OG0000004	Syan.g_00989	Praz.g_00592
OG0000005	Syan.g_01423	Praz.g_00864
OG0000005	Syan.g_01378	Praz.g_00965
OG0000006	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Praz.g_00601
OG0000007	Syan.g_02743	Praz.g_01831
OG0000007	Syan.g_01400	Praz.g_00877
OG0000008	Syan.g_00640, Syan.g_02532	Praz.g_01241
OG0000009	Syan.g_02972	Praz.g_01230, Praz.g_00929, Praz.g_00465
OG0000010	Syan.g_02847	Praz.g_00074, Praz.g_01854
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Praz.g_01707
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Praz.g_00684
OG0000014	Syan.g_01987	Praz.g_00663
OG0000016	Syan.g_01766	Praz.g_00378
OG0000017	Syan.g_01006	Praz.g_01732
OG0000018	Syan.g_02816	Praz.g_00011, Praz.g_01485
OG0000019	Syan.g_02088	Praz.g_00609, Praz.g_01532
OG0000021	Syan.g_01001	Praz.g_00896, Praz.g_00810
OG0000022	Syan.g_00089	Praz.g_01556, Praz.g_00029
OG0000023	Syan.g_00404	Praz.g_00814
OG0000025	Syan.g_00374	Praz.g_01477, Praz.g_00688
OG0000026	Syan.g_01743	Praz.g_00396, Praz.g_00081
OG0000027	Syan.g_02678	Praz.g_01858, Praz.g_01197
OG0000028	Syan.g_01971	Praz.g_00677, Praz.g_01246
OG0000030	Syan.g_01884, Syan.g_01883	Praz.g_00195
OG0000032	Syan.g_01088, Syan.g_01091, Syan.g_01101	Praz.g_01092
OG0000033	Syan.g_03036	Praz.g_00529
OG0000034	Syan.g_01227, Syan.g_03003	Praz.g_01170
OG0000035	Syan.g_01276	Praz.g_01041
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Praz.g_00469
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Praz.g_00154
OG0000039	Syan.g_02771, Syan.g_00535	Praz.g_01644
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Praz.g_00198
OG0000044	Syan.g_01065	Praz.g_00693
OG0000045	Syan.g_00086, Syan.g_00151	Praz.g_00803
OG0000048	Syan.g_02036	Praz.g_00800
OG0000053	Syan.g_02812	Praz.g_01021
OG0000054	Syan.g_02503	Praz.g_01724
OG0000055	Syan.g_00312	Praz.g_01531
OG0000058	Syan.g_01128, Syan.g_01124	Praz.g_01096
OG0000061	Syan.g_02696	Praz.g_00755
OG0000062	Syan.g_00098	Praz.g_00963
OG0000063	Syan.g_01739	Praz.g_00398
OG0000065	Syan.g_02974	Praz.g_00467
OG0000066	Syan.g_01156	Praz.g_01789
OG0000067	Syan.g_00690	Praz.g_01512
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Praz.g_01139
OG0000069	Syan.g_00278	Praz.g_00928
OG0000070	Syan.g_00289	Praz.g_01878
OG0000071	Syan.g_01213	Praz.g_01180
OG0000072	Syan.g_03038, Syan.g_02999	Praz.g_00531
OG0000073	Syan.g_02741	Praz.g_01829
OG0000075	Syan.g_00981, Syan.g_01937	Praz.g_00230
OG0000076	Syan.g_01896	Praz.g_00205
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Praz.g_00612
OG0000082	Syan.g_00952	Praz.g_01744
OG0000085	Syan.g_01387	Praz.g_00884
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Praz.g_00448
OG0000087	Syan.g_02268	Praz.g_00499
OG0000088	Syan.g_03031	Praz.g_00526
OG0000089	Syan.g_02316	Praz.g_00818
OG0000090	Syan.g_01166	Praz.g_01795
OG0000091	Syan.g_00235, Syan.g_00808	Praz.g_01688
OG0000092	Syan.g_02502	Praz.g_01403, Praz.g_00244
OG0000094	Syan.g_00353, Syan.g_00065	Praz.g_01296
OG0000097	Syan.g_00160, Syan.g_00733	Praz.g_00713
OG0000098	Syan.g_00043	Praz.g_01157
OG0000099	Syan.g_01968	Praz.g_01098
OG0000100	Syan.g_00658	Praz.g_00967
OG0000101	Syan.g_02199	Praz.g_00263
OG0000102	Syan.g_01891	Praz.g_00200
OG0000103	Syan.g_01692	Praz.g_00120
OG0000104	Syan.g_01792	Praz.g_00361
OG0000105	Syan.g_02031	Praz.g_00632
OG0000106	Syan.g_00076	Praz.g_00804
OG0000107	Syan.g_02106	Praz.g_00788
OG0000108	Syan.g_02764	Praz.g_01848
OG0000109	Syan.g_02748	Praz.g_01834
OG0000110	Syan.g_00882	Praz.g_01754
OG0000111	Syan.g_00187	Praz.g_01631
OG0000112	Syan.g_00556, Syan.g_00252	Praz.g_01547
OG0000113	Syan.g_00664	Praz.g_01490
OG0000114	Syan.g_00741	Praz.g_01408
OG0000115	Syan.g_02810	Praz.g_00054
OG0000116	Syan.g_02710, Syan.g_00460	Praz.g_00002
OG0000117	Syan.g_02644	Praz.g_01237
OG0000118	Syan.g_01241, Syan.g_01237	Praz.g_01168
OG0000119	Syan.g_02672	Praz.g_01143
OG0000120	Syan.g_01966	Praz.g_01118
OG0000121	Syan.g_01273	Praz.g_01039
OG0000123	Syan.g_02190	Praz.g_00256
OG0000124	Syan.g_01873	Praz.g_00189
OG0000125	Syan.g_01573	Praz.g_00152
OG0000126	Syan.g_01705	Praz.g_00360
OG0000127	Syan.g_00162	Praz.g_01255
OG0000128	Syan.g_01768	Praz.g_00376
OG0000129	Syan.g_01563	Praz.g_00410
OG0000130	Syan.g_02906, Syan.g_02907	Praz.g_00429
OG0000131	Syan.g_03008	Praz.g_00505
OG0000132	Syan.g_03029	Praz.g_00524
OG0000133	Syan.g_00561	Praz.g_00679
OG0000134	Syan.g_02319	Praz.g_00817
OG0000135	Syan.g_01616	Praz.g_00791
OG0000136	Syan.g_01342	Praz.g_01887
OG0000137	Syan.g_02846	Praz.g_01853
OG0000138	Syan.g_02747	Praz.g_01833
OG0000140	Syan.g_00042	Praz.g_01790
OG0000141	Syan.g_01032	Praz.g_01723
OG0000142	Syan.g_00816	Praz.g_01695
OG0000143	Syan.g_00812	Praz.g_01691
OG0000144	Syan.g_00782	Praz.g_01678
OG0000145	Syan.g_02740	Praz.g_01554
OG0000146	Syan.g_00555, Syan.g_00253	Praz.g_01546
OG0000147	Syan.g_00254, Syan.g_00554	Praz.g_01545
OG0000148	Syan.g_00670	Praz.g_01496
OG0000149	Syan.g_00393	Praz.g_01465
OG0000150	Syan.g_01031	Praz.g_01457
OG0000151	Syan.g_00731	Praz.g_01398
OG0000152	Syan.g_00565	Praz.g_01350
OG0000153	Syan.g_00601	Praz.g_01331
OG0000154	Syan.g_00363	Praz.g_01303
OG0000155	Syan.g_02654	Praz.g_00734
OG0000156	Syan.g_02717	Praz.g_01191
OG0000157	Syan.g_02718	Praz.g_01190
OG0000158	Syan.g_01078, Syan.g_01926	Praz.g_01097
OG0000159	Syan.g_01120	Praz.g_01095
OG0000160	Syan.g_01274	Praz.g_01040
OG0000161	Syan.g_01268	Praz.g_01034
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Praz.g_01028
OG0000163	Syan.g_02405	Praz.g_00994
OG0000164	Syan.g_01440	Praz.g_00853
OG0000165	Syan.g_01448	Praz.g_00846
OG0000166	Syan.g_02239	Praz.g_00299
OG0000167	Syan.g_01941	Praz.g_00232
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Praz.g_00222
OG0000169	Syan.g_01912	Praz.g_00212
OG0000170	Syan.g_01901	Praz.g_00210
OG0000171	Syan.g_01875	Praz.g_00190
OG0000172	Syan.g_01810	Praz.g_00181
OG0000173	Syan.g_01720	Praz.g_00166
OG0000174	Syan.g_01619	Praz.g_00138
OG0000175	Syan.g_01678, Syan.g_00258	Praz.g_00128
OG0000176	Syan.g_01801	Praz.g_00369
OG0000177	Syan.g_01775	Praz.g_00370
OG0000178	Syan.g_01774	Praz.g_00371
OG0000179	Syan.g_01759	Praz.g_00381
OG0000180	Syan.g_01758	Praz.g_00382
OG0000181	Syan.g_01757	Praz.g_00383
OG0000182	Syan.g_01756	Praz.g_00384
OG0000183	Syan.g_01752	Praz.g_00388
OG0000184	Syan.g_01549	Praz.g_00412
OG0000185	Syan.g_01540	Praz.g_00415
OG0000186	Syan.g_02902	Praz.g_00424
OG0000187	Syan.g_02904	Praz.g_00425
OG0000188	Syan.g_02926	Praz.g_00442
OG0000189	Syan.g_02966	Praz.g_00456
OG0000190	Syan.g_00971	Praz.g_00457
OG0000191	Syan.g_02300	Praz.g_00477
OG0000192	Syan.g_02294	Praz.g_00481
OG0000193	Syan.g_03009	Praz.g_00506
OG0000194	Syan.g_03012	Praz.g_00509
OG0000195	Syan.g_03014	Praz.g_00511
OG0000196	Syan.g_03026	Praz.g_00521
OG0000197	Syan.g_03027	Praz.g_00522
OG0000198	Syan.g_03028	Praz.g_00523
OG0000199	Syan.g_03037	Praz.g_00530
OG0000200	Syan.g_03055	Praz.g_00544
OG0000201	Syan.g_03074	Praz.g_00552
OG0000202	Syan.g_03075	Praz.g_00553
