Orthogroup	Syan	Prba
OG0000004	Syan.g_00183	Prba.g_01622
OG0000004	Syan.g_00989	Prba.g_00451
OG0000005	Syan.g_01423	Prba.g_00607
OG0000005	Syan.g_01378	Prba.g_00312
OG0000006	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prba.g_00460
OG0000007	Syan.g_02743	Prba.g_00964
OG0000007	Syan.g_01400	Prba.g_00226
OG0000008	Syan.g_00640, Syan.g_02532	Prba.g_01131
OG0000009	Syan.g_02972	Prba.g_01142, Prba.g_00276, Prba.g_01893
OG0000010	Syan.g_02847	Prba.g_01256, Prba.g_00987
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Prba.g_01694
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prba.g_00543
OG0000014	Syan.g_01987	Prba.g_00522
OG0000016	Syan.g_01766	Prba.g_01806
OG0000017	Syan.g_01006	Prba.g_01719
OG0000018	Syan.g_02816	Prba.g_00083, Prba.g_01472
OG0000019	Syan.g_02088	Prba.g_00468, Prba.g_01519
OG0000021	Syan.g_01001	Prba.g_00245, Prba.g_00858
OG0000022	Syan.g_00089	Prba.g_01543, Prba.g_00101
OG0000023	Syan.g_00404	Prba.g_00854
OG0000025	Syan.g_00374	Prba.g_01464, Prba.g_00547
OG0000026	Syan.g_01743	Prba.g_01824, Prba.g_01249
OG0000027	Syan.g_02678	Prba.g_00991, Prba.g_01175
OG0000028	Syan.g_01971	Prba.g_00536, Prba.g_01126
OG0000030	Syan.g_01884, Syan.g_01883	Prba.g_00778
OG0000032	Syan.g_01088, Syan.g_01091, Syan.g_01101	Prba.g_00149
OG0000033	Syan.g_03036	Prba.g_00625
OG0000034	Syan.g_01227, Syan.g_03003	Prba.g_01202
OG0000035	Syan.g_01276	Prba.g_00713
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prba.g_01897
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Prba.g_00819
OG0000039	Syan.g_02771, Syan.g_00535	Prba.g_01631
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prba.g_00775
OG0000044	Syan.g_01065	Prba.g_00002
OG0000045	Syan.g_00086, Syan.g_00151	Prba.g_00865
OG0000048	Syan.g_02036	Prba.g_00868
OG0000053	Syan.g_02812	Prba.g_00693
OG0000054	Syan.g_02503	Prba.g_01711
OG0000055	Syan.g_00312	Prba.g_01518
OG0000058	Syan.g_01128, Syan.g_01124	Prba.g_00153
OG0000061	Syan.g_02696	Prba.g_00064
OG0000062	Syan.g_00098	Prba.g_00310
OG0000063	Syan.g_01739	Prba.g_01826
OG0000065	Syan.g_02974	Prba.g_01895
OG0000066	Syan.g_01156	Prba.g_00922
OG0000067	Syan.g_00690	Prba.g_01499
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Prba.g_00196
OG0000069	Syan.g_00278	Prba.g_00275
OG0000070	Syan.g_00289	Prba.g_01011
OG0000071	Syan.g_01213	Prba.g_01192
OG0000072	Syan.g_03038, Syan.g_02999	Prba.g_00627
OG0000073	Syan.g_02741	Prba.g_00962
OG0000075	Syan.g_00981, Syan.g_01937	Prba.g_01071
OG0000076	Syan.g_01896	Prba.g_00768
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Prba.g_00471
OG0000082	Syan.g_00952	Prba.g_01731
OG0000085	Syan.g_01387	Prba.g_00233
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Prba.g_01876
OG0000087	Syan.g_02268	Prba.g_01927
OG0000088	Syan.g_03031	Prba.g_00622
OG0000089	Syan.g_02316	Prba.g_00850
OG0000090	Syan.g_01166	Prba.g_00928
OG0000091	Syan.g_00235, Syan.g_00808	Prba.g_01675
OG0000092	Syan.g_02502	Prba.g_01390, Prba.g_01057
OG0000094	Syan.g_00353, Syan.g_00065	Prba.g_01283
OG0000097	Syan.g_00160, Syan.g_00733	Prba.g_00022
OG0000098	Syan.g_00043	Prba.g_00214
OG0000099	Syan.g_01968	Prba.g_00155
OG0000100	Syan.g_00658	Prba.g_00314
OG0000101	Syan.g_02199	Prba.g_00429
OG0000102	Syan.g_01891	Prba.g_00773
OG0000103	Syan.g_01692	Prba.g_01781
OG0000104	Syan.g_01792	Prba.g_01789
OG0000105	Syan.g_02031	Prba.g_00491
OG0000106	Syan.g_00076	Prba.g_00864
OG0000107	Syan.g_02106	Prba.g_00880
OG0000108	Syan.g_02764	Prba.g_00981
OG0000109	Syan.g_02748	Prba.g_00967
OG0000110	Syan.g_00882	Prba.g_01741
OG0000111	Syan.g_00187	Prba.g_01618
OG0000112	Syan.g_00556, Syan.g_00252	Prba.g_01534
OG0000113	Syan.g_00664	Prba.g_01477
OG0000114	Syan.g_00741	Prba.g_01395
OG0000115	Syan.g_02810	Prba.g_00743
OG0000116	Syan.g_02710, Syan.g_00460	Prba.g_00074
OG0000117	Syan.g_02644	Prba.g_01135
OG0000118	Syan.g_01241, Syan.g_01237	Prba.g_01204
OG0000119	Syan.g_02672	Prba.g_00200
OG0000120	Syan.g_01966	Prba.g_00175
OG0000121	Syan.g_01273	Prba.g_00711
OG0000123	Syan.g_02190	Prba.g_00436
OG0000124	Syan.g_01873	Prba.g_00784
OG0000125	Syan.g_01573	Prba.g_01089, Prba.g_00821
OG0000126	Syan.g_01705	Prba.g_01788
OG0000127	Syan.g_00162	Prba.g_01118
OG0000128	Syan.g_01768	Prba.g_01804
OG0000129	Syan.g_01563	Prba.g_01838
OG0000130	Syan.g_02906, Syan.g_02907	Prba.g_01857
OG0000131	Syan.g_03008	Prba.g_01933
OG0000132	Syan.g_03029	Prba.g_01952
OG0000133	Syan.g_00561	Prba.g_00538
OG0000134	Syan.g_02319	Prba.g_00851
OG0000135	Syan.g_01616	Prba.g_00877
OG0000136	Syan.g_01342	Prba.g_01020
OG0000137	Syan.g_02846	Prba.g_00986
OG0000138	Syan.g_02747	Prba.g_00966
OG0000140	Syan.g_00042	Prba.g_00923
OG0000141	Syan.g_01032	Prba.g_01710
OG0000142	Syan.g_00816	Prba.g_01682
OG0000143	Syan.g_00812	Prba.g_01678
OG0000144	Syan.g_00782	Prba.g_01665
OG0000145	Syan.g_02740	Prba.g_01541
OG0000146	Syan.g_00555, Syan.g_00253	Prba.g_01533
OG0000147	Syan.g_00254, Syan.g_00554	Prba.g_01532
OG0000148	Syan.g_00670	Prba.g_01483
OG0000149	Syan.g_00393	Prba.g_01452
OG0000150	Syan.g_01031	Prba.g_01444
OG0000151	Syan.g_00731	Prba.g_01385
OG0000152	Syan.g_00565	Prba.g_01337
OG0000153	Syan.g_00601	Prba.g_01318
OG0000154	Syan.g_00363	Prba.g_01290
OG0000155	Syan.g_02654	Prba.g_00043
OG0000156	Syan.g_02717	Prba.g_01181
OG0000157	Syan.g_02718	Prba.g_01182
OG0000158	Syan.g_01078, Syan.g_01926	Prba.g_00154
OG0000159	Syan.g_01120	Prba.g_00152
OG0000160	Syan.g_01274	Prba.g_00712
OG0000161	Syan.g_01268	Prba.g_00706
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Prba.g_00700
OG0000163	Syan.g_02405	Prba.g_00341
OG0000164	Syan.g_01440	Prba.g_00596
OG0000165	Syan.g_01448	Prba.g_00589
OG0000166	Syan.g_02239	Prba.g_00393
OG0000167	Syan.g_01941	Prba.g_01069
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Prba.g_01079
OG0000169	Syan.g_01912	Prba.g_00761
OG0000170	Syan.g_01901	Prba.g_00763
OG0000171	Syan.g_01875	Prba.g_00783
OG0000172	Syan.g_01810	Prba.g_00792
OG0000173	Syan.g_01720	Prba.g_00807
OG0000174	Syan.g_01619	Prba.g_00835
OG0000175	Syan.g_01678, Syan.g_00258	Prba.g_00845
OG0000176	Syan.g_01801	Prba.g_01797
OG0000177	Syan.g_01775	Prba.g_01798
OG0000178	Syan.g_01774	Prba.g_01799
OG0000179	Syan.g_01759	Prba.g_01809
OG0000180	Syan.g_01758	Prba.g_01810
OG0000181	Syan.g_01757	Prba.g_01811
OG0000182	Syan.g_01756	Prba.g_01812
OG0000183	Syan.g_01752	Prba.g_01816
OG0000184	Syan.g_01549	Prba.g_01840
OG0000185	Syan.g_01540	Prba.g_01843
OG0000186	Syan.g_02902	Prba.g_01852
OG0000187	Syan.g_02904	Prba.g_01853
OG0000188	Syan.g_02926	Prba.g_01870
OG0000189	Syan.g_02966	Prba.g_01884
OG0000190	Syan.g_00971	Prba.g_01885
OG0000191	Syan.g_02300	Prba.g_01905
OG0000192	Syan.g_02294	Prba.g_01909
OG0000193	Syan.g_03009	Prba.g_01934
OG0000194	Syan.g_03012	Prba.g_01937
OG0000195	Syan.g_03014	Prba.g_01939
OG0000196	Syan.g_03026	Prba.g_01949
OG0000197	Syan.g_03027	Prba.g_01950
OG0000198	Syan.g_03028	Prba.g_01951
OG0000199	Syan.g_03037	Prba.g_00626
OG0000200	Syan.g_03055	Prba.g_00640
OG0000201	Syan.g_03074	Prba.g_00648
OG0000202	Syan.g_03075	Prba.g_00649
OG0000203	Syan.g_03076	Prba.g_00650
OG0000204	Syan.g_03077	Prba.g_00651
OG0000205	Syan.g_03087	Prba.g_00658
OG0000206	Syan.g_03095	Prba.g_00663
OG0000207	Syan.g_03100	Prba.g_00665
OG0000208	Syan.g_03101	Prba.g_00666
OG0000209	Syan.g_01521	Prba.g_00675
OG0000210	Syan.g_01522	Prba.g_00439
OG0000211	Syan.g_02416	Prba.g_00452
OG0000212	Syan.g_01508, Syan.g_02438	Prba.g_00459
OG0000213	Syan.g_02059	Prba.g_00476
OG0000214	Syan.g_02040	Prba.g_00485
OG0000215	Syan.g_02010	Prba.g_00509
OG0000216	Syan.g_02006	Prba.g_00510
OG0000217	Syan.g_02001	Prba.g_00513
OG0000218	Syan.g_01999	Prba.g_00515
OG0000219	Syan.g_01998	Prba.g_00516
OG0000220	Syan.g_01997	Prba.g_00517
