Orthogroup	Syan	Prai
OG0000004	Syan.g_00183	Prai.g_00724
OG0000004	Syan.g_00989	Prai.g_00243
OG0000005	Syan.g_01423	Prai.g_01651
OG0000005	Syan.g_01378	Prai.g_01538
OG0000006	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prai.g_00252, Prai.g_00254
OG0000007	Syan.g_02743	Prai.g_00527
OG0000007	Syan.g_01400	Prai.g_01638
OG0000008	Syan.g_00640, Syan.g_02532, Syan.g_00641, Syan.g_02531	Prai.g_00701
OG0000009	Syan.g_02972	Prai.g_01578, Prai.g_00105
OG0000010	Syan.g_02847	Prai.g_01292, Prai.g_01067, Prai.g_00504
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Prai.g_00652
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prai.g_00340
OG0000014	Syan.g_01987	Prai.g_00319
OG0000016	Syan.g_01766	Prai.g_00013
OG0000017	Syan.g_01006	Prai.g_00626
OG0000018	Syan.g_02816	Prai.g_01153, Prai.g_00820
OG0000019	Syan.g_02088	Prai.g_00262, Prai.g_00867
OG0000021	Syan.g_01001	Prai.g_00378
OG0000022	Syan.g_00089	Prai.g_00885, Prai.g_01139
OG0000023	Syan.g_00404	Prai.g_00373
OG0000025	Syan.g_00374	Prai.g_00812, Prai.g_00344
OG0000026	Syan.g_01743	Prai.g_00031, Prai.g_01074
OG0000027	Syan.g_02678	Prai.g_00904
OG0000028	Syan.g_01971	Prai.g_00333, Prai.g_01297
OG0000030	Syan.g_01884, Syan.g_01883	Prai.g_01848
OG0000033	Syan.g_03036	Prai.g_00180
OG0000034	Syan.g_01227, Syan.g_03003	Prai.g_01345
OG0000035	Syan.g_01276	Prai.g_01463
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prai.g_00109
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Prai.g_01890
OG0000039	Syan.g_02771, Syan.g_00535	Prai.g_00715
OG0000041	Syan.g_01465	Prai.g_01684
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prai.g_01845
OG0000045	Syan.g_00086, Syan.g_00151	Prai.g_00384
OG0000048	Syan.g_02036	Prai.g_00387
OG0000053	Syan.g_02812	Prai.g_01483
OG0000054	Syan.g_02503	Prai.g_00634
OG0000055	Syan.g_00312	Prai.g_00866
OG0000058	Syan.g_01128, Syan.g_01124	Prai.g_01859
OG0000061	Syan.g_02696	Prai.g_01171
OG0000062	Syan.g_00098	Prai.g_01540
OG0000063	Syan.g_01739	Prai.g_00033, Prai.g_01261
OG0000065	Syan.g_02974	Prai.g_00107
OG0000066	Syan.g_01156	Prai.g_00567
OG0000067	Syan.g_00690	Prai.g_00848
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Prai.g_01370
OG0000069	Syan.g_00278	Prai.g_01579
OG0000070	Syan.g_00289	Prai.g_00481
OG0000071	Syan.g_01213	Prai.g_01335
OG0000072	Syan.g_03038, Syan.g_02999	Prai.g_00182
OG0000073	Syan.g_02741	Prai.g_00529
OG0000075	Syan.g_00981, Syan.g_01937	Prai.g_01814
OG0000076	Syan.g_01896	Prai.g_01838
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Prai.g_00265
OG0000080	Syan.g_01110	Prai.g_01411
OG0000082	Syan.g_00952	Prai.g_00613
OG0000085	Syan.g_01387	Prai.g_01631
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Prai.g_00088
OG0000087	Syan.g_02268	Prai.g_00139
OG0000088	Syan.g_03031	Prai.g_00177
OG0000089	Syan.g_02316	Prai.g_00368
OG0000090	Syan.g_01166	Prai.g_00561
OG0000091	Syan.g_00235, Syan.g_00808	Prai.g_00671
OG0000092	Syan.g_02502	Prai.g_01041
OG0000093	Syan.g_02934	Prai.g_01021
OG0000094	Syan.g_00353, Syan.g_00065	Prai.g_00937
OG0000097	Syan.g_00160, Syan.g_00733	Prai.g_01214
OG0000098	Syan.g_00043	Prai.g_01353
OG0000099	Syan.g_01968	Prai.g_01393
OG0000100	Syan.g_00658	Prai.g_01536
OG0000101	Syan.g_02199	Prai.g_01782
OG0000102	Syan.g_01891	Prai.g_01843
OG0000103	Syan.g_01692	Prai.g_01923
OG0000104	Syan.g_01792	Prai.g_01932
OG0000105	Syan.g_02031	Prai.g_00286, Prai.g_00287
OG0000106	Syan.g_00076	Prai.g_00383
OG0000107	Syan.g_02106	Prai.g_00397
OG0000108	Syan.g_02764	Prai.g_00510
OG0000109	Syan.g_02748	Prai.g_00524
OG0000110	Syan.g_00882	Prai.g_00603
OG0000111	Syan.g_00187	Prai.g_00728
OG0000112	Syan.g_00556, Syan.g_00252	Prai.g_00882
OG0000113	Syan.g_00664	Prai.g_00825
OG0000114	Syan.g_00741	Prai.g_01046
OG0000115	Syan.g_02810	Prai.g_01119
OG0000116	Syan.g_02710, Syan.g_00460	Prai.g_01162
OG0000117	Syan.g_02644	Prai.g_01273
OG0000118	Syan.g_01241, Syan.g_01237	Prai.g_01347
OG0000119	Syan.g_02672	Prai.g_01366
OG0000120	Syan.g_01966	Prai.g_01443
OG0000121	Syan.g_01273	Prai.g_01465
OG0000123	Syan.g_02190	Prai.g_01789
OG0000124	Syan.g_01873	Prai.g_01854
OG0000125	Syan.g_01573	Prai.g_01892
OG0000126	Syan.g_01705	Prai.g_01931
OG0000128	Syan.g_01768	Prai.g_00011
OG0000129	Syan.g_01563	Prai.g_00051
OG0000130	Syan.g_02906, Syan.g_02907	Prai.g_00069
OG0000131	Syan.g_03008	Prai.g_00156
OG0000132	Syan.g_03029	Prai.g_00175
OG0000133	Syan.g_00561	Prai.g_00335
OG0000134	Syan.g_02319	Prai.g_00369
OG0000135	Syan.g_01616	Prai.g_00393
OG0000136	Syan.g_01342	Prai.g_00472
OG0000137	Syan.g_02846	Prai.g_00505
OG0000138	Syan.g_02747	Prai.g_00525
OG0000140	Syan.g_00042	Prai.g_00566
OG0000141	Syan.g_01032	Prai.g_00635
OG0000142	Syan.g_00816	Prai.g_00664
OG0000143	Syan.g_00812	Prai.g_00668
OG0000144	Syan.g_00782	Prai.g_00681
OG0000145	Syan.g_02740	Prai.g_00883
OG0000146	Syan.g_00555, Syan.g_00253	Prai.g_00881
OG0000147	Syan.g_00254, Syan.g_00554	Prai.g_00880
OG0000148	Syan.g_00670	Prai.g_00831
OG0000149	Syan.g_00393	Prai.g_00800
OG0000150	Syan.g_01031	Prai.g_00792
OG0000151	Syan.g_00731	Prai.g_01036
OG0000152	Syan.g_00565	Prai.g_00989
OG0000153	Syan.g_00601	Prai.g_00970
OG0000154	Syan.g_00363	Prai.g_00943
OG0000155	Syan.g_02654	Prai.g_01191
OG0000156	Syan.g_02717	Prai.g_01323
OG0000157	Syan.g_02718	Prai.g_01324
OG0000158	Syan.g_01078, Syan.g_01926	Prai.g_01392
OG0000159	Syan.g_01120	Prai.g_01321, Prai.g_01390
OG0000160	Syan.g_01274	Prai.g_01464
OG0000161	Syan.g_01268	Prai.g_01470
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Prai.g_01476
OG0000163	Syan.g_02405	Prai.g_01509
OG0000164	Syan.g_01440	Prai.g_01662
OG0000165	Syan.g_01448	Prai.g_01669
OG0000166	Syan.g_02239	Prai.g_01740
OG0000167	Syan.g_01941	Prai.g_01812
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Prai.g_01822
OG0000169	Syan.g_01912	Prai.g_01832
OG0000170	Syan.g_01901	Prai.g_01834
OG0000171	Syan.g_01875	Prai.g_01853
OG0000172	Syan.g_01810	Prai.g_01863
OG0000173	Syan.g_01720	Prai.g_01878
OG0000174	Syan.g_01619	Prai.g_01905
OG0000175	Syan.g_01678, Syan.g_00258	Prai.g_01915
OG0000176	Syan.g_01801	Prai.g_00004
OG0000177	Syan.g_01775	Prai.g_00005
OG0000178	Syan.g_01774	Prai.g_00006
