Orthogroup	Syan	Prae
OG0000004	Syan.g_00183	Prae.g_00669
OG0000004	Syan.g_00989	Prae.g_00235
OG0000005	Syan.g_01423	Prae.g_01636
OG0000005	Syan.g_01378	Prae.g_01535
OG0000006	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prae.g_00244
OG0000007	Syan.g_02743	Prae.g_00471
OG0000007	Syan.g_01400	Prae.g_01623
OG0000009	Syan.g_02972	Prae.g_01270, Prae.g_01572
OG0000010	Syan.g_02847	Prae.g_01048, Prae.g_00448
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Prae.g_00597
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prae.g_00328
OG0000014	Syan.g_01987	Prae.g_00307
OG0000016	Syan.g_01766	Prae.g_00013
OG0000017	Syan.g_01006	Prae.g_00572
OG0000018	Syan.g_02816	Prae.g_01144, Prae.g_00833
OG0000019	Syan.g_02088	Prae.g_00252, Prae.g_00786
OG0000021	Syan.g_01001	Prae.g_01600, Prae.g_00364
OG0000022	Syan.g_00089	Prae.g_00764, Prae.g_01125
OG0000023	Syan.g_00404	Prae.g_00359
OG0000025	Syan.g_00374	Prae.g_00840, Prae.g_00332
OG0000026	Syan.g_01743	Prae.g_00031, Prae.g_01056
OG0000027	Syan.g_02678	Prae.g_00444, Prae.g_01311
OG0000028	Syan.g_01971	Prae.g_00321
OG0000030	Syan.g_01884, Syan.g_01883	Prae.g_01825
OG0000033	Syan.g_03036	Prae.g_01396, Prae.g_00172
OG0000034	Syan.g_01227, Syan.g_03003	Prae.g_01339
OG0000035	Syan.g_01276	Prae.g_01459
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prae.g_00108
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Prae.g_01865
OG0000039	Syan.g_02771, Syan.g_00535	Prae.g_00660
OG0000041	Syan.g_01465	Prae.g_01669
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prae.g_01822
OG0000045	Syan.g_00086, Syan.g_00151	Prae.g_00371
OG0000048	Syan.g_02036	Prae.g_00374
OG0000053	Syan.g_02812	Prae.g_01479
OG0000054	Syan.g_02503	Prae.g_00580
OG0000055	Syan.g_00312	Prae.g_00787
OG0000058	Syan.g_01128, Syan.g_01124	Prae.g_01406
OG0000060	Syan.g_00277	Prae.g_01238
OG0000061	Syan.g_02696	Prae.g_01422, Prae.g_01163
OG0000062	Syan.g_00098	Prae.g_01537
OG0000063	Syan.g_01739	Prae.g_00033
OG0000065	Syan.g_02974	Prae.g_00106
OG0000066	Syan.g_01156	Prae.g_00514
OG0000067	Syan.g_00690	Prae.g_00806
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Prae.g_01368
OG0000069	Syan.g_00278	Prae.g_01573
OG0000070	Syan.g_00289	Prae.g_00424
OG0000071	Syan.g_01213	Prae.g_01329
OG0000072	Syan.g_03038, Syan.g_02999	Prae.g_00174
OG0000073	Syan.g_02741	Prae.g_00473
OG0000075	Syan.g_00981, Syan.g_01937	Prae.g_01791
OG0000076	Syan.g_01896	Prae.g_01815
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Prae.g_00255
OG0000082	Syan.g_00952	Prae.g_00559
OG0000085	Syan.g_01387	Prae.g_01616
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Prae.g_00088
OG0000087	Syan.g_02268	Prae.g_00139
OG0000088	Syan.g_03031	Prae.g_00169
OG0000089	Syan.g_02316	Prae.g_00355
OG0000090	Syan.g_01166	Prae.g_00508
OG0000091	Syan.g_00235, Syan.g_00808	Prae.g_00616
OG0000092	Syan.g_02502	Prae.g_00913
OG0000094	Syan.g_00353, Syan.g_00065	Prae.g_01021
OG0000097	Syan.g_00160, Syan.g_00733	Prae.g_01204
OG0000098	Syan.g_00043	Prae.g_01350
OG0000099	Syan.g_01968	Prae.g_01390
OG0000100	Syan.g_00658	Prae.g_01533
OG0000101	Syan.g_02199	Prae.g_01758
OG0000102	Syan.g_01891	Prae.g_01820
OG0000103	Syan.g_01692	Prae.g_01899
OG0000104	Syan.g_01792	Prae.g_01907
OG0000105	Syan.g_02031	Prae.g_01440
OG0000106	Syan.g_00076	Prae.g_00370
OG0000107	Syan.g_02106	Prae.g_00385
OG0000108	Syan.g_02764	Prae.g_00454
OG0000109	Syan.g_02748	Prae.g_00468
OG0000110	Syan.g_00882	Prae.g_00549
OG0000111	Syan.g_00187	Prae.g_00673
OG0000112	Syan.g_00556, Syan.g_00252	Prae.g_00770
OG0000113	Syan.g_00664	Prae.g_00828
OG0000114	Syan.g_00741	Prae.g_00908
OG0000115	Syan.g_02810	Prae.g_01102
OG0000116	Syan.g_02710, Syan.g_00460	Prae.g_01153
OG0000117	Syan.g_02644	Prae.g_01263
OG0000118	Syan.g_01241, Syan.g_01237	Prae.g_01341
OG0000119	Syan.g_02672	Prae.g_01364
OG0000120	Syan.g_01966	Prae.g_01389
OG0000121	Syan.g_01273	Prae.g_01461
OG0000123	Syan.g_02190	Prae.g_01766
OG0000124	Syan.g_01873	Prae.g_01831
OG0000125	Syan.g_01573	Prae.g_01867
OG0000126	Syan.g_01705	Prae.g_01906
OG0000128	Syan.g_01768	Prae.g_00011
OG0000129	Syan.g_01563	Prae.g_00046
OG0000130	Syan.g_02906, Syan.g_02907	Prae.g_00069
OG0000131	Syan.g_03008	Prae.g_00148
OG0000132	Syan.g_03029	Prae.g_00167
OG0000133	Syan.g_00561	Prae.g_00323
OG0000134	Syan.g_02319	Prae.g_00356
OG0000135	Syan.g_01616	Prae.g_00382
OG0000136	Syan.g_01342	Prae.g_00415
OG0000137	Syan.g_02846	Prae.g_00449
OG0000138	Syan.g_02747	Prae.g_00469
OG0000140	Syan.g_00042	Prae.g_00513
OG0000141	Syan.g_01032	Prae.g_00581
OG0000142	Syan.g_00816	Prae.g_00609
OG0000143	Syan.g_00812	Prae.g_00613
OG0000144	Syan.g_00782	Prae.g_00626
OG0000145	Syan.g_02740	Prae.g_00766
OG0000146	Syan.g_00555, Syan.g_00253	Prae.g_00771
OG0000147	Syan.g_00254, Syan.g_00554	Prae.g_00772
OG0000148	Syan.g_00670	Prae.g_00822
OG0000149	Syan.g_00393	Prae.g_00852
OG0000150	Syan.g_01031	Prae.g_00860
OG0000151	Syan.g_00731	Prae.g_00918
OG0000152	Syan.g_00565	Prae.g_00964
OG0000153	Syan.g_00601	Prae.g_00983
OG0000154	Syan.g_00363	Prae.g_01014
OG0000155	Syan.g_02654	Prae.g_01183
OG0000156	Syan.g_02717	Prae.g_01317
OG0000157	Syan.g_02718	Prae.g_01318
OG0000158	Syan.g_01078, Syan.g_01926	Prae.g_01426
OG0000159	Syan.g_01120	Prae.g_01438
OG0000160	Syan.g_01274	Prae.g_01460
OG0000161	Syan.g_01268	Prae.g_01466
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Prae.g_01472
OG0000163	Syan.g_02405	Prae.g_01506
OG0000164	Syan.g_01440	Prae.g_01647
OG0000165	Syan.g_01448	Prae.g_01654
OG0000166	Syan.g_02239	Prae.g_01722
OG0000167	Syan.g_01941	Prae.g_01789
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Prae.g_01799
OG0000169	Syan.g_01912	Prae.g_01809
OG0000170	Syan.g_01901	Prae.g_01811
OG0000171	Syan.g_01875	Prae.g_01830
OG0000172	Syan.g_01810	Prae.g_01838
OG0000173	Syan.g_01720	Prae.g_01853
OG0000174	Syan.g_01619	Prae.g_01881
OG0000175	Syan.g_01678, Syan.g_00258	Prae.g_01891
OG0000176	Syan.g_01801	Prae.g_00004
OG0000177	Syan.g_01775	Prae.g_00005
OG0000178	Syan.g_01774	Prae.g_00006
OG0000179	Syan.g_01759	Prae.g_00016
OG0000180	Syan.g_01758	Prae.g_00017
OG0000181	Syan.g_01757	Prae.g_00018
OG0000182	Syan.g_01756	Prae.g_00019
OG0000183	Syan.g_01752	Prae.g_00023
OG0000184	Syan.g_01549	Prae.g_00048
OG0000185	Syan.g_01540	Prae.g_00051
OG0000186	Syan.g_02902	Prae.g_00064
OG0000187	Syan.g_02904	Prae.g_00065
OG0000188	Syan.g_02926	Prae.g_00082
OG0000189	Syan.g_02966	Prae.g_00096
OG0000190	Syan.g_00971	Prae.g_00097
OG0000191	Syan.g_02300	Prae.g_00117
OG0000192	Syan.g_02294	Prae.g_00121
OG0000193	Syan.g_03009	Prae.g_00149
OG0000194	Syan.g_03012	Prae.g_00152
OG0000195	Syan.g_03014	Prae.g_00154
OG0000196	Syan.g_03026	Prae.g_00164
OG0000197	Syan.g_03027	Prae.g_00165
OG0000198	Syan.g_03028	Prae.g_00166
OG0000199	Syan.g_03037	Prae.g_00173
OG0000200	Syan.g_03055	Prae.g_00187
OG0000201	Syan.g_03074	Prae.g_00195
OG0000202	Syan.g_03075	Prae.g_00196
OG0000203	Syan.g_03076	Prae.g_00197
OG0000204	Syan.g_03077	Prae.g_00198
OG0000205	Syan.g_03087	Prae.g_00205
OG0000206	Syan.g_03095	Prae.g_00210
OG0000207	Syan.g_03100	Prae.g_00212
OG0000208	Syan.g_03101	Prae.g_00213
OG0000209	Syan.g_01521	Prae.g_00222
OG0000210	Syan.g_01522	Prae.g_00223
OG0000211	Syan.g_02416	Prae.g_00236
OG0000212	Syan.g_01508, Syan.g_02438	Prae.g_00243
OG0000213	Syan.g_02059	Prae.g_00260
OG0000214	Syan.g_02040	Prae.g_00270
OG0000215	Syan.g_02010	Prae.g_00293
OG0000216	Syan.g_02006	Prae.g_00295
OG0000217	Syan.g_02001	Prae.g_00298
OG0000218	Syan.g_01999	Prae.g_00300
OG0000219	Syan.g_01998	Prae.g_00301
OG0000220	Syan.g_01997	Prae.g_00302
OG0000221	Syan.g_01994	Prae.g_00303
OG0000222	Syan.g_01981	Prae.g_00311
OG0000223	Syan.g_00228	Prae.g_00324
OG0000224	Syan.g_01959	Prae.g_00326
OG0000225	Syan.g_02997	Prae.g_00345
OG0000226	Syan.g_02990	Prae.g_00349
OG0000227	Syan.g_02988	Prae.g_00351
OG0000228	Syan.g_02315	Prae.g_00354
OG0000229	Syan.g_02396	Prae.g_00410
OG0000230	Syan.g_02398	Prae.g_00412
OG0000231	Syan.g_01333	Prae.g_00423
OG0000232	Syan.g_02801	Prae.g_00432
OG0000233	Syan.g_02876	Prae.g_00437
OG0000234	Syan.g_02844	Prae.g_00450
OG0000235	Syan.g_02765	Prae.g_00453
OG0000236	Syan.g_02749	Prae.g_00467
OG0000237	Syan.g_02731	Prae.g_00480
OG0000238	Syan.g_02726	Prae.g_00486
OG0000239	Syan.g_01187	Prae.g_00499
OG0000240	Syan.g_01186	Prae.g_00500
OG0000241	Syan.g_00822	Prae.g_00504
OG0000242	Syan.g_01168	Prae.g_00506
OG0000243	Syan.g_00840	Prae.g_00518
OG0000244	Syan.g_00848	Prae.g_00521
OG0000245	Syan.g_00850	Prae.g_00523
OG0000246	Syan.g_00854	Prae.g_00527
OG0000247	Syan.g_00866	Prae.g_00537
OG0000248	Syan.g_00869	Prae.g_00539
OG0000249	Syan.g_00871	Prae.g_00541
OG0000250	Syan.g_00878	Prae.g_00546
OG0000251	Syan.g_00961	Prae.g_00565
OG0000252	Syan.g_00966	Prae.g_00568
OG0000253	Syan.g_01000	Prae.g_00569
OG0000254	Syan.g_01026	Prae.g_00585
OG0000255	Syan.g_00978	Prae.g_00591
OG0000256	Syan.g_00001, Syan.g_01135	Prae.g_00601
OG0000257	Syan.g_00827	Prae.g_00604
OG0000258	Syan.g_00803	Prae.g_00617
OG0000259	Syan.g_00772	Prae.g_00634
OG0000260	Syan.g_00769	Prae.g_00637
OG0000261	Syan.g_00765	Prae.g_00639
OG0000262	Syan.g_00760	Prae.g_00643
OG0000263	Syan.g_02618	Prae.g_00655
OG0000264	Syan.g_00540	Prae.g_00665
OG0000266	Syan.g_00330	Prae.g_00721
OG0000267	Syan.g_00470	Prae.g_00732
OG0000268	Syan.g_00471	Prae.g_00733
OG0000269	Syan.g_00695	Prae.g_00801
OG0000270	Syan.g_00692	Prae.g_00804
OG0000271	Syan.g_00684	Prae.g_00812
OG0000272	Syan.g_00683	Prae.g_00813
OG0000273	Syan.g_00654	Prae.g_00836
OG0000274	Syan.g_00653	Prae.g_00837
OG0000275	Syan.g_00373	Prae.g_00839
OG0000276	Syan.g_00380	Prae.g_00844
OG0000277	Syan.g_00381	Prae.g_00845
OG0000278	Syan.g_00384	Prae.g_00848
OG0000279	Syan.g_00398	Prae.g_00855
OG0000280	Syan.g_00518	Prae.g_00856
OG0000282	Syan.g_00739	Prae.g_00910
OG0000283	Syan.g_00491	Prae.g_00941
OG0000284	Syan.g_00497	Prae.g_00946
OG0000285	Syan.g_00533	Prae.g_00951
OG0000286	Syan.g_00564	Prae.g_00963
OG0000287	Syan.g_00593	Prae.g_00980
OG0000288	Syan.g_00364	Prae.g_01013
OG0000289	Syan.g_00350	Prae.g_01024
OG0000290	Syan.g_00293	Prae.g_01037
OG0000291	Syan.g_00291	Prae.g_01039
OG0000292	Syan.g_01703	Prae.g_01090
OG0000293	Syan.g_02709	Prae.g_01154
OG0000294	Syan.g_02708	Prae.g_01155
OG0000295	Syan.g_02662	Prae.g_01175
OG0000296	Syan.g_02660	Prae.g_01177
OG0000299	Syan.g_02601	Prae.g_01203
OG0000301	Syan.g_02592	Prae.g_01207
OG0000302	Syan.g_02591	Prae.g_01209
OG0000303	Syan.g_02582	Prae.g_01216
OG0000304	Syan.g_02556	Prae.g_01220
OG0000305	Syan.g_00195	Prae.g_01360
OG0000306	Syan.g_00087	Prae.g_01363
OG0000307	Syan.g_02782	Prae.g_01377
OG0000308	Syan.g_02784	Prae.g_01378
OG0000309	Syan.g_02883	Prae.g_01382
OG0000310	Syan.g_01304	Prae.g_01444
OG0000311	Syan.g_01299	Prae.g_01446
OG0000312	Syan.g_01290	Prae.g_01449
OG0000313	Syan.g_01271	Prae.g_01463
OG0000314	Syan.g_02823	Prae.g_01486
OG0000315	Syan.g_02833	Prae.g_01496
OG0000316	Syan.g_01354	Prae.g_01516
OG0000317	Syan.g_01396	Prae.g_01621
OG0000318	Syan.g_01401	Prae.g_01624
OG0000319	Syan.g_01425	Prae.g_01637
OG0000320	Syan.g_01427	Prae.g_01639
OG0000321	Syan.g_01428	Prae.g_01640
OG0000322	Syan.g_01429	Prae.g_01641
OG0000323	Syan.g_01442	Prae.g_01650
OG0000324	Syan.g_01472	Prae.g_01676
OG0000325	Syan.g_02107	Prae.g_01687
OG0000326	Syan.g_02114	Prae.g_01693
OG0000327	Syan.g_02244	Prae.g_01717
OG0000328	Syan.g_02243	Prae.g_01718
OG0000329	Syan.g_02225	Prae.g_01735
OG0000330	Syan.g_02224	Prae.g_01736
OG0000331	Syan.g_02223	Prae.g_01737
OG0000332	Syan.g_02208	Prae.g_01751
OG0000333	Syan.g_02205	Prae.g_01753
OG0000334	Syan.g_00247, Syan.g_02194	Prae.g_01761
OG0000335	Syan.g_02189	Prae.g_01767
OG0000336	Syan.g_02185	Prae.g_01771
OG0000337	Syan.g_01949	Prae.g_01787
OG0000338	Syan.g_01943	Prae.g_01788
OG0000339	Syan.g_01935, Syan.g_00264	Prae.g_01792
OG0000340	Syan.g_01923	Prae.g_01800
OG0000341	Syan.g_01921	Prae.g_01802
OG0000342	Syan.g_01920	Prae.g_01803
OG0000343	Syan.g_01918	Prae.g_01804
OG0000344	Syan.g_01914	Prae.g_01807
