Orthogroup	Syan	Pral
OG0000004	Syan.g_00183	Pral.g_01743
OG0000004	Syan.g_00989	Pral.g_00809
OG0000005	Syan.g_01378	Pral.g_01075
OG0000006	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Pral.g_00797
OG0000007	Syan.g_02743	Pral.g_00593
OG0000007	Syan.g_01400	Pral.g_00107
OG0000008	Syan.g_00640, Syan.g_02532	Pral.g_00020
OG0000008	Syan.g_00641, Syan.g_02531	Pral.g_00021
OG0000009	Syan.g_02972	Pral.g_01065, Pral.g_01163
OG0000010	Syan.g_02847	Pral.g_01832, Pral.g_01848, Pral.g_00618
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Pral.g_00015
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Pral.g_00712
OG0000014	Syan.g_01987	Pral.g_00732
OG0000017	Syan.g_01013	Pral.g_00484
OG0000017	Syan.g_01006	Pral.g_00491
OG0000018	Syan.g_02816	Pral.g_01346, Pral.g_01516
OG0000019	Syan.g_02088	Pral.g_00790, Pral.g_01344
OG0000021	Syan.g_01001	Pral.g_01667, Pral.g_01738
OG0000022	Syan.g_00089	Pral.g_00044
OG0000023	Syan.g_00404	Pral.g_01687
OG0000025	Syan.g_00374	Pral.g_01523
OG0000026	Syan.g_01743	Pral.g_01012
OG0000027	Syan.g_02678	Pral.g_00039, Pral.g_01036
OG0000028	Syan.g_01971	Pral.g_00719, Pral.g_00053
OG0000030	Syan.g_01884, Syan.g_01883	Pral.g_00316
OG0000032	Syan.g_02835	Pral.g_01121
OG0000033	Syan.g_03036	Pral.g_00874
OG0000034	Syan.g_01227, Syan.g_03003	Pral.g_01271
OG0000035	Syan.g_01276	Pral.g_01165, Pral.g_01161
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Pral.g_00938
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Pral.g_00356
OG0000039	Syan.g_02771, Syan.g_00535	Pral.g_01755
OG0000041	Syan.g_01465	Pral.g_00155
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Pral.g_00313
OG0000044	Syan.g_01065	Pral.g_01888
OG0000045	Syan.g_00086, Syan.g_00151	Pral.g_01322
OG0000046	Syan.g_02157, Syan.g_02160	Pral.g_00711
OG0000048	Syan.g_02036	Pral.g_00768
OG0000052	Syan.g_01954, Syan.g_01953	Pral.g_00987
OG0000053	Syan.g_02812	Pral.g_00066, Pral.g_01139
OG0000054	Syan.g_02503	Pral.g_00482
OG0000055	Syan.g_00312	Pral.g_01670, Pral.g_00082
OG0000058	Syan.g_01128, Syan.g_01124	Pral.g_01202
OG0000061	Syan.g_02696	Pral.g_01367, Pral.g_00639
OG0000062	Syan.g_01380, Syan.g_00098	Pral.g_01073
OG0000063	Syan.g_01739	Pral.g_00435
OG0000064	Syan.g_02519, Syan.g_00785, Syan.g_02518	Pral.g_00980
OG0000065	Syan.g_02974	Pral.g_00940
OG0000066	Syan.g_01156	Pral.g_00551
OG0000067	Syan.g_00690	Pral.g_01488
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Pral.g_01222
OG0000069	Syan.g_00278	Pral.g_01114, Pral.g_01164
OG0000070	Syan.g_00289	Pral.g_00643
OG0000071	Syan.g_01213	Pral.g_01281
OG0000072	Syan.g_03038, Syan.g_02999	Pral.g_00872
OG0000073	Syan.g_02741	Pral.g_00591
OG0000075	Syan.g_00981, Syan.g_01937	Pral.g_00279
OG0000076	Syan.g_01896	Pral.g_00305
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Pral.g_00787
OG0000082	Syan.g_00952	Pral.g_00057
OG0000085	Syan.g_01387	Pral.g_00099
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Pral.g_00959
OG0000087	Syan.g_02268	Pral.g_00906
OG0000088	Syan.g_03031	Pral.g_00878
OG0000089	Syan.g_02316	Pral.g_00676
OG0000090	Syan.g_01166	Pral.g_00557
OG0000091	Syan.g_00235, Syan.g_00808	Pral.g_01443
OG0000092	Syan.g_02502	Pral.g_01794, Pral.g_01244
OG0000093	Syan.g_00708, Syan.g_02934	Pral.g_01472
OG0000094	Syan.g_00065	Pral.g_01604
OG0000097	Syan.g_00160, Syan.g_00733	Pral.g_01416
OG0000098	Syan.g_00043	Pral.g_01239
OG0000099	Syan.g_01968	Pral.g_01201
OG0000100	Syan.g_00658	Pral.g_01078
OG0000101	Syan.g_02199	Pral.g_00243
OG0000102	Syan.g_01891	Pral.g_00310
OG0000103	Syan.g_01692	Pral.g_00397
OG0000104	Syan.g_01792	Pral.g_00406
OG0000105	Syan.g_02031	Pral.g_00765
OG0000106	Syan.g_00076	Pral.g_01859
OG0000107	Syan.g_02106	Pral.g_00171
OG0000108	Syan.g_02764	Pral.g_00611
OG0000109	Syan.g_02748	Pral.g_00596
OG0000110	Syan.g_00882	Pral.g_00513
OG0000111	Syan.g_00187	Pral.g_01739
OG0000112	Syan.g_00556, Syan.g_00252	Pral.g_01635
OG0000113	Syan.g_00664	Pral.g_01511
OG0000114	Syan.g_00741	Pral.g_01799
OG0000115	Syan.g_02810	Pral.g_01141
OG0000116	Syan.g_02710, Syan.g_00460	Pral.g_01356
OG0000117	Syan.g_02644	Pral.g_01398, Pral.g_01397, Pral.g_01396, Pral.g_01881
OG0000118	Syan.g_01241, Syan.g_01237	Pral.g_01269
OG0000119	Syan.g_02672	Pral.g_01861, Pral.g_01063
OG0000120	Syan.g_01966	Pral.g_00702
OG0000121	Syan.g_01273	Pral.g_01159
