Orthogroup	Syan	Pras
OG0000004	Syan.g_00183	Pras.g_01571
OG0000004	Syan.g_00989	Pras.g_01084
OG0000005	Syan.g_01423	Pras.g_00563
OG0000005	Syan.g_01378	Pras.g_00429
OG0000006	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Pras.g_00148, Pras.g_01093
OG0000007	Syan.g_02743	Pras.g_01375
OG0000007	Syan.g_01400	Pras.g_00550
OG0000009	Syan.g_02972	Pras.g_00157, Pras.g_00463, Pras.g_00956
OG0000010	Syan.g_02847	Pras.g_00523, Pras.g_01942, Pras.g_01352
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Pras.g_01499
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Pras.g_01179
OG0000014	Syan.g_01987	Pras.g_01158
OG0000016	Syan.g_01766	Pras.g_00855
OG0000017	Syan.g_01006	Pras.g_01474
OG0000018	Syan.g_02816	Pras.g_00037, Pras.g_01728
OG0000019	Syan.g_02088	Pras.g_01101, Pras.g_01681
OG0000021	Syan.g_01001	Pras.g_00507, Pras.g_01218
OG0000022	Syan.g_00089	Pras.g_01662, Pras.g_00019
OG0000023	Syan.g_00404	Pras.g_01213
OG0000025	Syan.g_00374	Pras.g_01735, Pras.g_01183
OG0000026	Syan.g_01743	Pras.g_00873, Pras.g_01949
OG0000027	Syan.g_02678	Pras.g_01348, Pras.g_00185
OG0000028	Syan.g_01971	Pras.g_01172, Pras.g_00169
OG0000030	Syan.g_01884, Syan.g_01883	Pras.g_00753
OG0000032	Syan.g_01819, Syan.g_01088, Syan.g_01091, Syan.g_01101	Pras.g_00326
OG0000033	Syan.g_03036	Pras.g_01020
OG0000034	Syan.g_01227, Syan.g_03003	Pras.g_00219
OG0000035	Syan.g_01276	Pras.g_00350
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Pras.g_00960
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Pras.g_00795
OG0000039	Syan.g_02771, Syan.g_00535	Pras.g_01562
OG0000041	Syan.g_01465	Pras.g_00597
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Pras.g_00750
OG0000045	Syan.g_00086, Syan.g_00151	Pras.g_01224
OG0000048	Syan.g_02036	Pras.g_01227
OG0000053	Syan.g_02812	Pras.g_00886, Pras.g_00370
OG0000054	Syan.g_02503	Pras.g_01482
OG0000055	Syan.g_00312	Pras.g_01682
OG0000061	Syan.g_02696	Pras.g_00056
OG0000062	Syan.g_00098	Pras.g_00431
OG0000063	Syan.g_01739	Pras.g_00875
OG0000065	Syan.g_02974	Pras.g_00958
OG0000066	Syan.g_01156	Pras.g_01416
OG0000067	Syan.g_00690	Pras.g_01701, Pras.g_00311
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Pras.g_00250
OG0000069	Syan.g_00278	Pras.g_00538, Pras.g_00464
OG0000070	Syan.g_00289	Pras.g_01328
OG0000071	Syan.g_01213	Pras.g_00209
OG0000072	Syan.g_03038, Syan.g_02999	Pras.g_01022
OG0000073	Syan.g_02741	Pras.g_01377
OG0000075	Syan.g_00981, Syan.g_01937	Pras.g_00719
OG0000076	Syan.g_01896	Pras.g_00883, Pras.g_00743
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Pras.g_01104
OG0000082	Syan.g_00952	Pras.g_01462
OG0000085	Syan.g_01387	Pras.g_00543
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Pras.g_00939
OG0000087	Syan.g_02268	Pras.g_00990
OG0000088	Syan.g_03031	Pras.g_01017
OG0000089	Syan.g_02316	Pras.g_01209
