Orthogroup	Syan	Syai
OG0000001	Syan.g_02266	Syai.g_00891, Syai.g_02595
OG0000001	Syan.g_01149	Syai.g_01729
OG0000004	Syan.g_00183	Syai.g_01994
OG0000004	Syan.g_00989	Syai.g_01062
OG0000005	Syan.g_01423	Syai.g_02393
OG0000005	Syan.g_01378	Syai.g_02356
OG0000005	Syan.g_00449	Syai.g_02068, Syai.g_01611
OG0000006	Syan.g_01505, Syan.g_02101, Syan.g_02441	Syai.g_00317, Syai.g_00547
OG0000006	Syan.g_00791	Syai.g_01126
OG0000007	Syan.g_02743	Syai.g_00657
OG0000007	Syan.g_01400	Syai.g_02378
OG0000008	Syan.g_00640, Syan.g_02532	Syai.g_01956
OG0000008	Syan.g_00641, Syan.g_02531	Syai.g_01955
OG0000009	Syan.g_02972	Syai.g_01626, Syai.g_02541
OG0000010	Syan.g_02847	Syai.g_00864
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068
OG0000014	Syan.g_01987	Syai.g_00220
OG0000016	Syan.g_01766	Syai.g_00014
OG0000016	Syan.g_02598	Syai.g_01785
OG0000017	Syan.g_01013	Syai.g_00808
OG0000017	Syan.g_01006	Syai.g_00801
OG0000018	Syan.g_02816	Syai.g_00915
OG0000019	Syan.g_02088	Syai.g_00304
OG0000021	Syan.g_01001	Syai.g_00556
OG0000022	Syan.g_00089	Syai.g_01159
OG0000023	Syan.g_00404	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000025	Syan.g_00374	Syai.g_02044
OG0000026	Syan.g_01743	Syai.g_00038
OG0000027	Syan.g_02678	Syai.g_01128, Syai.g_01654
OG0000028	Syan.g_01971	Syai.g_00205
OG0000030	Syan.g_01884	Syai.g_00096
OG0000030	Syan.g_01883	Syai.g_00095
OG0000031	Syan.g_01967	Syai.g_00197
OG0000032	Syan.g_02835	Syai.g_00895
OG0000033	Syan.g_03036	Syai.g_02634
OG0000034	Syan.g_01227, Syan.g_03003	Syai.g_02192, Syai.g_02604
OG0000035	Syan.g_01276	Syai.g_00955
OG0000037	Syan.g_00136	Syai.g_02544
