Orthogroup	Syan	Praa
OG0000004	Syan.g_00183	Praa.g_00695
OG0000004	Syan.g_00989	Praa.g_00232
OG0000005	Syan.g_01423	Praa.g_01648
OG0000005	Syan.g_01378	Praa.g_01553
OG0000006	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Praa.g_00241, Praa.g_01245
OG0000007	Syan.g_02743	Praa.g_00497
OG0000007	Syan.g_01400	Praa.g_01635
OG0000008	Syan.g_00640, Syan.g_02532	Praa.g_01241
OG0000009	Syan.g_02972	Praa.g_01264, Praa.g_01589, Praa.g_00105
OG0000010	Syan.g_02847	Praa.g_01047, Praa.g_00474
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Praa.g_00623
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Praa.g_00327
OG0000014	Syan.g_01987	Praa.g_00306
OG0000016	Syan.g_01766	Praa.g_00013
OG0000017	Syan.g_01006	Praa.g_00598
OG0000018	Syan.g_02816	Praa.g_01141, Praa.g_00831
OG0000019	Syan.g_02088	Praa.g_00249, Praa.g_00782
OG0000021	Syan.g_01001	Praa.g_01623, Praa.g_00364
OG0000022	Syan.g_00089	Praa.g_00763, Praa.g_01124
OG0000023	Syan.g_00404	Praa.g_00359
OG0000025	Syan.g_00374	Praa.g_00839, Praa.g_00331
OG0000026	Syan.g_01743	Praa.g_00031, Praa.g_01054
OG0000027	Syan.g_02678	Praa.g_00470, Praa.g_01301
OG0000028	Syan.g_01971	Praa.g_00320, Praa.g_01248
OG0000030	Syan.g_01884, Syan.g_01883	Praa.g_01842
OG0000033	Syan.g_03036	Praa.g_01437, Praa.g_00169
OG0000034	Syan.g_01227, Syan.g_03003	Praa.g_01328
OG0000035	Syan.g_01276	Praa.g_01476
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Praa.g_00109
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Praa.g_01883
OG0000039	Syan.g_02771, Syan.g_00535	Praa.g_00686
OG0000041	Syan.g_01465	Praa.g_01683
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Praa.g_01839
OG0000045	Syan.g_00086, Syan.g_00151	Praa.g_00370
OG0000048	Syan.g_02036	Praa.g_00373
OG0000053	Syan.g_02812	Praa.g_01496
OG0000054	Syan.g_02503	Praa.g_00606
OG0000055	Syan.g_00312	Praa.g_00783
OG0000058	Syan.g_01128, Syan.g_01124	Praa.g_01425
OG0000061	Syan.g_02696	Praa.g_01415, Praa.g_01159
OG0000062	Syan.g_00098	Praa.g_01555
OG0000063	Syan.g_01739	Praa.g_00033
OG0000065	Syan.g_02974	Praa.g_00107
OG0000066	Syan.g_01156	Praa.g_00539
OG0000067	Syan.g_00690	Praa.g_00803
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Praa.g_01366
OG0000069	Syan.g_00278	Praa.g_01590
OG0000070	Syan.g_00289	Praa.g_00449
OG0000071	Syan.g_01213	Praa.g_01318
OG0000072	Syan.g_03038, Syan.g_02999	Praa.g_00171
OG0000073	Syan.g_02741	Praa.g_00499
OG0000075	Syan.g_00981, Syan.g_01937	Praa.g_01808
OG0000076	Syan.g_01896	Praa.g_01832
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Praa.g_00252
OG0000082	Syan.g_00952	Praa.g_00585
OG0000085	Syan.g_01387	Praa.g_01628
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Praa.g_00088
OG0000087	Syan.g_02268	Praa.g_00139
OG0000088	Syan.g_03031	Praa.g_00166
OG0000089	Syan.g_02316	Praa.g_00355
OG0000090	Syan.g_01166	Praa.g_00533
OG0000091	Syan.g_00235, Syan.g_00808	Praa.g_00642
OG0000092	Syan.g_02502	Praa.g_00912
OG0000094	Syan.g_00353, Syan.g_00065	Praa.g_01020
OG0000097	Syan.g_00160, Syan.g_00733	Praa.g_01200
OG0000098	Syan.g_00043	Praa.g_01348
OG0000099	Syan.g_01968	Praa.g_01394
OG0000100	Syan.g_00658	Praa.g_01551
OG0000101	Syan.g_02199	Praa.g_01775
OG0000102	Syan.g_01891	Praa.g_01837
OG0000103	Syan.g_01692	Praa.g_01916
OG0000104	Syan.g_01792	Praa.g_01924
OG0000105	Syan.g_02031	Praa.g_00274
OG0000106	Syan.g_00076	Praa.g_00369
OG0000107	Syan.g_02106	Praa.g_00383
OG0000108	Syan.g_02764	Praa.g_00480
OG0000109	Syan.g_02748	Praa.g_00494
OG0000110	Syan.g_00882	Praa.g_00575
OG0000111	Syan.g_00187	Praa.g_00699
OG0000112	Syan.g_00556, Syan.g_00252	Praa.g_00766
OG0000113	Syan.g_00664	Praa.g_00826
OG0000114	Syan.g_00741	Praa.g_00907
OG0000115	Syan.g_02810	Praa.g_01101
OG0000116	Syan.g_02710, Syan.g_00460	Praa.g_01150
OG0000117	Syan.g_02644	Praa.g_01255
OG0000118	Syan.g_01241, Syan.g_01237	Praa.g_01330
OG0000119	Syan.g_02672	Praa.g_01362
OG0000120	Syan.g_01966	Praa.g_01387
OG0000121	Syan.g_01273	Praa.g_01478
OG0000123	Syan.g_02190	Praa.g_01782
OG0000124	Syan.g_01873	Praa.g_01848
OG0000125	Syan.g_01573	Praa.g_01885
OG0000126	Syan.g_01705	Praa.g_01923
OG0000128	Syan.g_01768	Praa.g_00011
OG0000129	Syan.g_01563	Praa.g_00044
OG0000130	Syan.g_02906, Syan.g_02907	Praa.g_00069
OG0000131	Syan.g_03008	Praa.g_00145
OG0000132	Syan.g_03029	Praa.g_00164
OG0000133	Syan.g_00561	Praa.g_00322
OG0000134	Syan.g_02319	Praa.g_00356
OG0000135	Syan.g_01616	Praa.g_00381
OG0000136	Syan.g_01342	Praa.g_00440
OG0000137	Syan.g_02846	Praa.g_01414, Praa.g_00475
OG0000138	Syan.g_02747	Praa.g_00495
OG0000140	Syan.g_00042	Praa.g_00538
OG0000141	Syan.g_01032	Praa.g_00607
OG0000142	Syan.g_00816	Praa.g_00635
OG0000143	Syan.g_00812	Praa.g_00639
OG0000144	Syan.g_00782	Praa.g_00652
OG0000145	Syan.g_02740	Praa.g_00764
OG0000146	Syan.g_00555, Syan.g_00253	Praa.g_00767
OG0000147	Syan.g_00254, Syan.g_00554	Praa.g_00768
OG0000148	Syan.g_00670	Praa.g_00820
OG0000149	Syan.g_00393	Praa.g_00851
OG0000150	Syan.g_01031	Praa.g_00859
OG0000151	Syan.g_00731	Praa.g_00917
OG0000152	Syan.g_00565	Praa.g_00964
OG0000153	Syan.g_00601	Praa.g_00983
OG0000154	Syan.g_00363	Praa.g_01013
OG0000155	Syan.g_02654	Praa.g_01179
OG0000156	Syan.g_02717	Praa.g_01307
OG0000157	Syan.g_02718	Praa.g_01308
OG0000158	Syan.g_01078, Syan.g_01926	Praa.g_01395
OG0000159	Syan.g_01120	Praa.g_01396
OG0000160	Syan.g_01274	Praa.g_01477
OG0000161	Syan.g_01268	Praa.g_01483
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Praa.g_01489
OG0000163	Syan.g_02405	Praa.g_01523
OG0000164	Syan.g_01440	Praa.g_01659
OG0000165	Syan.g_01448	Praa.g_01667
OG0000166	Syan.g_02239	Praa.g_01739
OG0000167	Syan.g_01941	Praa.g_01806
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Praa.g_01816
OG0000169	Syan.g_01912	Praa.g_01826
OG0000170	Syan.g_01901	Praa.g_01828
OG0000171	Syan.g_01875	Praa.g_01847
OG0000172	Syan.g_01810	Praa.g_01856
OG0000173	Syan.g_01720	Praa.g_01871
OG0000174	Syan.g_01619	Praa.g_01898
OG0000175	Syan.g_01678, Syan.g_00258	Praa.g_01908
OG0000176	Syan.g_01801	Praa.g_00004
OG0000177	Syan.g_01775	Praa.g_00005
OG0000178	Syan.g_01774	Praa.g_00006
OG0000179	Syan.g_01759	Praa.g_00016
OG0000180	Syan.g_01758	Praa.g_00017
OG0000181	Syan.g_01757	Praa.g_00018
OG0000182	Syan.g_01756	Praa.g_00019
OG0000183	Syan.g_01752	Praa.g_00023
OG0000184	Syan.g_01549	Praa.g_00046
OG0000185	Syan.g_01540	Praa.g_00049
OG0000186	Syan.g_02902	Praa.g_00064
OG0000187	Syan.g_02904	Praa.g_00065
OG0000188	Syan.g_02926	Praa.g_00082
OG0000189	Syan.g_02966	Praa.g_00096
OG0000190	Syan.g_00971	Praa.g_00097
