Orthogroup	Praa	Syag
OG0000001	Praa.g_01351	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520
OG0000004	Praa.g_00695	Syag.g_00988
OG0000004	Praa.g_00232	Syag.g_00370, Syag.g_01790
OG0000005	Praa.g_01648	Syag.g_01708
OG0000005	Praa.g_01553	Syag.g_01667
OG0000006	Praa.g_00241, Praa.g_01245	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Praa.g_00497	Syag.g_01507
OG0000007	Praa.g_01635	Syag.g_01687
OG0000008	Praa.g_01241	Syag.g_00496
OG0000009	Praa.g_01264, Praa.g_01589	Syag.g_00220, Syag.g_00231
OG0000009	Praa.g_00105	Syag.g_01883
OG0000010	Praa.g_01047	Syag.g_01355
OG0000011	Praa.g_01626	Syag.g_01299
OG0000012	Praa.g_00623	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000013	Praa.g_00327	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Praa.g_00306	Syag.g_02559
OG0000014	Praa.g_01409	Syag.g_02487
OG0000015	Praa.g_00765	Syag.g_02252, Syag.g_00596
OG0000016	Praa.g_00013	Syag.g_02286
OG0000017	Praa.g_00598	Syag.g_00336, Syag.g_00344
OG0000018	Praa.g_01141	Syag.g_01387
OG0000019	Praa.g_00249, Praa.g_00782	Syag.g_02663
OG0000020	Praa.g_01107	Syag.g_00085
OG0000021	Praa.g_01623, Praa.g_00364	Syag.g_00229
OG0000022	Praa.g_01124	Syag.g_00458
OG0000023	Praa.g_00359	Syag.g_00261, Syag.g_00234
OG0000024	Praa.g_00747, Praa.g_00675	Syag.g_00455
OG0000025	Praa.g_00331, Praa.g_00839	Syag.g_00718
OG0000026	Praa.g_00031, Praa.g_01054	Syag.g_02309
OG0000027	Praa.g_00470, Praa.g_01301	Syag.g_00950, Syag.g_00165
OG0000028	Praa.g_01248, Praa.g_00320	Syag.g_02540
OG0000029	Praa.g_00754, Praa.g_00374	Syag.g_00195
OG0000030	Praa.g_01842	Syag.g_02375, Syag.g_02374
OG0000033	Praa.g_01437	Syag.g_01978
OG0000034	Praa.g_01328	Syag.g_01225, Syag.g_01947
OG0000035	Praa.g_01476	Syag.g_01420, Syag.g_01421
OG0000037	Praa.g_00109	Syag.g_00173
OG0000038	Praa.g_01883	Syag.g_02130, Syag.g_02132
OG0000039	Praa.g_00686	Syag.g_01325, Syag.g_02155
OG0000040	Praa.g_01140	Syag.g_02215
OG0000041	Praa.g_01683	Syag.g_01750, Syag.g_00962
OG0000042	Praa.g_01839	Syag.g_01094, Syag.g_02378
OG0000043	Praa.g_01259	Syag.g_00564
OG0000045	Praa.g_00370	Syag.g_00223
OG0000047	Praa.g_00330	Syag.g_00768
OG0000048	Praa.g_00373	Syag.g_02611
OG0000051	Praa.g_01291	Syag.g_01026
OG0000052	Praa.g_01447, Praa.g_01407	Syag.g_02491
OG0000053	Praa.g_01496	Syag.g_01391
OG0000054	Praa.g_00606	Syag.g_00350
OG0000055	Praa.g_00783	Syag.g_01799, Syag.g_00946
OG0000057	Praa.g_00698	Syag.g_00985
OG0000058	Praa.g_01425	Syag.g_02477
OG0000059	Praa.g_01723	Syag.g_02721
OG0000061	Praa.g_01159	Syag.g_01141
OG0000062	Praa.g_01555	Syag.g_01669
OG0000063	Praa.g_00033	Syag.g_02313
OG0000065	Praa.g_00107	Syag.g_01885, Syag.g_00182
OG0000066	Praa.g_00539	Syag.g_01443
OG0000067	Praa.g_00803	Syag.g_00667
OG0000068	Praa.g_01366	Syag.g_01537
OG0000070	Praa.g_00449	Syag.g_00049
OG0000071	Praa.g_01318	Syag.g_01192
OG0000072	Praa.g_00171	Syag.g_01980, Syag.g_02859
OG0000073	Praa.g_00499	Syag.g_01505
OG0000075	Praa.g_01808	Syag.g_02434
OG0000076	Praa.g_01832	Syag.g_02393
OG0000077	Praa.g_00078	Syag.g_01831
OG0000078	Praa.g_00239	Syag.g_01778
OG0000079	Praa.g_00252	Syag.g_02659, Syag.g_02652
OG0000081	Praa.g_00531	Syag.g_00167
OG0000082	Praa.g_00585	Syag.g_00318
OG0000084	Praa.g_01472	Syag.g_00212, Syag.g_01425
OG0000085	Praa.g_01628	Syag.g_01676
OG0000086	Praa.g_00088	Syag.g_01853
OG0000087	Praa.g_00139	Syag.g_01939
OG0000088	Praa.g_00166	Syag.g_01974
OG0000089	Praa.g_00355	Syag.g_00005
OG0000090	Praa.g_00533	Syag.g_01454
OG0000091	Praa.g_00642	Syag.g_00418
OG0000093	Praa.g_00932	Syag.g_00649
OG0000094	Praa.g_01020	Syag.g_00881
OG0000095	Praa.g_01039	Syag.g_00974
OG0000097	Praa.g_01200	Syag.g_01065
OG0000098	Praa.g_01348	Syag.g_00578, Syag.g_01445
OG0000099	Praa.g_01394	Syag.g_02536
OG0000100	Praa.g_01551	Syag.g_00704
OG0000101	Praa.g_01775	Syag.g_02773
OG0000102	Praa.g_01837	Syag.g_02387
OG0000103	Praa.g_01916	Syag.g_02253
OG0000104	Praa.g_01924	Syag.g_02268
OG0000105	Praa.g_00274	Syag.g_02606
OG0000106	Praa.g_00369	Syag.g_00462
OG0000107	Praa.g_00383	Syag.g_02689
OG0000108	Praa.g_00480	Syag.g_01528
OG0000109	Praa.g_00494	Syag.g_01512
OG0000110	Praa.g_00575	Syag.g_00303
OG0000111	Praa.g_00699	Syag.g_00984
OG0000112	Praa.g_00766	Syag.g_00801
OG0000113	Praa.g_00826	Syag.g_00699
OG0000114	Praa.g_00907	Syag.g_00609
OG0000115	Praa.g_01101	Syag.g_01397
OG0000116	Praa.g_01150	Syag.g_01156
OG0000117	Praa.g_01255	Syag.g_01097
OG0000118	Praa.g_01330	Syag.g_01232
OG0000120	Praa.g_01387	Syag.g_02535
OG0000121	Praa.g_01478	Syag.g_01414
OG0000122	Praa.g_01516	Syag.g_00446
OG0000123	Praa.g_01782	Syag.g_02781
OG0000124	Praa.g_01848	Syag.g_02367, Syag.g_02485
OG0000125	Praa.g_01885	Syag.g_02136, Syag.g_02134
OG0000126	Praa.g_01923	Syag.g_02266
OG0000128	Praa.g_00011	Syag.g_02284
OG0000129	Praa.g_00044	Syag.g_02121
OG0000130	Praa.g_00069	Syag.g_01819
OG0000131	Praa.g_00145	Syag.g_01951
OG0000132	Praa.g_00164	Syag.g_01972
OG0000133	Praa.g_00322	Syag.g_00806
OG0000134	Praa.g_00356	Syag.g_00008
OG0000135	Praa.g_00381	Syag.g_02171
OG0000136	Praa.g_00440	Syag.g_00038
OG0000137	Praa.g_00475	Syag.g_01356
OG0000138	Praa.g_00495	Syag.g_01511
OG0000139	Praa.g_00537	Syag.g_01448
OG0000140	Praa.g_00538	Syag.g_01446
OG0000141	Praa.g_00607	Syag.g_00351
OG0000142	Praa.g_00635	Syag.g_00410
OG0000143	Praa.g_00639	Syag.g_00414
OG0000144	Praa.g_00652	Syag.g_00493
OG0000145	Praa.g_00764	Syag.g_01504
OG0000146	Praa.g_00767	Syag.g_00800
OG0000147	Praa.g_00768	Syag.g_00799
OG0000148	Praa.g_00820	Syag.g_00693
OG0000149	Praa.g_00851	Syag.g_00731
OG0000150	Praa.g_00859	Syag.g_00352
OG0000151	Praa.g_00917	Syag.g_00623
OG0000152	Praa.g_00964	Syag.g_00810
OG0000153	Praa.g_00983	Syag.g_00845
OG0000154	Praa.g_01013	Syag.g_00870
OG0000155	Praa.g_01179	Syag.g_01107
OG0000156	Praa.g_01307	Syag.g_01166
OG0000157	Praa.g_01308	Syag.g_01167
OG0000158	Praa.g_01395	Syag.g_02422
OG0000160	Praa.g_01477	Syag.g_01415
OG0000161	Praa.g_01483	Syag.g_01409
OG0000162	Praa.g_01489	Syag.g_01402
OG0000163	Praa.g_01523	Syag.g_00706, Syag.g_01618
OG0000164	Praa.g_01659	Syag.g_01725
OG0000165	Praa.g_01667	Syag.g_01733
OG0000166	Praa.g_01739	Syag.g_02733
OG0000167	Praa.g_01806	Syag.g_02437
OG0000168	Praa.g_01816	Syag.g_02417
OG0000169	Praa.g_01826	Syag.g_02405
OG0000170	Praa.g_01828	Syag.g_02398
OG0000171	Praa.g_01847	Syag.g_02368
OG0000172	Praa.g_01856	Syag.g_02360
OG0000173	Praa.g_01871	Syag.g_02337
OG0000174	Praa.g_01898	Syag.g_02175
OG0000175	Praa.g_01908	Syag.g_02240
OG0000176	Praa.g_00004	Syag.g_02276
OG0000177	Praa.g_00005	Syag.g_02277
OG0000178	Praa.g_00006	Syag.g_02278
OG0000179	Praa.g_00016	Syag.g_02293
OG0000180	Praa.g_00017	Syag.g_02294
OG0000181	Praa.g_00018	Syag.g_02295
OG0000182	Praa.g_00019	Syag.g_02296
OG0000183	Praa.g_00023	Syag.g_02300
OG0000184	Praa.g_00046	Syag.g_02110
OG0000185	Praa.g_00049	Syag.g_02092
OG0000186	Praa.g_00064	Syag.g_01815
OG0000187	Praa.g_00065	Syag.g_01816
OG0000188	Praa.g_00082	Syag.g_01839
OG0000189	Praa.g_00096	Syag.g_01872
OG0000190	Praa.g_00097	Syag.g_01874
OG0000191	Praa.g_00117	Syag.g_01909
OG0000192	Praa.g_00121	Syag.g_01915
OG0000193	Praa.g_00146	Syag.g_01952
OG0000194	Praa.g_00149	Syag.g_01955
OG0000195	Praa.g_00151	Syag.g_01957
OG0000196	Praa.g_00161	Syag.g_01968
OG0000197	Praa.g_00162	Syag.g_01969
OG0000198	Praa.g_00163	Syag.g_00108, Syag.g_01971
OG0000199	Praa.g_00170	Syag.g_01979
OG0000200	Praa.g_00184	Syag.g_01996
OG0000201	Praa.g_00192	Syag.g_02019, Syag.g_02023
OG0000202	Praa.g_00193	Syag.g_02024
OG0000203	Praa.g_00194	Syag.g_02025
