Orthogroup	Praz	Syaq
OG0000004	Praz.g_01635	Syaq.g_02603
OG0000004	Praz.g_00592	Syaq.g_02042, Syaq.g_01567
OG0000005	Praz.g_00864	Syaq.g_01658
OG0000005	Praz.g_00965	Syaq.g_01692
OG0000006	Praz.g_00601	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Praz.g_01831	Syaq.g_01793
OG0000007	Praz.g_00877	Syaq.g_01673
OG0000008	Praz.g_01241	Syaq.g_02162
OG0000009	Praz.g_00465	Syaq.g_01489
OG0000010	Praz.g_00074, Praz.g_01854	Syaq.g_00443
OG0000011	Praz.g_00768, Praz.g_01207, Praz.g_01240	Syaq.g_01038
OG0000012	Praz.g_01707	Syaq.g_02059
OG0000013	Praz.g_00684	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Praz.g_00663	Syaq.g_00862
OG0000015	Praz.g_01551	Syaq.g_02255
OG0000016	Praz.g_00378	Syaq.g_01136
OG0000017	Praz.g_01732	Syaq.g_01992
OG0000018	Praz.g_00011, Praz.g_01485	Syaq.g_00401
OG0000019	Praz.g_00609, Praz.g_01532	Syaq.g_00717
OG0000022	Praz.g_01556, Praz.g_00029	Syaq.g_02126
OG0000023	Praz.g_00814	Syaq.g_02540
OG0000025	Praz.g_01477, Praz.g_00688	Syaq.g_02381
OG0000026	Praz.g_00396, Praz.g_00081	Syaq.g_01114
OG0000028	Praz.g_00677, Praz.g_01246	Syaq.g_00878
OG0000030	Praz.g_00195	Syaq.g_01047, Syaq.g_01048
OG0000031	Praz.g_01116	Syaq.g_01009
OG0000032	Praz.g_01092	Syaq.g_00909
OG0000033	Praz.g_00529	Syaq.g_01399
OG0000034	Praz.g_01170	Syaq.g_00312, Syaq.g_01431
OG0000035	Praz.g_01041	Syaq.g_00372
OG0000037	Praz.g_00469	Syaq.g_01483
OG0000038	Praz.g_00154	Syaq.g_01260, Syaq.g_01258
OG0000039	Praz.g_01644	Syaq.g_01601, Syaq.g_01241
OG0000042	Praz.g_00198	Syaq.g_00200, Syaq.g_01044
OG0000043	Praz.g_01234	Syaq.g_01920
OG0000045	Praz.g_00803	Syaq.g_02047
OG0000048	Praz.g_00800	Syaq.g_00749
OG0000052	Praz.g_01103	Syaq.g_00969
OG0000053	Praz.g_01021	Syaq.g_00397
OG0000054	Praz.g_01724	Syaq.g_02005
OG0000055	Praz.g_01531	Syaq.g_02700
OG0000057	Praz.g_01632	Syaq.g_02605
OG0000058	Praz.g_01096	Syaq.g_00944
OG0000059	Praz.g_00311, Praz.g_01071	Syaq.g_00657
OG0000061	Praz.g_00755	Syaq.g_00249
OG0000063	Praz.g_00398	Syaq.g_01110
OG0000065	Praz.g_00467	Syaq.g_01908, Syaq.g_01487
