Orthogroup	Praz	Prbj
OG0000000	Praz.g_00921	Prbj.g_00164
OG0000000	Praz.g_01200, Praz.g_00920	Prbj.g_00166, Prbj.g_00165
OG0000001	Praz.g_01154, Praz.g_01939, Praz.g_01940	Prbj.g_00672, Prbj.g_00169
OG0000002	Praz.g_01146	Prbj.g_02517
OG0000002	Praz.g_01652	Prbj.g_00030
OG0000004	Praz.g_01635	Prbj.g_00754
OG0000004	Praz.g_00592	Prbj.g_01777
OG0000005	Praz.g_00965	Prbj.g_00883
OG0000006	Praz.g_00601	Prbj.g_02699
OG0000007	Praz.g_01831	Prbj.g_01610
OG0000007	Praz.g_00877	Prbj.g_00857
OG0000008	Praz.g_01241	Prbj.g_00929
OG0000009	Praz.g_00465	Prbj.g_01300, Prbj.g_00618
OG0000010	Praz.g_01854	Prbj.g_00129
OG0000011	Praz.g_00768, Praz.g_01207	Prbj.g_00897
OG0000012	Praz.g_01707	Prbj.g_02552
OG0000013	Praz.g_00684	Prbj.g_00359
OG0000014	Praz.g_00663	Prbj.g_01442
OG0000015	Praz.g_01551	Prbj.g_02502
OG0000017	Praz.g_01732	Prbj.g_01769
OG0000018	Praz.g_00011, Praz.g_01485	Prbj.g_00641
OG0000019	Praz.g_00609, Praz.g_01532	Prbj.g_00025
OG0000020	Praz.g_00048	Prbj.g_00046
OG0000021	Praz.g_00896, Praz.g_00810	Prbj.g_01121
OG0000022	Praz.g_01556	Prbj.g_01572
OG0000022	Praz.g_00029	Prbj.g_00050
OG0000023	Praz.g_00814	Prbj.g_02392
OG0000024	Praz.g_01571, Praz.g_01655	Prbj.g_00773
OG0000025	Praz.g_01477, Praz.g_00688	Prbj.g_02475
OG0000026	Praz.g_00396, Praz.g_00081	Prbj.g_01204
OG0000028	Praz.g_00677	Prbj.g_01457
OG0000029	Praz.g_01564	Prbj.g_00378
OG0000030	Praz.g_00195	Prbj.g_01288, Prbj.g_01287
OG0000031	Praz.g_01116	Prbj.g_01527, Prbj.g_01522
OG0000033	Praz.g_00529	Prbj.g_00518
OG0000034	Praz.g_01170	Prbj.g_01740
OG0000035	Praz.g_01041	Prbj.g_01056
OG0000037	Praz.g_00469	Prbj.g_00624
OG0000038	Praz.g_00154	Prbj.g_01959, Prbj.g_01961
OG0000039	Praz.g_01644	Prbj.g_00429, Prbj.g_00278
OG0000042	Praz.g_00198	Prbj.g_01808, Prbj.g_00001
OG0000045	Praz.g_00803	Prbj.g_00563
OG0000047	Praz.g_01921	Prbj.g_02509
OG0000047	Praz.g_00687	Prbj.g_00666
OG0000048	Praz.g_00800	Prbj.g_01393
OG0000051	Praz.g_01204	Prbj.g_00705
OG0000052	Praz.g_01103	Prbj.g_01487
OG0000053	Praz.g_01021	Prbj.g_00638
OG0000054	Praz.g_01724	Prbj.g_01758
OG0000056	Praz.g_01253	Prbj.g_02533
OG0000057	Praz.g_01632	Prbj.g_00758
OG0000059	Praz.g_00311, Praz.g_01071	Prbj.g_01521
OG0000062	Praz.g_00963	Prbj.g_00881
OG0000063	Praz.g_00398	Prbj.g_01208
OG0000065	Praz.g_00467	Prbj.g_00620
OG0000066	Praz.g_01789	Prbj.g_02141
OG0000067	Praz.g_01512	Prbj.g_02412
OG0000068	Praz.g_01139	Prbj.g_01639
OG0000070	Praz.g_01878	Prbj.g_00118
OG0000071	Praz.g_01180	Prbj.g_01728
OG0000072	Praz.g_00531	Prbj.g_00516
OG0000073	Praz.g_01829	Prbj.g_01608
OG0000075	Praz.g_00230	Prbj.g_01502
OG0000076	Praz.g_00205	Prbj.g_01598
OG0000077	Praz.g_00438	Prbj.g_00576
OG0000078	Praz.g_00599	Prbj.g_02614
OG0000079	Praz.g_00612	Prbj.g_01353
OG0000081	Praz.g_01797	Prbj.g_00765
OG0000082	Praz.g_01744	Prbj.g_01789
OG0000084	Praz.g_01045	Prbj.g_01052
OG0000085	Praz.g_00884	Prbj.g_00869
OG0000086	Praz.g_00448	Prbj.g_00589
OG0000087	Praz.g_00499	Prbj.g_01547
OG0000088	Praz.g_00526	Prbj.g_00521
OG0000089	Praz.g_00818	Prbj.g_00064
OG0000090	Praz.g_01795	Prbj.g_02127
OG0000091	Praz.g_01688	Prbj.g_02581
OG0000093	Praz.g_01382	Prbj.g_02388
OG0000094	Praz.g_01296	Prbj.g_01985
OG0000097	Praz.g_00713	Prbj.g_02152
OG0000098	Praz.g_01157	Prbj.g_00669
OG0000099	Praz.g_01098	Prbj.g_01464
OG0000100	Praz.g_00967	Prbj.g_00185, Prbj.g_02442
OG0000101	Praz.g_00263	Prbj.g_00415, Prbj.g_00981
OG0000102	Praz.g_00200	Prbj.g_01819
OG0000103	Praz.g_00120	Prbj.g_02055
OG0000104	Praz.g_00361	Prbj.g_02069
OG0000105	Praz.g_00632	Prbj.g_01397
OG0000106	Praz.g_00804	Prbj.g_00875
OG0000108	Praz.g_01848	Prbj.g_01630
OG0000109	Praz.g_01834	Prbj.g_01614
OG0000110	Praz.g_01754	Prbj.g_01801
OG0000111	Praz.g_01631	Prbj.g_00759
OG0000112	Praz.g_01547	Prbj.g_02276
OG0000113	Praz.g_01490	Prbj.g_02437
OG0000114	Praz.g_01408	Prbj.g_02340
OG0000115	Praz.g_00054	Prbj.g_00634
OG0000116	Praz.g_00002	Prbj.g_00956
OG0000117	Praz.g_01237	Prbj.g_01915
OG0000118	Praz.g_01168	Prbj.g_01742
OG0000119	Praz.g_01143	Prbj.g_00740, Prbj.g_00778
OG0000120	Praz.g_01118	Prbj.g_01465
OG0000121	Praz.g_01039	Prbj.g_01064, Prbj.g_01058
OG0000122	Praz.g_01001	Prbj.g_02627
OG0000123	Praz.g_00256	Prbj.g_00406
OG0000124	Praz.g_00189	Prbj.g_01281
OG0000125	Praz.g_00152	Prbj.g_01963
OG0000126	Praz.g_00360	Prbj.g_02067
OG0000128	Praz.g_00376	Prbj.g_02085
OG0000129	Praz.g_00410	Prbj.g_01951
OG0000130	Praz.g_00429	Prbj.g_00564
OG0000131	Praz.g_00505	Prbj.g_00543
OG0000132	Praz.g_00524	Prbj.g_00523
OG0000133	Praz.g_00679	Prbj.g_01460
OG0000134	Praz.g_00817	Prbj.g_00067
OG0000135	Praz.g_00791	Prbj.g_02004
OG0000136	Praz.g_01887	Prbj.g_00105
OG0000137	Praz.g_01853	Prbj.g_00128
OG0000138	Praz.g_01833	Prbj.g_01613
OG0000139	Praz.g_01791	Prbj.g_02133
OG0000140	Praz.g_01790	Prbj.g_02139
OG0000141	Praz.g_01723	Prbj.g_01757
OG0000142	Praz.g_01695	Prbj.g_02573
OG0000143	Praz.g_01691	Prbj.g_02577
OG0000144	Praz.g_01678	Prbj.g_00793
OG0000145	Praz.g_01554	Prbj.g_01607
OG0000146	Praz.g_01546	Prbj.g_02277
OG0000147	Praz.g_01545	Prbj.g_02278
OG0000148	Praz.g_01496	Prbj.g_02431
OG0000149	Praz.g_01465	Prbj.g_02488
OG0000150	Praz.g_01457	Prbj.g_02511
OG0000151	Praz.g_01398	Prbj.g_02361
OG0000152	Praz.g_01350	Prbj.g_02268
OG0000153	Praz.g_01331	Prbj.g_02241
OG0000154	Praz.g_01303	Prbj.g_02213
OG0000155	Praz.g_00734	Prbj.g_00312
OG0000156	Praz.g_01191	Prbj.g_00163
OG0000157	Praz.g_01190	Prbj.g_00162
OG0000158	Praz.g_01097	Prbj.g_01514
OG0000160	Praz.g_01040	Prbj.g_01057
OG0000161	Praz.g_01034	Prbj.g_01071
OG0000162	Praz.g_01028	Prbj.g_01077
OG0000163	Praz.g_00994	Prbj.g_01688
OG0000164	Praz.g_00853	Prbj.g_00476
OG0000165	Praz.g_00846	Prbj.g_00467
OG0000166	Praz.g_00299	Prbj.g_01019
OG0000167	Praz.g_00232	Prbj.g_01500
OG0000168	Praz.g_00222	Prbj.g_01515
OG0000169	Praz.g_00212	Prbj.g_01581
OG0000170	Praz.g_00210	Prbj.g_01593
OG0000171	Praz.g_00190	Prbj.g_01282
OG0000172	Praz.g_00181	Prbj.g_01248
OG0000173	Praz.g_00166	Prbj.g_01227
OG0000174	Praz.g_00138	Prbj.g_02006
OG0000175	Praz.g_00128	Prbj.g_02044
OG0000176	Praz.g_00369	Prbj.g_02077
OG0000177	Praz.g_00370	Prbj.g_02078
OG0000178	Praz.g_00371	Prbj.g_02079
OG0000179	Praz.g_00381	Prbj.g_01188
OG0000180	Praz.g_00382	Prbj.g_01189
OG0000181	Praz.g_00383	Prbj.g_01190
OG0000182	Praz.g_00384	Prbj.g_01191
OG0000183	Praz.g_00388	Prbj.g_01195
OG0000184	Praz.g_00412	Prbj.g_01943
OG0000185	Praz.g_00415	Prbj.g_01921
OG0000186	Praz.g_00424	Prbj.g_00558
OG0000187	Praz.g_00425	Prbj.g_00560
OG0000188	Praz.g_00442	Prbj.g_00581
OG0000189	Praz.g_00456	Prbj.g_00607
OG0000190	Praz.g_00457	Prbj.g_00609
OG0000191	Praz.g_00477	Prbj.g_01557
OG0000192	Praz.g_00481	Prbj.g_01566
OG0000193	Praz.g_00506	Prbj.g_00542
OG0000194	Praz.g_00509	Prbj.g_00539
OG0000195	Praz.g_00511	Prbj.g_00537
OG0000196	Praz.g_00521	Prbj.g_00526
OG0000197	Praz.g_00522	Prbj.g_00525
OG0000198	Praz.g_00523	Prbj.g_00524
OG0000199	Praz.g_00530	Prbj.g_00517
OG0000201	Praz.g_00552	Prbj.g_01157
OG0000202	Praz.g_00553	Prbj.g_01158
OG0000203	Praz.g_00554	Prbj.g_01159
OG0000204	Praz.g_00555	Prbj.g_01160
OG0000205	Praz.g_00562	Prbj.g_01167
OG0000206	Praz.g_00567	Prbj.g_00288
OG0000207	Praz.g_00569	Prbj.g_00234
OG0000208	Praz.g_00570	Prbj.g_00235
OG0000209	Praz.g_00579	Prbj.g_00262
OG0000210	Praz.g_00580	Prbj.g_00263
OG0000211	Praz.g_00593	Prbj.g_00177
OG0000212	Praz.g_00600	Prbj.g_02615
OG0000213	Praz.g_00617	Prbj.g_01362
OG0000214	Praz.g_00626	Prbj.g_01389
OG0000215	Praz.g_00650	Prbj.g_01419
OG0000216	Praz.g_00651	Prbj.g_01422
OG0000217	Praz.g_00654	Prbj.g_01426
OG0000218	Praz.g_00656	Prbj.g_01430
OG0000219	Praz.g_00657	Prbj.g_01431
OG0000220	Praz.g_00658	Prbj.g_01432
OG0000221	Praz.g_00659	Prbj.g_01437
OG0000222	Praz.g_00667	Prbj.g_01446
OG0000223	Praz.g_00680	Prbj.g_01469
OG0000224	Praz.g_00682	Prbj.g_01480
OG0000225	Praz.g_00348	Prbj.g_00323
OG0000226	Praz.g_00352	Prbj.g_00319
OG0000227	Praz.g_00354	Prbj.g_00317
OG0000228	Praz.g_00819	Prbj.g_00063
OG0000229	Praz.g_01892	Prbj.g_00100
OG0000230	Praz.g_01890	Prbj.g_00102
OG0000231	Praz.g_01879	Prbj.g_00117
OG0000232	Praz.g_01870	Prbj.g_01888
OG0000233	Praz.g_01865	Prbj.g_00148
OG0000234	Praz.g_01852	Prbj.g_00127
OG0000235	Praz.g_01849	Prbj.g_01631
OG0000236	Praz.g_01835	Prbj.g_01615
OG0000237	Praz.g_01822	Prbj.g_02094
OG0000238	Praz.g_01816	Prbj.g_02098
OG0000239	Praz.g_01803	Prbj.g_02114
OG0000240	Praz.g_01802	Prbj.g_02115
OG0000241	Praz.g_01798	Prbj.g_01116
OG0000242	Praz.g_01796	Prbj.g_02125
OG0000243	Praz.g_01785	Prbj.g_02668
OG0000244	Praz.g_01782	Prbj.g_01859
OG0000245	Praz.g_01780	Prbj.g_01862
OG0000246	Praz.g_01776	Prbj.g_01866
