Orthogroup	Praz	Syai
OG0000001	Praz.g_01154, Praz.g_01939, Praz.g_01940	Syai.g_01716
OG0000002	Praz.g_01146, Praz.g_01652	Syai.g_01728
OG0000004	Praz.g_01635	Syai.g_01994
OG0000004	Praz.g_00592	Syai.g_01062, Syai.g_00530
OG0000005	Praz.g_00864	Syai.g_02393
OG0000005	Praz.g_00965	Syai.g_02356
OG0000006	Praz.g_00601	Syai.g_00317, Syai.g_00547
OG0000007	Praz.g_01831	Syai.g_00657
OG0000007	Praz.g_00877	Syai.g_02378
OG0000008	Praz.g_01241	Syai.g_01956
OG0000009	Praz.g_01230, Praz.g_00929	Syai.g_01626
OG0000009	Praz.g_00465	Syai.g_02541
OG0000010	Praz.g_00074, Praz.g_01854	Syai.g_00864
OG0000011	Praz.g_00768, Praz.g_01207	Syai.g_01894, Syai.g_00582
OG0000012	Praz.g_01707	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068
OG0000013	Praz.g_00684	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Praz.g_00663	Syai.g_00220
OG0000015	Praz.g_01551	Syai.g_01246, Syai.g_01245
OG0000016	Praz.g_00378	Syai.g_00014
OG0000017	Praz.g_01732	Syai.g_00801
OG0000018	Praz.g_00011, Praz.g_01485	Syai.g_00915
OG0000019	Praz.g_00609, Praz.g_01532	Syai.g_00304
OG0000020	Praz.g_00048	Syai.g_00476
OG0000022	Praz.g_01556, Praz.g_00029	Syai.g_01159
OG0000023	Praz.g_00814	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Praz.g_01571, Praz.g_01655	Syai.g_01951
OG0000025	Praz.g_01477, Praz.g_00688	Syai.g_02044
OG0000026	Praz.g_00396, Praz.g_00081	Syai.g_00038
OG0000027	Praz.g_01858, Praz.g_01197	Syai.g_01128, Syai.g_01654
OG0000028	Praz.g_00677, Praz.g_01246	Syai.g_00205
OG0000029	Praz.g_00799, Praz.g_01564	Syai.g_01035, Syai.g_01584
OG0000030	Praz.g_00195	Syai.g_00096, Syai.g_00095
OG0000033	Praz.g_00529	Syai.g_02634
OG0000034	Praz.g_01170	Syai.g_02192, Syai.g_02604
OG0000035	Praz.g_01041	Syai.g_00955
OG0000037	Praz.g_00469	Syai.g_02544, Syai.g_02815
OG0000038	Praz.g_00154	Syai.g_02780
OG0000039	Praz.g_01644	Syai.g_02034
OG0000042	Praz.g_00198	Syai.g_00099
OG0000043	Praz.g_01234	Syai.g_01599
OG0000044	Praz.g_00693	Syai.g_00833
OG0000045	Praz.g_00803	Syai.g_02432
OG0000047	Praz.g_01921, Praz.g_00687	Syai.g_00462
OG0000048	Praz.g_00800	Syai.g_00272
