Orthogroup	Praz	Syar
OG0000001	Praz.g_01154, Praz.g_01939, Praz.g_01940	Syar.g_00069
OG0000004	Praz.g_01635	Syar.g_02051
OG0000004	Praz.g_00592	Syar.g_02225, Syar.g_00842
OG0000005	Praz.g_00864	Syar.g_02952
OG0000005	Praz.g_00965	Syar.g_02909
OG0000006	Praz.g_00601	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Praz.g_01831	Syar.g_01491
OG0000007	Praz.g_00877	Syar.g_02929
OG0000008	Praz.g_01241	Syar.g_02097
OG0000008	Praz.g_01658	Syar.g_00419, Syar.g_02048
OG0000009	Praz.g_00465	Syar.g_03116
OG0000010	Praz.g_00074, Praz.g_01854	Syar.g_01272
OG0000013	Praz.g_00684	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Praz.g_00663	Syar.g_00825
OG0000014	Praz.g_01102	Syar.g_02736
OG0000016	Praz.g_00378	Syar.g_02859
OG0000017	Praz.g_01732	Syar.g_02188
OG0000018	Praz.g_00011, Praz.g_01485	Syar.g_01409
OG0000019	Praz.g_00609, Praz.g_01532	Syar.g_00163
OG0000022	Praz.g_01556, Praz.g_00029	Syar.g_00835
OG0000025	Praz.g_01477, Praz.g_00688	Syar.g_01811
OG0000026	Praz.g_00396, Praz.g_00081	Syar.g_00505
OG0000027	Praz.g_01858, Praz.g_01197	Syar.g_02055
OG0000028	Praz.g_00677, Praz.g_01246	Syar.g_00718
OG0000033	Praz.g_00529	Syar.g_00105
OG0000034	Praz.g_01170	Syar.g_00074, Syar.g_02790
OG0000035	Praz.g_01041	Syar.g_02809
OG0000037	Praz.g_00469	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Praz.g_00154	Syar.g_00334, Syar.g_00336
OG0000039	Praz.g_01644	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Praz.g_00012	Syar.g_02831
OG0000042	Praz.g_00198	Syar.g_00595, Syar.g_01970
OG0000044	Praz.g_00693	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Praz.g_00803	Syar.g_02592
OG0000048	Praz.g_00800	Syar.g_00213
OG0000051	Praz.g_01204	Syar.g_01597
OG0000052	Praz.g_01103	Syar.g_02742, Syar.g_02751
OG0000053	Praz.g_01021	Syar.g_01413
OG0000055	Praz.g_01531	Syar.g_01386
OG0000056	Praz.g_01253	Syar.g_01662
OG0000057	Praz.g_01632	Syar.g_00006
OG0000061	Praz.g_00755	Syar.g_01539
OG0000062	Praz.g_00963	Syar.g_01439
OG0000063	Praz.g_00398	Syar.g_00509
OG0000065	Praz.g_00467	Syar.g_03119
OG0000066	Praz.g_01789	Syar.g_02228
OG0000067	Praz.g_01512	Syar.g_02639
OG0000068	Praz.g_01139	Syar.g_02329, Syar.g_01461
OG0000069	Praz.g_00928	Syar.g_01716
OG0000070	Praz.g_01878	Syar.g_02223
OG0000071	Praz.g_01180	Syar.g_02777
OG0000072	Praz.g_00531	Syar.g_00107, Syar.g_01140
OG0000073	Praz.g_01829	Syar.g_01493, Syar.g_01364
OG0000075	Praz.g_00230	Syar.g_03065, Syar.g_00659
OG0000076	Praz.g_00205	Syar.g_00608
OG0000078	Praz.g_00599	Syar.g_01366
OG0000079	Praz.g_00612	Syar.g_00166
OG0000081	Praz.g_01797	Syar.g_01898
OG0000082	Praz.g_01744	Syar.g_02202
OG0000085	Praz.g_00884	Syar.g_02919
OG0000086	Praz.g_00448	Syar.g_03085
OG0000087	Praz.g_00499	Syar.g_03192, Syar.g_00068
OG0000088	Praz.g_00526	Syar.g_00101
OG0000089	Praz.g_00818	Syar.g_01162
OG0000090	Praz.g_01795	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Praz.g_01688	Syar.g_01891, Syar.g_02426
OG0000092	Praz.g_01403, Praz.g_00244	Syar.g_01960
OG0000094	Praz.g_01296	Syar.g_01789
OG0000095	Praz.g_00066	Syar.g_01932
OG0000097	Praz.g_00713	Syar.g_01706, Syar.g_00364
OG0000098	Praz.g_01157	Syar.g_02343
OG0000099	Praz.g_01098	Syar.g_00715
OG0000100	Praz.g_00967	Syar.g_02477
OG0000101	Praz.g_00263	Syar.g_01073, Syar.g_03154
OG0000102	Praz.g_00200	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Praz.g_00120	Syar.g_00452, Syar.g_00014
OG0000104	Praz.g_00361	Syar.g_00466
OG0000105	Praz.g_00632	Syar.g_00218
OG0000106	Praz.g_00804	Syar.g_01748
OG0000107	Praz.g_00788	Syar.g_00149
OG0000108	Praz.g_01848	Syar.g_01469
OG0000109	Praz.g_01834	Syar.g_03310, Syar.g_01485
OG0000110	Praz.g_01754	Syar.g_02295
OG0000111	Praz.g_01631	Syar.g_01940
OG0000112	Praz.g_01547	Syar.g_02548, Syar.g_03195
OG0000113	Praz.g_01490	Syar.g_02664
OG0000114	Praz.g_01408	Syar.g_01616
OG0000115	Praz.g_00054	Syar.g_02854, Syar.g_01415
OG0000116	Praz.g_00002	Syar.g_01525, Syar.g_02255
OG0000117	Praz.g_01237	Syar.g_01969
OG0000118	Praz.g_01168	Syar.g_02793
OG0000120	Praz.g_01118	Syar.g_00713
OG0000121	Praz.g_01039	Syar.g_02806
OG0000123	Praz.g_00256	Syar.g_01079
OG0000124	Praz.g_00189	Syar.g_00586
OG0000125	Praz.g_00152	Syar.g_00338
OG0000126	Praz.g_00360	Syar.g_00887, Syar.g_00888
OG0000128	Praz.g_00376	Syar.g_00482
OG0000129	Praz.g_00410	Syar.g_00324
OG0000130	Praz.g_00429	Syar.g_03040
OG0000131	Praz.g_00505	Syar.g_00078
OG0000132	Praz.g_00524	Syar.g_00099
OG0000133	Praz.g_00679	Syar.g_02543
OG0000134	Praz.g_00817	Syar.g_02009, Syar.g_01165
OG0000135	Praz.g_00791	Syar.g_00698
OG0000136	Praz.g_01887	Syar.g_02874
OG0000137	Praz.g_01853	Syar.g_01273
OG0000138	Praz.g_01833	Syar.g_01486
OG0000139	Praz.g_01791	Syar.g_03245
OG0000140	Praz.g_01790	Syar.g_02344, Syar.g_03246
OG0000141	Praz.g_01723	Syar.g_02129
OG0000142	Praz.g_01695	Syar.g_02418
OG0000143	Praz.g_01691	Syar.g_02422
OG0000144	Praz.g_01678	Syar.g_02441
OG0000145	Praz.g_01554	Syar.g_01494
OG0000146	Praz.g_01546	Syar.g_02549
OG0000147	Praz.g_01545	Syar.g_02550
OG0000148	Praz.g_01496	Syar.g_02658
OG0000149	Praz.g_01465	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Praz.g_01457	Syar.g_02130
OG0000151	Praz.g_01398	Syar.g_02038
OG0000152	Praz.g_01350	Syar.g_02539
OG0000153	Praz.g_01331	Syar.g_03283, Syar.g_02503
OG0000154	Praz.g_01303	Syar.g_01800
OG0000155	Praz.g_00734	Syar.g_01959
OG0000156	Praz.g_01191	Syar.g_01517
OG0000157	Praz.g_01190	Syar.g_01516
OG0000158	Praz.g_01097	Syar.g_00650
OG0000159	Praz.g_01095	Syar.g_02359
OG0000160	Praz.g_01040	Syar.g_02807
OG0000161	Praz.g_01034	Syar.g_02801
OG0000162	Praz.g_01028	Syar.g_02863
OG0000163	Praz.g_00994	Syar.g_01186
OG0000164	Praz.g_00853	Syar.g_03168, Syar.g_02969
OG0000165	Praz.g_00846	Syar.g_02976
OG0000166	Praz.g_00299	Syar.g_01034
OG0000167	Praz.g_00232	Syar.g_00662
OG0000168	Praz.g_00222	Syar.g_00246
OG0000169	Praz.g_00212	Syar.g_00262
OG0000170	Praz.g_00210	Syar.g_00613
OG0000171	Praz.g_00190	Syar.g_00587
OG0000172	Praz.g_00181	Syar.g_00547
OG0000173	Praz.g_00166	Syar.g_00528
OG0000174	Praz.g_00138	Syar.g_00701
OG0000175	Praz.g_00128	Syar.g_00438
OG0000176	Praz.g_00369	Syar.g_00474
OG0000177	Praz.g_00370	Syar.g_00475
OG0000178	Praz.g_00371	Syar.g_00476
OG0000179	Praz.g_00381	Syar.g_00489
OG0000180	Praz.g_00382	Syar.g_00490
OG0000181	Praz.g_00383	Syar.g_00491
OG0000182	Praz.g_00384	Syar.g_00492
OG0000183	Praz.g_00388	Syar.g_00496
OG0000184	Praz.g_00412	Syar.g_00897
OG0000185	Praz.g_00415	Syar.g_00909
OG0000186	Praz.g_00424	Syar.g_03036
OG0000187	Praz.g_00425	Syar.g_03038
OG0000188	Praz.g_00442	Syar.g_03058
OG0000189	Praz.g_00456	Syar.g_03104
OG0000190	Praz.g_00457	Syar.g_03107, Syar.g_02374
OG0000191	Praz.g_00477	Syar.g_00039
OG0000192	Praz.g_00481	Syar.g_00046
OG0000193	Praz.g_00506	Syar.g_00079
OG0000194	Praz.g_00509	Syar.g_00082, Syar.g_03236
OG0000195	Praz.g_00511	Syar.g_00023, Syar.g_00084
OG0000196	Praz.g_00521	Syar.g_00096
OG0000197	Praz.g_00522	Syar.g_00097
OG0000198	Praz.g_00523	Syar.g_00098
OG0000199	Praz.g_00530	Syar.g_00106
OG0000200	Praz.g_00544	Syar.g_00124
OG0000201	Praz.g_00552	Syar.g_01000
OG0000202	Praz.g_00553	Syar.g_00021, Syar.g_00998
OG0000203	Praz.g_00554	Syar.g_00997, Syar.g_00020
OG0000204	Praz.g_00555	Syar.g_00996
OG0000205	Praz.g_00562	Syar.g_00988
OG0000206	Praz.g_00567	Syar.g_00963
OG0000207	Praz.g_00569	Syar.g_00957
OG0000208	Praz.g_00570	Syar.g_00956
OG0000209	Praz.g_00579	Syar.g_00936, Syar.g_03261
OG0000210	Praz.g_00580	Syar.g_03260, Syar.g_00935
OG0000211	Praz.g_00593	Syar.g_03026
OG0000212	Praz.g_00600	Syar.g_03017
OG0000213	Praz.g_00617	Syar.g_00187
OG0000214	Praz.g_00626	Syar.g_00209
OG0000215	Praz.g_00650	Syar.g_00239
