Orthogroup	Praz	Prbg
OG0000000	Praz.g_00894, Praz.g_00921	Prbg.g_01567
OG0000002	Praz.g_01146	Prbg.g_01222, Prbg.g_01227
OG0000002	Praz.g_01652	Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119
OG0000004	Praz.g_01635	Prbg.g_01140
OG0000004	Praz.g_00592	Prbg.g_01014
OG0000005	Praz.g_00965	Prbg.g_00674
OG0000006	Praz.g_00601	Prbg.g_01024
OG0000007	Praz.g_01831	Prbg.g_00216
OG0000007	Praz.g_00877	Prbg.g_01650
OG0000008	Praz.g_01241	Prbg.g_00744
OG0000009	Praz.g_01230	Prbg.g_00686
OG0000010	Praz.g_01854	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193
OG0000012	Praz.g_01707	Prbg.g_00706, Prbg.g_00342
OG0000013	Praz.g_00684	Prbg.g_00104
OG0000014	Praz.g_00663	Prbg.g_00086
OG0000015	Praz.g_01551	Prbg.g_01589, Prbg.g_01635
OG0000017	Praz.g_01732	Prbg.g_00317
OG0000018	Praz.g_00011	Prbg.g_01508
OG0000018	Praz.g_01485	Prbg.g_01187
OG0000019	Praz.g_00609	Prbg.g_01032
OG0000019	Praz.g_01532	Prbg.g_01510
OG0000020	Praz.g_00048	Prbg.g_00698
OG0000021	Praz.g_00896, Praz.g_00810	Prbg.g_00699
OG0000022	Praz.g_01556	Prbg.g_00682
OG0000023	Praz.g_00814	Prbg.g_00013
OG0000024	Praz.g_01571	Prbg.g_01352
OG0000024	Praz.g_01655	Prbg.g_01116
OG0000025	Praz.g_01477, Praz.g_00688	Prbg.g_01195
OG0000026	Praz.g_00396, Praz.g_00081	Prbg.g_00842
OG0000027	Praz.g_01858, Praz.g_01197	Prbg.g_00721
OG0000028	Praz.g_01246	Prbg.g_00743
OG0000029	Praz.g_00799	Prbg.g_01740
OG0000029	Praz.g_01564	Prbg.g_00734, Prbg.g_01581
OG0000030	Praz.g_00195	Prbg.g_01858
OG0000031	Praz.g_01116	Prbg.g_00550
OG0000033	Praz.g_00529	Prbg.g_00947
OG0000034	Praz.g_01170	Prbg.g_00488
OG0000037	Praz.g_00469	Prbg.g_00881
OG0000038	Praz.g_00154	Prbg.g_01898
OG0000039	Praz.g_01644	Prbg.g_01128
OG0000042	Praz.g_00198	Prbg.g_01855
OG0000043	Praz.g_01440	Prbg.g_01507
OG0000045	Praz.g_00803	Prbg.g_01530
OG0000047	Praz.g_01921	Prbg.g_00143
OG0000048	Praz.g_00800	Prbg.g_00050
OG0000050	Praz.g_00769	Prbg.g_01055
OG0000052	Praz.g_01103	Prbg.g_00569
OG0000053	Praz.g_01021	Prbg.g_01595, Prbg.g_00612
OG0000054	Praz.g_01724	Prbg.g_00326
OG0000055	Praz.g_01531	Prbg.g_01535
OG0000057	Praz.g_01632	Prbg.g_01143
OG0000058	Praz.g_01096	Prbg.g_00551
OG0000059	Praz.g_00311, Praz.g_01071	Prbg.g_01737
OG0000061	Praz.g_00755	Prbg.g_01486
OG0000062	Praz.g_00963	Prbg.g_00676
OG0000063	Praz.g_00398	Prbg.g_00730
OG0000065	Praz.g_00467	Prbg.g_00879
OG0000066	Praz.g_01789	Prbg.g_00256
OG0000067	Praz.g_01512	Prbg.g_01159
OG0000068	Praz.g_01139	Prbg.g_00529
OG0000069	Praz.g_00928	Prbg.g_00174
OG0000070	Praz.g_01878	Prbg.g_00170
OG0000071	Praz.g_01180	Prbg.g_00477
OG0000072	Praz.g_00531	Prbg.g_00949
OG0000073	Praz.g_01829	Prbg.g_00219
OG0000074	Praz.g_01648	Prbg.g_01123
OG0000075	Praz.g_00230	Prbg.g_01821
OG0000076	Praz.g_00205	Prbg.g_01847
OG0000077	Praz.g_00438	Prbg.g_00791
OG0000078	Praz.g_00599	Prbg.g_01022
OG0000079	Praz.g_00612	Prbg.g_01035
OG0000081	Praz.g_01797	Prbg.g_00248
OG0000082	Praz.g_01744	Prbg.g_00304, Prbg.g_01639
OG0000084	Praz.g_01045	Prbg.g_00588
OG0000085	Praz.g_00884	Prbg.g_01642, Prbg.g_00716
OG0000086	Praz.g_00448	Prbg.g_00782
OG0000087	Praz.g_00499	Prbg.g_00913
OG0000088	Praz.g_00526	Prbg.g_00944
OG0000089	Praz.g_00818	Prbg.g_00137
OG0000090	Praz.g_01795	Prbg.g_00250
OG0000091	Praz.g_01688	Prbg.g_01414
OG0000092	Praz.g_01403	Prbg.g_01089
OG0000093	Praz.g_01382	Prbg.g_01385
