Orthogroup	Praz	Prab
OG0000000	Praz.g_01198	Prab.g_00915, Prab.g_01617
OG0000000	Praz.g_00921	Prab.g_01598
OG0000000	Praz.g_00694	Prab.g_01278
OG0000000	Praz.g_00922	Prab.g_01278
OG0000000	Praz.g_00694	Prab.g_01597
OG0000000	Praz.g_00922	Prab.g_01597
OG0000000	Praz.g_01200	Prab.g_01308
OG0000002	Praz.g_01652	Prab.g_00683
OG0000004	Praz.g_01635	Prab.g_00700
OG0000004	Praz.g_00592	Prab.g_00223
OG0000005	Praz.g_00864	Prab.g_01682
OG0000005	Praz.g_00965	Prab.g_01542
OG0000006	Praz.g_00601	Prab.g_00231
OG0000007	Praz.g_01831	Prab.g_00501
OG0000007	Praz.g_00877	Prab.g_01669
OG0000008	Praz.g_01658	Prab.g_00677
OG0000009	Praz.g_01230, Praz.g_00929	Prab.g_01584
OG0000009	Praz.g_00465	Prab.g_00096
OG0000010	Praz.g_00074	Prab.g_01104
OG0000010	Praz.g_01854	Prab.g_00478
OG0000011	Praz.g_01240	Prab.g_00799
OG0000012	Praz.g_01707	Prab.g_00627
OG0000013	Praz.g_00684	Prab.g_00315
OG0000014	Praz.g_00663	Prab.g_00294
OG0000014	Praz.g_01102	Prab.g_01444, Prab.g_01445
OG0000015	Praz.g_01551	Prab.g_00789
OG0000016	Praz.g_00378	Prab.g_00013
OG0000017	Praz.g_01732	Prab.g_00602
OG0000018	Praz.g_00011	Prab.g_01201
OG0000018	Praz.g_01485	Prab.g_00867
OG0000019	Praz.g_00609	Prab.g_00239
OG0000019	Praz.g_01532	Prab.g_00820
OG0000020	Praz.g_00048	Prab.g_01162
OG0000021	Praz.g_00896, Praz.g_00810	Prab.g_00354
OG0000022	Praz.g_01556	Prab.g_00782
OG0000022	Praz.g_00029	Prab.g_01182
OG0000023	Praz.g_00814	Prab.g_00348
OG0000024	Praz.g_01571	Prab.g_00763
OG0000024	Praz.g_01655	Prab.g_00680
OG0000025	Praz.g_01477	Prab.g_00874
OG0000025	Praz.g_00688	Prab.g_00319
OG0000026	Praz.g_00396	Prab.g_00031
OG0000026	Praz.g_00081	Prab.g_01111
OG0000027	Praz.g_01858, Praz.g_01197	Prab.g_00914, Prab.g_01616
OG0000028	Praz.g_00677	Prab.g_00308
OG0000029	Praz.g_01564	Prab.g_00773
OG0000030	Praz.g_00195	Prab.g_01867
OG0000031	Praz.g_01116	Prab.g_01446
OG0000033	Praz.g_00529	Prab.g_00160
OG0000034	Praz.g_01170	Prab.g_01336
OG0000035	Praz.g_01041	Prab.g_01466
OG0000037	Praz.g_00469	Prab.g_00100
OG0000038	Praz.g_00154	Prab.g_01908
OG0000039	Praz.g_01644	Prab.g_00691
OG0000040	Praz.g_00903	Prab.g_01623
OG0000040	Praz.g_00012	Prab.g_01200
