Orthogroup	Praz	Prah
OG0000000	Praz.g_00921	Prah.g_01348
OG0000000	Praz.g_01200, Praz.g_00920	Prah.g_01346, Prah.g_01347
OG0000001	Praz.g_01154, Praz.g_01939, Praz.g_01940	Prah.g_00324, Prah.g_01343
OG0000002	Praz.g_01146	Prah.g_00562
OG0000002	Praz.g_01652	Prah.g_01226
OG0000004	Praz.g_01635	Prah.g_01022
OG0000004	Praz.g_00592	Prah.g_01413
OG0000005	Praz.g_00965	Prah.g_01652
OG0000006	Praz.g_00601	Prah.g_00475, Prah.g_01767
OG0000007	Praz.g_01831	Prah.g_01546
OG0000007	Praz.g_00877	Prah.g_01676
OG0000008	Praz.g_01241	Prah.g_00970
OG0000009	Praz.g_00465	Prah.g_00432, Prah.g_01895
OG0000010	Praz.g_01854	Prah.g_00311
OG0000011	Praz.g_00768, Praz.g_01207	Prah.g_01084
OG0000012	Praz.g_01707	Prah.g_00524
OG0000013	Praz.g_00684	Prah.g_01956
OG0000014	Praz.g_00663	Prah.g_02171
OG0000015	Praz.g_01551	Prah.g_01155, Prah.g_00576
OG0000016	Praz.g_00378	Prah.g_00015
OG0000017	Praz.g_01732	Prah.g_01405
OG0000018	Praz.g_00011, Praz.g_01485	Prah.g_00378
OG0000021	Praz.g_00896, Praz.g_00810	Prah.g_01108, Prah.g_01112, Prah.g_01117
OG0000022	Praz.g_01556	Prah.g_00170
OG0000022	Praz.g_00029	Prah.g_01209
OG0000023	Praz.g_00814	Prah.g_00688
OG0000024	Praz.g_01571, Praz.g_01655	Prah.g_01043
OG0000025	Praz.g_01477, Praz.g_00688	Prah.g_00604
OG0000026	Praz.g_00396, Praz.g_00081	Prah.g_00038
OG0000028	Praz.g_00677	Prah.g_02184
OG0000029	Praz.g_01564	Prah.g_01972
OG0000030	Praz.g_00195	Prah.g_00132, Prah.g_00131
OG0000031	Praz.g_01116	Prah.g_02248, Prah.g_00091
OG0000033	Praz.g_00529	Prah.g_02307
OG0000034	Praz.g_01170	Prah.g_01376
OG0000035	Praz.g_01041	Prah.g_00408
OG0000037	Praz.g_00469	Prah.g_01901
OG0000038	Praz.g_00154	Prah.g_02494, Prah.g_02496
OG0000039	Praz.g_01644	Prah.g_01758, Prah.g_02382
OG0000042	Praz.g_00198	Prah.g_00135, Prah.g_01256
OG0000043	Praz.g_01234	Prah.g_01190
OG0000045	Praz.g_00803	Prah.g_01837
OG0000047	Praz.g_01921	Prah.g_00321, Prah.g_00322
OG0000047	Praz.g_00687	Prah.g_00353
OG0000048	Praz.g_00800	Prah.g_02122
OG0000051	Praz.g_01204	Prah.g_01166
OG0000052	Praz.g_01103	Prah.g_02219
OG0000053	Praz.g_01021	Prah.g_00381
OG0000054	Praz.g_01724	Prah.g_01394
OG0000055	Praz.g_01531	Prah.g_00942
OG0000056	Praz.g_01253	Prah.g_00543, Prah.g_01082, Prah.g_00342
OG0000057	Praz.g_01632	Prah.g_01027
OG0000061	Praz.g_00755	Prah.g_00104
OG0000062	Praz.g_00963	Prah.g_01654
OG0000063	Praz.g_00398	Prah.g_00042
OG0000065	Praz.g_00467	Prah.g_01897
OG0000066	Praz.g_01789	Prah.g_01485
OG0000067	Praz.g_01512	Prah.g_00667
OG0000068	Praz.g_01139	Prah.g_01576
OG0000070	Praz.g_01878	Prah.g_00252
OG0000071	Praz.g_01180	Prah.g_01364
OG0000072	Praz.g_00531	Prah.g_02309
OG0000073	Praz.g_01829	Prah.g_01544
OG0000075	Praz.g_00230	Prah.g_02232
OG0000076	Praz.g_00205	Prah.g_00150
OG0000077	Praz.g_00438	Prah.g_01850
OG0000078	Praz.g_00599	Prah.g_01773
OG0000079	Praz.g_00612	Prah.g_02090, Prah.g_01868
OG0000081	Praz.g_01797	Prah.g_01035
OG0000082	Praz.g_01744	Prah.g_01427
OG0000084	Praz.g_01045	Prah.g_00412
OG0000085	Praz.g_00884	Prah.g_01666
OG0000086	Praz.g_00448	Prah.g_01866
OG0000087	Praz.g_00499	Prah.g_02268
OG0000088	Praz.g_00526	Prah.g_02304
OG0000089	Praz.g_00818	Prah.g_00205
OG0000090	Praz.g_01795	Prah.g_01501
OG0000091	Praz.g_01688	Prah.g_00493
OG0000093	Praz.g_01382	Prah.g_00692
OG0000094	Praz.g_01296	Prah.g_02518
OG0000097	Praz.g_00713	Prah.g_01272
OG0000098	Praz.g_01157	Prah.g_00327
OG0000099	Praz.g_01098	Prah.g_02191
OG0000100	Praz.g_00967	Prah.g_01791, Prah.g_00636
OG0000101	Praz.g_00263	Prah.g_01995
OG0000102	Praz.g_00200	Prah.g_00144
OG0000103	Praz.g_00120	Prah.g_02586
OG0000104	Praz.g_00361	Prah.g_02600
OG0000105	Praz.g_00632	Prah.g_02126
OG0000106	Praz.g_00804	Prah.g_01660
OG0000108	Praz.g_01848	Prah.g_01566
OG0000109	Praz.g_01834	Prah.g_01550
OG0000110	Praz.g_01754	Prah.g_01439
OG0000111	Praz.g_01631	Prah.g_01028
OG0000112	Praz.g_01547	Prah.g_00788
OG0000113	Praz.g_01490	Prah.g_00641
OG0000114	Praz.g_01408	Prah.g_00733
OG0000115	Praz.g_00054	Prah.g_00383
OG0000116	Praz.g_00002	Prah.g_01337
OG0000117	Praz.g_01237	Prah.g_01257
OG0000118	Praz.g_01168	Prah.g_01378
OG0000119	Praz.g_01143	Prah.g_01007, Prah.g_01048
OG0000120	Praz.g_01118	Prah.g_02192
OG0000121	Praz.g_01039	Prah.g_00406
OG0000122	Praz.g_01001	Prah.g_01203
OG0000123	Praz.g_00256	Prah.g_01987
OG0000124	Praz.g_00189	Prah.g_00125
OG0000125	Praz.g_00152	Prah.g_02498
OG0000126	Praz.g_00360	Prah.g_02598
OG0000128	Praz.g_00376	Prah.g_00013
OG0000129	Praz.g_00410	Prah.g_02486
OG0000130	Praz.g_00429	Prah.g_01838
OG0000131	Praz.g_00505	Prah.g_02282
OG0000132	Praz.g_00524	Prah.g_02302
OG0000133	Praz.g_00679	Prah.g_02187
OG0000134	Praz.g_00817	Prah.g_00208
OG0000135	Praz.g_00791	Prah.g_02538
OG0000136	Praz.g_01887	Prah.g_00235
OG0000137	Praz.g_01853	Prah.g_00312
OG0000138	Praz.g_01833	Prah.g_01549
OG0000139	Praz.g_01791	Prah.g_01495
OG0000140	Praz.g_01790	Prah.g_01489
OG0000141	Praz.g_01723	Prah.g_01393
OG0000142	Praz.g_01695	Prah.g_00501
OG0000143	Praz.g_01691	Prah.g_00497
OG0000144	Praz.g_01678	Prah.g_00473
OG0000145	Praz.g_01554	Prah.g_01543
OG0000146	Praz.g_01546	Prah.g_00787
OG0000147	Praz.g_01545	Prah.g_00786
OG0000148	Praz.g_01496	Prah.g_00649
OG0000149	Praz.g_01465	Prah.g_00591
OG0000150	Praz.g_01457	Prah.g_00568
OG0000151	Praz.g_01398	Prah.g_00718
OG0000152	Praz.g_01350	Prah.g_00796
OG0000153	Praz.g_01331	Prah.g_00826
OG0000154	Praz.g_01303	Prah.g_00852
OG0000155	Praz.g_00734	Prah.g_01291
OG0000156	Praz.g_01191	Prah.g_01349
OG0000157	Praz.g_01190	Prah.g_01350
OG0000158	Praz.g_01097	Prah.g_02242
OG0000160	Praz.g_01040	Prah.g_00407
OG0000161	Praz.g_01034	Prah.g_00399
OG0000162	Praz.g_01028	Prah.g_00391
OG0000163	Praz.g_00994	Prah.g_01619
OG0000164	Praz.g_00853	Prah.g_01705
OG0000165	Praz.g_00846	Prah.g_01716
OG0000166	Praz.g_00299	Prah.g_02033
OG0000167	Praz.g_00232	Prah.g_02230
OG0000168	Praz.g_00222	Prah.g_02243
OG0000169	Praz.g_00212	Prah.g_00163
OG0000170	Praz.g_00210	Prah.g_00155
OG0000171	Praz.g_00190	Prah.g_00126
OG0000172	Praz.g_00181	Prah.g_00084
OG0000173	Praz.g_00166	Prah.g_00061
OG0000174	Praz.g_00138	Prah.g_02541
OG0000175	Praz.g_00128	Prah.g_02575
OG0000176	Praz.g_00369	Prah.g_00005
OG0000177	Praz.g_00370	Prah.g_00006
OG0000178	Praz.g_00371	Prah.g_00007
OG0000179	Praz.g_00381	Prah.g_00022
OG0000180	Praz.g_00382	Prah.g_00023
OG0000181	Praz.g_00383	Prah.g_00024
OG0000182	Praz.g_00384	Prah.g_00025
OG0000183	Praz.g_00388	Prah.g_00029
OG0000184	Praz.g_00412	Prah.g_02478
OG0000185	Praz.g_00415	Prah.g_02458
OG0000186	Praz.g_00424	Prah.g_01830
OG0000187	Praz.g_00425	Prah.g_01833
OG0000188	Praz.g_00442	Prah.g_01860
OG0000189	Praz.g_00456	Prah.g_01884
OG0000190	Praz.g_00457	Prah.g_01886
OG0000191	Praz.g_00477	Prah.g_00188
OG0000192	Praz.g_00481	Prah.g_00176, Prah.g_00180
OG0000193	Praz.g_00506	Prah.g_02283
OG0000194	Praz.g_00509	Prah.g_02286
OG0000195	Praz.g_00511	Prah.g_02288
OG0000196	Praz.g_00521	Prah.g_02299
OG0000197	Praz.g_00522	Prah.g_02300
OG0000198	Praz.g_00523	Prah.g_02301
OG0000199	Praz.g_00530	Prah.g_02308
OG0000200	Praz.g_00544	Prah.g_02324
OG0000201	Praz.g_00552	Prah.g_02352
OG0000202	Praz.g_00553	Prah.g_02353
OG0000203	Praz.g_00554	Prah.g_02354
OG0000204	Praz.g_00555	Prah.g_02355
OG0000205	Praz.g_00562	Prah.g_02362
OG0000206	Praz.g_00567	Prah.g_02371
OG0000207	Praz.g_00569	Prah.g_02420
OG0000208	Praz.g_00570	Prah.g_02419
OG0000209	Praz.g_00579	Prah.g_02400
OG0000210	Praz.g_00580	Prah.g_02399
OG0000211	Praz.g_00593	Prah.g_01782
OG0000212	Praz.g_00600	Prah.g_01772
OG0000213	Praz.g_00617	Prah.g_02101
OG0000214	Praz.g_00626	Prah.g_02118
OG0000215	Praz.g_00650	Prah.g_02148
OG0000216	Praz.g_00651	Prah.g_02151
OG0000217	Praz.g_00654	Prah.g_02155
OG0000218	Praz.g_00656	Prah.g_02157
OG0000219	Praz.g_00657	Prah.g_02158
OG0000220	Praz.g_00658	Prah.g_02159
OG0000221	Praz.g_00659	Prah.g_02166
OG0000222	Praz.g_00667	Prah.g_02174
OG0000223	Praz.g_00680	Prah.g_02197
