Orthogroup	Praz	Syao
OG0000001	Praz.g_01154, Praz.g_01939, Praz.g_01940	Syao.g_00314
OG0000004	Praz.g_01635	Syao.g_02374
OG0000004	Praz.g_00592	Syao.g_01271, Syao.g_01007
OG0000005	Praz.g_00864	Syao.g_01680
OG0000005	Praz.g_00965	Syao.g_01578
OG0000006	Praz.g_00601	Syao.g_01518
OG0000007	Praz.g_01831	Syao.g_00105
OG0000007	Praz.g_00877	Syao.g_01554
OG0000009	Praz.g_00465	Syao.g_02598
OG0000010	Praz.g_00074, Praz.g_01854	Syao.g_02683
OG0000011	Praz.g_00768, Praz.g_01207, Praz.g_01240	Syao.g_01282
OG0000012	Praz.g_01707	Syao.g_01193
OG0000013	Praz.g_00684	Syao.g_01222, Syao.g_01844, Syao.g_01910
OG0000014	Praz.g_00663	Syao.g_02027
OG0000015	Praz.g_01551	Syao.g_00302
OG0000016	Praz.g_00378	Syao.g_01955
OG0000017	Praz.g_01732	Syao.g_00997
OG0000018	Praz.g_00011, Praz.g_01485	Syao.g_00071
OG0000019	Praz.g_00609, Praz.g_01532	Syao.g_02108
OG0000021	Praz.g_00896, Praz.g_00810	Syao.g_01002
OG0000022	Praz.g_01556, Praz.g_00029	Syao.g_01218
OG0000023	Praz.g_00814	Syao.g_01266
OG0000025	Praz.g_01477, Praz.g_00688	Syao.g_00436, Syao.g_00437
OG0000026	Praz.g_00396, Praz.g_00081	Syao.g_02234
OG0000027	Praz.g_01858, Praz.g_01197	Syao.g_00202
OG0000028	Praz.g_00677, Praz.g_01246	Syao.g_02012
OG0000030	Praz.g_00195	Syao.g_02189, Syao.g_02188
OG0000031	Praz.g_01116	Syao.g_01083
OG0000032	Praz.g_01092	Syao.g_01135
OG0000033	Praz.g_00529	Syao.g_02507
OG0000035	Praz.g_01041	Syao.g_01486
OG0000037	Praz.g_00469	Syao.g_00374
OG0000038	Praz.g_00154	Syao.g_02440, Syao.g_02442
OG0000039	Praz.g_01644	Syao.g_00704
OG0000042	Praz.g_00198	Syao.g_00019, Syao.g_01941
OG0000045	Praz.g_00803	Syao.g_01214, Syao.g_00148
OG0000047	Praz.g_01921, Praz.g_00687	Syao.g_01899
OG0000048	Praz.g_00800	Syao.g_02077
OG0000051	Praz.g_01204	Syao.g_01261
OG0000052	Praz.g_01103	Syao.g_01085
OG0000053	Praz.g_01021	Syao.g_00067
OG0000058	Praz.g_01096	Syao.g_01080
OG0000059	Praz.g_00311, Praz.g_01071	Syao.g_01959
OG0000061	Praz.g_00755	Syao.g_00123
OG0000063	Praz.g_00398	Syao.g_02230
OG0000065	Praz.g_00467	Syao.g_02600
OG0000066	Praz.g_01789	Syao.g_01422
OG0000067	Praz.g_01512	Syao.g_00756
OG0000068	Praz.g_01139	Syao.g_00868, Syao.g_00036
OG0000069	Praz.g_00928	Syao.g_00313
OG0000070	Praz.g_01878	Syao.g_00330
OG0000071	Praz.g_01180	Syao.g_01433
OG0000072	Praz.g_00531	Syao.g_02509, Syao.g_01749
OG0000073	Praz.g_01829	Syao.g_00103
OG0000075	Praz.g_00230	Syao.g_02257
OG0000076	Praz.g_00205	Syao.g_01949
OG0000079	Praz.g_00612	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Praz.g_01744	Syao.g_01035
OG0000084	Praz.g_01045	Syao.g_02606
OG0000085	Praz.g_00884	Syao.g_01569
OG0000086	Praz.g_00448	Syao.g_02653, Syao.g_01240
OG0000087	Praz.g_00499	Syao.g_02555
OG0000088	Praz.g_00526	Syao.g_02503
OG0000089	Praz.g_00818	Syao.g_01716
OG0000090	Praz.g_01795	Syao.g_01412
OG0000091	Praz.g_01688	Syao.g_00902
OG0000092	Praz.g_01403, Praz.g_00244	Syao.g_00656
OG0000094	Praz.g_01296	Syao.g_00458
OG0000097	Praz.g_00713	Syao.g_00973
OG0000098	Praz.g_01157	Syao.g_01374
OG0000099	Praz.g_01098	Syao.g_02019
OG0000100	Praz.g_00967	Syao.g_00787
OG0000101	Praz.g_00263	Syao.g_01840
OG0000102	Praz.g_00200	Syao.g_01945
OG0000103	Praz.g_00120	Syao.g_02340
OG0000104	Praz.g_00361	Syao.g_02157
OG0000105	Praz.g_00632	Syao.g_02071, Syao.g_02072
OG0000106	Praz.g_00804	Syao.g_01385
OG0000107	Praz.g_00788	Syao.g_01935
OG0000108	Praz.g_01848	Syao.g_00028
OG0000109	Praz.g_01834	Syao.g_00110
OG0000110	Praz.g_01754	Syao.g_01051
OG0000111	Praz.g_01631	Syao.g_00378
OG0000112	Praz.g_01547	Syao.g_00683, Syao.g_00303
OG0000113	Praz.g_01490	Syao.g_00782
OG0000114	Praz.g_01408	Syao.g_00965
OG0000115	Praz.g_00054	Syao.g_00065, Syao.g_01464
OG0000116	Praz.g_00002	Syao.g_00137
OG0000117	Praz.g_01237	Syao.g_00169
OG0000118	Praz.g_01168	Syao.g_01475
OG0000120	Praz.g_01118	Syao.g_02009
OG0000121	Praz.g_01039	Syao.g_01489
OG0000122	Praz.g_01001	Syao.g_01247
OG0000123	Praz.g_00256	Syao.g_01832
OG0000124	Praz.g_00189	Syao.g_02179
OG0000125	Praz.g_00152	Syao.g_02444
OG0000126	Praz.g_00360	Syao.g_02198
OG0000127	Praz.g_01255	Syao.g_02375, Syao.g_01143
OG0000128	Praz.g_00376	Syao.g_02149
OG0000129	Praz.g_00410	Syao.g_02434
OG0000130	Praz.g_00429	Syao.g_02617
OG0000131	Praz.g_00505	Syao.g_02480
OG0000132	Praz.g_00524	Syao.g_02501
OG0000133	Praz.g_00679	Syao.g_00678
OG0000134	Praz.g_00817	Syao.g_01719
OG0000135	Praz.g_00791	Syao.g_00147
OG0000136	Praz.g_01887	Syao.g_01614, Syao.g_01613
OG0000137	Praz.g_01853	Syao.g_02682
OG0000138	Praz.g_01833	Syao.g_00108
OG0000139	Praz.g_01791	Syao.g_02005
OG0000140	Praz.g_01790	Syao.g_01373, Syao.g_01372
OG0000141	Praz.g_01723	Syao.g_01202
OG0000142	Praz.g_01695	Syao.g_00894
OG0000143	Praz.g_01691	Syao.g_00898
OG0000145	Praz.g_01554	Syao.g_00102
OG0000146	Praz.g_01546	Syao.g_00684, Syao.g_00304
OG0000147	Praz.g_01545	Syao.g_00305, Syao.g_00685
OG0000148	Praz.g_01496	Syao.g_00776
OG0000149	Praz.g_01465	Syao.g_00534
OG0000150	Praz.g_01457	Syao.g_01203
OG0000151	Praz.g_01398	Syao.g_00975
OG0000152	Praz.g_01350	Syao.g_00674
OG0000153	Praz.g_01331	Syao.g_00818, Syao.g_01176
OG0000154	Praz.g_01303	Syao.g_00447
OG0000155	Praz.g_00734	Syao.g_00178
OG0000156	Praz.g_01191	Syao.g_00151
OG0000157	Praz.g_01190	Syao.g_00152
OG0000158	Praz.g_01097	Syao.g_02267
OG0000159	Praz.g_01095	Syao.g_02276
OG0000160	Praz.g_01040	Syao.g_01488
OG0000161	Praz.g_01034	Syao.g_01494
OG0000162	Praz.g_01028	Syao.g_01515
OG0000163	Praz.g_00994	Syao.g_01745
OG0000164	Praz.g_00853	Syao.g_01663
OG0000165	Praz.g_00846	Syao.g_01655
OG0000166	Praz.g_00299	Syao.g_01790
OG0000167	Praz.g_00232	Syao.g_01960
OG0000168	Praz.g_00222	Syao.g_02128
OG0000169	Praz.g_00212	Syao.g_02139
OG0000170	Praz.g_00210	Syao.g_02148
OG0000171	Praz.g_00190	Syao.g_02181
OG0000172	Praz.g_00181	Syao.g_02170
OG0000173	Praz.g_00166	Syao.g_02212
OG0000174	Praz.g_00138	Syao.g_02364, Syao.g_02355
OG0000175	Praz.g_00128	Syao.g_02327, Syao.g_00308
OG0000176	Praz.g_00369	Syao.g_02165
OG0000177	Praz.g_00370	Syao.g_02156
