Orthogroup	Praz	Prbf
OG0000000	Praz.g_00894, Praz.g_00921	Prbf.g_00776
OG0000002	Praz.g_01146	Prbf.g_01182, Prbf.g_01177
OG0000002	Praz.g_01652	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000004	Praz.g_01635	Prbf.g_01264
OG0000004	Praz.g_00592	Prbf.g_01570
OG0000005	Praz.g_00965	Prbf.g_00240
OG0000006	Praz.g_00601	Prbf.g_01580
OG0000007	Praz.g_01831	Prbf.g_01780
OG0000007	Praz.g_00877	Prbf.g_00693
OG0000008	Praz.g_01241	Prbf.g_00793
OG0000009	Praz.g_01230	Prbf.g_00252
OG0000010	Praz.g_01854	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757
OG0000012	Praz.g_01707	Prbf.g_00272, Prbf.g_01905
OG0000013	Praz.g_00684	Prbf.g_01665
OG0000014	Praz.g_00663	Prbf.g_01647
OG0000015	Praz.g_01551	Prbf.g_00754, Prbf.g_00708
OG0000017	Praz.g_01732	Prbf.g_01880
OG0000018	Praz.g_00011	Prbf.g_00896
OG0000018	Praz.g_01485	Prbf.g_01217
OG0000019	Praz.g_00609	Prbf.g_01588
OG0000019	Praz.g_01532	Prbf.g_00894
OG0000020	Praz.g_00048	Prbf.g_00264
OG0000021	Praz.g_00896, Praz.g_00810	Prbf.g_00265
OG0000022	Praz.g_01556	Prbf.g_00248
OG0000023	Praz.g_00814	Prbf.g_00287
OG0000024	Praz.g_01571	Prbf.g_01052
OG0000024	Praz.g_01655	Prbf.g_01288
OG0000025	Praz.g_01477, Praz.g_00688	Prbf.g_01209
OG0000026	Praz.g_00396, Praz.g_00081	Prbf.g_01354
OG0000027	Praz.g_01858, Praz.g_01197	Prbf.g_00817
OG0000028	Praz.g_01246	Prbf.g_00794
OG0000029	Praz.g_00799	Prbf.g_00603
OG0000029	Praz.g_01564	Prbf.g_00804, Prbf.g_00762
OG0000030	Praz.g_00195	Prbf.g_00484
OG0000031	Praz.g_01116	Prbf.g_00116
OG0000033	Praz.g_00529	Prbf.g_01503
OG0000034	Praz.g_01170	Prbf.g_00015
OG0000037	Praz.g_00469	Prbf.g_01437
OG0000038	Praz.g_00154	Prbf.g_00445
OG0000039	Praz.g_01644	Prbf.g_01276
OG0000042	Praz.g_00198	Prbf.g_00487
OG0000043	Praz.g_01440	Prbf.g_00897
OG0000045	Praz.g_00803	Prbf.g_00874
OG0000047	Praz.g_01921	Prbf.g_01707
OG0000048	Praz.g_00800	Prbf.g_01611
OG0000050	Praz.g_00769	Prbf.g_00845
OG0000052	Praz.g_01103	Prbf.g_00135
OG0000053	Praz.g_01021	Prbf.g_00748, Prbf.g_00178
OG0000054	Praz.g_01724	Prbf.g_01889
OG0000055	Praz.g_01531	Prbf.g_00869
OG0000057	Praz.g_01632	Prbf.g_01261
OG0000058	Praz.g_01096	Prbf.g_00117
OG0000059	Praz.g_00311, Praz.g_01071	Prbf.g_00606
OG0000061	Praz.g_00755	Prbf.g_00918
OG0000062	Praz.g_00963	Prbf.g_00242
OG0000063	Praz.g_00398	Prbf.g_00808
OG0000065	Praz.g_00467	Prbf.g_01435
OG0000066	Praz.g_01789	Prbf.g_01820, Prbf.g_00781
OG0000067	Praz.g_01512	Prbf.g_01245
OG0000068	Praz.g_01139	Prbf.g_00095
OG0000069	Praz.g_00928	Prbf.g_01738
OG0000070	Praz.g_01878	Prbf.g_01734
OG0000071	Praz.g_01180	Prbf.g_00026
OG0000072	Praz.g_00531	Prbf.g_01505
OG0000073	Praz.g_01829	Prbf.g_01783
OG0000074	Praz.g_01648	Prbf.g_01281
OG0000075	Praz.g_00230	Prbf.g_00522
OG0000076	Praz.g_00205	Prbf.g_00496
OG0000077	Praz.g_00438	Prbf.g_01405
OG0000078	Praz.g_00599	Prbf.g_01578
OG0000079	Praz.g_00612	Prbf.g_01591
OG0000081	Praz.g_01797	Prbf.g_01812
OG0000082	Praz.g_01744	Prbf.g_01867, Prbf.g_00704
OG0000084	Praz.g_01045	Prbf.g_00154
OG0000085	Praz.g_00884	Prbf.g_00701, Prbf.g_00822
OG0000086	Praz.g_00448	Prbf.g_01414
OG0000087	Praz.g_00499	Prbf.g_01469
OG0000088	Praz.g_00526	Prbf.g_01500
OG0000089	Praz.g_00818	Prbf.g_01701
OG0000090	Praz.g_01795	Prbf.g_01814
OG0000091	Praz.g_01688	Prbf.g_00990
OG0000092	Praz.g_01403	Prbf.g_01315
OG0000093	Praz.g_01382	Prbf.g_01019
OG0000094	Praz.g_01296	Prbf.g_01068
OG0000095	Praz.g_00066	Prbf.g_01170
OG0000096	Praz.g_00045, Praz.g_01215	Prbf.g_00306
OG0000097	Praz.g_00713	Prbf.g_00964
OG0000098	Praz.g_01157	Prbf.g_00071
OG0000099	Praz.g_01098	Prbf.g_00118
OG0000100	Praz.g_00967	Prbf.g_00236
OG0000101	Praz.g_00263	Prbf.g_00558
