Orthogroup	Syan	Syae
OG0000001	Syan.g_02266	Syae.g_01417
OG0000001	Syan.g_01149	Syae.g_02055
OG0000004	Syan.g_00183	Syae.g_00779
OG0000004	Syan.g_00989	Syae.g_00042
OG0000005	Syan.g_01423	Syae.g_01179
OG0000005	Syan.g_01378	Syae.g_01143
OG0000005	Syan.g_00449	Syae.g_00257
OG0000006	Syan.g_00791	Syae.g_00096
OG0000006	Syan.g_01505, Syan.g_02101, Syan.g_02441	Syae.g_02030, Syae.g_02248
OG0000007	Syan.g_02743	Syae.g_02328
OG0000007	Syan.g_01400	Syae.g_01163
OG0000008	Syan.g_00640, Syan.g_02532	Syae.g_00753
OG0000008	Syan.g_00641, Syan.g_02531	Syae.g_00752
OG0000009	Syan.g_02972	Syae.g_00561, Syae.g_00171, Syae.g_00100, Syae.g_01361
OG0000010	Syan.g_02847	Syae.g_02529
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942	Syae.g_02397, Syae.g_02562
OG0000014	Syan.g_01987	Syae.g_01930
OG0000015	Syan.g_01691	Syae.g_01693
OG0000016	Syan.g_01766	Syae.g_01726
OG0000016	Syan.g_02598	Syae.g_00681
OG0000017	Syan.g_01013	Syae.g_02469
OG0000018	Syan.g_02816	Syae.g_02625
OG0000019	Syan.g_02088	Syae.g_02015
OG0000021	Syan.g_01001	Syae.g_00481
OG0000022	Syan.g_00089	Syae.g_00144
OG0000023	Syan.g_00404	Syae.g_00439, Syae.g_00930
OG0000025	Syan.g_00374	Syae.g_00833
OG0000026	Syan.g_01743	Syae.g_01748
OG0000028	Syan.g_01971	Syae.g_01916
OG0000030	Syan.g_01884	Syae.g_01817
OG0000030	Syan.g_01883	Syae.g_01816
OG0000031	Syan.g_01967	Syae.g_01911
OG0000032	Syan.g_02835	Syae.g_02607
OG0000033	Syan.g_03036	Syae.g_01453
OG0000034	Syan.g_01227, Syan.g_03003	Syae.g_00975, Syae.g_01424
OG0000035	Syan.g_01279, Syan.g_01276	Syae.g_02653
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Syae.g_01367
OG0000038	Syan.g_01569	Syae.g_01571
OG0000039	Syan.g_00535	Syae.g_00822, Syae.g_02495
OG0000040	Syan.g_01651	Syae.g_01653
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Syae.g_01821
OG0000044	Syan.g_00431, Syan.g_00435, Syan.g_01065	Syae.g_00098
OG0000045	Syan.g_00086	Syae.g_00732
OG0000046	Syan.g_02157, Syan.g_02160	Syae.g_02154
OG0000048	Syan.g_02036	Syae.g_01982
OG0000052	Syan.g_01954, Syan.g_01953	Syae.g_01886
OG0000053	Syan.g_02812	Syae.g_02629
OG0000054	Syan.g_02503, Syan.g_00231, Syan.g_00506	Syae.g_00221
OG0000057	Syan.g_00643, Syan.g_02514, Syan.g_00186	Syae.g_00782
OG0000058	Syan.g_01964	Syae.g_01905, Syae.g_01227
OG0000059	Syan.g_02255	Syae.g_02074
OG0000060	Syan.g_02856	Syae.g_02514, Syae.g_02306
OG0000060	Syan.g_00277	Syae.g_00649
OG0000061	Syan.g_02696	Syae.g_00921
OG0000062	Syan.g_01380	Syae.g_01145
OG0000063	Syan.g_01739	Syae.g_01752
OG0000064	Syan.g_02518	Syae.g_01631
OG0000066	Syan.g_01156	Syae.g_02386
OG0000067	Syan.g_00690	Syae.g_00521
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Syae.g_02299
OG0000070	Syan.g_00289	Syae.g_00979
OG0000071	Syan.g_01213	Syae.g_00961
OG0000072	Syan.g_03038	Syae.g_01455
OG0000073	Syan.g_02741	Syae.g_02330
OG0000075	Syan.g_00981, Syan.g_01937	Syae.g_01871
OG0000076	Syan.g_01896	Syae.g_01829
OG0000078	Syan.g_01509, Syan.g_01510, Syan.g_02437	Syae.g_02243
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Syae.g_02011
OG0000082	Syan.g_00952	Syae.g_02447
OG0000084	Syan.g_01283	Syae.g_00857, Syae.g_02656
OG0000085	Syan.g_01387	Syae.g_01152
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Syae.g_01333
OG0000087	Syan.g_02268	Syae.g_01414
OG0000088	Syan.g_03031	Syae.g_01449
OG0000089	Syan.g_02316	Syae.g_02219
OG0000090	Syan.g_01166	Syae.g_02374
OG0000091	Syan.g_00235, Syan.g_00808	Syae.g_00082
OG0000092	Syan.g_02502	Syae.g_00884
OG0000093	Syan.g_00708	Syae.g_00537
OG0000094	Syan.g_00353	Syae.g_00430
OG0000095	Syan.g_00290	Syae.g_00793
OG0000098	Syan.g_00043	Syae.g_02384, Syae.g_02058
OG0000099	Syan.g_01968	Syae.g_01913
OG0000100	Syan.g_00658	Syae.g_00489
OG0000102	Syan.g_01891	Syae.g_01824
OG0000104	Syan.g_01792	Syae.g_01708
OG0000105	Syan.g_02031	Syae.g_01977
OG0000106	Syan.g_00076	Syae.g_00272
OG0000107	Syan.g_02106	Syae.g_02032
OG0000108	Syan.g_02764	Syae.g_02309
OG0000110	Syan.g_00171, Syan.g_00882	Syae.g_02435
OG0000111	Syan.g_00187	Syae.g_00783
OG0000112	Syan.g_00556, Syan.g_00252	Syae.g_00351
OG0000113	Syan.g_00664	Syae.g_00494
OG0000114	Syan.g_00741	Syae.g_00575
OG0000115	Syan.g_02810	Syae.g_02631
OG0000116	Syan.g_02710, Syan.g_00460	Syae.g_00939
OG0000117	Syan.g_02644	Syae.g_00647
OG0000118	Syan.g_01241, Syan.g_01237	Syae.g_02479
OG0000119	Syan.g_02672	Syae.g_00904
OG0000120	Syan.g_01966	Syae.g_01912
OG0000121	Syan.g_01273	Syae.g_02649
OG0000123	Syan.g_02190	Syae.g_02131
OG0000124	Syan.g_01873	Syae.g_01809
OG0000125	Syan.g_01573	Syae.g_01573
OG0000126	Syan.g_01705	Syae.g_01706
OG0000128	Syan.g_01768	Syae.g_01724
OG0000129	Syan.g_01563	Syae.g_01562
OG0000130	Syan.g_02906, Syan.g_02907	Syae.g_01284
OG0000131	Syan.g_03008	Syae.g_01428
OG0000132	Syan.g_03029	Syae.g_01447
OG0000133	Syan.g_00561	Syae.g_00356
OG0000134	Syan.g_02319	Syae.g_02222
OG0000135	Syan.g_01616	Syae.g_01608
OG0000136	Syan.g_01342	Syae.g_00989
OG0000137	Syan.g_02846	Syae.g_02530
OG0000138	Syan.g_02747	Syae.g_02325
OG0000139	Syan.g_01160	Syae.g_02380
OG0000140	Syan.g_00042	Syae.g_02383
OG0000141	Syan.g_01032	Syae.g_00016
OG0000142	Syan.g_00816	Syae.g_00074
OG0000143	Syan.g_00812	Syae.g_00078
OG0000144	Syan.g_00782	Syae.g_00261
OG0000145	Syan.g_02740	Syae.g_02331
OG0000146	Syan.g_00555, Syan.g_00253	Syae.g_00350
OG0000147	Syan.g_00254, Syan.g_00554	Syae.g_00349
OG0000148	Syan.g_00670	Syae.g_00500
OG0000149	Syan.g_00393	Syae.g_00847
OG0000150	Syan.g_01031	Syae.g_00017
OG0000151	Syan.g_00731	Syae.g_00563
OG0000152	Syan.g_00565	Syae.g_00360
OG0000153	Syan.g_00601	Syae.g_00394
OG0000154	Syan.g_00363	Syae.g_00420
OG0000155	Syan.g_02654	Syae.g_00885
OG0000156	Syan.g_02717	Syae.g_00945
OG0000157	Syan.g_02718	Syae.g_00946
OG0000158	Syan.g_01078, Syan.g_01926	Syae.g_01858
OG0000160	Syan.g_01274	Syae.g_02650
OG0000161	Syan.g_01268	Syae.g_02644
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Syae.g_02638
OG0000163	Syan.g_02405	Syae.g_01092
OG0000164	Syan.g_01440	Syae.g_01198
OG0000165	Syan.g_01448	Syae.g_01021
OG0000166	Syan.g_02239	Syae.g_02085
OG0000167	Syan.g_01941	Syae.g_01874
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Syae.g_01856
OG0000169	Syan.g_01912	Syae.g_01841
OG0000170	Syan.g_01901	Syae.g_01834
OG0000171	Syan.g_01875	Syae.g_01810
OG0000172	Syan.g_01810	Syae.g_01788
OG0000173	Syan.g_01720	Syae.g_01770
OG0000174	Syan.g_01619	Syae.g_01610
OG0000175	Syan.g_01678, Syan.g_00258	Syae.g_01679
OG0000176	Syan.g_01801	Syae.g_01716
OG0000177	Syan.g_01775	Syae.g_01717
OG0000178	Syan.g_01774	Syae.g_01718
OG0000179	Syan.g_01759	Syae.g_01733
OG0000180	Syan.g_01758	Syae.g_01734
OG0000181	Syan.g_01757	Syae.g_01735
OG0000182	Syan.g_01756	Syae.g_01736
OG0000183	Syan.g_01752	Syae.g_01740
OG0000184	Syan.g_01549	Syae.g_01554
OG0000185	Syan.g_01540	Syae.g_01551
OG0000186	Syan.g_02902	Syae.g_01279
OG0000187	Syan.g_02904	Syae.g_01280
OG0000188	Syan.g_02926	Syae.g_01323
OG0000189	Syan.g_02966	Syae.g_01350
OG0000190	Syan.g_00971	Syae.g_01352
OG0000191	Syan.g_02300	Syae.g_01384
OG0000192	Syan.g_02294	Syae.g_01390
OG0000193	Syan.g_03009	Syae.g_01429
OG0000194	Syan.g_03012	Syae.g_01432
OG0000196	Syan.g_03026	Syae.g_01444
OG0000197	Syan.g_03027	Syae.g_01445
OG0000198	Syan.g_03028	Syae.g_01446
OG0000199	Syan.g_03037	Syae.g_01454
OG0000200	Syan.g_03055	Syae.g_01471
OG0000201	Syan.g_03074	Syae.g_01487
OG0000202	Syan.g_03075	Syae.g_01488
OG0000203	Syan.g_03076	Syae.g_01489
OG0000204	Syan.g_03077	Syae.g_01490
OG0000205	Syan.g_03087	Syae.g_01497
OG0000206	Syan.g_03095	Syae.g_01504
OG0000207	Syan.g_03100	Syae.g_01506
OG0000208	Syan.g_03101	Syae.g_01507
OG0000209	Syan.g_01521	Syae.g_01528
OG0000210	Syan.g_01522	Syae.g_01529
OG0000211	Syan.g_02416	Syae.g_02234
OG0000212	Syan.g_01508, Syan.g_02438	Syae.g_02244
OG0000213	Syan.g_02059	Syae.g_02003
OG0000214	Syan.g_02040	Syae.g_01986
OG0000215	Syan.g_02010	Syae.g_01955
OG0000216	Syan.g_02006	Syae.g_01951
OG0000217	Syan.g_02001	Syae.g_01947
OG0000218	Syan.g_01999	Syae.g_01945
OG0000219	Syan.g_01998	Syae.g_01944
OG0000220	Syan.g_01997	Syae.g_01943
OG0000221	Syan.g_01994	Syae.g_01937
OG0000222	Syan.g_01981	Syae.g_01926
OG0000223	Syan.g_00228	Syae.g_01904
OG0000224	Syan.g_01959	Syae.g_01897
OG0000225	Syan.g_02997	Syae.g_02208
OG0000226	Syan.g_02990	Syae.g_02212
OG0000227	Syan.g_02988	Syae.g_02214
OG0000228	Syan.g_02315	Syae.g_02218
OG0000229	Syan.g_02396	Syae.g_00994
OG0000230	Syan.g_02398	Syae.g_00992
OG0000232	Syan.g_02801	Syae.g_02496
OG0000233	Syan.g_02876	Syae.g_02504
OG0000234	Syan.g_02844	Syae.g_02532
OG0000235	Syan.g_02765	Syae.g_02308
OG0000236	Syan.g_02749	Syae.g_02323
OG0000237	Syan.g_02731	Syae.g_02340
OG0000238	Syan.g_02726	Syae.g_02345
OG0000239	Syan.g_01187	Syae.g_02360
OG0000240	Syan.g_01186	Syae.g_02361
OG0000241	Syan.g_00822	Syae.g_00065
OG0000242	Syan.g_01168	Syae.g_02372
OG0000243	Syan.g_00840	Syae.g_02391
OG0000244	Syan.g_00848	Syae.g_02399
OG0000245	Syan.g_00850	Syae.g_02401
OG0000246	Syan.g_00854	Syae.g_02405
OG0000247	Syan.g_00866	Syae.g_02416
OG0000249	Syan.g_00871	Syae.g_02421
OG0000251	Syan.g_00961	Syae.g_02455
OG0000252	Syan.g_00966	Syae.g_02458
OG0000253	Syan.g_01000	Syae.g_02459
OG0000254	Syan.g_01026	Syae.g_00021
OG0000255	Syan.g_00978	Syae.g_00041
OG0000256	Syan.g_00001, Syan.g_01135	Syae.g_00058
OG0000257	Syan.g_00827	Syae.g_00064
OG0000258	Syan.g_00803	Syae.g_00083
OG0000259	Syan.g_00772	Syae.g_00608
OG0000260	Syan.g_00769	Syae.g_00603
OG0000261	Syan.g_00765	Syae.g_00600
OG0000262	Syan.g_00760	Syae.g_00595
OG0000263	Syan.g_02618	Syae.g_00671
OG0000264	Syan.g_00540	Syae.g_00761
OG0000266	Syan.g_00330	Syae.g_00457
OG0000267	Syan.g_00470	Syae.g_00304
OG0000268	Syan.g_00471	Syae.g_00308
OG0000269	Syan.g_00695	Syae.g_00526
OG0000270	Syan.g_00692	Syae.g_00523
OG0000271	Syan.g_00684	Syae.g_00515
OG0000272	Syan.g_00683	Syae.g_00514
OG0000274	Syan.g_00653	Syae.g_00826
OG0000275	Syan.g_00373	Syae.g_00832
OG0000276	Syan.g_00380	Syae.g_00839
OG0000278	Syan.g_00384	Syae.g_00843
OG0000279	Syan.g_00398	Syae.g_00851
OG0000280	Syan.g_00518	Syae.g_00877
OG0000282	Syan.g_00739	Syae.g_00573
OG0000283	Syan.g_00491	Syae.g_00321
OG0000284	Syan.g_00497	Syae.g_00327
OG0000285	Syan.g_00533	Syae.g_00340
OG0000286	Syan.g_00564	Syae.g_00359
OG0000287	Syan.g_00593	Syae.g_00387
OG0000288	Syan.g_00364	Syae.g_00419
OG0000289	Syan.g_00350	Syae.g_00433
OG0000290	Syan.g_00293	Syae.g_00796
OG0000291	Syan.g_00291	Syae.g_00794
OG0000292	Syan.g_01703	Syae.g_01705
OG0000293	Syan.g_02709	Syae.g_00938
OG0000295	Syan.g_02662	Syae.g_00893
OG0000296	Syan.g_02660	Syae.g_00891
OG0000298	Syan.g_02645	Syae.g_00646
OG0000299	Syan.g_02601	Syae.g_00680
OG0000300	Syan.g_02593, Syan.g_02594	Syae.g_00686
OG0000301	Syan.g_02592	Syae.g_00687
OG0000302	Syan.g_02591	Syae.g_00691
OG0000303	Syan.g_02582	Syae.g_00700
OG0000304	Syan.g_02556	Syae.g_00706
OG0000305	Syan.g_00195	Syae.g_00791
OG0000306	Syan.g_00087	Syae.g_00277
OG0000307	Syan.g_02782	Syae.g_02290
OG0000308	Syan.g_02784	Syae.g_02288
OG0000309	Syan.g_02883	Syae.g_02283
OG0000310	Syan.g_01304	Syae.g_02687
OG0000311	Syan.g_01299	Syae.g_02682
OG0000312	Syan.g_01290	Syae.g_02664
OG0000313	Syan.g_01271	Syae.g_02647
OG0000314	Syan.g_02823	Syae.g_02618
OG0000315	Syan.g_02833	Syae.g_02609
OG0000316	Syan.g_01354	Syae.g_01118
OG0000317	Syan.g_01396	Syae.g_01160
OG0000318	Syan.g_01401	Syae.g_01164
OG0000319	Syan.g_01425	Syae.g_01181
OG0000320	Syan.g_01427	Syae.g_01183
OG0000321	Syan.g_01428	Syae.g_01184
OG0000322	Syan.g_01429	Syae.g_01185
OG0000323	Syan.g_01442	Syae.g_01200
OG0000324	Syan.g_01472	Syae.g_01049
OG0000325	Syan.g_02107	Syae.g_02033
OG0000327	Syan.g_02244	Syae.g_02080
OG0000328	Syan.g_02243	Syae.g_02081
OG0000329	Syan.g_02225	Syae.g_02099
OG0000330	Syan.g_02224	Syae.g_02100
OG0000331	Syan.g_02223	Syae.g_02101
OG0000332	Syan.g_02208	Syae.g_02116
OG0000333	Syan.g_02205	Syae.g_02119
OG0000334	Syan.g_00247, Syan.g_02194	Syae.g_02128
OG0000335	Syan.g_02189	Syae.g_02132
OG0000336	Syan.g_02185	Syae.g_02136
OG0000337	Syan.g_01949	Syae.g_01879
OG0000338	Syan.g_01943	Syae.g_01876
OG0000339	Syan.g_01935, Syan.g_00264	Syae.g_01869
OG0000340	Syan.g_01923	Syae.g_01855
OG0000341	Syan.g_01921	Syae.g_01853
OG0000342	Syan.g_01920	Syae.g_01852
OG0000343	Syan.g_01918	Syae.g_01848
OG0000344	Syan.g_01914	Syae.g_01843
OG0000345	Syan.g_01900	Syae.g_01833
OG0000346	Syan.g_01895	Syae.g_01828
OG0000347	Syan.g_01867	Syae.g_01805
OG0000348	Syan.g_01803	Syae.g_01781
OG0000349	Syan.g_01727	Syae.g_01763
OG0000350	Syan.g_02121	Syae.g_02047
OG0000351	Syan.g_01682	Syae.g_01684
OG0000352	Syan.g_01683	Syae.g_01685
OG0000353	Syan.g_01795	Syae.g_01711
OG0000354	Syan.g_02720	Syae.g_02351
OG0000354	Syan.g_01761	Syae.g_01731
OG0000355	Syan.g_01797	Syae.g_01713
OG0000356	Syan.g_01798	Syae.g_01714
OG0000357	Syan.g_01800	Syae.g_01715
OG0000358	Syan.g_01773	Syae.g_01719
OG0000359	Syan.g_01771	Syae.g_01721
OG0000360	Syan.g_01770	Syae.g_01722
