Orthogroup	Syan	Prah
OG0000001	Syan.g_02266	Prah.g_02270
OG0000001	Syan.g_02528	Prah.g_00896
OG0000003	Syan.g_00157, Syan.g_00032	Prah.g_02448
OG0000004	Syan.g_00183	Prah.g_01022
OG0000004	Syan.g_00989	Prah.g_01413
OG0000005	Syan.g_01378	Prah.g_01652
OG0000006	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prah.g_00475, Prah.g_01767
OG0000007	Syan.g_02743	Prah.g_01546
OG0000007	Syan.g_01400	Prah.g_01676
OG0000008	Syan.g_00640, Syan.g_02532	Prah.g_00970
OG0000008	Syan.g_00641, Syan.g_02531	Prah.g_00969
OG0000009	Syan.g_02972	Prah.g_00432, Prah.g_01895
OG0000010	Syan.g_02847	Prah.g_00311
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prah.g_01956
OG0000014	Syan.g_01987	Prah.g_02171
OG0000015	Syan.g_01691, Syan.g_00248	Prah.g_01155, Prah.g_00576
OG0000016	Syan.g_01766	Prah.g_00015
OG0000016	Syan.g_02598	Prah.g_01270
OG0000017	Syan.g_01013	Prah.g_01397
OG0000018	Syan.g_02816	Prah.g_00378
OG0000019	Syan.g_02088	Prah.g_02086
OG0000021	Syan.g_01001	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410
OG0000022	Syan.g_00089	Prah.g_01209
OG0000023	Syan.g_00404	Prah.g_00688
OG0000025	Syan.g_00374	Prah.g_00604
OG0000026	Syan.g_01743	Prah.g_00038
OG0000028	Syan.g_01971	Prah.g_02184
OG0000030	Syan.g_01884	Prah.g_00132
OG0000030	Syan.g_01883	Prah.g_00131
OG0000031	Syan.g_01967	Prah.g_02248
OG0000032	Syan.g_02835	Prah.g_00358
OG0000032	Syan.g_01819	Prah.g_02196
OG0000033	Syan.g_03036	Prah.g_02307
OG0000034	Syan.g_01227, Syan.g_03003	Prah.g_01376
OG0000035	Syan.g_01279, Syan.g_01276	Prah.g_00408
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prah.g_01901
OG0000038	Syan.g_01569	Prah.g_02494
OG0000038	Syan.g_01571	Prah.g_02496
OG0000039	Syan.g_00535	Prah.g_01758, Prah.g_02382
OG0000041	Syan.g_00302, Syan.g_01465	Prah.g_01737
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prah.g_00135, Prah.g_01256
OG0000044	Syan.g_00431, Syan.g_00435	Prah.g_00994, Prah.g_00343
OG0000045	Syan.g_00086	Prah.g_01837
OG0000046	Syan.g_02157, Syan.g_02160	Prah.g_01955
OG0000048	Syan.g_02036	Prah.g_02122
OG0000052	Syan.g_01954, Syan.g_01953	Prah.g_02219
