Orthogroup	Syan	Prap
OG0000001	Syan.g_02267, Syan.g_02266, Syan.g_01149, Syan.g_02528	Prap.g_01925
OG0000004	Syan.g_00183	Prap.g_00802
OG0000004	Syan.g_00989	Prap.g_01480
OG0000005	Syan.g_01378	Prap.g_00204
OG0000006	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prap.g_01470
OG0000007	Syan.g_02743	Prap.g_01270
OG0000007	Syan.g_01400	Prap.g_01779
OG0000008	Syan.g_00640, Syan.g_02532	Prap.g_01888
OG0000008	Syan.g_00641, Syan.g_02531	Prap.g_01887
OG0000009	Syan.g_02972	Prap.g_00216
OG0000010	Syan.g_02847	Prap.g_00669, Prap.g_00318
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942	Prap.g_00236
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prap.g_01385
OG0000014	Syan.g_01987	Prap.g_01403
OG0000015	Syan.g_01691, Syan.g_00248	Prap.g_01840, Prap.g_01794
OG0000016	Syan.g_02598, Syan.g_00440	Prap.g_00514
OG0000017	Syan.g_01013	Prap.g_01163
OG0000018	Syan.g_02816	Prap.g_00478
OG0000019	Syan.g_02088	Prap.g_01462, Prap.g_00480
OG0000021	Syan.g_01001	Prap.g_00229, Prap.g_00797
OG0000023	Syan.g_00404	Prap.g_00029
OG0000025	Syan.g_00374	Prap.g_00747
OG0000026	Syan.g_01743	Prap.g_00923
OG0000027	Syan.g_02678	Prap.g_01912, Prap.g_01860
OG0000028	Syan.g_01971	Prap.g_01889
OG0000030	Syan.g_01884, Syan.g_01883	Prap.g_01569
OG0000031	Syan.g_01967	Prap.g_00080
OG0000032	Syan.g_02835	Prap.g_00160
OG0000033	Syan.g_03036	Prap.g_00087
OG0000034	Syan.g_01227, Syan.g_03003	Prap.g_00572
OG0000035	Syan.g_01279, Syan.g_01276	Prap.g_00121
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prap.g_01067
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Prap.g_01530
OG0000039	Syan.g_02771, Syan.g_00535	Prap.g_00814
OG0000041	Syan.g_00302, Syan.g_01465	Prap.g_01731
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prap.g_01572
OG0000045	Syan.g_00086	Prap.g_00500
OG0000046	Syan.g_02157, Syan.g_02160	Prap.g_01384
OG0000048	Syan.g_02036	Prap.g_00548
OG0000052	Syan.g_01954, Syan.g_01953	Prap.g_00897
OG0000053	Syan.g_02812	Prap.g_00142, Prap.g_01834
OG0000054	Syan.g_02503, Syan.g_00231, Syan.g_00506	Prap.g_01161
OG0000055	Syan.g_00312	Prap.g_01805
OG0000057	Syan.g_00643, Syan.g_02514, Syan.g_00186	Prap.g_00799
OG0000058	Syan.g_01964, Syan.g_01128, Syan.g_01124	Prap.g_00081
OG0000059	Syan.g_02255	Prap.g_01691
OG0000061	Syan.g_02696	Prap.g_00456
OG0000062	Syan.g_01380	Prap.g_00206
OG0000063	Syan.g_01739	Prap.g_01903
OG0000064	Syan.g_02519, Syan.g_00785, Syan.g_02518	Prap.g_00883
OG0000065	Syan.g_02974	Prap.g_01069
OG0000066	Syan.g_01156	Prap.g_01230, Prap.g_01867
OG0000067	Syan.g_00690	Prap.g_00783
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Prap.g_00059
OG0000069	Syan.g_00459, Syan.g_00278	Prap.g_01312
OG0000070	Syan.g_00289	Prap.g_01316
OG0000071	Syan.g_01213	Prap.g_00561
OG0000072	Syan.g_03038, Syan.g_02999	Prap.g_00999
OG0000073	Syan.g_02741	Prap.g_01267
OG0000075	Syan.g_00981, Syan.g_01937	Prap.g_01606
OG0000076	Syan.g_01896	Prap.g_01580
OG0000077	Syan.g_02919, Syan.g_02579	Prap.g_01099
OG0000078	Syan.g_01509, Syan.g_01510, Syan.g_02437	Prap.g_01472
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Prap.g_01459
OG0000080	Syan.g_01083, Syan.g_01962	Prap.g_00093, Prap.g_00095
OG0000082	Syan.g_00952	Prap.g_01183, Prap.g_01790
OG0000084	Syan.g_01283	Prap.g_00118
OG0000085	Syan.g_01387	Prap.g_01917, Prap.g_01787
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Prap.g_01090
OG0000087	Syan.g_02268	Prap.g_01035
OG0000088	Syan.g_03031	Prap.g_01004
OG0000089	Syan.g_02316	Prap.g_01349
OG0000090	Syan.g_01166	Prap.g_01236
OG0000091	Syan.g_00235, Syan.g_00808	Prap.g_00384
OG0000093	Syan.g_00708	Prap.g_00355
OG0000094	Syan.g_00353, Syan.g_00065	Prap.g_00306
OG0000095	Syan.g_00290	Prap.g_00708
OG0000097	Syan.g_00160, Syan.g_00733	Prap.g_00410
OG0000098	Syan.g_00043	Prap.g_01928
OG0000099	Syan.g_01968	Prap.g_00082
OG0000100	Syan.g_00658	Prap.g_00200
OG0000101	Syan.g_02199	Prap.g_01642
OG0000102	Syan.g_01891	Prap.g_01575
OG0000103	Syan.g_01692	Prap.g_01491
OG0000104	Syan.g_01792	Prap.g_01869
OG0000105	Syan.g_02031	Prap.g_01436
OG0000106	Syan.g_00076	Prap.g_00591
OG0000107	Syan.g_02106	Prap.g_01714
OG0000108	Syan.g_02764	Prap.g_01287
OG0000109	Syan.g_02748	Prap.g_01273
OG0000110	Syan.g_00171, Syan.g_00882	Prap.g_01194
OG0000111	Syan.g_00187	Prap.g_00798
OG0000112	Syan.g_00556, Syan.g_00252	Prap.g_01121
OG0000113	Syan.g_00664	Prap.g_00760
OG0000114	Syan.g_00741	Prap.g_00858
OG0000115	Syan.g_02810	Prap.g_00525
OG0000116	Syan.g_02710, Syan.g_00460	Prap.g_00467
OG0000117	Syan.g_02644	Prap.g_00429
OG0000118	Syan.g_01241, Syan.g_01237	Prap.g_00574
OG0000119	Syan.g_02672	Prap.g_00510, Prap.g_00218
OG0000120	Syan.g_01966	Prap.g_00079
OG0000121	Syan.g_01273	Prap.g_00123
OG0000123	Syan.g_02190	Prap.g_01635
OG0000124	Syan.g_01873	Prap.g_01563
OG0000125	Syan.g_01573	Prap.g_01528
OG0000126	Syan.g_01705	Prap.g_01870
OG0000128	Syan.g_01768	Prap.g_00043
OG0000129	Syan.g_01563	Prap.g_00910
OG0000130	Syan.g_02906, Syan.g_02907	Prap.g_00881
OG0000131	Syan.g_03008	Prap.g_01026
OG0000132	Syan.g_03029	Prap.g_01006
OG0000133	Syan.g_00561	Prap.g_01389
OG0000134	Syan.g_02319	Prap.g_01347
OG0000135	Syan.g_01616	Prap.g_00543
OG0000136	Syan.g_01342	Prap.g_01325
OG0000137	Syan.g_02846	Prap.g_01292
OG0000138	Syan.g_02747	Prap.g_01272
OG0000139	Syan.g_01160	Prap.g_01232
OG0000140	Syan.g_00042	Prap.g_01231
OG0000141	Syan.g_01032	Prap.g_01160
OG0000142	Syan.g_00816	Prap.g_00392
OG0000143	Syan.g_00812	Prap.g_00388
OG0000144	Syan.g_00782	Prap.g_00374
OG0000145	Syan.g_02740	Prap.g_00545
OG0000146	Syan.g_00555, Syan.g_00253	Prap.g_01122
OG0000147	Syan.g_00254, Syan.g_00554	Prap.g_01123
OG0000148	Syan.g_00670	Prap.g_00766
OG0000149	Syan.g_00393	Prap.g_00734
OG0000150	Syan.g_01031	Prap.g_00724
OG0000151	Syan.g_00731	Prap.g_00848
OG0000152	Syan.g_00565	Prap.g_00257
OG0000153	Syan.g_00601	Prap.g_00276
OG0000154	Syan.g_00363	Prap.g_00296
OG0000155	Syan.g_02654	Prap.g_00435
OG0000156	Syan.g_02717	Prap.g_00550
OG0000157	Syan.g_02718	Prap.g_00551
OG0000158	Syan.g_01078, Syan.g_01926	Prap.g_01598
OG0000159	Syan.g_01126	Prap.g_00890
OG0000160	Syan.g_01274	Prap.g_00122
OG0000161	Syan.g_01268	Prap.g_00128
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Prap.g_00134
OG0000163	Syan.g_02405	Prap.g_00173
OG0000164	Syan.g_01440	Prap.g_01754
OG0000165	Syan.g_01448	Prap.g_01747
OG0000166	Syan.g_02239	Prap.g_01680
OG0000167	Syan.g_01941	Prap.g_01608
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Prap.g_01597
OG0000169	Syan.g_01912	Prap.g_01587
OG0000170	Syan.g_01901	Prap.g_01584
OG0000171	Syan.g_01875	Prap.g_01564
OG0000172	Syan.g_01810	Prap.g_01557
OG0000173	Syan.g_01720	Prap.g_01542
OG0000174	Syan.g_01619	Prap.g_01513
OG0000175	Syan.g_01678, Syan.g_00258	Prap.g_01500
OG0000176	Syan.g_01801	Prap.g_00050
OG0000177	Syan.g_01775	Prap.g_00049
OG0000178	Syan.g_01774	Prap.g_00048
OG0000179	Syan.g_01759	Prap.g_00939
OG0000180	Syan.g_01758	Prap.g_00938
OG0000181	Syan.g_01757	Prap.g_00937
OG0000182	Syan.g_01756	Prap.g_00936
OG0000183	Syan.g_01752	Prap.g_00932
OG0000184	Syan.g_01549	Prap.g_00906
OG0000185	Syan.g_01540	Prap.g_00903
OG0000186	Syan.g_02902	Prap.g_00887
OG0000187	Syan.g_02904	Prap.g_00886
OG0000188	Syan.g_02926	Prap.g_01096
OG0000189	Syan.g_02966	Prap.g_01082
OG0000190	Syan.g_00971	Prap.g_01080
OG0000191	Syan.g_02300	Prap.g_01057
OG0000192	Syan.g_02294	Prap.g_01052
OG0000193	Syan.g_03009	Prap.g_01025
OG0000194	Syan.g_03012	Prap.g_01022
OG0000195	Syan.g_03014	Prap.g_01020
OG0000196	Syan.g_03026	Prap.g_01009
OG0000197	Syan.g_03027	Prap.g_01008
OG0000198	Syan.g_03028	Prap.g_01007
OG0000199	Syan.g_03037	Prap.g_01000
OG0000200	Syan.g_03055	Prap.g_00986
OG0000201	Syan.g_03074	Prap.g_00977
OG0000202	Syan.g_03075	Prap.g_00976
OG0000203	Syan.g_03076	Prap.g_00975
OG0000204	Syan.g_03077	Prap.g_00974
OG0000205	Syan.g_03087	Prap.g_00967
OG0000206	Syan.g_03095	Prap.g_00962
OG0000207	Syan.g_03100	Prap.g_00959
OG0000208	Syan.g_03101	Prap.g_00958
OG0000209	Syan.g_01521	Prap.g_00949
OG0000210	Syan.g_01522	Prap.g_00948
OG0000211	Syan.g_02416	Prap.g_01479
OG0000212	Syan.g_01508, Syan.g_02438	Prap.g_01471
OG0000213	Syan.g_02059	Prap.g_01453
OG0000214	Syan.g_02040	Prap.g_01443
OG0000215	Syan.g_02010	Prap.g_01416
OG0000216	Syan.g_02006	Prap.g_01415
OG0000217	Syan.g_02001	Prap.g_01412
OG0000218	Syan.g_01999	Prap.g_01410
OG0000219	Syan.g_01998	Prap.g_01409
OG0000220	Syan.g_01997	Prap.g_01408
OG0000221	Syan.g_01994	Prap.g_01407
OG0000222	Syan.g_01981	Prap.g_01400
OG0000223	Syan.g_00228	Prap.g_01388
OG0000224	Syan.g_01959	Prap.g_01386
OG0000225	Syan.g_02997	Prap.g_01360
OG0000226	Syan.g_02990	Prap.g_01356
OG0000227	Syan.g_02988	Prap.g_01354
OG0000228	Syan.g_02315	Prap.g_01350
OG0000229	Syan.g_02396	Prap.g_01330
OG0000230	Syan.g_02398	Prap.g_01328
OG0000231	Syan.g_01333	Prap.g_01317
OG0000232	Syan.g_02801	Prap.g_01306
OG0000233	Syan.g_02876	Prap.g_01300
OG0000234	Syan.g_02844	Prap.g_01291
OG0000235	Syan.g_02765	Prap.g_01288
OG0000236	Syan.g_02749	Prap.g_01274
OG0000237	Syan.g_02731	Prap.g_01261
OG0000238	Syan.g_02726	Prap.g_01255
OG0000239	Syan.g_01187	Prap.g_01244
OG0000240	Syan.g_01186	Prap.g_01243
OG0000241	Syan.g_00822	Prap.g_01239
OG0000242	Syan.g_01168	Prap.g_01237
OG0000243	Syan.g_00840	Prap.g_01226
OG0000244	Syan.g_00848	Prap.g_01223
OG0000245	Syan.g_00850	Prap.g_01221
OG0000246	Syan.g_00854	Prap.g_01217
OG0000247	Syan.g_00866	Prap.g_01207
OG0000248	Syan.g_00869	Prap.g_01204
OG0000249	Syan.g_00871	Prap.g_01202
OG0000250	Syan.g_00878	Prap.g_01197
OG0000251	Syan.g_00961	Prap.g_01177
OG0000252	Syan.g_00966	Prap.g_01174
OG0000253	Syan.g_01000	Prap.g_01173
OG0000254	Syan.g_01026	Prap.g_01156
OG0000255	Syan.g_00978	Prap.g_01150
OG0000256	Syan.g_00001, Syan.g_01135	Prap.g_01140
OG0000257	Syan.g_00827	Prap.g_00397
OG0000258	Syan.g_00803	Prap.g_00383
OG0000259	Syan.g_00772	Prap.g_00366
OG0000260	Syan.g_00769	Prap.g_00363
OG0000261	Syan.g_00765	Prap.g_00360
OG0000262	Syan.g_00760	Prap.g_00356
OG0000263	Syan.g_02618	Prap.g_00820
OG0000264	Syan.g_00540	Prap.g_00809
OG0000266	Syan.g_00330	Prap.g_00337
OG0000267	Syan.g_00470	Prap.g_00325
OG0000268	Syan.g_00471	Prap.g_00324
OG0000269	Syan.g_00695	Prap.g_00788
OG0000270	Syan.g_00692	Prap.g_00785
OG0000271	Syan.g_00684	Prap.g_00777
OG0000272	Syan.g_00683	Prap.g_00776
OG0000273	Syan.g_00654	Prap.g_00752
OG0000274	Syan.g_00653	Prap.g_00751
OG0000275	Syan.g_00373	Prap.g_00748
OG0000276	Syan.g_00380	Prap.g_00742
OG0000277	Syan.g_00381	Prap.g_00741
OG0000278	Syan.g_00384	Prap.g_00738
OG0000279	Syan.g_00398	Prap.g_00731
OG0000280	Syan.g_00518	Prap.g_00730
OG0000282	Syan.g_00739	Prap.g_00856
OG0000283	Syan.g_00491	Prap.g_00680
OG0000284	Syan.g_00497	Prap.g_00675
OG0000285	Syan.g_00533	Prap.g_00243
OG0000286	Syan.g_00564	Prap.g_00256
OG0000287	Syan.g_00593	Prap.g_00522
OG0000288	Syan.g_00364	Prap.g_00295
OG0000289	Syan.g_00350	Prap.g_00311
OG0000290	Syan.g_00293	Prap.g_00705
OG0000291	Syan.g_00291	Prap.g_00707
OG0000292	Syan.g_01703	Prap.g_00501
OG0000293	Syan.g_02709	Prap.g_00466
OG0000294	Syan.g_02708	Prap.g_00465
OG0000295	Syan.g_02662	Prap.g_00442
OG0000296	Syan.g_02660	Prap.g_00440
OG0000297	Syan.g_02646	Prap.g_00431
OG0000298	Syan.g_02645	Prap.g_00430
OG0000299	Syan.g_02601	Prap.g_00411
OG0000300	Syan.g_02593, Syan.g_02594	Prap.g_00408
OG0000301	Syan.g_02592	Prap.g_00407
OG0000302	Syan.g_02591	Prap.g_00405
OG0000303	Syan.g_02582	Prap.g_00399
OG0000304	Syan.g_02556	Prap.g_01135
OG0000305	Syan.g_00195	Prap.g_00499
OG0000306	Syan.g_00087	Prap.g_00719
OG0000307	Syan.g_02782	Prap.g_00068
OG0000308	Syan.g_02784	Prap.g_00069
OG0000309	Syan.g_02883	Prap.g_00073
OG0000310	Syan.g_01304	Prap.g_00107
OG0000311	Syan.g_01299	Prap.g_00109
OG0000312	Syan.g_01290	Prap.g_00112
OG0000313	Syan.g_01271	Prap.g_00125
OG0000314	Syan.g_02823	Prap.g_00148
OG0000315	Syan.g_02833	Prap.g_00158
OG0000316	Syan.g_01354	Prap.g_00183
OG0000317	Syan.g_01396	Prap.g_01782
OG0000318	Syan.g_01401	Prap.g_01778
OG0000319	Syan.g_01425	Prap.g_01765
OG0000320	Syan.g_01427	Prap.g_01763
OG0000321	Syan.g_01428	Prap.g_01762
OG0000322	Syan.g_01429	Prap.g_01761
OG0000323	Syan.g_01442	Prap.g_01751
OG0000324	Syan.g_01472	Prap.g_01724
OG0000325	Syan.g_02107	Prap.g_01713
OG0000326	Syan.g_02114	Prap.g_01706
OG0000327	Syan.g_02244	Prap.g_01685
OG0000328	Syan.g_02243	Prap.g_01684
OG0000329	Syan.g_02225	Prap.g_01667
OG0000330	Syan.g_02224	Prap.g_01666
OG0000331	Syan.g_02223	Prap.g_01665
OG0000332	Syan.g_02208	Prap.g_01651
OG0000333	Syan.g_02205	Prap.g_01648, Prap.g_01649
OG0000334	Syan.g_00247, Syan.g_02194	Prap.g_01639
OG0000335	Syan.g_02189	Prap.g_01634
OG0000336	Syan.g_02185	Prap.g_01630
OG0000337	Syan.g_01949	Prap.g_01612
OG0000338	Syan.g_01943	Prap.g_01611
OG0000339	Syan.g_01935, Syan.g_00264	Prap.g_01605
OG0000340	Syan.g_01923	Prap.g_01596
OG0000341	Syan.g_01921	Prap.g_01594
OG0000342	Syan.g_01920	Prap.g_01593
OG0000343	Syan.g_01918	Prap.g_01592
OG0000344	Syan.g_01914	Prap.g_01589
OG0000345	Syan.g_01900	Prap.g_01583
OG0000346	Syan.g_01895	Prap.g_01579
OG0000347	Syan.g_01867	Prap.g_01562
OG0000348	Syan.g_01803	Prap.g_01554
OG0000349	Syan.g_01727	Prap.g_01537
OG0000350	Syan.g_02121	Prap.g_00623
OG0000351	Syan.g_01682	Prap.g_01497
OG0000352	Syan.g_01683	Prap.g_01496
OG0000353	Syan.g_01795	Prap.g_00055
OG0000355	Syan.g_01797	Prap.g_00053
OG0000356	Syan.g_01798	Prap.g_00052
OG0000357	Syan.g_01800	Prap.g_00051
OG0000358	Syan.g_01773	Prap.g_00047
OG0000359	Syan.g_01771	Prap.g_00046
OG0000360	Syan.g_01770	Prap.g_00045
OG0000361	Syan.g_01769	Prap.g_00044
OG0000362	Syan.g_01767	Prap.g_00042
OG0000363	Syan.g_01765	Prap.g_00941
OG0000364	Syan.g_01398	Prap.g_00940
OG0000365	Syan.g_01755	Prap.g_00935
OG0000366	Syan.g_01754	Prap.g_00934
OG0000367	Syan.g_01753	Prap.g_00933
OG0000368	Syan.g_01751	Prap.g_00931
OG0000369	Syan.g_01750	Prap.g_00930
OG0000370	Syan.g_01749	Prap.g_00929
OG0000371	Syan.g_01740	Prap.g_00922
OG0000372	Syan.g_01734	Prap.g_00919
OG0000373	Syan.g_01733	Prap.g_00918
OG0000374	Syan.g_01732	Prap.g_00917
OG0000375	Syan.g_01731	Prap.g_00915
OG0000376	Syan.g_01729	Prap.g_00913
OG0000377	Syan.g_01555	Prap.g_00909
OG0000378	Syan.g_01543	Prap.g_00905
OG0000379	Syan.g_01539	Prap.g_00902
OG0000380	Syan.g_02905	Prap.g_00885
OG0000381	Syan.g_02908	Prap.g_00880
OG0000382	Syan.g_02925	Prap.g_01097
OG0000383	Syan.g_02936	Prap.g_01095
OG0000384	Syan.g_02937	Prap.g_01094
OG0000385	Syan.g_02938	Prap.g_01093
OG0000386	Syan.g_02939	Prap.g_01092
OG0000387	Syan.g_00967	Prap.g_01078
OG0000388	Syan.g_02970	Prap.g_01074
OG0000389	Syan.g_02973	Prap.g_01071
OG0000390	Syan.g_02306	Prap.g_01061
OG0000391	Syan.g_02301	Prap.g_01058
OG0000392	Syan.g_02295	Prap.g_01054
OG0000393	Syan.g_02292	Prap.g_01051
OG0000394	Syan.g_02291	Prap.g_01050
OG0000395	Syan.g_02290	Prap.g_01049
OG0000396	Syan.g_02287	Prap.g_01047
OG0000397	Syan.g_02285	Prap.g_01045
OG0000398	Syan.g_02279	Prap.g_01042
OG0000399	Syan.g_02278	Prap.g_01041
OG0000400	Syan.g_02277	Prap.g_01040
OG0000401	Syan.g_02274	Prap.g_01039
OG0000402	Syan.g_02272	Prap.g_00319
OG0000403	Syan.g_02271	Prap.g_01037
OG0000404	Syan.g_02269	Prap.g_01036
OG0000405	Syan.g_03005	Prap.g_01032
OG0000406	Syan.g_03010	Prap.g_01024
OG0000407	Syan.g_03011	Prap.g_01023
OG0000408	Syan.g_03013	Prap.g_01021
OG0000409	Syan.g_03015	Prap.g_01019
OG0000410	Syan.g_03016	Prap.g_01018
OG0000411	Syan.g_03017	Prap.g_01017
OG0000412	Syan.g_03018	Prap.g_01016
OG0000413	Syan.g_03020	Prap.g_01014
OG0000414	Syan.g_03021	Prap.g_01013
OG0000415	Syan.g_03022	Prap.g_01012
OG0000416	Syan.g_03023	Prap.g_01011
OG0000417	Syan.g_03025	Prap.g_01010
OG0000418	Syan.g_03030	Prap.g_01005
OG0000419	Syan.g_03033	Prap.g_01003
OG0000420	Syan.g_03035	Prap.g_01002
OG0000421	Syan.g_03040	Prap.g_00997
OG0000422	Syan.g_03041	Prap.g_00996
OG0000423	Syan.g_03042	Prap.g_00995
OG0000424	Syan.g_03043	Prap.g_00994
OG0000425	Syan.g_03044	Prap.g_00993
OG0000426	Syan.g_03045	Prap.g_00992
OG0000427	Syan.g_03046	Prap.g_00991
OG0000428	Syan.g_03049	Prap.g_00989
OG0000429	Syan.g_03051	Prap.g_00988
OG0000430	Syan.g_03053	Prap.g_00987
OG0000431	Syan.g_03058	Prap.g_00985
OG0000432	Syan.g_03065	Prap.g_00981
OG0000433	Syan.g_03068	Prap.g_00980
OG0000434	Syan.g_03069	Prap.g_00979
OG0000435	Syan.g_03071	Prap.g_00978
OG0000436	Syan.g_03079	Prap.g_00973
OG0000437	Syan.g_03080	Prap.g_00972
OG0000438	Syan.g_03083	Prap.g_00971
OG0000439	Syan.g_03085	Prap.g_00969
OG0000440	Syan.g_03086	Prap.g_00968
OG0000441	Syan.g_03089	Prap.g_00965
OG0000442	Syan.g_03090	Prap.g_00964
OG0000443	Syan.g_03094	Prap.g_00963
OG0000444	Syan.g_03102	Prap.g_00957
OG0000445	Syan.g_03103	Prap.g_00956
