Orthogroup	Syan	Prbc
OG0000001	Syan.g_02267, Syan.g_02266, Syan.g_01149, Syan.g_02528	Prbc.g_00588
OG0000004	Syan.g_00183	Prbc.g_01381
OG0000004	Syan.g_00989	Prbc.g_00339
OG0000005	Syan.g_01423	Prbc.g_00098
OG0000005	Syan.g_01378	Prbc.g_00788
OG0000006	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prbc.g_02202
OG0000007	Syan.g_02743	Prbc.g_01556
OG0000007	Syan.g_01400	Prbc.g_00832
OG0000008	Syan.g_00640, Syan.g_02532	Prbc.g_00893
OG0000008	Syan.g_00641, Syan.g_02531	Prbc.g_00894
OG0000009	Syan.g_02972	Prbc.g_01344
OG0000010	Syan.g_02847	Prbc.g_02115
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942	Prbc.g_02155
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prbc.g_01219
OG0000014	Syan.g_01987	Prbc.g_01198
OG0000015	Syan.g_01691, Syan.g_00248	Prbc.g_00599
OG0000016	Syan.g_01766	Prbc.g_01083
OG0000016	Syan.g_02598, Syan.g_00440	Prbc.g_00929
OG0000017	Syan.g_01006	Prbc.g_01681
OG0000018	Syan.g_02816	Prbc.g_01468
OG0000019	Syan.g_02088	Prbc.g_01836
OG0000021	Syan.g_01001	Prbc.g_00924, Prbc.g_02189
OG0000022	Syan.g_00089	Prbc.g_01288
OG0000023	Syan.g_00404	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000025	Syan.g_00374	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syan.g_01743	Prbc.g_01101
OG0000027	Syan.g_02678	Prbc.g_00072
OG0000028	Syan.g_01971	Prbc.g_00653
OG0000030	Syan.g_01884, Syan.g_01883	Prbc.g_00199
OG0000031	Syan.g_01967	Prbc.g_01228
OG0000032	Syan.g_02835	Prbc.g_00746
OG0000033	Syan.g_03036	Prbc.g_00402
OG0000034	Syan.g_01227, Syan.g_03003	Prbc.g_00575
OG0000035	Syan.g_01279, Syan.g_01276	Prbc.g_00709
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prbc.g_00464
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Prbc.g_00995
OG0000039	Syan.g_02771, Syan.g_00535	Prbc.g_01768
OG0000041	Syan.g_00302, Syan.g_01465	Prbc.g_00877
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prbc.g_00203
OG0000044	Syan.g_00431, Syan.g_00435, Syan.g_01065	Prbc.g_00533
OG0000045	Syan.g_00086	Prbc.g_02137
OG0000046	Syan.g_02157, Syan.g_02160	Prbc.g_01220
OG0000048	Syan.g_02036	Prbc.g_01165
OG0000052	Syan.g_01954, Syan.g_01953	Prbc.g_00518, Prbc.g_00517
OG0000053	Syan.g_02812	Prbc.g_00728
OG0000054	Syan.g_02503, Syan.g_00231, Syan.g_00506	Prbc.g_01683
OG0000055	Syan.g_00312	Prbc.g_00907
OG0000057	Syan.g_00643, Syan.g_02514, Syan.g_00186	Prbc.g_00055, Prbc.g_01780
OG0000058	Syan.g_01964, Syan.g_01128, Syan.g_01124	Prbc.g_01928
OG0000059	Syan.g_02255	Prbc.g_00958
OG0000061	Syan.g_02696	Prbc.g_01446
OG0000062	Syan.g_01380	Prbc.g_00790
OG0000063	Syan.g_01739	Prbc.g_00932
OG0000065	Syan.g_02974	Prbc.g_00466
OG0000066	Syan.g_01156	Prbc.g_01618
OG0000067	Syan.g_00690	Prbc.g_01858
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Prbc.g_00657
OG0000069	Syan.g_00459, Syan.g_00278	Prbc.g_02181, Prbc.g_00752
OG0000070	Syan.g_00289	Prbc.g_01511
OG0000071	Syan.g_01213	Prbc.g_00566
OG0000072	Syan.g_03038, Syan.g_02999	Prbc.g_00400
OG0000073	Syan.g_02741	Prbc.g_01579
OG0000075	Syan.g_00981, Syan.g_01937	Prbc.g_00236
OG0000076	Syan.g_01896	Prbc.g_00211
OG0000077	Syan.g_02919, Syan.g_02579	Prbc.g_00495
OG0000078	Syan.g_01509, Syan.g_01510, Syan.g_02437	Prbc.g_00330
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Prbc.g_01148
OG0000080	Syan.g_01110, Syan.g_01083, Syan.g_01962	Prbc.g_00679
OG0000082	Syan.g_00952	Prbc.g_00891
OG0000084	Syan.g_01283	Prbc.g_00705
OG0000085	Syan.g_01387	Prbc.g_00826
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Prbc.g_00485
OG0000087	Syan.g_02268	Prbc.g_00432
OG0000088	Syan.g_03031	Prbc.g_00405
OG0000089	Syan.g_02316	Prbc.g_01268
OG0000090	Syan.g_01166	Prbc.g_01612
OG0000091	Syan.g_00235, Syan.g_00808	Prbc.g_01719
OG0000092	Syan.g_02502	Prbc.g_01982
OG0000093	Syan.g_00708	Prbc.g_01843
OG0000094	Syan.g_00353, Syan.g_00065	Prbc.g_01935
OG0000095	Syan.g_00290	Prbc.g_02113
OG0000097	Syan.g_00160, Syan.g_00733	Prbc.g_01400
OG0000098	Syan.g_00043	Prbc.g_00585
OG0000099	Syan.g_01968	Prbc.g_01229
OG0000100	Syan.g_00658	Prbc.g_00785
OG0000101	Syan.g_02199	Prbc.g_00284
OG0000102	Syan.g_01891	Prbc.g_00206
OG0000103	Syan.g_01692	Prbc.g_01053
OG0000104	Syan.g_01792	Prbc.g_01065
OG0000105	Syan.g_02031	Prbc.g_01167
OG0000106	Syan.g_00076	Prbc.g_00134, Prbc.g_00641
OG0000107	Syan.g_02106	Prbc.g_00934
OG0000108	Syan.g_02764	Prbc.g_01540
OG0000109	Syan.g_02748	Prbc.g_01553
OG0000110	Syan.g_00171, Syan.g_00882	Prbc.g_01654
OG0000111	Syan.g_00187	Prbc.g_01781
OG0000112	Syan.g_00556, Syan.g_00252	Prbc.g_02028
OG0000113	Syan.g_00664	Prbc.g_01882, Prbc.g_00153
OG0000114	Syan.g_00741	Prbc.g_01977
OG0000115	Syan.g_02810	Prbc.g_00801
OG0000116	Syan.g_02710, Syan.g_00460	Prbc.g_01457
OG0000117	Syan.g_02644	Prbc.g_00102
OG0000118	Syan.g_01241, Syan.g_01237	Prbc.g_00577
OG0000119	Syan.g_02672	Prbc.g_00650
OG0000120	Syan.g_01966	Prbc.g_01753
OG0000121	Syan.g_01273	Prbc.g_00711
OG0000123	Syan.g_02190	Prbc.g_00277
OG0000124	Syan.g_01873	Prbc.g_00193
OG0000125	Syan.g_01573	Prbc.g_00997
OG0000126	Syan.g_01705	Prbc.g_01063
OG0000127	Syan.g_01071	Prbc.g_00002, Prbc.g_00016
OG0000128	Syan.g_01768	Prbc.g_01081
OG0000129	Syan.g_01563	Prbc.g_01122
OG0000130	Syan.g_02906, Syan.g_02907	Prbc.g_00504
OG0000131	Syan.g_03008	Prbc.g_00426
OG0000132	Syan.g_03029	Prbc.g_00407
OG0000133	Syan.g_00561	Prbc.g_01214
OG0000134	Syan.g_02319	Prbc.g_01270
OG0000135	Syan.g_01616	Prbc.g_02198, Prbc.g_02183
OG0000136	Syan.g_01342	Prbc.g_01502
OG0000137	Syan.g_02846	Prbc.g_01534
OG0000138	Syan.g_02747	Prbc.g_01554
OG0000139	Syan.g_01160	Prbc.g_01616
OG0000140	Syan.g_00042	Prbc.g_01617
OG0000141	Syan.g_01032	Prbc.g_01684
OG0000142	Syan.g_00816	Prbc.g_01712
OG0000143	Syan.g_00812	Prbc.g_01716
OG0000144	Syan.g_00782	Prbc.g_01729
OG0000145	Syan.g_02740	Prbc.g_02142
OG0000146	Syan.g_00555, Syan.g_00253	Prbc.g_02027
OG0000147	Syan.g_00254, Syan.g_00554	Prbc.g_02026
OG0000148	Syan.g_00670	Prbc.g_01876
OG0000149	Syan.g_00393	Prbc.g_01908
OG0000150	Syan.g_01031	Prbc.g_01916
OG0000151	Syan.g_00731	Prbc.g_01988
OG0000152	Syan.g_00565	Prbc.g_02036
OG0000153	Syan.g_00601	Prbc.g_02054
OG0000154	Syan.g_00363	Prbc.g_02083
OG0000155	Syan.g_02654	Prbc.g_01424
OG0000156	Syan.g_02717	Prbc.g_00555
OG0000157	Syan.g_02718	Prbc.g_00556
OG0000158	Syan.g_01078, Syan.g_01926	Prbc.g_00228
OG0000160	Syan.g_01274	Prbc.g_00710
OG0000161	Syan.g_01268	Prbc.g_00716
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Prbc.g_00722
OG0000163	Syan.g_02405	Prbc.g_00758
OG0000164	Syan.g_01440	Prbc.g_00854
OG0000165	Syan.g_01448	Prbc.g_00862
OG0000166	Syan.g_02239	Prbc.g_00321
OG0000167	Syan.g_01941	Prbc.g_00238
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Prbc.g_00227
OG0000169	Syan.g_01912	Prbc.g_00217
OG0000170	Syan.g_01901	Prbc.g_00215
OG0000171	Syan.g_01875	Prbc.g_00194
OG0000172	Syan.g_01810	Prbc.g_00967
OG0000173	Syan.g_01720	Prbc.g_00982
OG0000174	Syan.g_01619	Prbc.g_01013
OG0000175	Syan.g_01678, Syan.g_00258	Prbc.g_01044
OG0000176	Syan.g_01801	Prbc.g_01074
OG0000177	Syan.g_01775	Prbc.g_01075
OG0000178	Syan.g_01774	Prbc.g_01076
OG0000179	Syan.g_01759	Prbc.g_01086
OG0000180	Syan.g_01758	Prbc.g_01087
OG0000181	Syan.g_01757	Prbc.g_01088
OG0000182	Syan.g_01756	Prbc.g_01089
OG0000183	Syan.g_01752	Prbc.g_01093
OG0000184	Syan.g_01549	Prbc.g_01124
OG0000185	Syan.g_01540	Prbc.g_01127
OG0000186	Syan.g_02902	Prbc.g_00509
OG0000187	Syan.g_02904	Prbc.g_00508
OG0000188	Syan.g_02926	Prbc.g_00491
OG0000189	Syan.g_02966	Prbc.g_00477
OG0000190	Syan.g_00971	Prbc.g_00476
OG0000191	Syan.g_02300	Prbc.g_00453
OG0000192	Syan.g_02294	Prbc.g_00449
OG0000193	Syan.g_03009	Prbc.g_00425
OG0000194	Syan.g_03012	Prbc.g_00422
OG0000195	Syan.g_03014	Prbc.g_00420
OG0000196	Syan.g_03026	Prbc.g_00410
