Orthogroup	Syan	Syar
OG0000001	Syan.g_02266	Syar.g_00070
OG0000001	Syan.g_02528	Syar.g_02229
OG0000003	Syan.g_00157	Syar.g_00836
OG0000004	Syan.g_00183	Syar.g_02051
OG0000004	Syan.g_00989	Syar.g_02225
OG0000005	Syan.g_01423	Syar.g_02952
OG0000005	Syan.g_01378	Syar.g_02909
OG0000005	Syan.g_00449	Syar.g_01752
OG0000006	Syan.g_00791	Syar.g_02439
OG0000006	Syan.g_01505, Syan.g_02101, Syan.g_02441	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Syan.g_02743	Syar.g_01491
OG0000007	Syan.g_01400	Syar.g_02929
OG0000008	Syan.g_00640, Syan.g_02532	Syar.g_02097
OG0000008	Syan.g_00641, Syan.g_02531	Syar.g_02098
OG0000009	Syan.g_02972	Syar.g_03116
OG0000010	Syan.g_02847	Syar.g_01272
OG0000012	Syan.g_00942	Syar.g_00690
OG0000014	Syan.g_01987	Syar.g_00825
OG0000015	Syan.g_01691	Syar.g_00451
OG0000015	Syan.g_00248	Syar.g_00180
OG0000016	Syan.g_01766, Syan.g_02598, Syan.g_00440	Syar.g_02859
OG0000017	Syan.g_01006	Syar.g_02188
OG0000017	Syan.g_01013	Syar.g_02180
OG0000018	Syan.g_02816	Syar.g_01409
OG0000019	Syan.g_02088	Syar.g_00163
OG0000022	Syan.g_00089	Syar.g_00835
OG0000025	Syan.g_00374	Syar.g_01811
OG0000026	Syan.g_01743	Syar.g_00505
OG0000027	Syan.g_02678	Syar.g_02835
OG0000028	Syan.g_01971	Syar.g_00718
OG0000031	Syan.g_01967	Syar.g_00714
OG0000032	Syan.g_02835	Syar.g_01390
OG0000032	Syan.g_01819	Syar.g_00543
OG0000033	Syan.g_03036	Syar.g_00105
OG0000034	Syan.g_01227, Syan.g_03003	Syar.g_00074, Syar.g_02790
OG0000037	Syan.g_02978	Syar.g_02562
OG0000037	Syan.g_00917	Syar.g_01310, Syar.g_02856
OG0000038	Syan.g_01569	Syar.g_00334
OG0000038	Syan.g_01571	Syar.g_00336
OG0000039	Syan.g_00535	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Syan.g_01651	Syar.g_00858
OG0000041	Syan.g_00302	Syar.g_01370, Syar.g_02014
OG0000042	Syan.g_00991, Syan.g_02643	Syar.g_00595, Syar.g_01970
OG0000044	Syan.g_00431, Syan.g_00435	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Syan.g_00086	Syar.g_02592
OG0000046	Syan.g_02157, Syan.g_02160	Syar.g_01102, Syar.g_01105
OG0000048	Syan.g_02036	Syar.g_00213
OG0000052	Syan.g_01954, Syan.g_01953	Syar.g_00281
OG0000053	Syan.g_02812	Syar.g_01413
OG0000054	Syan.g_00231	Syar.g_02265
OG0000055	Syan.g_00312	Syar.g_01386
OG0000057	Syan.g_00643, Syan.g_02514, Syan.g_00186	Syar.g_01941
OG0000058	Syan.g_01964	Syar.g_00648
OG0000059	Syan.g_02255	Syar.g_01024
OG0000060	Syan.g_02856	Syar.g_01260
OG0000060	Syan.g_00249	Syar.g_00178
OG0000061	Syan.g_02696	Syar.g_01539
OG0000062	Syan.g_00098	Syar.g_01439
OG0000062	Syan.g_01380	Syar.g_02911
OG0000063	Syan.g_01739	Syar.g_00509
OG0000064	Syan.g_02518	Syar.g_03117
OG0000065	Syan.g_02974	Syar.g_03119
OG0000066	Syan.g_01156	Syar.g_03187, Syar.g_02228
OG0000067	Syan.g_00690	Syar.g_02639
OG0000068	Syan.g_00845	Syar.g_02329
OG0000068	Syan.g_02773	Syar.g_01461
