Orthogroup	Syan	Syam
OG0000001	Syan.g_02266	Syam.g_02178
OG0000001	Syan.g_01149	Syam.g_00929
OG0000004	Syan.g_00183	Syam.g_00787
OG0000004	Syan.g_00989	Syam.g_01499
OG0000005	Syan.g_01423	Syam.g_02004
OG0000005	Syan.g_01378	Syam.g_01970
OG0000005	Syan.g_00449	Syam.g_00715, Syam.g_01029
OG0000006	Syan.g_00791	Syam.g_01446
OG0000006	Syan.g_01505, Syan.g_02101, Syan.g_02441	Syam.g_00286, Syam.g_00518
OG0000007	Syan.g_02743	Syam.g_00602
OG0000007	Syan.g_01400	Syam.g_01990
OG0000008	Syan.g_00640, Syan.g_02532	Syam.g_00810
OG0000008	Syan.g_00641, Syan.g_02531	Syam.g_00811
OG0000009	Syan.g_02972	Syam.g_02119
OG0000010	Syan.g_02847	Syam.g_01669
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942	Syam.g_00794, Syam.g_00994
OG0000014	Syan.g_01987	Syam.g_00191
OG0000016	Syan.g_01766	Syam.g_00014
OG0000016	Syan.g_02598	Syam.g_00876
OG0000017	Syan.g_01013	Syam.g_01708
OG0000018	Syan.g_02816	Syam.g_01640
OG0000019	Syan.g_02088	Syam.g_00274
OG0000021	Syan.g_01001	Syam.g_00523
OG0000022	Syan.g_00089	Syam.g_01418
OG0000023	Syan.g_00404	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000025	Syan.g_00374	Syam.g_00740
OG0000026	Syan.g_01743	Syam.g_00035
OG0000028	Syan.g_01971	Syam.g_00176
OG0000030	Syan.g_01884	Syam.g_00104
OG0000030	Syan.g_01883	Syam.g_00103
OG0000031	Syan.g_01967	Syam.g_00171
OG0000032	Syan.g_02835	Syam.g_01660
OG0000032	Syan.g_01819	Syam.g_00079
OG0000033	Syan.g_03036	Syam.g_02217
OG0000034	Syan.g_01227, Syan.g_03003	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Syan.g_01279, Syan.g_01276	Syam.g_01612
OG0000037	Syan.g_00136	Syam.g_02125
OG0000038	Syan.g_01569	Syam.g_02317
OG0000039	Syan.g_00535	Syam.g_00749
OG0000040	Syan.g_01651	Syam.g_02390
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Syam.g_00107
OG0000044	Syan.g_00431, Syan.g_00435	Syam.g_02052
OG0000045	Syan.g_00151	Syam.g_02028
OG0000046	Syan.g_02157, Syan.g_02160	Syam.g_00403
OG0000048	Syan.g_02036	Syam.g_00243
OG0000052	Syan.g_01954, Syan.g_01953	Syam.g_00161
OG0000053	Syan.g_02812	Syam.g_01636
OG0000058	Syan.g_01964	Syam.g_00169
OG0000059	Syan.g_02255	Syam.g_00320
OG0000060	Syan.g_00277	Syam.g_00902
OG0000061	Syan.g_02696	Syam.g_01795
OG0000062	Syan.g_01380	Syam.g_01972
OG0000063	Syan.g_01739	Syam.g_00039
OG0000064	Syan.g_02518	Syam.g_02363
OG0000066	Syan.g_01156	Syam.g_00552, Syam.g_00662
OG0000067	Syan.g_00690	Syam.g_01290
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Syam.g_00575
OG0000069	Syan.g_00459	Syam.g_01521
OG0000070	Syan.g_00289	Syam.g_01847
OG0000071	Syan.g_01213	Syam.g_01830
OG0000072	Syan.g_03038	Syam.g_02219
OG0000073	Syan.g_02741	Syam.g_00604
OG0000075	Syan.g_00981, Syan.g_01937	Syam.g_00148
OG0000076	Syan.g_01896	Syam.g_00115
OG0000077	Syan.g_02919, Syan.g_02579	Syam.g_02074
OG0000078	Syan.g_01509, Syan.g_01510, Syan.g_02437	Syam.g_00514
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Syam.g_00270
OG0000082	Syan.g_00952	Syam.g_01730
OG0000084	Syan.g_01283	Syam.g_00441
OG0000085	Syan.g_01387	Syam.g_01979
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Syam.g_02092
OG0000087	Syan.g_02268	Syam.g_02175
OG0000088	Syan.g_03031	Syam.g_02213
OG0000089	Syan.g_02316	Syam.g_00489
OG0000090	Syan.g_01166	Syam.g_00651
OG0000091	Syan.g_00235, Syan.g_00808	Syam.g_01460
OG0000093	Syan.g_00708	Syam.g_01305
OG0000094	Syan.g_00353	Syam.g_01198
OG0000095	Syan.g_00290	Syam.g_00774
OG0000097	Syan.g_00160, Syan.g_00733	Syam.g_00874
OG0000098	Syan.g_00043	Syam.g_00944
OG0000099	Syan.g_01968	Syam.g_00173
OG0000100	Syan.g_00658	Syam.g_01259
OG0000102	Syan.g_01891	Syam.g_00110
OG0000104	Syan.g_01792	Syam.g_02442
OG0000105	Syan.g_02031	Syam.g_00238
OG0000106	Syan.g_00076	Syam.g_01039
OG0000107	Syan.g_02106	Syam.g_00288
OG0000108	Syan.g_02764	Syam.g_00583
OG0000110	Syan.g_00171, Syan.g_00882	Syam.g_01743
OG0000112	Syan.g_00556, Syan.g_00252	Syam.g_01115
OG0000113	Syan.g_00664	Syam.g_01264
OG0000114	Syan.g_00741	Syam.g_01349
OG0000115	Syan.g_02810	Syam.g_01634
OG0000116	Syan.g_02710, Syan.g_00460	Syam.g_01807
OG0000117	Syan.g_02644	Syam.g_00904
OG0000118	Syan.g_01241, Syan.g_01237	Syam.g_01698
OG0000120	Syan.g_01966	Syam.g_00172
OG0000121	Syan.g_01273	Syam.g_01615
OG0000123	Syan.g_02190	Syam.g_00379
OG0000124	Syan.g_01873	Syam.g_00096
