Orthogroup	Syan	Prbh
OG0000001	Syan.g_02267, Syan.g_02266, Syan.g_01149, Syan.g_02528	Prbh.g_00001
OG0000004	Syan.g_00183	Prbh.g_00933
OG0000004	Syan.g_00989	Prbh.g_00548
OG0000005	Syan.g_01378	Prbh.g_00182
OG0000006	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prbh.g_00538
OG0000007	Syan.g_02743	Prbh.g_00334
OG0000007	Syan.g_01400	Prbh.g_01782
OG0000008	Syan.g_00640, Syan.g_02532	Prbh.g_01406
OG0000008	Syan.g_00641, Syan.g_02531	Prbh.g_01405
OG0000009	Syan.g_02972	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841
OG0000010	Syan.g_02847	Prbh.g_00848, Prbh.g_01143
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prbh.g_00452
OG0000014	Syan.g_01987	Prbh.g_00472
OG0000015	Syan.g_01691, Syan.g_00248	Prbh.g_00840, Prbh.g_01869
OG0000016	Syan.g_02598, Syan.g_00440	Prbh.g_01336
OG0000017	Syan.g_01013	Prbh.g_00225
OG0000018	Syan.g_02816	Prbh.g_01305
OG0000019	Syan.g_02088	Prbh.g_00530, Prbh.g_01307
OG0000021	Syan.g_01001	Prbh.g_00203, Prbh.g_00938
OG0000023	Syan.g_00404	Prbh.g_00833
OG0000025	Syan.g_00374	Prbh.g_00988
OG0000026	Syan.g_01743	Prbh.g_00749
OG0000028	Syan.g_01971	Prbh.g_00404, Prbh.g_00459
OG0000030	Syan.g_01884, Syan.g_01883	Prbh.g_01570
OG0000031	Syan.g_01967	Prbh.g_00064
OG0000032	Syan.g_02835	Prbh.g_00138
OG0000034	Syan.g_01227, Syan.g_03003	Prbh.g_01383
OG0000035	Syan.g_01279, Syan.g_01276	Prbh.g_00096, Prbh.g_00099
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prbh.g_00674
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Prbh.g_01530
OG0000039	Syan.g_02771, Syan.g_00535	Prbh.g_00921
OG0000041	Syan.g_00302, Syan.g_01465	Prbh.g_01734
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prbh.g_01573
OG0000044	Syan.g_00431, Syan.g_00435, Syan.g_01065	Prbh.g_01794
OG0000045	Syan.g_00086	Prbh.g_01327
