Orthogroup	Syan	Syad
OG0000001	Syan.g_02266	Syad.g_02865
OG0000001	Syan.g_01149	Syad.g_01238, Syad.g_00611
OG0000003	Syan.g_01063, Syan.g_01258, Syan.g_02794, Syan.g_01055	Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996
OG0000004	Syan.g_00183	Syad.g_01304
OG0000004	Syan.g_00989	Syad.g_02184
OG0000005	Syan.g_01423	Syad.g_02639
OG0000005	Syan.g_01378	Syad.g_02596
OG0000005	Syan.g_00449	Syad.g_02028
OG0000006	Syan.g_00791	Syad.g_02130
OG0000006	Syan.g_01505, Syan.g_02101, Syan.g_02441	Syad.g_00588, Syad.g_00829
OG0000007	Syan.g_02743	Syad.g_00923
OG0000007	Syan.g_01400	Syad.g_02623
OG0000008	Syan.g_00641, Syan.g_02531	Syad.g_01371
OG0000009	Syan.g_02972	Syad.g_01952, Syad.g_00868, Syad.g_02799
OG0000010	Syan.g_02847	Syad.g_02354
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008
OG0000014	Syan.g_01987	Syad.g_00480
OG0000015	Syan.g_01691	Syad.g_00142
OG0000016	Syan.g_01766	Syad.g_00176
OG0000016	Syan.g_02598	Syad.g_01460
OG0000017	Syan.g_01013	Syad.g_01091
OG0000018	Syan.g_02816	Syad.g_02306
OG0000019	Syan.g_02088	Syad.g_00569
OG0000021	Syan.g_01001	Syad.g_01835, Syad.g_00874
OG0000022	Syan.g_00089	Syad.g_02090
OG0000023	Syan.g_00404	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000025	Syan.g_00374	Syad.g_01241
OG0000026	Syan.g_01743	Syad.g_00198
OG0000028	Syan.g_01971	Syad.g_00463
OG0000030	Syan.g_01884	Syad.g_00328
OG0000030	Syan.g_01883	Syad.g_00327
OG0000031	Syan.g_01967	Syad.g_00458
OG0000032	Syan.g_02835	Syad.g_02326
OG0000033	Syan.g_03036	Syad.g_02903, Syad.g_00289
OG0000034	Syan.g_01227, Syan.g_03003	Syad.g_02420, Syad.g_02872
OG0000035	Syan.g_01279, Syan.g_01276	Syad.g_02275
