Orthogroup	Syan	Pray
OG0000001	Syan.g_02267, Syan.g_02266, Syan.g_01149, Syan.g_02528	Pray.g_01844
OG0000004	Syan.g_00183	Pray.g_01068
OG0000004	Syan.g_00989	Pray.g_00713
OG0000005	Syan.g_01423	Pray.g_01546
OG0000005	Syan.g_01378	Pray.g_01646
OG0000006	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Pray.g_00722
OG0000007	Syan.g_02743	Pray.g_00988, Pray.g_00987
OG0000007	Syan.g_01400	Pray.g_01559
OG0000008	Syan.g_00640, Syan.g_02532	Pray.g_01931
OG0000009	Syan.g_02972	Pray.g_01920, Pray.g_01610, Pray.g_00184
OG0000010	Syan.g_02847	Pray.g_00592
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942	Pray.g_01140
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Pray.g_00805
OG0000014	Syan.g_01987	Pray.g_00784
OG0000015	Syan.g_01691, Syan.g_00248	Pray.g_00309
OG0000016	Syan.g_01766	Pray.g_01475
OG0000017	Syan.g_01006, Syan.g_01013	Pray.g_01165
OG0000018	Syan.g_02816	Pray.g_00083
OG0000019	Syan.g_02088	Pray.g_00730, Pray.g_00328
OG0000021	Syan.g_01001	Pray.g_01578, Pray.g_00842
OG0000022	Syan.g_00089	Pray.g_00101
OG0000023	Syan.g_00404	Pray.g_00838
OG0000025	Syan.g_00374	Pray.g_00809, Pray.g_00383
OG0000026	Syan.g_01743	Pray.g_01493, Pray.g_00599
OG0000027	Syan.g_02678	Pray.g_00960, Pray.g_01887
OG0000028	Syan.g_01971	Pray.g_01935, Pray.g_00798
OG0000030	Syan.g_01884, Syan.g_01883	Pray.g_01374
OG0000031	Syan.g_01967	Pray.g_01806
OG0000032	Syan.g_01088, Syan.g_01091, Syan.g_01101	Pray.g_01782
OG0000034	Syan.g_01227, Syan.g_03003	Pray.g_01860
OG0000035	Syan.g_01279, Syan.g_01276	Pray.g_01722
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Pray.g_00180
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Pray.g_01415
OG0000039	Syan.g_02771, Syan.g_00535	Pray.g_01077
OG0000040	Syan.g_01651	Pray.g_00084
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Pray.g_01371
OG0000044	Syan.g_00431, Syan.g_00435, Syan.g_01065	Pray.g_00002
OG0000045	Syan.g_00151	Pray.g_00849
OG0000048	Syan.g_02036	Pray.g_00852
OG0000053	Syan.g_02812	Pray.g_01702
OG0000054	Syan.g_02503, Syan.g_00231, Syan.g_00506	Pray.g_01157
OG0000055	Syan.g_00312	Pray.g_00329
OG0000057	Syan.g_00643, Syan.g_02514, Syan.g_00186	Pray.g_01065
OG0000058	Syan.g_01964, Syan.g_01128, Syan.g_01124	Pray.g_01786
OG0000059	Syan.g_02255	Pray.g_01258
OG0000061	Syan.g_02696	Pray.g_00064
OG0000062	Syan.g_01380	Pray.g_01644
OG0000063	Syan.g_01739	Pray.g_01495
OG0000065	Syan.g_02974	Pray.g_00182
OG0000066	Syan.g_01156	Pray.g_01222
OG0000067	Syan.g_00690	Pray.g_00348
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Pray.g_01829
