Orthogroup	Syal	Praw
OG0000000	Syal.g_01111, Syal.g_01832	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000001	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Praw.g_01000
OG0000004	Syal.g_01809	Praw.g_01827
OG0000004	Syal.g_02718, Syal.g_00691	Praw.g_01203
OG0000005	Syal.g_00606	Praw.g_00528
OG0000005	Syal.g_00565	Praw.g_00413
OG0000006	Syal.g_02611, Syal.g_00674	Praw.g_01950
OG0000007	Syal.g_02918	Praw.g_00651
OG0000007	Syal.g_00587	Praw.g_00515
OG0000008	Syal.g_02512	Praw.g_00501
OG0000008	Syal.g_01783	Praw.g_00502
OG0000009	Syal.g_02089	Praw.g_00447
OG0000009	Syal.g_00818	Praw.g_01330
OG0000010	Syal.g_00464	Praw.g_01460
OG0000012	Syal.g_02535, Syal.g_01639	Praw.g_00159
OG0000013	Syal.g_00315, Syal.g_00322, Syal.g_00310	Praw.g_00807
OG0000014	Syal.g_01305	Praw.g_00828
OG0000015	Syal.g_02210, Syal.g_01183	Praw.g_01738
OG0000016	Syal.g_01734	Praw.g_01415
OG0000017	Syal.g_02752, Syal.g_02745	Praw.g_01944
OG0000018	Syal.g_00410	Praw.g_00215
OG0000019	Syal.g_01209	Praw.g_00884, Praw.g_01717
OG0000022	Syal.g_02587	Praw.g_00197
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Praw.g_00772
OG0000024	Syal.g_02597	Praw.g_01763, Praw.g_01847
OG0000025	Syal.g_02459	Praw.g_00803, Praw.g_01664
OG0000026	Syal.g_00132	Praw.g_01453
OG0000027	Syal.g_02543	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000028	Syal.g_01319	Praw.g_00334, Praw.g_00814
OG0000029	Syal.g_03014	Praw.g_01755
OG0000030	Syal.g_01511, Syal.g_01512	Praw.g_00029
OG0000032	Syal.g_00183	Praw.g_01043
OG0000034	Syal.g_00881, Syal.g_01586	Praw.g_00991
OG0000035	Syal.g_00370, Syal.g_00020	Praw.g_01081, Praw.g_01083
OG0000037	Syal.g_00601, Syal.g_00824	Praw.g_01326
OG0000038	Syal.g_01071, Syal.g_01073	Praw.g_01182
OG0000039	Syal.g_01097	Praw.g_01836
OG0000040	Syal.g_01187	Praw.g_00476
OG0000040	Syal.g_01149	Praw.g_00214
OG0000041	Syal.g_00649	Praw.g_00562
OG0000042	Syal.g_01705, Syal.g_01508	Praw.g_00032
OG0000047	Syal.g_01568	Praw.g_00804
OG0000048	Syal.g_01250	Praw.g_00504, Praw.g_00758
OG0000050	Syal.g_01549	Praw.g_01432
OG0000051	Syal.g_01550	Praw.g_00955
OG0000052	Syal.g_01396	Praw.g_01071
OG0000053	Syal.g_00406	Praw.g_00357
OG0000054	Syal.g_02739, Syal.g_02098	Praw.g_00142
OG0000055	Syal.g_01845	Praw.g_01716
OG0000057	Syal.g_01812	Praw.g_01824
OG0000059	Syal.g_00225	Praw.g_01894
OG0000060	Syal.g_00480, Syal.g_02895, Syal.g_02214	Praw.g_01743
OG0000061	Syal.g_01653	Praw.g_00234
OG0000062	Syal.g_00567	Praw.g_00415
OG0000063	Syal.g_00136	Praw.g_01395
OG0000065	Syal.g_00820, Syal.g_02528	Praw.g_01328
OG0000066	Syal.g_02828	Praw.g_00609
OG0000067	Syal.g_02414	Praw.g_01697
OG0000068	Syal.g_02888	Praw.g_01016
OG0000070	Syal.g_00509	Praw.g_00697
OG0000071	Syal.g_02099, Syal.g_01601	Praw.g_00981
OG0000072	Syal.g_00914	Praw.g_01264
OG0000073	Syal.g_02920	Praw.g_00649
OG0000075	Syal.g_01350	Praw.g_00064
OG0000076	Syal.g_01459	Praw.g_00039
OG0000077	Syal.g_00763, Syal.g_00506	Praw.g_01356
OG0000078	Syal.g_00680	Praw.g_01196
OG0000081	Syal.g_02555	Praw.g_00617
OG0000082	Syal.g_02769	Praw.g_01932
OG0000084	Syal.g_01896, Syal.g_00023	Praw.g_01087
OG0000085	Syal.g_00575	Praw.g_00508
OG0000086	Syal.g_00784	Praw.g_01346
OG0000087	Syal.g_00871	Praw.g_01296
OG0000088	Syal.g_00908	Praw.g_01269
OG0000089	Syal.g_00555	Praw.g_00776
OG0000090	Syal.g_02838	Praw.g_00615
OG0000091	Syal.g_02628	Praw.g_01880
OG0000093	Syal.g_02233	Praw.g_01571
OG0000094	Syal.g_01907	Praw.g_01486
OG0000095	Syal.g_01823	Praw.g_01467
OG0000097	Syal.g_01735, Syal.g_01553	Praw.g_00275
OG0000098	Syal.g_02196	Praw.g_00997
OG0000099	Syal.g_01323	Praw.g_01051
OG0000100	Syal.g_02448	Praw.g_00411
OG0000101	Syal.g_00275	Praw.g_00096
OG0000102	Syal.g_01488	Praw.g_00034
OG0000103	Syal.g_00077, Syal.g_01897	Praw.g_01148
OG0000104	Syal.g_00092	Praw.g_01140
OG0000105	Syal.g_01255	Praw.g_00860
OG0000106	Syal.g_02577	Praw.g_00762
OG0000107	Syal.g_00194	Praw.g_00748
OG0000108	Syal.g_02897	Praw.g_00667
OG0000109	Syal.g_02913	Praw.g_00654
OG0000110	Syal.g_02782	Praw.g_01922
OG0000111	Syal.g_01813	Praw.g_01823
OG0000112	Syal.g_02000	Praw.g_01732
OG0000113	Syal.g_02443	Praw.g_01675
OG0000114	Syal.g_02286	Praw.g_01597
OG0000115	Syal.g_00404	Praw.g_00178
OG0000116	Syal.g_01630	Praw.g_00224
OG0000117	Syal.g_01704	Praw.g_00926
OG0000118	Syal.g_01583	Praw.g_00993
OG0000119	Syal.g_02056	Praw.g_01012
OG0000120	Syal.g_01324	Praw.g_01050
OG0000121	Syal.g_00374	Praw.g_01078
OG0000122	Syal.g_02602	Praw.g_00377
OG0000123	Syal.g_00283	Praw.g_00089
OG0000124	Syal.g_01519	Praw.g_00023
OG0000125	Syal.g_01075	Praw.g_01180
OG0000126	Syal.g_00090	Praw.g_01141
OG0000128	Syal.g_00109	Praw.g_01125
OG0000129	Syal.g_01062	Praw.g_01384
OG0000130	Syal.g_00751	Praw.g_01365
OG0000131	Syal.g_00886	Praw.g_01290
OG0000132	Syal.g_00906	Praw.g_01271
OG0000133	Syal.g_01995	Praw.g_00812
OG0000134	Syal.g_00552	Praw.g_00775
OG0000135	Syal.g_01119	Praw.g_00751
OG0000136	Syal.g_00520	Praw.g_00706
OG0000137	Syal.g_00463	Praw.g_00672
OG0000138	Syal.g_02914	Praw.g_00653
OG0000139	Syal.g_02832	Praw.g_00611
OG0000140	Syal.g_02830	Praw.g_00610
OG0000141	Syal.g_02738	Praw.g_00143
OG0000142	Syal.g_02636	Praw.g_01887
OG0000143	Syal.g_02632	Praw.g_01883
OG0000144	Syal.g_02515	Praw.g_01870
OG0000145	Syal.g_02921	Praw.g_01745
OG0000146	Syal.g_02001	Praw.g_01731
OG0000147	Syal.g_02002	Praw.g_01730
OG0000148	Syal.g_02437	Praw.g_01681
OG0000149	Syal.g_02475	Praw.g_01652
OG0000150	Syal.g_02737	Praw.g_01644
OG0000151	Syal.g_02263	Praw.g_01587
OG0000152	Syal.g_01991	Praw.g_01539
OG0000153	Syal.g_01958	Praw.g_01520
OG0000154	Syal.g_01918	Praw.g_01493
OG0000155	Syal.g_01695	Praw.g_00254
OG0000156	Syal.g_01620	Praw.g_00968
OG0000157	Syal.g_01619	Praw.g_00969
OG0000158	Syal.g_01431	Praw.g_01052
OG0000160	Syal.g_00372	Praw.g_01079, Praw.g_01080
OG0000161	Syal.g_00384	Praw.g_00344
OG0000162	Syal.g_00396	Praw.g_00350
OG0000163	Syal.g_02971	Praw.g_00384
OG0000164	Syal.g_00623	Praw.g_00539
OG0000165	Syal.g_00632	Praw.g_00546
OG0000166	Syal.g_00236	Praw.g_00132
OG0000167	Syal.g_01347	Praw.g_00066
OG0000168	Syal.g_01433	Praw.g_00056
OG0000169	Syal.g_01447	Praw.g_00046
OG0000170	Syal.g_01454	Praw.g_00044
OG0000171	Syal.g_01518	Praw.g_00024
OG0000172	Syal.g_00174, Syal.g_00173	Praw.g_00016
OG0000173	Syal.g_00155	Praw.g_00001
OG0000174	Syal.g_01121	Praw.g_01166
OG0000175	Syal.g_01172	Praw.g_01156
OG0000176	Syal.g_00101	Praw.g_01132
OG0000177	Syal.g_00102	Praw.g_01131
OG0000178	Syal.g_00103	Praw.g_01130
OG0000179	Syal.g_00118	Praw.g_01412
OG0000180	Syal.g_00119	Praw.g_01411
OG0000181	Syal.g_00120	Praw.g_01410
OG0000182	Syal.g_00121	Praw.g_01409
OG0000183	Syal.g_00125	Praw.g_01405
OG0000184	Syal.g_02678, Syal.g_01050	Praw.g_01382
OG0000185	Syal.g_01025	Praw.g_01379
OG0000186	Syal.g_02684, Syal.g_00747	Praw.g_01370
OG0000187	Syal.g_02685, Syal.g_00748	Praw.g_01369
OG0000188	Syal.g_00771	Praw.g_01352
OG0000189	Syal.g_00807	Praw.g_01339
OG0000190	Syal.g_01364	Praw.g_01338
OG0000191	Syal.g_00841	Praw.g_01318
OG0000192	Syal.g_00847	Praw.g_01314
