Orthogroup	Syal	Prbb
OG0000000	Syal.g_01111, Syal.g_01832	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000001	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prbb.g_01611
OG0000004	Syal.g_01809	Prbb.g_01450
OG0000004	Syal.g_02718, Syal.g_00691	Prbb.g_00288
OG0000005	Syal.g_00606	Prbb.g_01393
OG0000005	Syal.g_00565	Prbb.g_01766
OG0000006	Syal.g_02611, Syal.g_00674	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Syal.g_02918	Prbb.g_00501
OG0000007	Syal.g_00587	Prbb.g_01823
OG0000008	Syal.g_02512	Prbb.g_01884
OG0000008	Syal.g_01783	Prbb.g_01885
OG0000010	Syal.g_00464	Prbb.g_01072
OG0000011	Syal.g_00702	Prbb.g_01199, Prbb.g_01137, Prbb.g_01138
OG0000013	Syal.g_00315, Syal.g_00322, Syal.g_00310	Prbb.g_00378
OG0000014	Syal.g_01305	Prbb.g_00357
OG0000015	Syal.g_02210, Syal.g_01183	Prbb.g_01158
OG0000016	Syal.g_00111	Prbb.g_00014
OG0000016	Syal.g_01734	Prbb.g_01919
OG0000018	Syal.g_00410	Prbb.g_01539
OG0000019	Syal.g_01209	Prbb.g_00761
OG0000022	Syal.g_02587	Prbb.g_01258
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prbb.g_01411, Prbb.g_01373
OG0000024	Syal.g_02597	Prbb.g_01175, Prbb.g_00680
OG0000025	Syal.g_02459	Prbb.g_00052, Prbb.g_00818
OG0000026	Syal.g_00132	Prbb.g_00032
OG0000027	Syal.g_02543	Prbb.g_01375
OG0000028	Syal.g_01319	Prbb.g_01635
OG0000029	Syal.g_03014	Prbb.g_01800
OG0000030	Syal.g_01511, Syal.g_01512	Prbb.g_02073
OG0000031	Syal.g_01404, Syal.g_01432	Prbb.g_00387
OG0000032	Syal.g_00428	Prbb.g_01723
OG0000033	Syal.g_00912	Prbb.g_00226
OG0000034	Syal.g_00881, Syal.g_01586	Prbb.g_01596
OG0000035	Syal.g_00370, Syal.g_00020	Prbb.g_01686
OG0000037	Syal.g_00601, Syal.g_00824	Prbb.g_00164
OG0000038	Syal.g_01071, Syal.g_01073	Prbb.g_02129
OG0000039	Syal.g_01097	Prbb.g_00692
OG0000040	Syal.g_01187	Prbb.g_01899, Prbb.g_01790
OG0000041	Syal.g_00649	Prbb.g_01868
OG0000042	Syal.g_01705, Syal.g_01508	Prbb.g_02069
OG0000043	Syal.g_01110	Prbb.g_01198
OG0000043	Syal.g_02547	Prbb.g_00909
OG0000044	Syal.g_01853, Syal.g_01847	Prbb.g_00079
OG0000045	Syal.g_01563	Prbb.g_01347
OG0000046	Syal.g_00316, Syal.g_00321, Syal.g_00309	Prbb.g_00379
OG0000047	Syal.g_01568	Prbb.g_00386, Prbb.g_00421
OG0000048	Syal.g_01250	Prbb.g_00325
OG0000050	Syal.g_01549	Prbb.g_00116
OG0000052	Syal.g_01338	Prbb.g_00112
OG0000053	Syal.g_00406	Prbb.g_01705
OG0000054	Syal.g_02739, Syal.g_02098	Prbb.g_00607
OG0000057	Syal.g_01812	Prbb.g_01359, Prbb.g_00706
OG0000058	Syal.g_01326	Prbb.g_00851
OG0000059	Syal.g_00225	Prbb.g_01946
OG0000060	Syal.g_00480, Syal.g_02895, Syal.g_02214	Prbb.g_01153
OG0000061	Syal.g_01653	Prbb.g_01517
OG0000062	Syal.g_00567	Prbb.g_01768
OG0000063	Syal.g_00136	Prbb.g_01921
OG0000065	Syal.g_00820, Syal.g_02528	Prbb.g_00162
OG0000066	Syal.g_02828	Prbb.g_00542
OG0000067	Syal.g_02414	Prbb.g_00783
OG0000068	Syal.g_02888	Prbb.g_01639
OG0000070	Syal.g_00509	Prbb.g_00455
OG0000071	Syal.g_02099, Syal.g_01601	Prbb.g_01586
OG0000072	Syal.g_00914	Prbb.g_00228
OG0000073	Syal.g_02920	Prbb.g_00503
OG0000075	Syal.g_01350	Prbb.g_02036
OG0000076	Syal.g_01459	Prbb.g_02061
