Orthogroup	Syal	Syab
OG0000000	Syal.g_01111, Syal.g_01832	Syab.g_01226
OG0000001	Syal.g_02193	Syab.g_01549
OG0000001	Syal.g_00874, Syal.g_01184	Syab.g_02553, Syab.g_02555
OG0000004	Syal.g_01809	Syab.g_01193
OG0000004	Syal.g_02718	Syab.g_01911
OG0000004	Syal.g_00691	Syab.g_02377
OG0000005	Syal.g_00606	Syab.g_02289
OG0000005	Syal.g_00565	Syab.g_02232
OG0000005	Syal.g_01664	Syab.g_00981
OG0000006	Syal.g_02611	Syab.g_01849
OG0000006	Syal.g_00674	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Syal.g_02918	Syab.g_02117
OG0000007	Syal.g_00587	Syab.g_02256
OG0000008	Syal.g_02512	Syab.g_01755
OG0000008	Syal.g_01783	Syab.g_01168
OG0000009	Syal.g_02089	Syab.g_00995
OG0000009	Syal.g_00818	Syab.g_02498
OG0000010	Syal.g_00464	Syab.g_00696
OG0000011	Syal.g_00702	Syab.g_01491, Syab.g_01083
OG0000012	Syal.g_02535	Syab.g_01774
OG0000012	Syal.g_01639	Syab.g_00953
OG0000013	Syal.g_00315	Syab.g_00487
OG0000013	Syal.g_00322	Syab.g_00497
OG0000013	Syal.g_00310	Syab.g_00482
OG0000014	Syal.g_01305	Syab.g_00249
OG0000015	Syal.g_02210, Syal.g_01183	Syab.g_02889
OG0000016	Syal.g_00111	Syab.g_00014
OG0000016	Syal.g_01734	Syab.g_01049
OG0000017	Syal.g_02752	Syab.g_01953
OG0000017	Syal.g_02745	Syab.g_01945
OG0000018	Syal.g_00410	Syab.g_00742
OG0000019	Syal.g_01209	Syab.g_00344
OG0000022	Syal.g_02587	Syab.g_01825
OG0000023	Syal.g_02485, Syal.g_02858	Syab.g_02058
OG0000023	Syal.g_01894	Syab.g_01294
OG0000024	Syal.g_02597	Syab.g_01834
OG0000025	Syal.g_02459	Syab.g_01705
OG0000026	Syal.g_00132	Syab.g_00036
OG0000027	Syal.g_02543	Syab.g_01782
OG0000028	Syal.g_01319	Syab.g_00234
OG0000030	Syal.g_01511	Syab.g_00096
OG0000030	Syal.g_01512	Syab.g_00095
OG0000031	Syal.g_01404, Syal.g_01432	Syab.g_00160
OG0000032	Syal.g_00428	Syab.g_00724
