Orthogroup	Syal	Syaj
OG0000001	Syal.g_02215	Syaj.g_01949, Syaj.g_01952
OG0000001	Syal.g_00874, Syal.g_01184	Syaj.g_01950
OG0000004	Syal.g_01809	Syaj.g_00441
OG0000004	Syal.g_02718	Syaj.g_01314
OG0000004	Syal.g_00691	Syaj.g_02853
OG0000005	Syal.g_00606	Syaj.g_01736
OG0000005	Syal.g_00565	Syaj.g_01698
OG0000005	Syal.g_01664	Syaj.g_01155
OG0000006	Syal.g_00674	Syaj.g_02635
OG0000007	Syal.g_02918	Syaj.g_00091
OG0000007	Syal.g_00587	Syaj.g_01721
OG0000008	Syal.g_02512	Syaj.g_00496
OG0000008	Syal.g_01783	Syaj.g_00497
OG0000009	Syal.g_02089	Syaj.g_01069
OG0000009	Syal.g_00818	Syaj.g_01885
OG0000010	Syal.g_00464	Syaj.g_01445
OG0000011	Syal.g_00702	Syaj.g_01780
OG0000012	Syal.g_02535, Syal.g_01639	Syaj.g_00172
OG0000013	Syal.g_00315	Syaj.g_02774
OG0000013	Syal.g_00322	Syaj.g_02782
OG0000013	Syal.g_00310	Syaj.g_02769
OG0000014	Syal.g_01305	Syaj.g_02522
OG0000015	Syal.g_02210, Syal.g_01183	Syaj.g_02242
OG0000016	Syal.g_00111	Syaj.g_02276
OG0000016	Syal.g_01734	Syaj.g_00590
OG0000017	Syal.g_02752	Syaj.g_00248
OG0000017	Syal.g_02745	Syaj.g_00255
OG0000018	Syal.g_00410	Syaj.g_01413
OG0000019	Syal.g_01209	Syaj.g_02613
OG0000022	Syal.g_02587	Syaj.g_01220
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Syaj.g_01791
OG0000024	Syal.g_02597	Syaj.g_00500
OG0000025	Syal.g_02459	Syaj.g_00383
OG0000026	Syal.g_00132	Syaj.g_02298
OG0000027	Syal.g_02543	Syaj.g_00396
OG0000028	Syal.g_01319	Syaj.g_02506
OG0000029	Syal.g_03014	Syaj.g_01229
OG0000030	Syal.g_01511	Syaj.g_02396
OG0000030	Syal.g_01512	Syaj.g_02395
OG0000031	Syal.g_01404, Syal.g_01432	Syaj.g_02501
OG0000032	Syal.g_00428	Syaj.g_01432
OG0000033	Syal.g_00912	Syaj.g_01990
OG0000034	Syal.g_00881, Syal.g_01586	Syaj.g_01959
OG0000035	Syal.g_00370, Syal.g_00020	Syaj.g_01378
OG0000037	Syal.g_00601	Syaj.g_02902
OG0000038	Syal.g_01071	Syaj.g_02115
OG0000039	Syal.g_01097	Syaj.g_00275
OG0000040	Syal.g_01149	Syaj.g_02208
OG0000041	Syal.g_00649	Syaj.g_01602, Syaj.g_00418
OG0000042	Syal.g_01705, Syal.g_01508	Syaj.g_02399
OG0000043	Syal.g_01110	Syaj.g_01085
OG0000043	Syal.g_02547	Syaj.g_01247
OG0000044	Syal.g_01853, Syal.g_01847	Syaj.g_01344
OG0000045	Syal.g_01563	Syaj.g_00132
OG0000046	Syal.g_00316	Syaj.g_02775
OG0000046	Syal.g_00321	Syaj.g_02781
OG0000046	Syal.g_00309	Syaj.g_02768
OG0000047	Syal.g_01568	Syaj.g_02799
OG0000048	Syal.g_01250	Syaj.g_02578
OG0000050	Syal.g_01549	Syaj.g_01584
OG0000051	Syal.g_01550	Syaj.g_02898
OG0000051	Syal.g_03018	Syaj.g_00017
OG0000052	Syal.g_01338	Syaj.g_02476
OG0000053	Syal.g_00406	Syaj.g_01409
OG0000055	Syal.g_01845	Syaj.g_00394
OG0000057	Syal.g_01812	Syaj.g_00438
OG0000058	Syal.g_01326	Syaj.g_02495
OG0000059	Syal.g_00225	Syaj.g_02686
OG0000060	Syal.g_00480	Syaj.g_01469
OG0000060	Syal.g_02895	Syaj.g_00067
OG0000060	Syal.g_02214	Syaj.g_00635
OG0000061	Syal.g_01653	Syaj.g_00302
OG0000062	Syal.g_00567	Syaj.g_01700
OG0000063	Syal.g_00136	Syaj.g_02302
OG0000064	Syal.g_01115	Syaj.g_00041
OG0000064	Syal.g_02544	Syaj.g_01253
OG0000065	Syal.g_02528	Syaj.g_00007
OG0000067	Syal.g_02414	Syaj.g_01023
OG0000068	Syal.g_02888	Syaj.g_00059
OG0000070	Syal.g_00509	Syaj.g_01529
OG0000071	Syal.g_01601	Syaj.g_01511
OG0000072	Syal.g_00914	Syaj.g_01992
OG0000073	Syal.g_02920	Syaj.g_00093
OG0000075	Syal.g_01350	Syaj.g_02457
OG0000076	Syal.g_01459	Syaj.g_02417
OG0000077	Syal.g_00763, Syal.g_00506	Syaj.g_01831
OG0000078	Syal.g_00680	Syaj.g_02880
OG0000079	Syal.g_01213	Syaj.g_02609
OG0000080	Syal.g_01394	Syaj.g_02022, Syaj.g_02368
OG0000081	Syal.g_02555	Syaj.g_02888
OG0000082	Syal.g_02769	Syaj.g_00229
OG0000084	Syal.g_01896	Syaj.g_01375
OG0000085	Syal.g_00575	Syaj.g_01707
OG0000086	Syal.g_00784	Syaj.g_01848
OG0000087	Syal.g_00871	Syaj.g_01945
OG0000088	Syal.g_00908	Syaj.g_01986
OG0000089	Syal.g_00555	Syaj.g_02829, Syaj.g_01915
OG0000090	Syal.g_02838	Syaj.g_00144
OG0000091	Syal.g_02628	Syaj.g_01275
OG0000092	Syal.g_00470	Syaj.g_00339
OG0000093	Syal.g_02233	Syaj.g_01042
OG0000094	Syal.g_01907	Syaj.g_00804
OG0000095	Syal.g_01823	Syaj.g_00427
OG0000097	Syal.g_01735	Syaj.g_00589
OG0000099	Syal.g_01323	Syaj.g_02503
OG0000100	Syal.g_02448	Syaj.g_00987
OG0000101	Syal.g_00275	Syaj.g_02738
OG0000102	Syal.g_01488	Syaj.g_02411
OG0000103	Syal.g_00077	Syaj.g_02243
OG0000104	Syal.g_00092	Syaj.g_02258
OG0000105	Syal.g_01255	Syaj.g_02573
OG0000106	Syal.g_02577	Syaj.g_01130
OG0000107	Syal.g_00194	Syaj.g_02637
OG0000108	Syal.g_02897	Syaj.g_00072
OG0000109	Syal.g_02913	Syaj.g_00087
OG0000110	Syal.g_02782	Syaj.g_00215
OG0000111	Syal.g_01813	Syaj.g_00437
OG0000112	Syal.g_02000	Syaj.g_00907
OG0000113	Syal.g_02443	Syaj.g_00992
OG0000114	Syal.g_02286	Syaj.g_00741
OG0000115	Syal.g_00404	Syaj.g_01402
OG0000116	Syal.g_01630	Syaj.g_00289
OG0000117	Syal.g_01704	Syaj.g_00637
OG0000118	Syal.g_01583	Syaj.g_00267
OG0000119	Syal.g_02056	Syaj.g_00317
OG0000120	Syal.g_01324	Syaj.g_02502
OG0000121	Syal.g_00374	Syaj.g_01383
OG0000122	Syal.g_02602	Syaj.g_01250
