Orthogroup	Syal	Prav
OG0000000	Syal.g_01111, Syal.g_01832	Prav.g_01736, Prav.g_01415
OG0000001	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prav.g_01458
OG0000004	Syal.g_01809	Prav.g_01293
OG0000004	Syal.g_02718, Syal.g_00691	Prav.g_00806
OG0000005	Syal.g_00606	Prav.g_01774
OG0000005	Syal.g_00565	Prav.g_01654
OG0000006	Syal.g_02611, Syal.g_00674	Prav.g_02001
OG0000007	Syal.g_02918	Prav.g_01095
OG0000007	Syal.g_00587	Prav.g_01761
OG0000008	Syal.g_02512	Prav.g_01749
OG0000008	Syal.g_01783	Prav.g_01750
OG0000009	Syal.g_02089	Prav.g_01688
OG0000009	Syal.g_00818	Prav.g_00170
OG0000010	Syal.g_00464	Prav.g_00218
OG0000011	Syal.g_00702	Prav.g_01334
OG0000012	Syal.g_02535, Syal.g_01639	Prav.g_01221
OG0000013	Syal.g_00315, Syal.g_00322, Syal.g_00310	Prav.g_01973
OG0000014	Syal.g_01305	Prav.g_01952
OG0000015	Syal.g_02210, Syal.g_01183	Prav.g_00363, Prav.g_00961
OG0000016	Syal.g_00111	Prav.g_00081
OG0000017	Syal.g_02752, Syal.g_02745	Prav.g_01194
OG0000018	Syal.g_00410	Prav.g_00046
OG0000019	Syal.g_01209	Prav.g_01896, Prav.g_00375
OG0000022	Syal.g_02587	Prav.g_00029
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prav.g_00979
OG0000024	Syal.g_02597	Prav.g_00343, Prav.g_01273
OG0000025	Syal.g_02459	Prav.g_01977, Prav.g_00431
OG0000026	Syal.g_00132	Prav.g_00226
OG0000027	Syal.g_02543	Prav.g_01068, Prav.g_01416
OG0000028	Syal.g_01319	Prav.g_01885, Prav.g_01966
OG0000029	Syal.g_03014	Prav.g_00350
OG0000030	Syal.g_01511, Syal.g_01512	Prav.g_00699
OG0000032	Syal.g_00183	Prav.g_01499
OG0000034	Syal.g_00881, Syal.g_01586	Prav.g_01448
OG0000035	Syal.g_00370, Syal.g_00020	Prav.g_01578
OG0000037	Syal.g_00601, Syal.g_00824	Prav.g_00174
OG0000038	Syal.g_01071, Syal.g_01073	Prav.g_00739
OG0000039	Syal.g_01097	Prav.g_01284
OG0000040	Syal.g_01187	Prav.g_01720
OG0000040	Syal.g_01149	Prav.g_00045
OG0000041	Syal.g_00649	Prav.g_01808
OG0000042	Syal.g_01705, Syal.g_01508	Prav.g_00696
OG0000047	Syal.g_01568	Prav.g_01976
OG0000048	Syal.g_01250	Prav.g_00993
OG0000050	Syal.g_01549	Prav.g_00247
OG0000051	Syal.g_01550	Prav.g_01410
OG0000052	Syal.g_01396	Prav.g_01533
OG0000053	Syal.g_00406	Prav.g_01598
OG0000054	Syal.g_02739, Syal.g_02098	Prav.g_01202
OG0000055	Syal.g_01845	Prav.g_00376
OG0000056	Syal.g_02054	Prav.g_00106, Prav.g_00107, Prav.g_01421
OG0000057	Syal.g_01812	Prav.g_01296
OG0000059	Syal.g_00225	Prav.g_00292
OG0000060	Syal.g_00480, Syal.g_02895, Syal.g_02214	Prav.g_00964
OG0000061	Syal.g_01653	Prav.g_00065
OG0000062	Syal.g_02113	Prav.g_01551, Prav.g_01338
OG0000062	Syal.g_00567	Prav.g_01656
OG0000063	Syal.g_00136	Prav.g_00101
OG0000065	Syal.g_00820, Syal.g_02528	Prav.g_00172
OG0000066	Syal.g_02828	Prav.g_01137
OG0000067	Syal.g_02414	Prav.g_00397
OG0000068	Syal.g_02888	Prav.g_01473
OG0000070	Syal.g_00509	Prav.g_01049
OG0000071	Syal.g_02099, Syal.g_01601	Prav.g_01438
OG0000072	Syal.g_00914	Prav.g_00867
OG0000073	Syal.g_02920	Prav.g_01097
OG0000075	Syal.g_01350	Prav.g_00665
OG0000076	Syal.g_01459	Prav.g_00689
