Orthogroup	Syal	Prap
OG0000001	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prap.g_01925
OG0000004	Syal.g_01809	Prap.g_00802
OG0000004	Syal.g_02718, Syal.g_00691	Prap.g_01480
OG0000005	Syal.g_00565	Prap.g_00204
OG0000006	Syal.g_02611, Syal.g_00674	Prap.g_01470
OG0000007	Syal.g_02918	Prap.g_01270
OG0000007	Syal.g_00587	Prap.g_01779
OG0000008	Syal.g_02512	Prap.g_01888
OG0000008	Syal.g_01783	Prap.g_01887
OG0000009	Syal.g_02089	Prap.g_00216
OG0000010	Syal.g_00464	Prap.g_00669, Prap.g_00318
OG0000013	Syal.g_00315, Syal.g_00322, Syal.g_00310	Prap.g_01385
OG0000014	Syal.g_01305	Prap.g_01403
OG0000015	Syal.g_02210, Syal.g_01183	Prap.g_01840, Prap.g_01794
OG0000016	Syal.g_01734	Prap.g_00514
OG0000017	Syal.g_02752	Prap.g_01170
OG0000017	Syal.g_02745	Prap.g_01163
OG0000018	Syal.g_00410	Prap.g_00478
OG0000019	Syal.g_01209	Prap.g_01462, Prap.g_00480
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prap.g_00029
OG0000024	Syal.g_02597	Prap.g_00322, Prap.g_00826
OG0000025	Syal.g_02459	Prap.g_00747
OG0000026	Syal.g_00132	Prap.g_00923
OG0000027	Syal.g_02543	Prap.g_01912, Prap.g_01860
OG0000028	Syal.g_01319	Prap.g_01889
OG0000029	Syal.g_03014	Prap.g_01899, Prap.g_01848, Prap.g_01688
OG0000030	Syal.g_01511, Syal.g_01512	Prap.g_01569
OG0000031	Syal.g_01404, Syal.g_01432	Prap.g_00080
OG0000032	Syal.g_00428	Prap.g_00160
OG0000033	Syal.g_00912	Prap.g_00087
OG0000034	Syal.g_00881, Syal.g_01586	Prap.g_00572
OG0000035	Syal.g_00370, Syal.g_00020	Prap.g_00121
OG0000037	Syal.g_00601, Syal.g_00824	Prap.g_01067
OG0000038	Syal.g_01071, Syal.g_01073	Prap.g_01530
OG0000039	Syal.g_01097	Prap.g_00814
OG0000041	Syal.g_00649	Prap.g_01731
OG0000042	Syal.g_01705, Syal.g_01508	Prap.g_01572
OG0000043	Syal.g_01110, Syal.g_02547, Syal.g_02183	Prap.g_00477
OG0000046	Syal.g_00316, Syal.g_00321, Syal.g_00309	Prap.g_01384
OG0000047	Syal.g_01568	Prap.g_01343
OG0000048	Syal.g_01250	Prap.g_00548
OG0000052	Syal.g_01338	Prap.g_00897
OG0000053	Syal.g_00406	Prap.g_00142, Prap.g_01834
OG0000054	Syal.g_02739, Syal.g_02098	Prap.g_01161
OG0000057	Syal.g_01812	Prap.g_00799
OG0000058	Syal.g_01326	Prap.g_00081
OG0000059	Syal.g_00225	Prap.g_01691
OG0000061	Syal.g_01653	Prap.g_00456
OG0000062	Syal.g_00567	Prap.g_00206
OG0000063	Syal.g_00136	Prap.g_01903
OG0000064	Syal.g_01545, Syal.g_01115, Syal.g_02544, Syal.g_01681	Prap.g_00883
OG0000065	Syal.g_00820, Syal.g_02528	Prap.g_01069
OG0000066	Syal.g_02828	Prap.g_01230, Prap.g_01867
OG0000067	Syal.g_02414	Prap.g_00783
OG0000068	Syal.g_02888	Prap.g_00059
OG0000070	Syal.g_00509	Prap.g_01316
OG0000071	Syal.g_02099, Syal.g_01601	Prap.g_00561
OG0000072	Syal.g_00914	Prap.g_00999
OG0000073	Syal.g_02920	Prap.g_01267
OG0000075	Syal.g_01350	Prap.g_01606
OG0000076	Syal.g_01459	Prap.g_01580
OG0000077	Syal.g_00763, Syal.g_00506	Prap.g_01099
OG0000078	Syal.g_00680	Prap.g_01472
OG0000079	Syal.g_01213	Prap.g_01459
OG0000080	Syal.g_01394	Prap.g_00093, Prap.g_00095
OG0000081	Syal.g_02555	Prap.g_01238
OG0000082	Syal.g_02769	Prap.g_01183, Prap.g_01790
OG0000084	Syal.g_01896, Syal.g_00023	Prap.g_00118
OG0000085	Syal.g_00575	Prap.g_01917, Prap.g_01787
OG0000086	Syal.g_00784	Prap.g_01090
OG0000087	Syal.g_00871	Prap.g_01035
OG0000088	Syal.g_00908	Prap.g_01004
OG0000089	Syal.g_00555	Prap.g_01349
OG0000090	Syal.g_02838	Prap.g_01236
OG0000091	Syal.g_02628	Prap.g_00384
OG0000093	Syal.g_02233	Prap.g_00355
OG0000094	Syal.g_01907	Prap.g_00306
OG0000095	Syal.g_01823	Prap.g_00708
OG0000097	Syal.g_01735, Syal.g_01553	Prap.g_00410
OG0000098	Syal.g_02196	Prap.g_01928
OG0000099	Syal.g_01323	Prap.g_00082
OG0000100	Syal.g_02448	Prap.g_00200
OG0000101	Syal.g_00275	Prap.g_01642
OG0000102	Syal.g_01488	Prap.g_01575
OG0000103	Syal.g_00077, Syal.g_01897	Prap.g_01491
OG0000104	Syal.g_00092	Prap.g_01869
OG0000105	Syal.g_01255	Prap.g_01436
OG0000106	Syal.g_02577	Prap.g_00591
OG0000107	Syal.g_00194	Prap.g_01714
OG0000108	Syal.g_02897	Prap.g_01287
OG0000109	Syal.g_02913	Prap.g_01273
OG0000110	Syal.g_02782	Prap.g_01194
OG0000111	Syal.g_01813	Prap.g_00798
OG0000112	Syal.g_02000	Prap.g_01121
OG0000113	Syal.g_02443	Prap.g_00760
OG0000114	Syal.g_02286	Prap.g_00858
OG0000115	Syal.g_00404	Prap.g_00525
OG0000116	Syal.g_01630	Prap.g_00467
OG0000117	Syal.g_01704	Prap.g_00429
OG0000118	Syal.g_01583	Prap.g_00574
OG0000119	Syal.g_02056	Prap.g_00510, Prap.g_00218
OG0000120	Syal.g_01324	Prap.g_00079
OG0000121	Syal.g_00374	Prap.g_00123
OG0000122	Syal.g_02602	Prap.g_00532, Prap.g_00164
OG0000123	Syal.g_00283	Prap.g_01635
OG0000124	Syal.g_01519	Prap.g_01563
OG0000125	Syal.g_01075	Prap.g_01528
OG0000126	Syal.g_00090	Prap.g_01870
OG0000128	Syal.g_00109	Prap.g_00043
OG0000129	Syal.g_01062	Prap.g_00910
OG0000130	Syal.g_00751	Prap.g_00881
OG0000131	Syal.g_00886	Prap.g_01026
OG0000132	Syal.g_00906	Prap.g_01006
OG0000133	Syal.g_01995	Prap.g_01389
OG0000134	Syal.g_00552	Prap.g_01347
OG0000135	Syal.g_01119	Prap.g_00543
OG0000136	Syal.g_00520	Prap.g_01325
OG0000137	Syal.g_00463	Prap.g_01292
OG0000138	Syal.g_02914	Prap.g_01272
OG0000139	Syal.g_02832	Prap.g_01232
OG0000140	Syal.g_02830	Prap.g_01231
OG0000141	Syal.g_02738	Prap.g_01160
OG0000142	Syal.g_02636	Prap.g_00392
OG0000143	Syal.g_02632	Prap.g_00388
OG0000144	Syal.g_02515	Prap.g_00374
OG0000145	Syal.g_02921	Prap.g_00545
OG0000146	Syal.g_02001	Prap.g_01122
OG0000147	Syal.g_02002	Prap.g_01123
OG0000148	Syal.g_02437	Prap.g_00766
OG0000149	Syal.g_02475	Prap.g_00734
OG0000150	Syal.g_02737	Prap.g_00724
