Orthogroup	Syal	Pram
OG0000000	Syal.g_01111, Syal.g_01832	Pram.g_01561
OG0000001	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Pram.g_01954, Pram.g_01953
OG0000004	Syal.g_01809	Pram.g_00789
OG0000004	Syal.g_02718, Syal.g_00691	Pram.g_00219
OG0000005	Syal.g_00565	Pram.g_01295
OG0000006	Syal.g_02611, Syal.g_00674	Pram.g_00229
OG0000007	Syal.g_02918	Pram.g_00433
OG0000007	Syal.g_00587	Pram.g_01632
OG0000008	Syal.g_02512	Pram.g_01263
OG0000008	Syal.g_01783	Pram.g_01262
OG0000009	Syal.g_02089	Pram.g_00390, Pram.g_01284, Pram.g_01573
OG0000010	Syal.g_00464	Pram.g_00704, Pram.g_01000
OG0000011	Syal.g_00702	Pram.g_01579
OG0000013	Syal.g_00315, Syal.g_00322, Syal.g_00310	Pram.g_00315
OG0000014	Syal.g_01305	Pram.g_00295
OG0000015	Syal.g_02210, Syal.g_01183	Pram.g_00696, Pram.g_01545
OG0000016	Syal.g_01734	Pram.g_01193
OG0000017	Syal.g_02752	Pram.g_00535
OG0000017	Syal.g_02745	Pram.g_00542
OG0000018	Syal.g_00410	Pram.g_01162
OG0000019	Syal.g_01209	Pram.g_00237, Pram.g_01164
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Pram.g_00689
OG0000024	Syal.g_02597	Pram.g_01004, Pram.g_00765
OG0000025	Syal.g_02459	Pram.g_00844
OG0000026	Syal.g_00132	Pram.g_00018
OG0000028	Syal.g_01319	Pram.g_00363, Pram.g_00308
OG0000029	Syal.g_03014	Pram.g_01529, Pram.g_01723
OG0000030	Syal.g_01511, Syal.g_01512	Pram.g_01844
OG0000031	Syal.g_01404, Syal.g_01432	Pram.g_01413
OG0000032	Syal.g_00428	Pram.g_01339
OG0000034	Syal.g_00881, Syal.g_01586	Pram.g_01240
OG0000035	Syal.g_00370, Syal.g_00020	Pram.g_01381, Pram.g_01378
OG0000037	Syal.g_00601, Syal.g_00824	Pram.g_00093
OG0000038	Syal.g_01071, Syal.g_01073	Pram.g_01884
OG0000039	Syal.g_01097	Pram.g_00777
OG0000040	Syal.g_01187	Pram.g_01599
OG0000041	Syal.g_00649	Pram.g_01680
OG0000042	Syal.g_01705, Syal.g_01508	Pram.g_01841
OG0000043	Syal.g_01110, Syal.g_02547, Syal.g_02183	Pram.g_01161
OG0000044	Syal.g_01853, Syal.g_01847	Pram.g_01620
OG0000046	Syal.g_00316, Syal.g_00321, Syal.g_00309	Pram.g_00316
OG0000047	Syal.g_01568	Pram.g_00359
OG0000048	Syal.g_01250	Pram.g_00259
OG0000052	Syal.g_01338	Pram.g_00040
OG0000053	Syal.g_00406	Pram.g_01357, Pram.g_01580
OG0000054	Syal.g_02739, Syal.g_02098	Pram.g_00544
OG0000056	Syal.g_02054	Pram.g_00602
OG0000057	Syal.g_01812	Pram.g_00792
OG0000059	Syal.g_00225	Pram.g_01719
OG0000061	Syal.g_01653	Pram.g_01140
OG0000062	Syal.g_00567	Pram.g_01293
OG0000063	Syal.g_00136	Pram.g_01258
OG0000064	Syal.g_01545, Syal.g_01115, Syal.g_02544, Syal.g_01681	Pram.g_00052
OG0000065	Syal.g_00820, Syal.g_02528	Pram.g_00091
OG0000066	Syal.g_02828	Pram.g_01558
OG0000067	Syal.g_02414	Pram.g_00809
OG0000068	Syal.g_02888	Pram.g_01468
OG0000070	Syal.g_00509	Pram.g_00385
OG0000071	Syal.g_02099, Syal.g_01601	Pram.g_01230
OG0000072	Syal.g_00914	Pram.g_00156
OG0000073	Syal.g_02920	Pram.g_00437
OG0000075	Syal.g_01350	Pram.g_01807
OG0000076	Syal.g_01459	Pram.g_01833
OG0000077	Syal.g_00763, Syal.g_00506	Pram.g_00063
OG0000078	Syal.g_00680	Pram.g_00227
OG0000079	Syal.g_01213	Pram.g_00240
OG0000080	Syal.g_01394	Pram.g_01408
OG0000081	Syal.g_02555	Pram.g_00469
OG0000082	Syal.g_02769	Pram.g_01559
OG0000084	Syal.g_01896, Syal.g_00023	Pram.g_01384
OG0000085	Syal.g_00575	Pram.g_01265
OG0000086	Syal.g_00784	Pram.g_00072
OG0000087	Syal.g_00871	Pram.g_00125
OG0000088	Syal.g_00908	Pram.g_00151
OG0000089	Syal.g_00555	Pram.g_00352
OG0000090	Syal.g_02838	Pram.g_00471
OG0000091	Syal.g_02628	Pram.g_01068
OG0000093	Syal.g_02233	Pram.g_01038
OG0000094	Syal.g_01907	Pram.g_00987
OG0000095	Syal.g_01823	Pram.g_00888
OG0000097	Syal.g_01735, Syal.g_01553	Pram.g_01093
OG0000098	Syal.g_02196	Pram.g_01478
OG0000099	Syal.g_01323	Pram.g_01445
