Orthogroup	Syal	Prbn
OG0000001	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prbn.g_01213
OG0000004	Syal.g_01809	Prbn.g_01565
OG0000004	Syal.g_02718, Syal.g_00691	Prbn.g_00318
OG0000005	Syal.g_00565	Prbn.g_00899
OG0000006	Syal.g_02611, Syal.g_00674	Prbn.g_00308
OG0000007	Syal.g_02918	Prbn.g_00617
OG0000007	Syal.g_00587	Prbn.g_01745
OG0000008	Syal.g_02512	Prbn.g_01645
OG0000008	Syal.g_01783	Prbn.g_01646
OG0000009	Syal.g_02089	Prbn.g_00887
OG0000010	Syal.g_00464	Prbn.g_01939, Prbn.g_01357
OG0000013	Syal.g_00315, Syal.g_00322, Syal.g_00310	Prbn.g_00092
OG0000014	Syal.g_01305	Prbn.g_00074
OG0000015	Syal.g_02210, Syal.g_01183	Prbn.g_01684, Prbn.g_01730
OG0000016	Syal.g_01734	Prbn.g_01131
OG0000017	Syal.g_02752	Prbn.g_00517
OG0000017	Syal.g_02745	Prbn.g_00510
OG0000018	Syal.g_00410	Prbn.g_01167
OG0000019	Syal.g_01209	Prbn.g_00015, Prbn.g_01165
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prbn.g_01030
OG0000024	Syal.g_02597	Prbn.g_01353, Prbn.g_01589
OG0000025	Syal.g_02459	Prbn.g_01510
OG0000026	Syal.g_00132	Prbn.g_00750
OG0000027	Syal.g_02543	Prbn.g_00139, Prbn.g_01664
OG0000028	Syal.g_01319	Prbn.g_01644
OG0000029	Syal.g_03014	Prbn.g_00126, Prbn.g_01676, Prbn.g_01836
OG0000030	Syal.g_01511, Syal.g_01512	Prbn.g_00985
OG0000031	Syal.g_01404, Syal.g_01432	Prbn.g_00171
OG0000032	Syal.g_00428	Prbn.g_00251
OG0000033	Syal.g_00912	Prbn.g_00178
OG0000034	Syal.g_00881, Syal.g_01586	Prbn.g_01073
OG0000035	Syal.g_00370, Syal.g_00020	Prbn.g_00212
OG0000037	Syal.g_00601, Syal.g_00824	Prbn.g_01310
OG0000038	Syal.g_01071, Syal.g_01073	Prbn.g_00946
OG0000039	Syal.g_01097	Prbn.g_01577
OG0000041	Syal.g_00649	Prbn.g_01793
OG0000042	Syal.g_01705, Syal.g_01508	Prbn.g_00988
OG0000043	Syal.g_01110, Syal.g_02547, Syal.g_02183	Prbn.g_01168
OG0000046	Syal.g_00316, Syal.g_00321, Syal.g_00309	Prbn.g_00093
OG0000047	Syal.g_01568	Prbn.g_00690
OG0000048	Syal.g_01250	Prbn.g_01097
OG0000052	Syal.g_01338	Prbn.g_00724
OG0000053	Syal.g_00406	Prbn.g_00233, Prbn.g_01690
OG0000054	Syal.g_02739, Syal.g_02098	Prbn.g_00508
OG0000057	Syal.g_01812	Prbn.g_01562
OG0000058	Syal.g_01326	Prbn.g_00172
OG0000059	Syal.g_00225	Prbn.g_01833
OG0000061	Syal.g_01653	Prbn.g_01189
OG0000062	Syal.g_00567	Prbn.g_00897
OG0000063	Syal.g_00136	Prbn.g_00130
OG0000064	Syal.g_01545, Syal.g_01115, Syal.g_02544, Syal.g_01681	Prbn.g_00710
OG0000065	Syal.g_00820, Syal.g_02528	Prbn.g_01312
OG0000066	Syal.g_02828	Prbn.g_00577, Prbn.g_01657
OG0000067	Syal.g_02414	Prbn.g_01546
OG0000068	Syal.g_02888	Prbn.g_01240
OG0000070	Syal.g_00509	Prbn.g_00663
OG0000071	Syal.g_02099, Syal.g_01601	Prbn.g_01084
OG0000072	Syal.g_00914	Prbn.g_00383
OG0000073	Syal.g_02920	Prbn.g_00614
OG0000075	Syal.g_01350	Prbn.g_01917
OG0000076	Syal.g_01459	Prbn.g_00996
OG0000077	Syal.g_00763, Syal.g_00506	Prbn.g_01342
OG0000078	Syal.g_00680	Prbn.g_00310
OG0000079	Syal.g_01213	Prbn.g_00018
OG0000080	Syal.g_01394	Prbn.g_00184, Prbn.g_00186
OG0000081	Syal.g_02555	Prbn.g_00585
OG0000082	Syal.g_02769	Prbn.g_00530, Prbn.g_01734
OG0000084	Syal.g_01896, Syal.g_00023	Prbn.g_00209
OG0000085	Syal.g_00575	Prbn.g_00144, Prbn.g_01737
OG0000086	Syal.g_00784	Prbn.g_01333
OG0000087	Syal.g_00871	Prbn.g_01278
OG0000088	Syal.g_00908	Prbn.g_01247
OG0000089	Syal.g_00555	Prbn.g_00696
OG0000090	Syal.g_02838	Prbn.g_00583
OG0000091	Syal.g_02628	Prbn.g_00434
OG0000093	Syal.g_02233	Prbn.g_00846
OG0000094	Syal.g_01907	Prbn.g_01369
OG0000095	Syal.g_01823	Prbn.g_01471
OG0000097	Syal.g_01735, Syal.g_01553	Prbn.g_00408
OG0000098	Syal.g_02196	Prbn.g_01216
OG0000099	Syal.g_01323	Prbn.g_00173
OG0000100	Syal.g_02448	Prbn.g_00903
OG0000101	Syal.g_00275	Prbn.g_01881
OG0000102	Syal.g_01488	Prbn.g_00991
OG0000103	Syal.g_00077, Syal.g_01897	Prbn.g_00907
OG0000104	Syal.g_00092	Prbn.g_00296
OG0000105	Syal.g_01255	Prbn.g_00041
OG0000106	Syal.g_02577	Prbn.g_00829
OG0000107	Syal.g_00194	Prbn.g_01810
OG0000108	Syal.g_02897	Prbn.g_00634
OG0000109	Syal.g_02913	Prbn.g_00620
OG0000110	Syal.g_02782	Prbn.g_00541
OG0000111	Syal.g_01813	Prbn.g_01561
OG0000112	Syal.g_02000	Prbn.g_00468
OG0000113	Syal.g_02443	Prbn.g_01523
OG0000114	Syal.g_02286	Prbn.g_01621
OG0000115	Syal.g_00404	Prbn.g_01120
OG0000116	Syal.g_01630	Prbn.g_01178
OG0000117	Syal.g_01704	Prbn.g_00389
OG0000118	Syal.g_01583	Prbn.g_01071
OG0000119	Syal.g_02056	Prbn.g_01135, Prbn.g_00885
OG0000120	Syal.g_01324	Prbn.g_00170
OG0000121	Syal.g_00374	Prbn.g_00214
OG0000122	Syal.g_02602	Prbn.g_01113, Prbn.g_00255
OG0000123	Syal.g_00283	Prbn.g_01888
OG0000124	Syal.g_01519	Prbn.g_00979
OG0000125	Syal.g_01075	Prbn.g_00944
OG0000126	Syal.g_00090	Prbn.g_00295
OG0000128	Syal.g_00109	Prbn.g_00002, Prbn.g_00003
OG0000129	Syal.g_01062	Prbn.g_00737
OG0000130	Syal.g_00751	Prbn.g_00708
OG0000131	Syal.g_00886	Prbn.g_01269
OG0000132	Syal.g_00906	Prbn.g_01249
OG0000133	Syal.g_01995	Prbn.g_00088
OG0000134	Syal.g_00552	Prbn.g_00694
OG0000135	Syal.g_01119	Prbn.g_01102
OG0000136	Syal.g_00520	Prbn.g_00672
OG0000137	Syal.g_00463	Prbn.g_00639
OG0000138	Syal.g_02914	Prbn.g_00619
OG0000139	Syal.g_02832	Prbn.g_00579
OG0000140	Syal.g_02830	Prbn.g_00578
OG0000141	Syal.g_02738	Prbn.g_00507
OG0000142	Syal.g_02636	Prbn.g_00426
OG0000143	Syal.g_02632	Prbn.g_00430
OG0000144	Syal.g_02515	Prbn.g_00444
OG0000145	Syal.g_02921	Prbn.g_01100
OG0000146	Syal.g_02001	Prbn.g_00469
OG0000147	Syal.g_02002	Prbn.g_00470
OG0000148	Syal.g_02437	Prbn.g_01529
OG0000149	Syal.g_02475	Prbn.g_01497
OG0000150	Syal.g_02737	Prbn.g_01487
OG0000151	Syal.g_02263	Prbn.g_01611
OG0000152	Syal.g_01991	Prbn.g_01418
OG0000153	Syal.g_01958	Prbn.g_01399
OG0000154	Syal.g_01918	Prbn.g_01379
OG0000155	Syal.g_01695	Prbn.g_01210
OG0000156	Syal.g_01620	Prbn.g_01095
OG0000157	Syal.g_01619	Prbn.g_01094
OG0000158	Syal.g_01431	Prbn.g_01014
OG0000159	Syal.g_01400	Prbn.g_00717
OG0000160	Syal.g_00372	Prbn.g_00213
OG0000161	Syal.g_00384	Prbn.g_00219
OG0000162	Syal.g_00396	Prbn.g_00225
OG0000163	Syal.g_02971	Prbn.g_00264
OG0000164	Syal.g_00623	Prbn.g_01770
OG0000165	Syal.g_00632	Prbn.g_01777
OG0000166	Syal.g_00236	Prbn.g_01844
OG0000167	Syal.g_01347	Prbn.g_01915
OG0000168	Syal.g_01433	Prbn.g_01013
OG0000169	Syal.g_01447	Prbn.g_01003
OG0000170	Syal.g_01454	Prbn.g_01000
OG0000171	Syal.g_01518	Prbn.g_00980
OG0000172	Syal.g_00174, Syal.g_00173	Prbn.g_00973
OG0000173	Syal.g_00155	Prbn.g_00958
OG0000174	Syal.g_01121	Prbn.g_00929
OG0000175	Syal.g_01172	Prbn.g_00916
OG0000176	Syal.g_00101	Prbn.g_00010
OG0000177	Syal.g_00102	Prbn.g_00009
OG0000178	Syal.g_00103	Prbn.g_00008
OG0000179	Syal.g_00118	Prbn.g_00766
OG0000180	Syal.g_00119	Prbn.g_00765
OG0000181	Syal.g_00120	Prbn.g_00764
OG0000182	Syal.g_00121	Prbn.g_00763
OG0000183	Syal.g_00125	Prbn.g_00759
OG0000184	Syal.g_02678, Syal.g_01050	Prbn.g_00733
OG0000185	Syal.g_01025	Prbn.g_00730
OG0000186	Syal.g_02684, Syal.g_00747	Prbn.g_00714
