Orthogroup	Syal	Prbm
OG0000000	Syal.g_01111, Syal.g_01832	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000001	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prbm.g_01633
OG0000004	Syal.g_01809	Prbm.g_01483
OG0000004	Syal.g_02718, Syal.g_00691	Prbm.g_00291
OG0000005	Syal.g_00565	Prbm.g_01790
OG0000006	Syal.g_02611, Syal.g_00674	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Syal.g_02918	Prbm.g_00522
OG0000007	Syal.g_00587	Prbm.g_01841
OG0000008	Syal.g_02512	Prbm.g_01907
OG0000008	Syal.g_01783	Prbm.g_01908
OG0000009	Syal.g_02089	Prbm.g_01235, Prbm.g_01400
OG0000010	Syal.g_00464	Prbm.g_01066
OG0000011	Syal.g_00702	Prbm.g_01174, Prbm.g_01134
OG0000013	Syal.g_00315, Syal.g_00322, Syal.g_00310	Prbm.g_00382
OG0000014	Syal.g_01305	Prbm.g_00362
OG0000015	Syal.g_02210, Syal.g_01183	Prbm.g_01427, Prbm.g_01149
OG0000016	Syal.g_00111	Prbm.g_00013
OG0000016	Syal.g_01734	Prbm.g_01944
OG0000018	Syal.g_00410	Prbm.g_01571
OG0000019	Syal.g_01209	Prbm.g_00792
OG0000022	Syal.g_02587	Prbm.g_01324
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Syal.g_02597	Prbm.g_01151, Prbm.g_00709
OG0000025	Syal.g_02459	Prbm.g_00849
OG0000026	Syal.g_00132	Prbm.g_00031
OG0000028	Syal.g_01319	Prbm.g_01656
OG0000029	Syal.g_03014	Prbm.g_01823
OG0000030	Syal.g_01511, Syal.g_01512	Prbm.g_02105
OG0000031	Syal.g_01404, Syal.g_01432	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Syal.g_00428	Prbm.g_01747
OG0000033	Syal.g_00912	Prbm.g_00228
OG0000034	Syal.g_00881, Syal.g_01586	Prbm.g_01620
OG0000035	Syal.g_00370, Syal.g_00020	Prbm.g_01710
OG0000037	Syal.g_00601, Syal.g_00824	Prbm.g_00166
OG0000038	Syal.g_01071, Syal.g_01073	Prbm.g_02174
OG0000039	Syal.g_01097	Prbm.g_00723
OG0000040	Syal.g_01187	Prbm.g_01923, Prbm.g_01409, Prbm.g_01813
OG0000041	Syal.g_00649	Prbm.g_01886
OG0000042	Syal.g_01705, Syal.g_01508	Prbm.g_02102
OG0000043	Syal.g_01110	Prbm.g_01173
OG0000043	Syal.g_02547	Prbm.g_00906
OG0000044	Syal.g_01853, Syal.g_01847	Prbm.g_00478, Prbm.g_01281
OG0000046	Syal.g_00316, Syal.g_00321, Syal.g_00309	Prbm.g_00383
OG0000047	Syal.g_01568	Prbm.g_00390, Prbm.g_00428
OG0000048	Syal.g_01250	Prbm.g_00329
OG0000050	Syal.g_01549	Prbm.g_00118
OG0000052	Syal.g_01338	Prbm.g_00114
OG0000053	Syal.g_00406	Prbm.g_01729
OG0000054	Syal.g_02739, Syal.g_02098	Prbm.g_00637
OG0000057	Syal.g_01812	Prbm.g_00735
OG0000058	Syal.g_01326	Prbm.g_00881
OG0000059	Syal.g_00225	Prbm.g_01973
OG0000060	Syal.g_00480, Syal.g_02895, Syal.g_02214	Prbm.g_01422
OG0000061	Syal.g_01653	Prbm.g_01549
OG0000062	Syal.g_00567	Prbm.g_01792
OG0000063	Syal.g_00136	Prbm.g_01947
OG0000065	Syal.g_00820, Syal.g_02528	Prbm.g_00164
OG0000066	Syal.g_02828	Prbm.g_00572
OG0000067	Syal.g_02414	Prbm.g_00814
OG0000068	Syal.g_02888	Prbm.g_01660
OG0000070	Syal.g_00509	Prbm.g_00460
OG0000071	Syal.g_02099, Syal.g_01601	Prbm.g_00468, Prbm.g_01611
OG0000072	Syal.g_00914	Prbm.g_00230
OG0000073	Syal.g_02920	Prbm.g_00533
OG0000075	Syal.g_01350	Prbm.g_02069
OG0000076	Syal.g_01459	Prbm.g_02094
OG0000077	Syal.g_00763, Syal.g_00506	Prbm.g_00135
OG0000078	Syal.g_00680	Prbm.g_00300
OG0000079	Syal.g_01213	Prbm.g_00311
OG0000081	Syal.g_02555	Prbm.g_00564
OG0000082	Syal.g_02769	Prbm.g_01900
OG0000084	Syal.g_01896, Syal.g_00023	Prbm.g_01706
OG0000085	Syal.g_00575	Prbm.g_01834
OG0000086	Syal.g_00784	Prbm.g_00145
OG0000087	Syal.g_00871	Prbm.g_00198
OG0000088	Syal.g_00908	Prbm.g_00225
OG0000089	Syal.g_00555	Prbm.g_00423
OG0000090	Syal.g_02838	Prbm.g_00566
OG0000091	Syal.g_02628	Prbm.g_00673
OG0000092	Syal.g_00470	Prbm.g_00934
OG0000093	Syal.g_02233	Prbm.g_00799
OG0000094	Syal.g_01907	Prbm.g_00888
OG0000095	Syal.g_01823	Prbm.g_01064
OG0000097	Syal.g_01735, Syal.g_01553	Prbm.g_01502
OG0000098	Syal.g_02196	Prbm.g_01630
OG0000099	Syal.g_01323	Prbm.g_00394
OG0000100	Syal.g_02448	Prbm.g_01787
OG0000101	Syal.g_00275	Prbm.g_02033
OG0000102	Syal.g_01488	Prbm.g_02099
OG0000103	Syal.g_00077, Syal.g_01897	Prbm.g_02218
OG0000104	Syal.g_00092	Prbm.g_02229
OG0000105	Syal.g_01255	Prbm.g_00331
OG0000106	Syal.g_02577	Prbm.g_01172, Prbm.g_01237
OG0000107	Syal.g_00194	Prbm.g_01949
OG0000108	Syal.g_02897	Prbm.g_00506
OG0000109	Syal.g_02913	Prbm.g_00519
OG0000110	Syal.g_02782	Prbm.g_00607
OG0000111	Syal.g_01813	Prbm.g_00736
OG0000112	Syal.g_02000	Prbm.g_00980
OG0000113	Syal.g_02443	Prbm.g_00838, Prbm.g_01191
OG0000114	Syal.g_02286	Prbm.g_00929
OG0000115	Syal.g_00404	Prbm.g_01803
OG0000116	Syal.g_01630	Prbm.g_01560
OG0000117	Syal.g_01704	Prbm.g_01522
OG0000118	Syal.g_01583	Prbm.g_01622
OG0000119	Syal.g_02056	Prbm.g_01653
OG0000120	Syal.g_01324	Prbm.g_00707
OG0000121	Syal.g_00374	Prbm.g_01712
OG0000122	Syal.g_02602	Prbm.g_01751
OG0000123	Syal.g_00283	Prbm.g_02040
OG0000124	Syal.g_01519	Prbm.g_02111
OG0000125	Syal.g_01075	Prbm.g_02176
OG0000126	Syal.g_00090	Prbm.g_02228
OG0000128	Syal.g_00109	Prbm.g_00011
OG0000129	Syal.g_01062	Prbm.g_00053
OG0000130	Syal.g_00751	Prbm.g_00126
OG0000131	Syal.g_00886	Prbm.g_00204
OG0000132	Syal.g_00906	Prbm.g_00223
OG0000133	Syal.g_01995	Prbm.g_00377
OG0000134	Syal.g_00552	Prbm.g_00425
OG0000135	Syal.g_01119	Prbm.g_01389
OG0000136	Syal.g_00520	Prbm.g_00451
OG0000137	Syal.g_00463	Prbm.g_00500
OG0000138	Syal.g_02914	Prbm.g_00520
OG0000139	Syal.g_02832	Prbm.g_00570
OG0000140	Syal.g_02830	Prbm.g_00571
OG0000141	Syal.g_02738	Prbm.g_00638
OG0000142	Syal.g_02636	Prbm.g_00666
OG0000143	Syal.g_02632	Prbm.g_00670
OG0000144	Syal.g_02515	Prbm.g_00683
OG0000145	Syal.g_02921	Prbm.g_01094
OG0000146	Syal.g_02001	Prbm.g_00979
OG0000147	Syal.g_02002	Prbm.g_00978
OG0000148	Syal.g_02437	Prbm.g_00832
OG0000149	Syal.g_02475	Prbm.g_00862
OG0000150	Syal.g_02737	Prbm.g_00870
OG0000151	Syal.g_02263	Prbm.g_00940
OG0000152	Syal.g_01991	Prbm.g_00988
OG0000153	Syal.g_01958	Prbm.g_01006
OG0000154	Syal.g_01918	Prbm.g_01035
OG0000155	Syal.g_01695	Prbm.g_01527
OG0000156	Syal.g_01620	Prbm.g_01600
OG0000157	Syal.g_01619	Prbm.g_01601
OG0000158	Syal.g_01431	Prbm.g_02077
OG0000160	Syal.g_00372	Prbm.g_01711
OG0000161	Syal.g_00384	Prbm.g_01717
OG0000162	Syal.g_00396	Prbm.g_01723
OG0000163	Syal.g_02971	Prbm.g_01759
OG0000164	Syal.g_00623	Prbm.g_01863
OG0000165	Syal.g_00632	Prbm.g_01871
OG0000166	Syal.g_00236	Prbm.g_01996
OG0000167	Syal.g_01347	Prbm.g_02067
OG0000168	Syal.g_01433	Prbm.g_02078
OG0000169	Syal.g_01447	Prbm.g_02088
OG0000170	Syal.g_01454	Prbm.g_02090
OG0000171	Syal.g_01518	Prbm.g_02110
OG0000172	Syal.g_00174, Syal.g_00173	Prbm.g_02146
OG0000173	Syal.g_00155	Prbm.g_02161
OG0000174	Syal.g_01121	Prbm.g_02192
OG0000175	Syal.g_01172	Prbm.g_02209
OG0000176	Syal.g_00101	Prbm.g_00004
OG0000177	Syal.g_00102	Prbm.g_00005
OG0000178	Syal.g_00103	Prbm.g_00006
OG0000179	Syal.g_00118	Prbm.g_00016
OG0000180	Syal.g_00119	Prbm.g_00017
OG0000181	Syal.g_00120	Prbm.g_00018
OG0000182	Syal.g_00121	Prbm.g_00019
OG0000183	Syal.g_00125	Prbm.g_00023
OG0000184	Syal.g_02678, Syal.g_01050	Prbm.g_00055
OG0000185	Syal.g_01025	Prbm.g_00058
OG0000186	Syal.g_02684, Syal.g_00747	Prbm.g_00121
OG0000187	Syal.g_02685, Syal.g_00748	Prbm.g_00122
OG0000188	Syal.g_00771	Prbm.g_00139
OG0000189	Syal.g_00807	Prbm.g_00153
OG0000190	Syal.g_01364	Prbm.g_00154
OG0000191	Syal.g_00841	Prbm.g_00177
