Orthogroup	Syal	Prbd
OG0000000	Syal.g_01111, Syal.g_01832	Prbd.g_01833
OG0000001	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prbd.g_01779
OG0000004	Syal.g_01809	Prbd.g_00549
OG0000004	Syal.g_02718, Syal.g_00691	Prbd.g_01007
OG0000005	Syal.g_00606	Prbd.g_01512
OG0000005	Syal.g_00565	Prbd.g_01612
OG0000006	Syal.g_02611, Syal.g_00674	Prbd.g_00998
OG0000007	Syal.g_02918	Prbd.g_00745
OG0000007	Syal.g_00587	Prbd.g_01525
OG0000009	Syal.g_02089	Prbd.g_01887, Prbd.g_01576
OG0000009	Syal.g_00818	Prbd.g_01139
OG0000010	Syal.g_00464	Prbd.g_00348
OG0000011	Syal.g_00702	Prbd.g_00534, Prbd.g_01867
OG0000012	Syal.g_02535, Syal.g_01639	Prbd.g_00621
OG0000013	Syal.g_00315, Syal.g_00322, Syal.g_00310	Prbd.g_00912
OG0000014	Syal.g_01305	Prbd.g_00933
OG0000015	Syal.g_02210, Syal.g_01183	Prbd.g_00065, Prbd.g_00826
OG0000016	Syal.g_00111	Prbd.g_01224
OG0000017	Syal.g_02752, Syal.g_02745	Prbd.g_00646
OG0000018	Syal.g_00410	Prbd.g_00449
OG0000019	Syal.g_01209	Prbd.g_00990, Prbd.g_00082
OG0000022	Syal.g_02587	Prbd.g_00423
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prbd.g_00879
OG0000024	Syal.g_02597	Prbd.g_00045, Prbd.g_00569
OG0000025	Syal.g_02459	Prbd.g_00908, Prbd.g_00137
OG0000026	Syal.g_00132	Prbd.g_00355
OG0000027	Syal.g_02543	Prbd.g_00772, Prbd.g_01832
OG0000028	Syal.g_01319	Prbd.g_01864, Prbd.g_00919
OG0000029	Syal.g_03014	Prbd.g_00052, Prbd.g_00863
OG0000030	Syal.g_01511, Syal.g_01512	Prbd.g_01325
OG0000032	Syal.g_00183	Prbd.g_01730
OG0000034	Syal.g_00881, Syal.g_01586	Prbd.g_01791
OG0000035	Syal.g_00370, Syal.g_00020	Prbd.g_01689
OG0000037	Syal.g_00601, Syal.g_00824	Prbd.g_01135
