Orthogroup	Prav	Prax
OG0000000	Prav.g_01736, Prav.g_01415	Prax.g_01917
OG0000000	Prav.g_01695	Prax.g_01608
OG0000000	Prav.g_00973	Prax.g_00496
OG0000000	Prav.g_01694	Prax.g_00259
OG0000000	Prav.g_01694	Prax.g_01609
OG0000000	Prav.g_01821	Prax.g_00259
OG0000000	Prav.g_01821	Prax.g_01609
OG0000000	Prav.g_01730, Prav.g_01715	Prax.g_01920
OG0000000	Prav.g_01413	Prax.g_01919
OG0000000	Prav.g_01698	Prax.g_01606
OG0000001	Prav.g_01458	Prax.g_01878
OG0000001	Prav.g_00962	Prax.g_00522
OG0000002	Prav.g_01466	Prax.g_01870
OG0000002	Prav.g_01276	Prax.g_00964
OG0000004	Prav.g_01293	Prax.g_00947
OG0000004	Prav.g_00806	Prax.g_00986
OG0000005	Prav.g_01774	Prax.g_01546
OG0000005	Prav.g_01654	Prax.g_01652
OG0000006	Prav.g_02001	Prax.g_01972
OG0000007	Prav.g_01095	Prax.g_00704
OG0000007	Prav.g_01761	Prax.g_01559
OG0000008	Prav.g_01270	Prax.g_00970
OG0000009	Prav.g_01688	Prax.g_01617
OG0000010	Prav.g_01072	Prax.g_00728
OG0000010	Prav.g_00218	Prax.g_01212
OG0000011	Prav.g_01407	Prax.g_01930
OG0000011	Prav.g_01334	Prax.g_00454
OG0000012	Prav.g_01221	Prax.g_00082
OG0000013	Prav.g_01973	Prax.g_00846
OG0000014	Prav.g_01952	Prax.g_00869
OG0000015	Prav.g_00961	Prax.g_00523
OG0000017	Prav.g_01194	Prax.g_00057
OG0000018	Prav.g_00424	Prax.g_00346
OG0000018	Prav.g_00046	Prax.g_00181
OG0000019	Prav.g_01896	Prax.g_00926
OG0000019	Prav.g_00375	Prax.g_00393
OG0000020	Prav.g_00014	Prax.g_00138
OG0000021	Prav.g_00984	Prax.g_01587, Prax.g_00808
OG0000022	Prav.g_00029	Prax.g_00157
OG0000022	Prav.g_00360	Prax.g_00415
OG0000023	Prav.g_00979	Prax.g_00813
OG0000024	Prav.g_00343	Prax.g_00432
OG0000024	Prav.g_01273	Prax.g_00967
OG0000025	Prav.g_01977	Prax.g_00842
OG0000025	Prav.g_00431	Prax.g_00338
OG0000026	Prav.g_01324	Prax.g_00458
OG0000026	Prav.g_00099	Prax.g_00282
OG0000026	Prav.g_00226	Prax.g_01220
OG0000027	Prav.g_01416	Prax.g_01916
OG0000028	Prav.g_01966	Prax.g_00855
OG0000029	Prav.g_00350	Prax.g_00425
OG0000030	Prav.g_00699	Prax.g_01404
OG0000032	Prav.g_01499	Prax.g_01838
OG0000033	Prav.g_00869	Prax.g_01049
OG0000034	Prav.g_01448	Prax.g_01889
OG0000035	Prav.g_01578	Prax.g_01728, Prax.g_01733
OG0000037	Prav.g_00174	Prax.g_01110
OG0000038	Prav.g_00739	Prax.g_01445
OG0000039	Prav.g_01284	Prax.g_00956
OG0000040	Prav.g_01720	Prax.g_01591
OG0000040	Prav.g_00045	Prax.g_00180
OG0000041	Prav.g_01808	Prax.g_01512
OG0000042	Prav.g_00696	Prax.g_01401
OG0000043	Prav.g_00467	Prax.g_00301, Prax.g_00501, Prax.g_00530
OG0000045	Prav.g_00990	Prax.g_00802
OG0000047	Prav.g_01976	Prax.g_00843
OG0000048	Prav.g_00993	Prax.g_00799
OG0000049	Prav.g_01000	Prax.g_00791
OG0000049	Prav.g_01016	Prax.g_01958
OG0000050	Prav.g_01013	Prax.g_00448
OG0000050	Prav.g_00247	Prax.g_01240
OG0000051	Prav.g_01410	Prax.g_01927
OG0000053	Prav.g_01598	Prax.g_01708
OG0000054	Prav.g_01202	Prax.g_00065
OG0000055	Prav.g_00376	Prax.g_00392
