Orthogroup	Prav	Prad
OG0000000	Prav.g_01736, Prav.g_01415	Prad.g_00352
OG0000000	Prav.g_01695	Prad.g_00392
OG0000000	Prav.g_01694	Prad.g_00393
OG0000000	Prav.g_01821	Prad.g_00393
OG0000000	Prav.g_01694	Prad.g_01435
OG0000000	Prav.g_01821	Prad.g_01435
OG0000000	Prav.g_01730, Prav.g_01715	Prad.g_00372, Prad.g_00349
OG0000000	Prav.g_01413	Prad.g_00350
OG0000000	Prav.g_01698	Prad.g_00389
OG0000001	Prav.g_01458	Prad.g_00609
OG0000001	Prav.g_00962, Prav.g_01820, Prav.g_02007	Prad.g_01434, Prad.g_01994
OG0000002	Prav.g_01466	Prad.g_00601
OG0000002	Prav.g_01276	Prad.g_01252
OG0000004	Prav.g_01293	Prad.g_01269
OG0000004	Prav.g_00806	Prad.g_01759
OG0000005	Prav.g_01774	Prad.g_00928
OG0000005	Prav.g_01654	Prad.g_00438
OG0000006	Prav.g_02001	Prad.g_01750
OG0000007	Prav.g_01095	Prad.g_00132
OG0000007	Prav.g_01761	Prad.g_00941
OG0000008	Prav.g_01270	Prad.g_01246
OG0000009	Prav.g_01688	Prad.g_00401
OG0000009	Prav.g_00170	Prad.g_01888
OG0000010	Prav.g_01072	Prad.g_00033
OG0000010	Prav.g_00218	Prad.g_01011
OG0000011	Prav.g_01014	Prad.g_01218
OG0000011	Prav.g_01407	Prad.g_00339
OG0000011	Prav.g_01334	Prad.g_01212
OG0000012	Prav.g_01221	Prad.g_01412
OG0000013	Prav.g_01973	Prad.g_01664
OG0000014	Prav.g_01952	Prad.g_01685
OG0000015	Prav.g_00961	Prad.g_01108
OG0000016	Prav.g_00081	Prad.g_01973
OG0000017	Prav.g_01194	Prad.g_01387
OG0000018	Prav.g_00424	Prad.g_01173
OG0000018	Prav.g_00046	Prad.g_01515
OG0000019	Prav.g_01896	Prad.g_01742
OG0000019	Prav.g_00375	Prad.g_01125
OG0000020	Prav.g_00014	Prad.g_00647
OG0000020	Prav.g_01386	Prad.g_01299
OG0000021	Prav.g_00984	Prad.g_01981, Prad.g_00745
OG0000022	Prav.g_00029	Prad.g_01993
OG0000022	Prav.g_00360	Prad.g_01105
OG0000023	Prav.g_00979	Prad.g_00751
OG0000024	Prav.g_00343	Prad.g_01088
OG0000024	Prav.g_01273	Prad.g_01249
OG0000025	Prav.g_01977	Prad.g_01660
OG0000025	Prav.g_00431	Prad.g_01181
OG0000026	Prav.g_00099	Prad.g_01955
OG0000026	Prav.g_00226	Prad.g_01004
OG0000027	Prav.g_01416	Prad.g_01298, Prad.g_00353
OG0000028	Prav.g_01885	Prad.g_01204
OG0000028	Prav.g_01966	Prad.g_01671
OG0000029	Prav.g_00350	Prad.g_01096
OG0000032	Prav.g_01499	Prad.g_00561
OG0000033	Prav.g_00869	Prad.g_01822
OG0000034	Prav.g_01448	Prad.g_00618
OG0000035	Prav.g_01578	Prad.g_00515
OG0000037	Prav.g_00174	Prad.g_01884
OG0000038	Prav.g_00739	Prad.g_01582
OG0000039	Prav.g_01284	Prad.g_01260
OG0000040	Prav.g_01720	Prad.g_00369
OG0000040	Prav.g_00045	Prad.g_01516
OG0000041	Prav.g_01808	Prad.g_00894
OG0000042	Prav.g_00696	Prad.g_01624
OG0000043	Prav.g_00467	Prad.g_00276
OG0000045	Prav.g_00990	Prad.g_00738
OG0000047	Prav.g_01976	Prad.g_01661
OG0000048	Prav.g_00993	Prad.g_00735
OG0000049	Prav.g_01000	Prad.g_00726
OG0000049	Prav.g_01016	Prad.g_01215
OG0000050	Prav.g_00247	Prad.g_00985
OG0000051	Prav.g_01410	Prad.g_00342
OG0000053	Prav.g_01598	Prad.g_00494
OG0000054	Prav.g_01202	Prad.g_01395
OG0000055	Prav.g_00376	Prad.g_01126
OG0000057	Prav.g_01296	Prad.g_01272
OG0000058	Prav.g_01512	Prad.g_00565
OG0000059	Prav.g_00292	Prad.g_00855
OG0000061	Prav.g_00065	Prad.g_01496
OG0000062	Prav.g_01656	Prad.g_00436
OG0000063	Prav.g_00101	Prad.g_01953
OG0000065	Prav.g_00172	Prad.g_01886
OG0000066	Prav.g_01137	Prad.g_00090
OG0000067	Prav.g_00397	Prad.g_01146
OG0000068	Prav.g_01473	Prad.g_00594
OG0000069	Prav.g_01881	Prad.g_00952
OG0000069	Prav.g_01689	Prad.g_00400
OG0000070	Prav.g_01049	Prad.g_00057
OG0000071	Prav.g_01438	Prad.g_00628
OG0000072	Prav.g_00867	Prad.g_01820
OG0000073	Prav.g_01097	Prad.g_00130
OG0000074	Prav.g_01280	Prad.g_01256
OG0000075	Prav.g_00665	Prad.g_00775
OG0000076	Prav.g_00689	Prad.g_01631
OG0000077	Prav.g_00143	Prad.g_01915
OG0000078	Prav.g_00799	Prad.g_01752
