Orthogroup	Prbl	Syaa
OG0000004	Prbl.g_00021	Syaa.g_00892
OG0000004	Prbl.g_01771	Syaa.g_01667, Syaa.g_02116
OG0000005	Prbl.g_00419	Syaa.g_00573
OG0000006	Prbl.g_02601	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prbl.g_00531	Syaa.g_02032
OG0000007	Prbl.g_00394	Syaa.g_00551
OG0000008	Prbl.g_01855	Syaa.g_00918
OG0000008	Prbl.g_01854	Syaa.g_00919
OG0000009	Prbl.g_00155, Prbl.g_00554	Syaa.g_02378
OG0000010	Prbl.g_01341	Syaa.g_01843
OG0000012	Prbl.g_01618	Syaa.g_01660
OG0000013	Prbl.g_01183	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217
OG0000014	Prbl.g_01416	Syaa.g_00222
OG0000015	Prbl.g_01566	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989
OG0000017	Prbl.g_01763	Syaa.g_01890
OG0000017	Prbl.g_01755	Syaa.g_01883
OG0000018	Prbl.g_00694	Syaa.g_01801
OG0000019	Prbl.g_01097, Prbl.g_01509	Syaa.g_00307
OG0000021	Prbl.g_01531, Prbl.g_01768	Syaa.g_02627
OG0000022	Prbl.g_01072	Syaa.g_01571
OG0000023	Prbl.g_02355	Syaa.g_01529, Syaa.g_01216
OG0000024	Prbl.g_00040	Syaa.g_00922
OG0000025	Prbl.g_01539	Syaa.g_00839
OG0000026	Prbl.g_01977	Syaa.g_00038
OG0000028	Prbl.g_00900	Syaa.g_00205
OG0000029	Prbl.g_01163	Syaa.g_01578
OG0000030	Prbl.g_02061	Syaa.g_00099
OG0000030	Prbl.g_02060	Syaa.g_00098
OG0000031	Prbl.g_00835, Prbl.g_00830	Syaa.g_00200
OG0000032	Prbl.g_00712	Syaa.g_01818
OG0000033	Prbl.g_00278	Syaa.g_02478, Syaa.g_00485
OG0000034	Prbl.g_01734	Syaa.g_00722, Syaa.g_02444
OG0000035	Prbl.g_00242	Syaa.g_01773
OG0000037	Prbl.g_00548	Syaa.g_02384
OG0000038	Prbl.g_02235	Syaa.g_02596
OG0000041	Prbl.g_00339	Syaa.g_00660, Syaa.g_00869
OG0000042	Prbl.g_01236, Prbl.g_01121	Syaa.g_00103
OG0000044	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612	Syaa.g_00363
OG0000045	Prbl.g_00609	Syaa.g_01518
OG0000046	Prbl.g_01184	Syaa.g_02211, Syaa.g_02205, Syaa.g_02218
OG0000047	Prbl.g_00719, Prbl.g_01574	Syaa.g_02189
OG0000048	Prbl.g_01465	Syaa.g_00275
OG0000052	Prbl.g_00870	Syaa.g_00174
OG0000053	Prbl.g_00691	Syaa.g_01797
OG0000054	Prbl.g_01752	Syaa.g_01691, Syaa.g_01502
OG0000057	Prbl.g_00025	Syaa.g_01466, Syaa.g_00889
OG0000058	Prbl.g_00890	Syaa.g_00193, Syaa.g_00455
OG0000059	Prbl.g_00952	Syaa.g_02315
OG0000060	Prbl.g_00508	Syaa.g_02053
OG0000061	Prbl.g_02084	Syaa.g_00770
OG0000062	Prbl.g_00417	Syaa.g_00571
OG0000063	Prbl.g_01981	Syaa.g_00042
OG0000066	Prbl.g_00752	Syaa.g_01968
OG0000067	Prbl.g_02335	Syaa.g_01154
OG0000068	Prbl.g_00502	Syaa.g_02059
OG0000070	Prbl.g_00634	Syaa.g_00718
OG0000071	Prbl.g_01722	Syaa.g_00735
OG0000072	Prbl.g_00276	Syaa.g_02480
OG0000073	Prbl.g_00533	Syaa.g_02030
OG0000075	Prbl.g_00855	Syaa.g_00157
OG0000076	Prbl.g_01285	Syaa.g_00123
OG0000077	Prbl.g_00596	Syaa.g_00341
OG0000078	Prbl.g_00193	Syaa.g_02103
OG0000081	Prbl.g_01036	Syaa.g_01694
OG0000082	Prbl.g_01783	Syaa.g_01905
OG0000084	Prbl.g_00246	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770
OG0000085	Prbl.g_00405	Syaa.g_00564
OG0000086	Prbl.g_00583	Syaa.g_00324
OG0000087	Prbl.g_00810	Syaa.g_02433
OG0000088	Prbl.g_00281, Prbl.g_01838	Syaa.g_02474
OG0000089	Prbl.g_02674	Syaa.g_02149
OG0000090	Prbl.g_00766	Syaa.g_01980
OG0000091	Prbl.g_01647	Syaa.g_01625
OG0000093	Prbl.g_02359	Syaa.g_01139
OG0000094	Prbl.g_02209	Syaa.g_01288
OG0000095	Prbl.g_00927	Syaa.g_00879
OG0000097	Prbl.g_02579	Syaa.g_00979
OG0000098	Prbl.g_00722	Syaa.g_01970
OG0000099	Prbl.g_00893	Syaa.g_00202
OG0000100	Prbl.g_01914, Prbl.g_02305	Syaa.g_01201
OG0000101	Prbl.g_01000	Syaa.g_02249
OG0000102	Prbl.g_02636	Syaa.g_00118
OG0000103	Prbl.g_02139	Syaa.g_02740
OG0000104	Prbl.g_02125	Syaa.g_02754
OG0000105	Prbl.g_01461	Syaa.g_00270
OG0000106	Prbl.g_00411	Syaa.g_01439
OG0000107	Prbl.g_02681	Syaa.g_02351
OG0000108	Prbl.g_00511	Syaa.g_02051
OG0000109	Prbl.g_00527	Syaa.g_02036
OG0000110	Prbl.g_01795	Syaa.g_01918
OG0000111	Prbl.g_00026	Syaa.g_00888
OG0000112	Prbl.g_02470	Syaa.g_01366
