Orthogroup	Prbl	Pram
OG0000000	Prbl.g_00118, Prbl.g_00117	Pram.g_01561
OG0000000	Prbl.g_00116	Pram.g_01511
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599, Prbl.g_00808, Prbl.g_02598, Prbl.g_02578	Pram.g_01954, Pram.g_01953
OG0000002	Prbl.g_01582	Pram.g_00873, Pram.g_00879
OG0000002	Prbl.g_01092	Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768
OG0000004	Prbl.g_00021	Pram.g_00789
OG0000004	Prbl.g_01771	Pram.g_00219
OG0000005	Prbl.g_00419	Pram.g_01295
OG0000006	Prbl.g_02601	Pram.g_00229
OG0000007	Prbl.g_00531	Pram.g_00433
OG0000007	Prbl.g_00394	Pram.g_01632
OG0000008	Prbl.g_01855	Pram.g_01263
OG0000008	Prbl.g_01854	Pram.g_01262
OG0000010	Prbl.g_01341	Pram.g_00704, Pram.g_01000
OG0000012	Prbl.g_01618	Pram.g_00561
OG0000013	Prbl.g_01183	Pram.g_00315
OG0000014	Prbl.g_01416	Pram.g_00295
OG0000015	Prbl.g_01566	Pram.g_00696, Pram.g_01545
OG0000017	Prbl.g_01763	Pram.g_00535
OG0000017	Prbl.g_01755	Pram.g_00542
OG0000018	Prbl.g_00694	Pram.g_01162
OG0000019	Prbl.g_01097, Prbl.g_01509	Pram.g_00237, Pram.g_01164
OG0000020	Prbl.g_01026, Prbl.g_01386	Pram.g_01516
OG0000021	Prbl.g_01531	Pram.g_01274
OG0000021	Prbl.g_01768	Pram.g_00794
OG0000022	Prbl.g_01310	Pram.g_01287
OG0000023	Prbl.g_02355	Pram.g_00689
OG0000024	Prbl.g_00040	Pram.g_01004, Pram.g_00765
OG0000025	Prbl.g_01539	Pram.g_00844
OG0000026	Prbl.g_01977	Pram.g_00018
OG0000028	Prbl.g_00900	Pram.g_00308
OG0000029	Prbl.g_01163	Pram.g_01529
OG0000030	Prbl.g_02061, Prbl.g_02060	Pram.g_01844
OG0000031	Prbl.g_00835, Prbl.g_00830	Pram.g_01413
OG0000032	Prbl.g_00712	Pram.g_01339
OG0000033	Prbl.g_00278	Pram.g_00154
OG0000034	Prbl.g_01734	Pram.g_01240
OG0000035	Prbl.g_00242	Pram.g_01381, Pram.g_01378
OG0000037	Prbl.g_00548	Pram.g_00093
OG0000038	Prbl.g_02235, Prbl.g_02233	Pram.g_01884
OG0000039	Prbl.g_00318, Prbl.g_01272	Pram.g_00777
OG0000041	Prbl.g_00339	Pram.g_01680
OG0000042	Prbl.g_01236, Prbl.g_01121	Pram.g_01841
OG0000044	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612	Pram.g_01620
OG0000045	Prbl.g_00609	Pram.g_01184
OG0000046	Prbl.g_01184	Pram.g_00316
OG0000047	Prbl.g_01574	Pram.g_00359
OG0000048	Prbl.g_01465	Pram.g_00259
OG0000052	Prbl.g_00870	Pram.g_00040
OG0000053	Prbl.g_00691	Pram.g_01357, Pram.g_01580
OG0000054	Prbl.g_01752	Pram.g_00544
OG0000057	Prbl.g_00025	Pram.g_00792
OG0000059	Prbl.g_00952	Pram.g_01719
OG0000061	Prbl.g_02084	Pram.g_01140
OG0000062	Prbl.g_00417	Pram.g_01293
OG0000063	Prbl.g_01981	Pram.g_01258
OG0000065	Prbl.g_00552	Pram.g_00091
OG0000066	Prbl.g_00752	Pram.g_01558
OG0000067	Prbl.g_02335	Pram.g_00809
