Orthogroup	Prbl	Syag
OG0000001	Prbl.g_00808, Prbl.g_02598	Syag.g_01943
OG0000003	Prbl.g_01929, Prbl.g_01308, Prbl.g_02640, Prbl.g_02639, Prbl.g_00656, Prbl.g_00202, Prbl.g_00139, Prbl.g_01063, Prbl.g_01064, Prbl.g_00673	Syag.g_01261, Syag.g_00931, Syag.g_01260
OG0000003	Prbl.g_01504, Prbl.g_01502, Prbl.g_02278, Prbl.g_00920	Syag.g_02658
OG0000004	Prbl.g_00021	Syag.g_00988
OG0000004	Prbl.g_01771	Syag.g_00370, Syag.g_01790
OG0000005	Prbl.g_00419	Syag.g_01667
OG0000006	Prbl.g_02601	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prbl.g_00531	Syag.g_01507
OG0000007	Prbl.g_00394	Syag.g_01687
OG0000008	Prbl.g_01855	Syag.g_00496
OG0000008	Prbl.g_01854	Syag.g_01017
OG0000009	Prbl.g_00155, Prbl.g_00554	Syag.g_01883
OG0000010	Prbl.g_01341	Syag.g_01355
OG0000012	Prbl.g_01618	Syag.g_00377
OG0000013	Prbl.g_01183	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Prbl.g_01416	Syag.g_02559
OG0000015	Prbl.g_01566	Syag.g_02252, Syag.g_00596
OG0000017	Prbl.g_01763	Syag.g_00336
OG0000017	Prbl.g_01755	Syag.g_00344
OG0000018	Prbl.g_00694	Syag.g_01387
OG0000019	Prbl.g_01097, Prbl.g_01509	Syag.g_02663
OG0000020	Prbl.g_01026, Prbl.g_01386	Syag.g_00085
OG0000021	Prbl.g_01531, Prbl.g_01768	Syag.g_00229
OG0000022	Prbl.g_01072	Syag.g_00458
OG0000023	Prbl.g_02355	Syag.g_00261, Syag.g_00234
OG0000024	Prbl.g_00040	Syag.g_00455
OG0000025	Prbl.g_01539	Syag.g_00718
OG0000026	Prbl.g_01977	Syag.g_02309
OG0000028	Prbl.g_00900	Syag.g_02540
OG0000029	Prbl.g_01163	Syag.g_00195
OG0000030	Prbl.g_02061	Syag.g_02375
OG0000030	Prbl.g_02060	Syag.g_02374
OG0000031	Prbl.g_00835, Prbl.g_00830	Syag.g_02510
OG0000032	Prbl.g_00712	Syag.g_01366
OG0000032	Prbl.g_00889	Syag.g_02480
OG0000033	Prbl.g_00278	Syag.g_01978, Syag.g_02481
OG0000034	Prbl.g_01734	Syag.g_01225, Syag.g_01947
OG0000035	Prbl.g_00242	Syag.g_01421
OG0000036	Prbl.g_00735	Syag.g_01809, Syag.g_00928, Syag.g_01031, Syag.g_00063, Syag.g_01274
OG0000037	Prbl.g_00548	Syag.g_00173
OG0000038	Prbl.g_02235	Syag.g_02130
OG0000038	Prbl.g_02233	Syag.g_02132
OG0000039	Prbl.g_00318	Syag.g_01325
OG0000039	Prbl.g_01272	Syag.g_02155
OG0000041	Prbl.g_00339	Syag.g_00962
OG0000042	Prbl.g_01236, Prbl.g_01121	Syag.g_01094, Syag.g_02378
OG0000045	Prbl.g_00609	Syag.g_00225
OG0000046	Prbl.g_01184	Syag.g_02812, Syag.g_02819, Syag.g_02805
OG0000047	Prbl.g_00719, Prbl.g_01574	Syag.g_00768
OG0000048	Prbl.g_01465	Syag.g_02611
OG0000051	Prbl.g_02385	Syag.g_00214
OG0000052	Prbl.g_00870	Syag.g_02451
OG0000053	Prbl.g_00691	Syag.g_01391
OG0000054	Prbl.g_01752	Syag.g_00350
OG0000057	Prbl.g_00025	Syag.g_00985
OG0000058	Prbl.g_00890	Syag.g_02477
OG0000059	Prbl.g_00952	Syag.g_02721
