Orthogroup	Prbl	Prae
OG0000000	Prbl.g_00118, Prbl.g_00117	Prae.g_01310
OG0000000	Prbl.g_00116	Prae.g_01580
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599, Prbl.g_00808, Prbl.g_02598, Prbl.g_02578	Prae.g_01353
OG0000002	Prbl.g_01582	Prae.g_01361
OG0000002	Prbl.g_01092	Prae.g_00652
OG0000004	Prbl.g_00021	Prae.g_00669
OG0000004	Prbl.g_01771	Prae.g_00235
OG0000005	Prbl.g_00419	Prae.g_01535
OG0000006	Prbl.g_02601	Prae.g_00244
OG0000007	Prbl.g_00531	Prae.g_00471
OG0000007	Prbl.g_00394	Prae.g_01623
OG0000010	Prbl.g_01341	Prae.g_01048
OG0000011	Prbl.g_01822	Prae.g_01291
OG0000012	Prbl.g_01618	Prae.g_00597
OG0000013	Prbl.g_01183	Prae.g_00328
OG0000014	Prbl.g_01416	Prae.g_00307
OG0000015	Prbl.g_01566	Prae.g_00769, Prae.g_01235
OG0000017	Prbl.g_01763, Prbl.g_01755	Prae.g_00572
OG0000018	Prbl.g_00694	Prae.g_01144
OG0000019	Prbl.g_01097, Prbl.g_01509	Prae.g_00252, Prae.g_00786
OG0000021	Prbl.g_01531, Prbl.g_01768	Prae.g_01600, Prae.g_00364
OG0000022	Prbl.g_01072	Prae.g_01125
OG0000022	Prbl.g_01310	Prae.g_00764
OG0000023	Prbl.g_02355	Prae.g_00359
OG0000024	Prbl.g_00040	Prae.g_00748, Prae.g_00649
OG0000025	Prbl.g_01539	Prae.g_00332, Prae.g_00840
OG0000026	Prbl.g_01977	Prae.g_00031, Prae.g_01056
OG0000028	Prbl.g_00900	Prae.g_00321
OG0000029	Prbl.g_01163	Prae.g_00755
OG0000030	Prbl.g_02061, Prbl.g_02060	Prae.g_01825
OG0000033	Prbl.g_00278	Prae.g_01396
OG0000034	Prbl.g_01734	Prae.g_01339
OG0000035	Prbl.g_00242	Prae.g_01459
OG0000037	Prbl.g_00548	Prae.g_00108
OG0000038	Prbl.g_02235, Prbl.g_02233	Prae.g_01865
OG0000039	Prbl.g_00318, Prbl.g_01272	Prae.g_00660
OG0000041	Prbl.g_00339	Prae.g_01669
OG0000042	Prbl.g_01236, Prbl.g_01121	Prae.g_01822
OG0000047	Prbl.g_00719	Prae.g_00331
OG0000048	Prbl.g_01465	Prae.g_00374
OG0000053	Prbl.g_00691	Prae.g_01479
OG0000054	Prbl.g_01752	Prae.g_00580
OG0000057	Prbl.g_00025	Prae.g_00672
OG0000059	Prbl.g_00952	Prae.g_01710
OG0000060	Prbl.g_00508, Prbl.g_00063	Prae.g_01238
OG0000061	Prbl.g_02084	Prae.g_01163
OG0000062	Prbl.g_00417	Prae.g_01537
OG0000063	Prbl.g_01981	Prae.g_00033
OG0000065	Prbl.g_00552	Prae.g_00106
OG0000066	Prbl.g_00752	Prae.g_00514
OG0000067	Prbl.g_02335	Prae.g_00806
OG0000068	Prbl.g_00502	Prae.g_01368
OG0000070	Prbl.g_00634	Prae.g_00424
OG0000071	Prbl.g_01722	Prae.g_01329
OG0000072	Prbl.g_00276	Prae.g_00174
OG0000073	Prbl.g_00533	Prae.g_00473
OG0000075	Prbl.g_00855	Prae.g_01791
OG0000076	Prbl.g_01285	Prae.g_01815
