Orthogroup	Prbl	Pray
OG0000000	Prbl.g_00118, Prbl.g_00117	Pray.g_01888
OG0000000	Prbl.g_00116	Pray.g_01603
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599, Prbl.g_00808, Prbl.g_02598, Prbl.g_02578	Pray.g_01844
OG0000002	Prbl.g_01582	Pray.g_01836
OG0000002	Prbl.g_01092	Pray.g_01085
OG0000004	Prbl.g_00021	Pray.g_01068
OG0000004	Prbl.g_01771	Pray.g_00713
OG0000005	Prbl.g_00419	Pray.g_01646
OG0000006	Prbl.g_02601	Pray.g_00722
OG0000007	Prbl.g_00531	Pray.g_00988, Pray.g_00987
OG0000007	Prbl.g_00394	Pray.g_01559
OG0000008	Prbl.g_01855	Pray.g_01931
OG0000009	Prbl.g_00155, Prbl.g_00554	Pray.g_00184
OG0000010	Prbl.g_01341	Pray.g_00592
OG0000011	Prbl.g_01822	Pray.g_00884, Pray.g_01897
OG0000012	Prbl.g_01618	Pray.g_01140
OG0000013	Prbl.g_01183	Pray.g_00805
OG0000014	Prbl.g_01416	Pray.g_00784
OG0000015	Prbl.g_01566	Pray.g_00309
OG0000017	Prbl.g_01763, Prbl.g_01755	Pray.g_01165
OG0000018	Prbl.g_00694	Pray.g_00083
OG0000019	Prbl.g_01097, Prbl.g_01509	Pray.g_00730, Pray.g_00328
OG0000021	Prbl.g_01531, Prbl.g_01768	Pray.g_01578, Pray.g_00842
OG0000022	Prbl.g_01072	Pray.g_00101
OG0000022	Prbl.g_01310	Pray.g_00304
OG0000023	Prbl.g_02355	Pray.g_00838
OG0000024	Prbl.g_00040	Pray.g_00289, Pray.g_01088
OG0000025	Prbl.g_01539	Pray.g_00809, Pray.g_00383
OG0000026	Prbl.g_01977	Pray.g_01493, Pray.g_00599
OG0000028	Prbl.g_00900	Pray.g_00798
OG0000029	Prbl.g_01163	Pray.g_00296
OG0000030	Prbl.g_02061, Prbl.g_02060	Pray.g_01374
OG0000031	Prbl.g_00835, Prbl.g_00830	Pray.g_01806
OG0000034	Prbl.g_01734	Pray.g_01860
OG0000035	Prbl.g_00242	Pray.g_01722
OG0000037	Prbl.g_00548	Pray.g_00180
OG0000038	Prbl.g_02235, Prbl.g_02233	Pray.g_01415
OG0000039	Prbl.g_00318, Prbl.g_01272	Pray.g_01077
OG0000042	Prbl.g_01236, Prbl.g_01121	Pray.g_01371
OG0000044	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612	Pray.g_00002
OG0000047	Prbl.g_00719	Pray.g_00808
OG0000047	Prbl.g_01574	Pray.g_00897
OG0000048	Prbl.g_01465	Pray.g_00852
OG0000053	Prbl.g_00691	Pray.g_01702
OG0000054	Prbl.g_01752	Pray.g_01157
OG0000056	Prbl.g_01599, Prbl.g_01171	Pray.g_01942
OG0000057	Prbl.g_00025	Pray.g_01065
OG0000058	Prbl.g_00890	Pray.g_01786
OG0000059	Prbl.g_00836	Pray.g_01761
OG0000059	Prbl.g_00952	Pray.g_01258
OG0000061	Prbl.g_02084	Pray.g_00064
OG0000062	Prbl.g_00417	Pray.g_01644
OG0000063	Prbl.g_01981	Pray.g_01495
OG0000065	Prbl.g_00552	Pray.g_00182
OG0000066	Prbl.g_00752	Pray.g_01222
OG0000067	Prbl.g_02335	Pray.g_00348
OG0000068	Prbl.g_00502	Pray.g_01829
OG0000070	Prbl.g_00634	Pray.g_00940
OG0000071	Prbl.g_01722	Pray.g_01870
OG0000072	Prbl.g_00276	Pray.g_00652
OG0000073	Prbl.g_00533	Pray.g_00990
OG0000075	Prbl.g_00855	Pray.g_01339
OG0000076	Prbl.g_01285	Pray.g_01364
OG0000077	Prbl.g_00631, Prbl.g_00596	Pray.g_00211
OG0000078	Prbl.g_00193	Pray.g_00720
OG0000079	Prbl.g_01505	Pray.g_00733
OG0000081	Prbl.g_01036, Prbl.g_00032	Pray.g_01022
OG0000082	Prbl.g_01783	Pray.g_01177
OG0000084	Prbl.g_00246	Pray.g_01726
OG0000085	Prbl.g_00405	Pray.g_01566
OG0000086	Prbl.g_00583	Pray.g_00201
OG0000087	Prbl.g_00810	Pray.g_00150
OG0000088	Prbl.g_00281, Prbl.g_01838	Pray.g_00647
OG0000089	Prbl.g_02674	Pray.g_00834
OG0000090	Prbl.g_00766	Pray.g_01024, Pray.g_01228
OG0000091	Prbl.g_01647	Pray.g_01121
OG0000093	Prbl.g_02359	Pray.g_00479
OG0000094	Prbl.g_02209	Pray.g_00565
OG0000095	Prbl.g_00927	Pray.g_00584
OG0000097	Prbl.g_02579	Pray.g_00022
OG0000098	Prbl.g_00722	Pray.g_01847
OG0000099	Prbl.g_00893	Pray.g_01788
OG0000100	Prbl.g_01914, Prbl.g_02305	Pray.g_01648
OG0000101	Prbl.g_01126, Prbl.g_01000	Pray.g_01306
OG0000102	Prbl.g_02636	Pray.g_01369
OG0000103	Prbl.g_02139	Pray.g_01449
OG0000104	Prbl.g_02125	Pray.g_01457
OG0000105	Prbl.g_01461	Pray.g_00753
OG0000106	Prbl.g_00411	Pray.g_00848
OG0000107	Prbl.g_02681	Pray.g_00864
OG0000108	Prbl.g_00511	Pray.g_00970
OG0000109	Prbl.g_00527	Pray.g_00984
OG0000110	Prbl.g_01795	Pray.g_01187
OG0000111	Prbl.g_00026	Pray.g_01064
OG0000112	Prbl.g_02470	Pray.g_00313
OG0000113	Prbl.g_02310	Pray.g_00370
OG0000114	Prbl.g_02407	Pray.g_00452
OG0000115	Prbl.g_00687	Pray.g_00126
OG0000116	Prbl.g_02069	Pray.g_00074
OG0000117	Prbl.g_01384	Pray.g_01927
OG0000118	Prbl.g_01736	Pray.g_01858
OG0000119	Prbl.g_00007, Prbl.g_00046	Pray.g_01833
OG0000120	Prbl.g_00892	Pray.g_01808
OG0000121	Prbl.g_00234, Prbl.g_00240	Pray.g_01720
OG0000122	Prbl.g_01808	Pray.g_01682
OG0000123	Prbl.g_01135	Pray.g_01313
OG0000124	Prbl.g_02054	Pray.g_01380
OG0000125	Prbl.g_02231	Pray.g_01417
OG0000126	Prbl.g_02127	Pray.g_01456
OG0000128	Prbl.g_02109	Pray.g_01473
OG0000129	Prbl.g_02243	Pray.g_00239
OG0000130	Prbl.g_00608	Pray.g_00220
OG0000131	Prbl.g_00303	Pray.g_00144
OG0000132	Prbl.g_00283	Pray.g_00645
OG0000133	Prbl.g_00897	Pray.g_00800
OG0000134	Prbl.g_02677	Pray.g_00835
OG0000135	Prbl.g_02190	Pray.g_00861
OG0000136	Prbl.g_00647	Pray.g_00931
OG0000137	Prbl.g_01340	Pray.g_00965
OG0000138	Prbl.g_00528	Pray.g_00985
OG0000139	Prbl.g_00760	Pray.g_01224
OG0000140	Prbl.g_00754	Pray.g_01223
OG0000141	Prbl.g_01751	Pray.g_01156
OG0000142	Prbl.g_01639	Pray.g_01128
OG0000143	Prbl.g_01643	Pray.g_01124
OG0000144	Prbl.g_01042	Pray.g_01111
OG0000145	Prbl.g_00534	Pray.g_00306
OG0000146	Prbl.g_02469	Pray.g_00314
OG0000147	Prbl.g_02468	Pray.g_00315
OG0000148	Prbl.g_02316	Pray.g_00364
OG0000149	Prbl.g_01552	Pray.g_00395
OG0000150	Prbl.g_01576	Pray.g_00403
OG0000151	Prbl.g_02386	Pray.g_00462
OG0000152	Prbl.g_02478	Pray.g_00511
OG0000153	Prbl.g_02505	Pray.g_00530
OG0000154	Prbl.g_02532	Pray.g_00558
OG0000155	Prbl.g_00185	Pray.g_00043
OG0000156	Prbl.g_00115	Pray.g_01881
OG0000157	Prbl.g_00114	Pray.g_01880
OG0000158	Prbl.g_00843	Pray.g_01787
OG0000160	Prbl.g_00241	Pray.g_01721
OG0000161	Prbl.g_00227	Pray.g_01715
OG0000162	Prbl.g_00221	Pray.g_01709
OG0000163	Prbl.g_00452	Pray.g_01675
OG0000164	Prbl.g_00365	Pray.g_01535
OG0000165	Prbl.g_00356	Pray.g_01528
OG0000166	Prbl.g_00962	Pray.g_01270
OG0000167	Prbl.g_00857	Pray.g_01337
OG0000168	Prbl.g_00842	Pray.g_01347
OG0000169	Prbl.g_01302	Pray.g_01357
OG0000170	Prbl.g_01290	Pray.g_01359
OG0000171	Prbl.g_02055	Pray.g_01379
OG0000172	Prbl.g_02021	Pray.g_01388
OG0000173	Prbl.g_02000	Pray.g_01403
OG0000174	Prbl.g_02188	Pray.g_01431
OG0000175	Prbl.g_02150	Pray.g_01441
OG0000176	Prbl.g_02117	Pray.g_01465, Pray.g_01466
OG0000177	Prbl.g_02116	Pray.g_01467
OG0000178	Prbl.g_02115	Pray.g_01468
OG0000179	Prbl.g_01961	Pray.g_01478
OG0000180	Prbl.g_01962	Pray.g_01479
OG0000181	Prbl.g_01963	Pray.g_01480
OG0000182	Prbl.g_01964	Pray.g_01481
OG0000183	Prbl.g_01968	Pray.g_01485
OG0000184	Prbl.g_02251	Pray.g_00237
OG0000185	Prbl.g_02273	Pray.g_00234
OG0000186	Prbl.g_00614	Pray.g_00225
OG0000187	Prbl.g_00613	Pray.g_00224
OG0000188	Prbl.g_00591	Pray.g_00207
OG0000189	Prbl.g_00565	Pray.g_00193
OG0000190	Prbl.g_00563	Pray.g_00192
OG0000191	Prbl.g_01325	Pray.g_00172
OG0000192	Prbl.g_01316	Pray.g_00168
OG0000193	Prbl.g_00302	Pray.g_00143
OG0000194	Prbl.g_00299	Pray.g_00140
OG0000195	Prbl.g_00297	Pray.g_00138
OG0000196	Prbl.g_00286	Pray.g_00642
OG0000197	Prbl.g_00285	Pray.g_00643
OG0000198	Prbl.g_00284	Pray.g_00644
OG0000199	Prbl.g_00277	Pray.g_00651
OG0000200	Prbl.g_00069	Pray.g_00665
OG0000201	Prbl.g_00088	Pray.g_00673
OG0000202	Prbl.g_00089	Pray.g_00674
OG0000203	Prbl.g_00090	Pray.g_00675
OG0000204	Prbl.g_00091	Pray.g_00676
OG0000205	Prbl.g_00098	Pray.g_00683
OG0000206	Prbl.g_01282	Pray.g_00688
OG0000207	Prbl.g_00130	Pray.g_00690
OG0000208	Prbl.g_00129	Pray.g_00691
OG0000209	Prbl.g_01256	Pray.g_00700
OG0000210	Prbl.g_01257	Pray.g_00701
OG0000211	Prbl.g_01922	Pray.g_00714
OG0000212	Prbl.g_00192	Pray.g_00721
OG0000213	Prbl.g_01496	Pray.g_00738
OG0000214	Prbl.g_01469	Pray.g_00747
OG0000215	Prbl.g_01439	Pray.g_00771
OG0000216	Prbl.g_01436	Pray.g_00772
OG0000217	Prbl.g_01432	Pray.g_00775
OG0000218	Prbl.g_01428	Pray.g_00777
OG0000219	Prbl.g_01427	Pray.g_00778
OG0000220	Prbl.g_01426	Pray.g_00779
OG0000221	Prbl.g_01421	Pray.g_00780
OG0000222	Prbl.g_00911	Pray.g_00788
OG0000223	Prbl.g_00888	Pray.g_00801
OG0000224	Prbl.g_00877	Pray.g_00803
OG0000225	Prbl.g_01218	Pray.g_00824
OG0000226	Prbl.g_01222	Pray.g_00828
OG0000227	Prbl.g_01224	Pray.g_00830
OG0000228	Prbl.g_02673	Pray.g_00833
OG0000229	Prbl.g_00652	Pray.g_00926
OG0000230	Prbl.g_00650	Pray.g_00928
OG0000231	Prbl.g_00635	Pray.g_00939
OG0000232	Prbl.g_00619	Pray.g_00948
OG0000233	Prbl.g_01360	Pray.g_00953
OG0000234	Prbl.g_01339	Pray.g_00966
OG0000235	Prbl.g_00510	Pray.g_00969
OG0000236	Prbl.g_00526	Pray.g_00983
OG0000237	Prbl.g_00800	Pray.g_00997
OG0000238	Prbl.g_00795	Pray.g_01003
OG0000239	Prbl.g_00779	Pray.g_01016
OG0000240	Prbl.g_00778	Pray.g_01017
OG0000241	Prbl.g_01526	Pray.g_01021
OG0000242	Prbl.g_00768	Pray.g_01023
OG0000243	Prbl.g_02647	Pray.g_01218
OG0000244	Prbl.g_01879	Pray.g_01215
OG0000245	Prbl.g_01882	Pray.g_01213
OG0000246	Prbl.g_01886	Pray.g_01209
OG0000247	Prbl.g_01897	Pray.g_01199
OG0000248	Prbl.g_01900	Pray.g_01197
OG0000249	Prbl.g_01902	Pray.g_01195
OG0000250	Prbl.g_01799	Pray.g_01190
OG0000251	Prbl.g_01775	Pray.g_01172
OG0000252	Prbl.g_01772	Pray.g_01169
OG0000253	Prbl.g_01766	Pray.g_01168
OG0000254	Prbl.g_01747	Pray.g_01152
OG0000255	Prbl.g_01612	Pray.g_01146
OG0000256	Prbl.g_01626	Pray.g_01136
OG0000257	Prbl.g_01632	Pray.g_01133
OG0000258	Prbl.g_01655	Pray.g_01120
OG0000259	Prbl.g_01406	Pray.g_01103
OG0000260	Prbl.g_01403	Pray.g_01100
OG0000261	Prbl.g_01400	Pray.g_01098
OG0000262	Prbl.g_01395	Pray.g_01094
OG0000263	Prbl.g_01242	Pray.g_01082
OG0000264	Prbl.g_01859	Pray.g_01072
OG0000265	Prbl.g_01839, Prbl.g_02567	Pray.g_01040
OG0000266	Prbl.g_02556	Pray.g_01030
OG0000267	Prbl.g_02431	Pray.g_00274
OG0000268	Prbl.g_02432	Pray.g_00275
OG0000269	Prbl.g_02340	Pray.g_00343
OG0000270	Prbl.g_02337	Pray.g_00346
OG0000271	Prbl.g_02329	Pray.g_00354
OG0000272	Prbl.g_02328	Pray.g_00355
OG0000273	Prbl.g_01534	Pray.g_00378
OG0000274	Prbl.g_01535	Pray.g_00379
OG0000275	Prbl.g_01538	Pray.g_00382
OG0000276	Prbl.g_01544	Pray.g_00387
OG0000277	Prbl.g_01545	Pray.g_00388
OG0000278	Prbl.g_01548	Pray.g_00391
OG0000279	Prbl.g_01556	Pray.g_00398
OG0000280	Prbl.g_01562	Pray.g_00399
OG0000281	Prbl.g_01577	Pray.g_00404
OG0000282	Prbl.g_02405	Pray.g_00454
OG0000283	Prbl.g_02443	Pray.g_00488
OG0000284	Prbl.g_02449	Pray.g_00493
OG0000285	Prbl.g_01688	Pray.g_00498
OG0000286	Prbl.g_02477	Pray.g_00510
OG0000287	Prbl.g_02608	Pray.g_00527
OG0000288	Prbl.g_02531	Pray.g_00557
OG0000289	Prbl.g_02544	Pray.g_00568
OG0000290	Prbl.g_00930	Pray.g_00581
OG0000291	Prbl.g_00928	Pray.g_00583
OG0000292	Prbl.g_02128	Pray.g_00632
OG0000293	Prbl.g_02071	Pray.g_00073
OG0000294	Prbl.g_02072	Pray.g_00072
OG0000295	Prbl.g_00178	Pray.g_00051
OG0000296	Prbl.g_00180	Pray.g_00049
OG0000297	Prbl.g_01382	Pray.g_00041
OG0000298	Prbl.g_01383	Pray.g_00040
OG0000299	Prbl.g_01372	Pray.g_00023
OG0000300	Prbl.g_02582	Pray.g_00020
OG0000301	Prbl.g_02583	Pray.g_00019
OG0000302	Prbl.g_02586	Pray.g_00017
OG0000303	Prbl.g_00187	Pray.g_00010
OG0000304	Prbl.g_01102	Pray.g_00006
OG0000305	Prbl.g_00926	Pray.g_01837
OG0000306	Prbl.g_01586	Pray.g_01834
OG0000307	Prbl.g_00494	Pray.g_01820
OG0000308	Prbl.g_00492	Pray.g_01819
OG0000309	Prbl.g_00488	Pray.g_01815
OG0000310	Prbl.g_00160	Pray.g_01737
OG0000311	Prbl.g_00258	Pray.g_01735
OG0000312	Prbl.g_00254	Pray.g_01732
OG0000313	Prbl.g_00230	Pray.g_01718
OG0000314	Prbl.g_00699	Pray.g_01695
OG0000315	Prbl.g_00709	Pray.g_01685
OG0000316	Prbl.g_00441	Pray.g_01665
OG0000317	Prbl.g_00399	Pray.g_01561
OG0000318	Prbl.g_00393	Pray.g_01558
OG0000319	Prbl.g_00376	Pray.g_01545
OG0000320	Prbl.g_00374	Pray.g_01543
OG0000321	Prbl.g_00373	Pray.g_01542
OG0000322	Prbl.g_00372	Pray.g_01541
OG0000323	Prbl.g_00361	Pray.g_01532
OG0000324	Prbl.g_00332	Pray.g_01506
OG0000325	Prbl.g_02683	Pray.g_01235
OG0000326	Prbl.g_01059	Pray.g_01241
OG0000327	Prbl.g_00957	Pray.g_01265
OG0000328	Prbl.g_00958	Pray.g_01266
