Orthogroup	Prbd	Syal
OG0000000	Prbd.g_01833	Syal.g_01111, Syal.g_01832
OG0000001	Prbd.g_01779	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184
OG0000004	Prbd.g_00549	Syal.g_01809
OG0000004	Prbd.g_01007	Syal.g_02718, Syal.g_00691
OG0000005	Prbd.g_01512	Syal.g_00606
OG0000005	Prbd.g_01612	Syal.g_00565
OG0000006	Prbd.g_00998	Syal.g_02611, Syal.g_00674
OG0000007	Prbd.g_00745	Syal.g_02918
OG0000007	Prbd.g_01525	Syal.g_00587
OG0000009	Prbd.g_01887, Prbd.g_01576	Syal.g_02089
OG0000009	Prbd.g_01139	Syal.g_00818
OG0000010	Prbd.g_00348	Syal.g_00464
OG0000011	Prbd.g_00534, Prbd.g_01867	Syal.g_00702
OG0000012	Prbd.g_00621	Syal.g_02535, Syal.g_01639
OG0000013	Prbd.g_00912	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Prbd.g_00933	Syal.g_01305
OG0000015	Prbd.g_00065, Prbd.g_00826	Syal.g_02210, Syal.g_01183
OG0000016	Prbd.g_01224	Syal.g_00111
OG0000017	Prbd.g_00646	Syal.g_02752, Syal.g_02745
OG0000018	Prbd.g_00449	Syal.g_00410
OG0000019	Prbd.g_00990, Prbd.g_00082	Syal.g_01209
OG0000022	Prbd.g_00423	Syal.g_02587
OG0000023	Prbd.g_00879	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prbd.g_00045, Prbd.g_00569	Syal.g_02597
OG0000025	Prbd.g_00908, Prbd.g_00137	Syal.g_02459
OG0000026	Prbd.g_00355	Syal.g_00132
OG0000027	Prbd.g_00772, Prbd.g_01832	Syal.g_02543
OG0000028	Prbd.g_01864, Prbd.g_00919	Syal.g_01319
OG0000029	Prbd.g_00052, Prbd.g_00863	Syal.g_03014
OG0000030	Prbd.g_01325	Syal.g_01511, Syal.g_01512
OG0000032	Prbd.g_01730	Syal.g_00183
OG0000034	Prbd.g_01791	Syal.g_00881, Syal.g_01586
OG0000035	Prbd.g_01689	Syal.g_00370, Syal.g_00020
OG0000037	Prbd.g_01135	Syal.g_00601, Syal.g_00824
OG0000038	Prbd.g_01283	Syal.g_01071, Syal.g_01073
OG0000039	Prbd.g_00558	Syal.g_01097
OG0000040	Prbd.g_01550	Syal.g_01187
OG0000040	Prbd.g_00448	Syal.g_01149
OG0000041	Prbd.g_01478	Syal.g_00649
OG0000042	Prbd.g_01328	Syal.g_01705, Syal.g_01508
OG0000043	Prbd.g_01891	Syal.g_01110
OG0000047	Prbd.g_00909	Syal.g_01568
OG0000048	Prbd.g_00439, Prbd.g_00864	Syal.g_01250
OG0000050	Prbd.g_00375	Syal.g_01549
OG0000053	Prbd.g_01669	Syal.g_00406
OG0000054	Prbd.g_00638	Syal.g_02739, Syal.g_02098
OG0000055	Prbd.g_00083	Syal.g_01845
OG0000057	Prbd.g_00546	Syal.g_01812
OG0000059	Prbd.g_01439	Syal.g_00225
OG0000060	Prbd.g_00824	Syal.g_00480, Syal.g_02895, Syal.g_02214
OG0000061	Prbd.g_00468	Syal.g_01653
OG0000062	Prbd.g_01610	Syal.g_00567
OG0000063	Prbd.g_01204	Syal.g_00136
