Orthogroup	Prbd	Syaj
OG0000001	Prbd.g_01779	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660
OG0000002	Prbd.g_01771, Prbd.g_00566	Syaj.g_02667
OG0000004	Prbd.g_00549	Syaj.g_00441
OG0000004	Prbd.g_01007	Syaj.g_01314, Syaj.g_02853
OG0000005	Prbd.g_01512	Syaj.g_01736
OG0000005	Prbd.g_01612	Syaj.g_01698
OG0000006	Prbd.g_00998	Syaj.g_02635
OG0000007	Prbd.g_00745	Syaj.g_00091
OG0000007	Prbd.g_01525	Syaj.g_01721
OG0000009	Prbd.g_01887, Prbd.g_01576	Syaj.g_01069
OG0000009	Prbd.g_01139	Syaj.g_01885
OG0000010	Prbd.g_00348	Syaj.g_01445
OG0000011	Prbd.g_01859	Syaj.g_01133
OG0000012	Prbd.g_00621	Syaj.g_01306, Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172
OG0000013	Prbd.g_00912	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769
OG0000014	Prbd.g_00933	Syaj.g_02522
OG0000015	Prbd.g_00065, Prbd.g_00826	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659
OG0000016	Prbd.g_01224	Syaj.g_02276
OG0000017	Prbd.g_00646	Syaj.g_00248, Syaj.g_00255
OG0000018	Prbd.g_00449	Syaj.g_01413
OG0000019	Prbd.g_00990, Prbd.g_00082	Syaj.g_02613
OG0000021	Prbd.g_01546, Prbd.g_00874	Syaj.g_00982, Syaj.g_00042
OG0000022	Prbd.g_00423	Syaj.g_01220
OG0000023	Prbd.g_00879	Syaj.g_00829, Syaj.g_01791
OG0000024	Prbd.g_00045, Prbd.g_00569	Syaj.g_00500
OG0000025	Prbd.g_00908, Prbd.g_00137	Syaj.g_00383
OG0000026	Prbd.g_01206, Prbd.g_00355	Syaj.g_02298
OG0000027	Prbd.g_00772, Prbd.g_01832	Syaj.g_00396
OG0000028	Prbd.g_01864, Prbd.g_00919	Syaj.g_02506
OG0000029	Prbd.g_00052, Prbd.g_00863	Syaj.g_01229
OG0000030	Prbd.g_01325	Syaj.g_02396, Syaj.g_02395
OG0000034	Prbd.g_01791	Syaj.g_01959
OG0000035	Prbd.g_01689	Syaj.g_01378
OG0000037	Prbd.g_01135	Syaj.g_01891, Syaj.g_02902
OG0000038	Prbd.g_01283	Syaj.g_02115
OG0000039	Prbd.g_00558	Syaj.g_00392, Syaj.g_00275
OG0000040	Prbd.g_00448	Syaj.g_02208
OG0000041	Prbd.g_01478	Syaj.g_01602, Syaj.g_00418
OG0000042	Prbd.g_01328	Syaj.g_02399
OG0000043	Prbd.g_01891	Syaj.g_01085
OG0000047	Prbd.g_00909	Syaj.g_02799
OG0000048	Prbd.g_00439, Prbd.g_00864	Syaj.g_02578
