Orthogroup	Prbd	Syak
OG0000001	Prbd.g_01779	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579
OG0000004	Prbd.g_00549	Syak.g_01219, Syak.g_00720
OG0000004	Prbd.g_01007	Syak.g_00003, Syak.g_02297
OG0000005	Prbd.g_01512	Syak.g_02401
OG0000005	Prbd.g_01612	Syak.g_00885, Syak.g_02436
OG0000006	Prbd.g_00998	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prbd.g_00745	Syak.g_02595
OG0000007	Prbd.g_01525	Syak.g_02416
OG0000009	Prbd.g_01139	Syak.g_02194
OG0000010	Prbd.g_00348	Syak.g_01119
OG0000011	Prbd.g_00534, Prbd.g_01867	Syak.g_00960
OG0000012	Prbd.g_00621	Syak.g_00010
OG0000013	Prbd.g_00912	Syak.g_01270, Syak.g_01275
OG0000014	Prbd.g_00933	Syak.g_01505
OG0000015	Prbd.g_00065, Prbd.g_00826	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000016	Prbd.g_01224	Syak.g_01780
OG0000017	Prbd.g_00646	Syak.g_02730, Syak.g_02738
OG0000018	Prbd.g_00449	Syak.g_01072
OG0000019	Prbd.g_00990, Prbd.g_00082	Syak.g_01413
OG0000021	Prbd.g_01546, Prbd.g_00874	Syak.g_00566
OG0000022	Prbd.g_00423	Syak.g_00088
OG0000023	Prbd.g_00879	Syak.g_00316, Syak.g_00223
OG0000025	Prbd.g_00908, Prbd.g_00137	Syak.g_00610
OG0000026	Prbd.g_01206, Prbd.g_00355	Syak.g_01757
OG0000027	Prbd.g_00772, Prbd.g_01832	Syak.g_00127
OG0000028	Prbd.g_01864, Prbd.g_00919	Syak.g_01522
OG0000029	Prbd.g_00052, Prbd.g_00863	Syak.g_00169, Syak.g_00178
OG0000030	Prbd.g_01325	Syak.g_01684, Syak.g_01685
OG0000032	Prbd.g_01730	Syak.g_01707
OG0000033	Prbd.g_01071	Syak.g_02101
OG0000034	Prbd.g_01791	Syak.g_00950, Syak.g_02133
OG0000035	Prbd.g_01689	Syak.g_01041, Syak.g_01040
OG0000037	Prbd.g_01135	Syak.g_02188
OG0000038	Prbd.g_01283	Syak.g_01938, Syak.g_01936
OG0000039	Prbd.g_00558	Syak.g_00772, Syak.g_01918
OG0000040	Prbd.g_00448	Syak.g_01852
OG0000041	Prbd.g_01478	Syak.g_02354, Syak.g_00752
OG0000042	Prbd.g_01328	Syak.g_00843, Syak.g_01681
OG0000043	Prbd.g_01891, Prbd.g_00174	Syak.g_00335
OG0000045	Prbd.g_00867	Syak.g_00228
OG0000047	Prbd.g_00909	Syak.g_01147
OG0000048	Prbd.g_00439, Prbd.g_00864	Syak.g_01446
OG0000050	Prbd.g_01928	Syak.g_00106
OG0000053	Prbd.g_01669	Syak.g_01068
OG0000054	Prbd.g_00638	Syak.g_02744, Syak.g_02321
OG0000055	Prbd.g_00083	Syak.g_00766
OG0000057	Prbd.g_00546	Syak.g_00724, Syak.g_01676
OG0000059	Prbd.g_01439	Syak.g_01355
OG0000060	Prbd.g_00824	Syak.g_01138, Syak.g_02572, Syak.g_00844
OG0000061	Prbd.g_00468	Syak.g_00898
OG0000062	Prbd.g_01610	Syak.g_02434
OG0000063	Prbd.g_01204	Syak.g_01752
OG0000065	Prbd.g_01137	Syak.g_02192, Syak.g_00282
OG0000066	Prbd.g_00703	Syak.g_02653
OG0000067	Prbd.g_00102	Syak.g_00434
OG0000068	Prbd.g_01764	Syak.g_02565
OG0000070	Prbd.g_00792	Syak.g_01174
OG0000071	Prbd.g_01801	Syak.g_02322, Syak.g_00936
OG0000072	Prbd.g_01069	Syak.g_02099
OG0000073	Prbd.g_00743	Syak.g_02597
OG0000075	Prbd.g_01359	Syak.g_01564
OG0000076	Prbd.g_01335	Syak.g_01650
OG0000077	Prbd.g_01166	Syak.g_02243
OG0000078	Prbd.g_01000	Syak.g_02310
OG0000079	Prbd.g_00987	Syak.g_01417
OG0000080	Prbd.g_01731	Syak.g_01585, Syak.g_01583
OG0000081	Prbd.g_00711	Syak.g_00115
OG0000082	Prbd.g_00658	Syak.g_02711
OG0000084	Prbd.g_01693	Syak.g_01036
OG0000085	Prbd.g_01532	Syak.g_02427
OG0000086	Prbd.g_01156	Syak.g_02219
OG0000087	Prbd.g_01104, Prbd.g_01103	Syak.g_02141
OG0000088	Prbd.g_01074	Syak.g_02106
OG0000089	Prbd.g_00883	Syak.g_01215
OG0000090	Prbd.g_00709	Syak.g_02640
OG0000091	Prbd.g_00602	Syak.g_00043
OG0000092	Prbd.g_01193	Syak.g_01126
OG0000093	Prbd.g_00232	Syak.g_00416
OG0000094	Prbd.g_00321	Syak.g_00656
OG0000095	Prbd.g_00340	Syak.g_00736
OG0000097	Prbd.g_00509	Syak.g_00816
OG0000098	Prbd.g_01782	Syak.g_00345, Syak.g_02651
OG0000099	Prbd.g_01734	Syak.g_01527
OG0000100	Prbd.g_01614	Syak.g_00622
OG0000101	Prbd.g_01391	Syak.g_01305
OG0000102	Prbd.g_01330	Syak.g_01661
OG0000103	Prbd.g_01250	Syak.g_01812
OG0000104	Prbd.g_01241	Syak.g_01799
OG0000105	Prbd.g_00965	Syak.g_01451
OG0000106	Prbd.g_00868	Syak.g_00096
OG0000107	Prbd.g_00852	Syak.g_01392
OG0000108	Prbd.g_00762	Syak.g_02574
OG0000109	Prbd.g_00748	Syak.g_01061, Syak.g_02590
OG0000110	Prbd.g_00668	Syak.g_02698
OG0000111	Prbd.g_00545	Syak.g_00725
OG0000112	Prbd.g_00066	Syak.g_00512
OG0000113	Prbd.g_00124	Syak.g_00461
OG0000114	Prbd.g_00206	Syak.g_00373, Syak.g_00065
OG0000115	Prbd.g_00401	Syak.g_01066
OG0000116	Prbd.g_00458	Syak.g_00911
OG0000117	Prbd.g_01895	Syak.g_00846
OG0000118	Prbd.g_01789	Syak.g_00954
OG0000119	Prbd.g_01768	Syak.g_00917
OG0000120	Prbd.g_01737	Syak.g_01526
OG0000121	Prbd.g_01687	Syak.g_01044
OG0000122	Prbd.g_01649	Syak.g_00081
OG0000123	Prbd.g_01384	Syak.g_01299
OG0000124	Prbd.g_01318	Syak.g_01692
OG0000125	Prbd.g_01281	Syak.g_01934
OG0000126	Prbd.g_01242	Syak.g_01801
OG0000128	Prbd.g_01226	Syak.g_01782
OG0000129	Prbd.g_01194	Syak.g_01947
OG0000130	Prbd.g_01175	Syak.g_02255
OG0000131	Prbd.g_01095	Syak.g_02128
OG0000132	Prbd.g_01076	Syak.g_02108
OG0000133	Prbd.g_00917	Syak.g_00507
OG0000134	Prbd.g_00882	Syak.g_01212
OG0000135	Prbd.g_00855	Syak.g_01897
OG0000136	Prbd.g_01722, Prbd.g_00801	Syak.g_01186
OG0000137	Prbd.g_00767	Syak.g_01118
OG0000138	Prbd.g_00747	Syak.g_01062, Syak.g_02591
OG0000139	Prbd.g_00705	Syak.g_02646
OG0000140	Prbd.g_00704	Syak.g_02650
OG0000141	Prbd.g_00637	Syak.g_02746
OG0000142	Prbd.g_00609	Syak.g_00035
OG0000143	Prbd.g_00605	Syak.g_00039
OG0000144	Prbd.g_00592	Syak.g_00260
OG0000145	Prbd.g_00062	Syak.g_02598
OG0000146	Prbd.g_00067	Syak.g_00514
OG0000147	Prbd.g_00068	Syak.g_00515
OG0000148	Prbd.g_00118	Syak.g_00455
OG0000149	Prbd.g_00149	Syak.g_00596
OG0000150	Prbd.g_00157	Syak.g_02747
OG0000151	Prbd.g_00216	Syak.g_00387
OG0000152	Prbd.g_00264	Syak.g_00503
OG0000153	Prbd.g_00283	Syak.g_00470
OG0000154	Prbd.g_00314	Syak.g_00645
OG0000155	Prbd.g_00488	Syak.g_00855
OG0000156	Prbd.g_01812	Syak.g_00919
OG0000157	Prbd.g_01811	Syak.g_00920
OG0000158	Prbd.g_01736	Syak.g_01624
OG0000160	Prbd.g_01688	Syak.g_01043
OG0000161	Prbd.g_01682	Syak.g_01050
OG0000162	Prbd.g_01676	Syak.g_01058
OG0000163	Prbd.g_01642	Syak.g_02478
OG0000164	Prbd.g_01501	Syak.g_02384
OG0000165	Prbd.g_01494	Syak.g_02374
OG0000166	Prbd.g_01427	Syak.g_01345
OG0000167	Prbd.g_01361	Syak.g_01561
OG0000168	Prbd.g_01351	Syak.g_01625
OG0000169	Prbd.g_01341	Syak.g_01637
OG0000170	Prbd.g_01339	Syak.g_01644
OG0000171	Prbd.g_01319	Syak.g_01691
OG0000172	Prbd.g_01310	Syak.g_01713
OG0000173	Prbd.g_01295	Syak.g_01733
OG0000174	Prbd.g_01268	Syak.g_01895
OG0000175	Prbd.g_01258	Syak.g_01827
OG0000176	Prbd.g_01233	Syak.g_01790
OG0000177	Prbd.g_01232	Syak.g_01789
OG0000178	Prbd.g_01231	Syak.g_01788
OG0000179	Prbd.g_01221	Syak.g_01773
OG0000180	Prbd.g_01220	Syak.g_01772
OG0000181	Prbd.g_01219	Syak.g_01771
OG0000182	Prbd.g_01218	Syak.g_01770
OG0000183	Prbd.g_01214	Syak.g_01766
OG0000184	Prbd.g_01191	Syak.g_01955
OG0000185	Prbd.g_01188	Syak.g_01971
OG0000186	Prbd.g_01180	Syak.g_02258
OG0000187	Prbd.g_01179	Syak.g_02257
OG0000188	Prbd.g_01162	Syak.g_02235
OG0000189	Prbd.g_01148	Syak.g_02203
OG0000190	Prbd.g_01147	Syak.g_01575
OG0000191	Prbd.g_01126	Syak.g_02171
OG0000192	Prbd.g_01122	Syak.g_02165
OG0000193	Prbd.g_01094	Syak.g_02127
OG0000194	Prbd.g_01091	Syak.g_02124
OG0000195	Prbd.g_01089	Syak.g_02122
OG0000196	Prbd.g_01079	Syak.g_02111
OG0000197	Prbd.g_01078	Syak.g_02110
OG0000198	Prbd.g_01077	Syak.g_02109
OG0000199	Prbd.g_01070	Syak.g_02100
OG0000200	Prbd.g_01056	Syak.g_02083
OG0000201	Prbd.g_01048	Syak.g_02068
OG0000202	Prbd.g_01047	Syak.g_02067
OG0000203	Prbd.g_01046	Syak.g_02066
OG0000204	Prbd.g_01045	Syak.g_02065
OG0000205	Prbd.g_01038	Syak.g_02058
OG0000206	Prbd.g_01033	Syak.g_02038
OG0000207	Prbd.g_01031	Syak.g_02025
OG0000208	Prbd.g_01030	Syak.g_02024
OG0000209	Prbd.g_01021	Syak.g_01995
OG0000210	Prbd.g_01020	Syak.g_01994
OG0000211	Prbd.g_01006	Syak.g_02017, Syak.g_02300
OG0000212	Prbd.g_00999	Syak.g_02311
OG0000213	Prbd.g_00982	Syak.g_01425
OG0000214	Prbd.g_00972	Syak.g_01442
OG0000215	Prbd.g_00947	Syak.g_01474
OG0000216	Prbd.g_00945	Syak.g_01478
