Orthogroup	Prbd	Praw
OG0000000	Prbd.g_01833	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prbd.g_01568	Praw.g_00455
OG0000000	Prbd.g_00528	Praw.g_00294
OG0000000	Prbd.g_00528	Praw.g_00454
OG0000000	Prbd.g_00528	Praw.g_00496
OG0000000	Prbd.g_01836	Praw.g_00472
OG0000000	Prbd.g_01835	Praw.g_00959
OG0000000	Prbd.g_01567	Praw.g_00495, Praw.g_00457
OG0000001	Prbd.g_01779	Praw.g_01000
OG0000001	Prbd.g_01930	Praw.g_01739, Praw.g_01951
OG0000002	Prbd.g_01771	Praw.g_01009
OG0000002	Prbd.g_00566	Praw.g_01844
OG0000004	Prbd.g_00549	Praw.g_01827
OG0000004	Prbd.g_01007	Praw.g_01203
OG0000005	Prbd.g_01512	Praw.g_00528
OG0000005	Prbd.g_01612	Praw.g_00413
OG0000006	Prbd.g_00998	Praw.g_01950
OG0000007	Prbd.g_00745	Praw.g_00651
OG0000007	Prbd.g_01525	Praw.g_00515
OG0000008	Prbd.g_00572	Praw.g_01850
OG0000009	Prbd.g_01576	Praw.g_00447
OG0000009	Prbd.g_01139	Praw.g_01330
OG0000010	Prbd.g_00768	Praw.g_00673
OG0000010	Prbd.g_00348	Praw.g_01460
OG0000011	Prbd.g_01859	Praw.g_00952
OG0000012	Prbd.g_00621	Praw.g_00159
OG0000013	Prbd.g_00912	Praw.g_00807
OG0000014	Prbd.g_00933	Praw.g_00828
OG0000015	Prbd.g_00826	Praw.g_01738
OG0000017	Prbd.g_00646	Praw.g_01944
OG0000018	Prbd.g_00129	Praw.g_01670
OG0000018	Prbd.g_00449	Praw.g_00215
OG0000019	Prbd.g_00990	Praw.g_00884
OG0000019	Prbd.g_00082	Praw.g_01717
OG0000020	Prbd.g_00406	Praw.g_00181
OG0000021	Prbd.g_01546	Praw.g_00479
OG0000021	Prbd.g_00874	Praw.g_00767
OG0000022	Prbd.g_00423	Praw.g_00197
OG0000022	Prbd.g_00061	Praw.g_01746
OG0000023	Prbd.g_00879	Praw.g_00772
OG0000024	Prbd.g_00045	Praw.g_01763
OG0000024	Prbd.g_00569	Praw.g_01847
OG0000025	Prbd.g_00908	Praw.g_00803
OG0000025	Prbd.g_00137	Praw.g_01664
OG0000026	Prbd.g_01206	Praw.g_01397
OG0000026	Prbd.g_00355	Praw.g_01453
OG0000027	Prbd.g_00772	Praw.g_00677
OG0000027	Prbd.g_01832	Praw.g_00962
OG0000028	Prbd.g_01864	Praw.g_00334
OG0000028	Prbd.g_00919	Praw.g_00814
OG0000029	Prbd.g_00052	Praw.g_01755
OG0000030	Prbd.g_01325	Praw.g_00029
OG0000032	Prbd.g_01730	Praw.g_01043
OG0000033	Prbd.g_01071	Praw.g_01266
OG0000034	Prbd.g_01791	Praw.g_00991
OG0000035	Prbd.g_01689	Praw.g_01081, Praw.g_01083
OG0000037	Prbd.g_01135	Praw.g_01326
OG0000038	Prbd.g_01283	Praw.g_01182
OG0000039	Prbd.g_00558	Praw.g_01836
OG0000040	Prbd.g_01550	Praw.g_00476
OG0000040	Prbd.g_00448	Praw.g_00214
OG0000041	Prbd.g_01478	Praw.g_00562
OG0000042	Prbd.g_01328	Praw.g_00032
OG0000043	Prbd.g_00174	Praw.g_01627
OG0000045	Prbd.g_00867	Praw.g_00761
OG0000047	Prbd.g_00909	Praw.g_00804
OG0000048	Prbd.g_00864	Praw.g_00758
OG0000049	Prbd.g_00854	Praw.g_00750
