Orthogroup	Prbd	Syae
OG0000001	Prbd.g_01779	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055
OG0000004	Prbd.g_00549	Syae.g_00779
OG0000004	Prbd.g_01007	Syae.g_00042, Syae.g_02231
OG0000005	Prbd.g_01512	Syae.g_01179
OG0000005	Prbd.g_01612	Syae.g_01143
OG0000006	Prbd.g_00998	Syae.g_00096, Syae.g_02030, Syae.g_02248
OG0000007	Prbd.g_00745	Syae.g_02328
OG0000007	Prbd.g_01525	Syae.g_01163
OG0000009	Prbd.g_01887, Prbd.g_01576	Syae.g_00561, Syae.g_00171
OG0000009	Prbd.g_01139	Syae.g_00100, Syae.g_01361
OG0000010	Prbd.g_00348	Syae.g_02529
OG0000011	Prbd.g_01859	Syae.g_00268
OG0000011	Prbd.g_00534, Prbd.g_01867	Syae.g_00750
OG0000012	Prbd.g_00621	Syae.g_00049, Syae.g_02397, Syae.g_02562
OG0000013	Prbd.g_00912	Syae.g_02160, Syae.g_02169, Syae.g_02155
OG0000014	Prbd.g_00933	Syae.g_01930
OG0000015	Prbd.g_00065, Prbd.g_00826	Syae.g_01693, Syae.g_00590
OG0000016	Prbd.g_01224	Syae.g_01726
OG0000017	Prbd.g_00646	Syae.g_02462, Syae.g_02469
OG0000018	Prbd.g_00449	Syae.g_02625
OG0000019	Prbd.g_00990, Prbd.g_00082	Syae.g_02015
OG0000021	Prbd.g_01546, Prbd.g_00874	Syae.g_01261, Syae.g_00481
OG0000022	Prbd.g_00423	Syae.g_00144
OG0000023	Prbd.g_00879	Syae.g_00439, Syae.g_00930
OG0000025	Prbd.g_00908, Prbd.g_00137	Syae.g_00833
OG0000026	Prbd.g_01206, Prbd.g_00355	Syae.g_01748
OG0000027	Prbd.g_00772, Prbd.g_01832	Syae.g_00103, Syae.g_00814
OG0000028	Prbd.g_01864, Prbd.g_00919	Syae.g_01916
OG0000029	Prbd.g_00052, Prbd.g_00863	Syae.g_00136
OG0000030	Prbd.g_01325	Syae.g_01817, Syae.g_01816
OG0000034	Prbd.g_01791	Syae.g_00975, Syae.g_01424
OG0000035	Prbd.g_01689	Syae.g_02653
OG0000037	Prbd.g_01135	Syae.g_01367
OG0000038	Prbd.g_01283	Syae.g_01571
OG0000039	Prbd.g_00558	Syae.g_00822, Syae.g_02495
OG0000040	Prbd.g_00448	Syae.g_01653
OG0000041	Prbd.g_01478	Syae.g_01042, Syae.g_00802
OG0000042	Prbd.g_01328	Syae.g_01821
OG0000047	Prbd.g_00909	Syae.g_02184
OG0000048	Prbd.g_00439, Prbd.g_00864	Syae.g_01982
OG0000050	Prbd.g_01928	Syae.g_00122
OG0000050	Prbd.g_00375	Syae.g_01023
OG0000053	Prbd.g_01669	Syae.g_02629
OG0000054	Prbd.g_00638	Syae.g_00014, Syae.g_00221
OG0000055	Prbd.g_00083	Syae.g_00817
OG0000057	Prbd.g_00546	Syae.g_00782
OG0000059	Prbd.g_01439	Syae.g_02074
OG0000060	Prbd.g_00824	Syae.g_02514, Syae.g_02306, Syae.g_00649
OG0000061	Prbd.g_00468	Syae.g_00921
OG0000062	Prbd.g_01610	Syae.g_01145
OG0000063	Prbd.g_01204	Syae.g_01752
OG0000065	Prbd.g_01137	Syae.g_01363, Syae.g_00722
OG0000066	Prbd.g_00703	Syae.g_02386
OG0000067	Prbd.g_00102	Syae.g_00521
OG0000068	Prbd.g_01764	Syae.g_02299
OG0000069	Prbd.g_01575	Syae.g_00458
OG0000070	Prbd.g_00792	Syae.g_00979
OG0000071	Prbd.g_01801	Syae.g_00961
OG0000072	Prbd.g_01069	Syae.g_01455
OG0000073	Prbd.g_00743	Syae.g_02330
OG0000074	Prbd.g_00562	Syae.g_00719
OG0000075	Prbd.g_01359	Syae.g_01871
OG0000076	Prbd.g_01335	Syae.g_01829
OG0000077	Prbd.g_01166	Syae.g_01297
OG0000078	Prbd.g_01000	Syae.g_02243
OG0000079	Prbd.g_00987	Syae.g_02011
OG0000081	Prbd.g_00711	Syae.g_02261
OG0000082	Prbd.g_00658	Syae.g_02447
OG0000084	Prbd.g_01693	Syae.g_00857, Syae.g_02656
OG0000085	Prbd.g_01532	Syae.g_01152
OG0000086	Prbd.g_01156	Syae.g_01333
OG0000087	Prbd.g_01104, Prbd.g_01103	Syae.g_01414
OG0000088	Prbd.g_01074	Syae.g_01449
OG0000089	Prbd.g_00883	Syae.g_02219
OG0000090	Prbd.g_00709	Syae.g_02374
OG0000091	Prbd.g_00602	Syae.g_00082
OG0000092	Prbd.g_01193	Syae.g_00884
OG0000093	Prbd.g_00232	Syae.g_00537
OG0000094	Prbd.g_00321	Syae.g_00430
OG0000095	Prbd.g_00340	Syae.g_00793, Syae.g_00259, Syae.g_01624
OG0000097	Prbd.g_00509	Syae.g_00683
