Orthogroup	Prbd	Prbi
OG0000000	Prbd.g_01833	Prbi.g_01373
OG0000000	Prbd.g_01568	Prbi.g_01709
OG0000000	Prbd.g_00528	Prbi.g_01268
OG0000000	Prbd.g_00528	Prbi.g_01708
OG0000000	Prbd.g_01836	Prbi.g_01370
OG0000000	Prbd.g_01835	Prbi.g_01371
OG0000000	Prbd.g_01567	Prbi.g_01710
OG0000001	Prbd.g_01779	Prbi.g_01424
OG0000001	Prbd.g_01930	Prbi.g_01270
OG0000002	Prbd.g_01771	Prbi.g_01432
OG0000002	Prbd.g_00566	Prbi.g_00681
OG0000004	Prbd.g_00549	Prbi.g_00698
OG0000004	Prbd.g_01007	Prbi.g_00256
OG0000005	Prbd.g_01512	Prbi.g_01800
OG0000005	Prbd.g_01612	Prbi.g_01666
OG0000006	Prbd.g_00998	Prbi.g_00265
OG0000007	Prbd.g_00745	Prbi.g_00500
OG0000007	Prbd.g_01525	Prbi.g_01787
OG0000008	Prbd.g_00572	Prbi.g_00675
OG0000009	Prbd.g_01887	Prbi.g_01338
OG0000009	Prbd.g_01576	Prbi.g_01701
OG0000009	Prbd.g_01139	Prbi.g_00112
OG0000010	Prbd.g_00768	Prbi.g_00477
OG0000010	Prbd.g_00348	Prbi.g_01094
OG0000011	Prbd.g_01859	Prbi.g_01361
OG0000011	Prbd.g_00836	Prbi.g_00426
OG0000012	Prbd.g_00621	Prbi.g_00625
OG0000013	Prbd.g_00912	Prbi.g_00351
OG0000014	Prbd.g_00933	Prbi.g_00330
OG0000015	Prbd.g_00065	Prbi.g_00810
OG0000015	Prbd.g_00826	Prbi.g_01304
OG0000016	Prbd.g_01224	Prbi.g_00013
OG0000017	Prbd.g_00646	Prbi.g_00600
OG0000018	Prbd.g_00129	Prbi.g_00874
OG0000018	Prbd.g_00449	Prbi.g_01188
OG0000019	Prbd.g_00990	Prbi.g_00273
OG0000019	Prbd.g_00082	Prbi.g_00827
OG0000020	Prbd.g_00406	Prbi.g_01153
OG0000021	Prbd.g_01546	Prbi.g_01742
OG0000021	Prbd.g_00874	Prbi.g_00389
OG0000022	Prbd.g_00423	Prbi.g_01170
OG0000022	Prbd.g_00061	Prbi.g_00805
OG0000023	Prbd.g_00879	Prbi.g_00384
OG0000024	Prbd.g_00045	Prbi.g_00788
OG0000024	Prbd.g_00569	Prbi.g_00678
OG0000025	Prbd.g_00908	Prbi.g_00355
OG0000025	Prbd.g_00137	Prbi.g_00882
OG0000026	Prbd.g_01206	Prbi.g_00031
OG0000026	Prbd.g_00355	Prbi.g_01101
OG0000027	Prbd.g_00772	Prbi.g_00472
OG0000027	Prbd.g_01832	Prbi.g_01374
OG0000028	Prbd.g_01864	Prbi.g_01319
OG0000028	Prbd.g_00919	Prbi.g_00344
OG0000029	Prbd.g_00052	Prbi.g_00796
OG0000029	Prbd.g_00863	Prbi.g_00399
OG0000030	Prbd.g_01325	Prbi.g_02004
OG0000032	Prbd.g_01730	Prbi.g_01497
OG0000033	Prbd.g_01071	Prbi.g_00193
OG0000034	Prbd.g_01791	Prbi.g_01401
OG0000035	Prbd.g_01689	Prbi.g_01589, Prbi.g_01591
OG0000037	Prbd.g_01135	Prbi.g_00116
OG0000038	Prbd.g_01283	Prbi.g_02057
OG0000039	Prbd.g_00558	Prbi.g_00689
