Orthogroup	Prbd	Syaq
OG0000001	Prbd.g_01779	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115, Syaq.g_01434, Syaq.g_02178, Syaq.g_02413
OG0000004	Prbd.g_00549	Syaq.g_02603
OG0000004	Prbd.g_01007	Syaq.g_02042, Syaq.g_01567
OG0000005	Prbd.g_01512	Syaq.g_01658
OG0000005	Prbd.g_01612	Syaq.g_01692
OG0000006	Prbd.g_00998	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prbd.g_00745	Syaq.g_01793
OG0000007	Prbd.g_01525	Syaq.g_01673
OG0000009	Prbd.g_01139	Syaq.g_01489
OG0000010	Prbd.g_00348	Syaq.g_00443
OG0000011	Prbd.g_00534, Prbd.g_01867	Syaq.g_01038
OG0000012	Prbd.g_00621	Syaq.g_02059, Syaq.g_00077
OG0000013	Prbd.g_00912	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prbd.g_00933	Syaq.g_00862
OG0000015	Prbd.g_00065, Prbd.g_00826	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255
OG0000016	Prbd.g_01224	Syaq.g_01136
OG0000017	Prbd.g_00646	Syaq.g_01992, Syaq.g_01999
OG0000018	Prbd.g_00449	Syaq.g_00401
OG0000019	Prbd.g_00990, Prbd.g_00082	Syaq.g_00717
OG0000022	Prbd.g_00423	Syaq.g_02126
OG0000023	Prbd.g_00879	Syaq.g_02540
OG0000025	Prbd.g_00908, Prbd.g_00137	Syaq.g_02381
OG0000026	Prbd.g_01206, Prbd.g_00355	Syaq.g_01114
OG0000028	Prbd.g_01864, Prbd.g_00919	Syaq.g_00878
OG0000030	Prbd.g_01325	Syaq.g_01047, Syaq.g_01048
OG0000034	Prbd.g_01791	Syaq.g_00312, Syaq.g_01431
OG0000035	Prbd.g_01689	Syaq.g_00372, Syaq.g_00371
OG0000037	Prbd.g_01135	Syaq.g_01483
OG0000038	Prbd.g_01283	Syaq.g_01260, Syaq.g_01258
OG0000039	Prbd.g_00558	Syaq.g_01601, Syaq.g_01241
OG0000041	Prbd.g_01478	Syaq.g_02688, Syaq.g_01612
OG0000042	Prbd.g_01328	Syaq.g_00200, Syaq.g_01044
OG0000045	Prbd.g_00867	Syaq.g_02047
