Orthogroup	Prac	Syag
OG0000001	Prac.g_00202	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520
OG0000004	Prac.g_00676	Syag.g_00988
OG0000004	Prac.g_01698	Syag.g_00370, Syag.g_01790
OG0000005	Prac.g_00612	Syag.g_01708
OG0000005	Prac.g_00335	Syag.g_01667
OG0000006	Prac.g_01689	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prac.g_00874	Syag.g_01507
OG0000007	Prac.g_00625	Syag.g_01687
OG0000008	Prac.g_00904	Syag.g_00496
OG0000009	Prac.g_00301	Syag.g_00220, Syag.g_00231
OG0000009	Prac.g_01826	Syag.g_01883
OG0000010	Prac.g_01592, Prac.g_01248	Syag.g_01355
OG0000011	Prac.g_00142	Syag.g_01299
OG0000012	Prac.g_00748	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000013	Prac.g_01604	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Prac.g_01625	Syag.g_02559
OG0000015	Prac.g_00898	Syag.g_02252, Syag.g_00596
OG0000016	Prac.g_01934	Syag.g_02286
OG0000017	Prac.g_00773	Syag.g_00336, Syag.g_00344
OG0000018	Prac.g_01004	Syag.g_01387
OG0000019	Prac.g_01681, Prac.g_01496	Syag.g_02663
OG0000020	Prac.g_01037, Prac.g_00906, Prac.g_00875, Prac.g_01598	Syag.g_00085
OG0000021	Prac.g_01169	Syag.g_00229
OG0000022	Prac.g_01022	Syag.g_00458
OG0000023	Prac.g_01174	Syag.g_00261, Syag.g_00234
OG0000024	Prac.g_01525, Prac.g_00696	Syag.g_00455
OG0000025	Prac.g_01600, Prac.g_01441	Syag.g_00718
OG0000026	Prac.g_01916, Prac.g_01241	Syag.g_02309
OG0000027	Prac.g_01074	Syag.g_00950, Syag.g_00165
OG0000028	Prac.g_00145, Prac.g_01611	Syag.g_02540
OG0000029	Prac.g_01158	Syag.g_00195
OG0000030	Prac.g_00050	Syag.g_02375, Syag.g_02374
OG0000031	Prac.g_00249	Syag.g_02510, Syag.g_02486
OG0000032	Prac.g_00242	Syag.g_02480
OG0000034	Prac.g_00185	Syag.g_01225, Syag.g_01947
OG0000035	Prac.g_00411	Syag.g_01420, Syag.g_01421
OG0000037	Prac.g_01822	Syag.g_00173
OG0000038	Prac.g_00090	Syag.g_02130, Syag.g_02132
OG0000039	Prac.g_00685	Syag.g_01325, Syag.g_02155
OG0000040	Prac.g_01005	Syag.g_02215
OG0000041	Prac.g_00579	Syag.g_01750, Syag.g_00962
OG0000042	Prac.g_00048	Syag.g_01094, Syag.g_02378
OG0000044	Prac.g_00892	Syag.g_00945
OG0000045	Prac.g_01162	Syag.g_00223
OG0000045	Prac.g_01576	Syag.g_00225
OG0000047	Prac.g_01601, Prac.g_01127	Syag.g_00768
OG0000048	Prac.g_01159	Syag.g_02611
OG0000053	Prac.g_01901, Prac.g_00391	Syag.g_01391
OG0000054	Prac.g_00765	Syag.g_00350
OG0000055	Prac.g_01495	Syag.g_01799, Syag.g_00946
