Orthogroup	Prac	Syao
OG0000001	Prac.g_00202	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Prac.g_00676	Syao.g_02374
OG0000004	Prac.g_01698	Syao.g_01271, Syao.g_01007
OG0000005	Prac.g_00612	Syao.g_01680
OG0000005	Prac.g_00335	Syao.g_01578
OG0000006	Prac.g_01689	Syao.g_00919, Syao.g_01518
OG0000007	Prac.g_00874	Syao.g_00105
OG0000007	Prac.g_00625	Syao.g_01554
OG0000009	Prac.g_01826	Syao.g_02598
OG0000010	Prac.g_01592, Prac.g_01248	Syao.g_02683
OG0000011	Prac.g_00142	Syao.g_01282
OG0000012	Prac.g_00748	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201
OG0000013	Prac.g_01604	Syao.g_01910, Syao.g_01222, Syao.g_01844
OG0000014	Prac.g_01625	Syao.g_02027
OG0000015	Prac.g_00898	Syao.g_02339, Syao.g_00302
OG0000016	Prac.g_01934	Syao.g_01955
OG0000017	Prac.g_00773	Syao.g_00997, Syao.g_01064
OG0000018	Prac.g_01004	Syao.g_00071
OG0000019	Prac.g_01681, Prac.g_01496	Syao.g_02108
OG0000021	Prac.g_01169	Syao.g_01002
OG0000022	Prac.g_01022	Syao.g_01218
OG0000023	Prac.g_01174	Syao.g_01266
OG0000025	Prac.g_01600, Prac.g_01441	Syao.g_00436, Syao.g_00437
OG0000026	Prac.g_01916, Prac.g_01241	Syao.g_02234
OG0000027	Prac.g_01074	Syao.g_01286, Syao.g_00202
OG0000028	Prac.g_00145, Prac.g_01611	Syao.g_02012
OG0000030	Prac.g_00050	Syao.g_02189, Syao.g_02188
OG0000031	Prac.g_00249	Syao.g_02008, Syao.g_01083
OG0000032	Prac.g_00242	Syao.g_01984, Syao.g_01983
OG0000035	Prac.g_00411	Syao.g_01483, Syao.g_01486
OG0000037	Prac.g_01822	Syao.g_00374
OG0000038	Prac.g_00090	Syao.g_02440, Syao.g_02442
OG0000039	Prac.g_00685	Syao.g_00704
OG0000040	Prac.g_01005	Syao.g_00711
OG0000041	Prac.g_00579	Syao.g_00509, Syao.g_01637
OG0000042	Prac.g_00048	Syao.g_00019, Syao.g_01941
OG0000045	Prac.g_01162	Syao.g_00148
OG0000045	Prac.g_01576	Syao.g_01214
OG0000047	Prac.g_01127	Syao.g_01899
OG0000048	Prac.g_01159	Syao.g_02077
OG0000053	Prac.g_01901, Prac.g_00391	Syao.g_00067
OG0000054	Prac.g_00765	Syao.g_00295, Syao.g_00625
OG0000055	Prac.g_01495	Syao.g_00498
OG0000057	Prac.g_00673	Syao.g_00377
OG0000058	Prac.g_00434	Syao.g_01080
OG0000059	Prac.g_00500	Syao.g_01801
