Orthogroup	Prac	Prbh
OG0000000	Prac.g_00159	Prbh.g_01853
OG0000000	Prac.g_00277, Prac.g_00292	Prbh.g_01903
OG0000001	Prac.g_00202	Prbh.g_00001
OG0000002	Prac.g_00210	Prbh.g_01016, Prbh.g_01022
OG0000002	Prac.g_00693	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000004	Prac.g_00676	Prbh.g_00933
OG0000004	Prac.g_01698	Prbh.g_00548
OG0000005	Prac.g_00335	Prbh.g_00182
OG0000006	Prac.g_01689	Prbh.g_00538
OG0000007	Prac.g_00874	Prbh.g_00334
OG0000007	Prac.g_00625	Prbh.g_01782
OG0000008	Prac.g_00904	Prbh.g_01406
OG0000010	Prac.g_01070	Prbh.g_00357
OG0000010	Prac.g_01592, Prac.g_01248	Prbh.g_00848, Prbh.g_01143
OG0000011	Prac.g_00142	Prbh.g_01835
OG0000012	Prac.g_00748	Prbh.g_01460
OG0000013	Prac.g_01604	Prbh.g_00452
OG0000014	Prac.g_01625	Prbh.g_00472
OG0000015	Prac.g_00898	Prbh.g_00840, Prbh.g_01869
OG0000017	Prac.g_00773	Prbh.g_00232, Prbh.g_00225
OG0000018	Prac.g_01448	Prbh.g_00981
OG0000018	Prac.g_01004	Prbh.g_01305
OG0000019	Prac.g_01681	Prbh.g_00530
OG0000019	Prac.g_01496	Prbh.g_01307
OG0000020	Prac.g_00906	Prbh.g_01819
OG0000020	Prac.g_00875, Prac.g_01598	Prbh.g_01898
OG0000021	Prac.g_01169	Prbh.g_00203, Prbh.g_00938
OG0000022	Prac.g_01510	Prbh.g_00190
OG0000023	Prac.g_01174	Prbh.g_00833
OG0000024	Prac.g_01525	Prbh.g_01147
OG0000024	Prac.g_00696	Prbh.g_00909
OG0000025	Prac.g_01600, Prac.g_01441	Prbh.g_00988
OG0000026	Prac.g_01241	Prbh.g_00749
OG0000028	Prac.g_00145	Prbh.g_00404
OG0000028	Prac.g_01611	Prbh.g_00459
OG0000029	Prac.g_01158	Prbh.g_01691
OG0000030	Prac.g_00050	Prbh.g_01570
OG0000031	Prac.g_00249	Prbh.g_00064
OG0000034	Prac.g_00185	Prbh.g_01383
OG0000035	Prac.g_00411	Prbh.g_00096, Prbh.g_00099
OG0000037	Prac.g_01822	Prbh.g_00674
OG0000038	Prac.g_00090	Prbh.g_01530
