Orthogroup	Prac	Syab
OG0000000	Prac.g_00159	Syab.g_01226
OG0000001	Prac.g_00202	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673
OG0000002	Prac.g_00210, Prac.g_00693	Syab.g_02285
OG0000004	Prac.g_00676	Syab.g_00549, Syab.g_01193
OG0000004	Prac.g_01698	Syab.g_01911, Syab.g_02377
OG0000005	Prac.g_00612	Syab.g_02289
OG0000005	Prac.g_00335	Syab.g_02806, Syab.g_02232
OG0000006	Prac.g_01689	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prac.g_00874	Syab.g_02117
OG0000007	Prac.g_00625	Syab.g_02256
OG0000008	Prac.g_00904	Syab.g_01755
OG0000009	Prac.g_00301	Syab.g_00995
OG0000009	Prac.g_01826	Syab.g_02498
OG0000010	Prac.g_01592, Prac.g_01248	Syab.g_00696
OG0000011	Prac.g_00142	Syab.g_01491
OG0000012	Prac.g_00748	Syab.g_01774, Syab.g_00953
OG0000013	Prac.g_01604	Syab.g_00487, Syab.g_00497, Syab.g_00482
OG0000014	Prac.g_01625	Syab.g_00249
OG0000015	Prac.g_00898	Syab.g_02889
OG0000016	Prac.g_01934	Syab.g_00014
OG0000017	Prac.g_00773	Syab.g_01953, Syab.g_01945
OG0000018	Prac.g_01004	Syab.g_00742
OG0000019	Prac.g_01681, Prac.g_01496	Syab.g_00344
OG0000020	Prac.g_01037, Prac.g_00906, Prac.g_00875, Prac.g_01598	Syab.g_02230
OG0000022	Prac.g_01022	Syab.g_01825
OG0000023	Prac.g_01174	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prac.g_01525, Prac.g_00696	Syab.g_01834
OG0000025	Prac.g_01600, Prac.g_01441	Syab.g_01705
OG0000026	Prac.g_01241	Syab.g_00036
OG0000027	Prac.g_01074	Syab.g_01782
OG0000028	Prac.g_00145, Prac.g_01611	Syab.g_00234
OG0000030	Prac.g_00050	Syab.g_00096, Syab.g_00095
OG0000031	Prac.g_00249	Syab.g_00160
OG0000032	Prac.g_00242	Syab.g_00149
OG0000034	Prac.g_00185	Syab.g_00900, Syab.g_02560
OG0000035	Prac.g_00411	Syab.g_00776, Syab.g_00778
OG0000037	Prac.g_01822	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504
OG0000038	Prac.g_00090	Syab.g_02759, Syab.g_02761
OG0000039	Prac.g_00685	Syab.g_02791
OG0000040	Prac.g_01005	Syab.g_02853
OG0000041	Prac.g_00579	Syab.g_01086, Syab.g_02804, Syab.g_02333
OG0000042	Prac.g_00048	Syab.g_01019, Syab.g_00099
OG0000044	Prac.g_00892	Syab.g_01262, Syab.g_01256, Syab.g_01097
OG0000045	Prac.g_01162	Syab.g_01787
OG0000045	Prac.g_01576	Syab.g_00871
OG0000047	Prac.g_01601, Prac.g_01127	Syab.g_00876
OG0000048	Prac.g_01159	Syab.g_00308
OG0000053	Prac.g_01901, Prac.g_00391	Syab.g_00746
OG0000054	Prac.g_00765	Syab.g_01932
OG0000055	Prac.g_01495	Syab.g_01255
OG0000057	Prac.g_00673	Syab.g_01200
OG0000059	Prac.g_00500	Syab.g_00397
OG0000061	Prac.g_00985	Syab.g_00969
OG0000062	Prac.g_00333	Syab.g_02234
OG0000063	Prac.g_01913, Prac.g_01914, Prac.g_00908	Syab.g_00040
OG0000065	Prac.g_01824	Syab.g_02500, Syab.g_01768
OG0000066	Prac.g_00833	Syab.g_01516, Syab.g_02031
OG0000067	Prac.g_01475	Syab.g_01659
OG0000068	Prac.g_00217	Syab.g_02087
OG0000070	Prac.g_01097	Syab.g_00614
OG0000071	Prac.g_00175	Syab.g_00915
OG0000072	Prac.g_01759	Syab.g_02593
OG0000073	Prac.g_00872	Syab.g_02119
OG0000075	Prac.g_00017	Syab.g_00202
OG0000076	Prac.g_01904, Prac.g_00041	Syab.g_00113
