Orthogroup	Prac	Prbn
OG0000000	Prac.g_00277, Prac.g_00292	Prbn.g_01662
OG0000001	Prac.g_00202	Prbn.g_01213
OG0000002	Prac.g_00210	Prbn.g_01483, Prbn.g_01478
OG0000002	Prac.g_00693	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000004	Prac.g_00676	Prbn.g_01565
OG0000004	Prac.g_01698	Prbn.g_00318
OG0000005	Prac.g_00335	Prbn.g_00899
OG0000006	Prac.g_01689	Prbn.g_00308
OG0000007	Prac.g_00874	Prbn.g_00617
OG0000007	Prac.g_00625	Prbn.g_01745
OG0000008	Prac.g_00904	Prbn.g_01645
OG0000010	Prac.g_01070	Prbn.g_00640
OG0000010	Prac.g_01592, Prac.g_01248	Prbn.g_01939, Prbn.g_01357
OG0000012	Prac.g_00748	Prbn.g_00492, Prbn.g_00867
OG0000013	Prac.g_01604	Prbn.g_00092
OG0000014	Prac.g_01625	Prbn.g_00074
OG0000015	Prac.g_00898	Prbn.g_01684, Prbn.g_01730
OG0000017	Prac.g_00773	Prbn.g_00517, Prbn.g_00510
OG0000018	Prac.g_01448	Prbn.g_01518
OG0000018	Prac.g_01004	Prbn.g_01167
OG0000019	Prac.g_01681	Prbn.g_00015
OG0000019	Prac.g_01496	Prbn.g_01165
OG0000020	Prac.g_00875, Prac.g_01598	Prbn.g_00133
OG0000021	Prac.g_01169	Prbn.g_00874, Prbn.g_01560
OG0000022	Prac.g_01510	Prbn.g_00891
OG0000023	Prac.g_01174	Prbn.g_01030
OG0000024	Prac.g_01525	Prbn.g_01353
OG0000024	Prac.g_00696	Prbn.g_01589
OG0000025	Prac.g_01600, Prac.g_01441	Prbn.g_01510
OG0000026	Prac.g_01916, Prac.g_01241	Prbn.g_00750
OG0000027	Prac.g_01074	Prbn.g_00139, Prbn.g_01664
OG0000028	Prac.g_00145	Prbn.g_01644
OG0000029	Prac.g_01158	Prbn.g_01836
OG0000030	Prac.g_00050	Prbn.g_00985
OG0000031	Prac.g_00249	Prbn.g_00171
OG0000034	Prac.g_00185	Prbn.g_01073
OG0000035	Prac.g_00411	Prbn.g_00212
OG0000037	Prac.g_01822	Prbn.g_01310
OG0000038	Prac.g_00090	Prbn.g_00946
OG0000039	Prac.g_00685	Prbn.g_01577
OG0000041	Prac.g_00579	Prbn.g_01793
OG0000042	Prac.g_00048	Prbn.g_00988
OG0000043	Prac.g_01405	Prbn.g_01168
OG0000047	Prac.g_01127	Prbn.g_00690
OG0000048	Prac.g_01159	Prbn.g_01097, Prbn.g_00038
OG0000053	Prac.g_01901, Prac.g_00391	Prbn.g_00233, Prbn.g_01690
OG0000054	Prac.g_00765	Prbn.g_00508
OG0000055	Prac.g_01495	Prbn.g_01140, Prbn.g_01719
OG0000057	Prac.g_00673	Prbn.g_01562
OG0000058	Prac.g_00258, Prac.g_00434	Prbn.g_00172
OG0000059	Prac.g_00500	Prbn.g_01833
OG0000061	Prac.g_00985	Prbn.g_01189
OG0000062	Prac.g_00333	Prbn.g_00897
OG0000063	Prac.g_00908	Prbn.g_00130
OG0000065	Prac.g_01824	Prbn.g_01312
OG0000066	Prac.g_00833	Prbn.g_00577, Prbn.g_01657
OG0000067	Prac.g_01475	Prbn.g_01546
OG0000068	Prac.g_00217	Prbn.g_01240
OG0000069	Prac.g_00890, Prac.g_00300	Prbn.g_00659
OG0000070	Prac.g_01097	Prbn.g_00663
OG0000071	Prac.g_00175	Prbn.g_01084
OG0000072	Prac.g_01759	Prbn.g_00383
OG0000073	Prac.g_00872	Prbn.g_00614
OG0000074	Prac.g_00689	Prbn.g_01582, Prbn.g_01928, Prbn.g_01038
OG0000075	Prac.g_00017	Prbn.g_01917
OG0000076	Prac.g_01904, Prac.g_00041	Prbn.g_00996
OG0000077	Prac.g_01853	Prbn.g_01342
OG0000078	Prac.g_01691	Prbn.g_00310
OG0000081	Prac.g_00841	Prbn.g_00585
OG0000082	Prac.g_00788	Prbn.g_00530, Prbn.g_01734
OG0000084	Prac.g_00415	Prbn.g_00209
OG0000085	Prac.g_00632	Prbn.g_00144, Prbn.g_01737
OG0000086	Prac.g_01843	Prbn.g_01333
OG0000087	Prac.g_01792	Prbn.g_01278
OG0000088	Prac.g_01764	Prbn.g_01247
OG0000089	Prac.g_01178	Prbn.g_00696
OG0000090	Prac.g_00839	Prbn.g_00583
OG0000091	Prac.g_00729	Prbn.g_00434
OG0000092	Prac.g_01379	Prbn.g_01616
OG0000093	Prac.g_01359	Prbn.g_00846
OG0000094	Prac.g_01275	Prbn.g_01369
OG0000095	Prac.g_01256	Prbn.g_01471
OG0000096	Prac.g_01958, Prac.g_01035, Prac.g_00139	Prbn.g_01049
OG0000097	Prac.g_00944	Prbn.g_00408
OG0000098	Prac.g_00199	Prbn.g_01216
OG0000099	Prac.g_00256	Prbn.g_00173
OG0000100	Prac.g_00337	Prbn.g_00903
OG0000101	Prac.g_00548	Prbn.g_01881
OG0000102	Prac.g_00046	Prbn.g_00991
OG0000103	Prac.g_00123	Prbn.g_00907
OG0000104	Prac.g_00131	Prbn.g_00296
OG0000105	Prac.g_01657	Prbn.g_00041
OG0000106	Prac.g_01163	Prbn.g_00829
OG0000107	Prac.g_01148	Prbn.g_01810
OG0000108	Prac.g_01064	Prbn.g_00634
OG0000109	Prac.g_01050	Prbn.g_00620
OG0000110	Prac.g_00798	Prbn.g_00541
OG0000111	Prac.g_00672	Prbn.g_01561
OG0000112	Prac.g_01507	Prbn.g_00468
OG0000113	Prac.g_01453	Prbn.g_01523
OG0000114	Prac.g_01384	Prbn.g_01621
OG0000115	Prac.g_01040	Prbn.g_01120
OG0000116	Prac.g_00995	Prbn.g_01178
OG0000117	Prac.g_01955	Prbn.g_00389
OG0000118	Prac.g_00187	Prbn.g_01071
OG0000119	Prac.g_00213	Prbn.g_01135, Prbn.g_00885
OG0000120	Prac.g_00248	Prbn.g_00170
OG0000121	Prac.g_00409	Prbn.g_00214
OG0000122	Prac.g_00371	Prbn.g_01113, Prbn.g_00255
OG0000123	Prac.g_00554	Prbn.g_01888
OG0000124	Prac.g_00056	Prbn.g_00979
OG0000125	Prac.g_00092	Prbn.g_00944
OG0000126	Prac.g_00130	Prbn.g_00295
OG0000128	Prac.g_01936	Prbn.g_00002, Prbn.g_00003
OG0000129	Prac.g_01888	Prbn.g_00737
OG0000130	Prac.g_01862	Prbn.g_00708
OG0000131	Prac.g_01785	Prbn.g_01269
OG0000132	Prac.g_01766	Prbn.g_01249
OG0000133	Prac.g_01609	Prbn.g_00088
OG0000134	Prac.g_01177	Prbn.g_00694
OG0000135	Prac.g_01150	Prbn.g_01102
OG0000136	Prac.g_01106	Prbn.g_00672
OG0000137	Prac.g_01069	Prbn.g_00639
OG0000138	Prac.g_01049	Prbn.g_00619
OG0000139	Prac.g_00835	Prbn.g_00579
OG0000140	Prac.g_00834	Prbn.g_00578
OG0000141	Prac.g_00764	Prbn.g_00507
OG0000142	Prac.g_00736	Prbn.g_00426
OG0000143	Prac.g_00732	Prbn.g_00430
OG0000144	Prac.g_00719	Prbn.g_00444
OG0000145	Prac.g_01508	Prbn.g_01100
OG0000146	Prac.g_01506	Prbn.g_00469
OG0000147	Prac.g_01505	Prbn.g_00470
OG0000148	Prac.g_01459	Prbn.g_01529
OG0000149	Prac.g_01429	Prbn.g_01497
OG0000150	Prac.g_01421	Prbn.g_01487
OG0000151	Prac.g_01374	Prbn.g_01611
OG0000152	Prac.g_01327	Prbn.g_01418
OG0000153	Prac.g_01308	Prbn.g_01399
OG0000154	Prac.g_01282	Prbn.g_01379
OG0000155	Prac.g_00965	Prbn.g_01210
OG0000156	Prac.g_00164	Prbn.g_01095
OG0000157	Prac.g_00165	Prbn.g_01094
OG0000158	Prac.g_00447	Prbn.g_01014
OG0000160	Prac.g_00410	Prbn.g_00213
OG0000161	Prac.g_00404	Prbn.g_00219
OG0000162	Prac.g_00398	Prbn.g_00225
OG0000163	Prac.g_00364	Prbn.g_00264
OG0000164	Prac.g_00601	Prbn.g_01770
OG0000165	Prac.g_00594	Prbn.g_01777
OG0000166	Prac.g_00512	Prbn.g_01844
OG0000167	Prac.g_00015	Prbn.g_01915
OG0000168	Prac.g_00025	Prbn.g_01013
OG0000169	Prac.g_00035	Prbn.g_01003
OG0000170	Prac.g_00037	Prbn.g_01000
OG0000171	Prac.g_00055	Prbn.g_00980
OG0000172	Prac.g_00063	Prbn.g_00973
OG0000173	Prac.g_00078	Prbn.g_00958
OG0000174	Prac.g_00105	Prbn.g_00929
OG0000175	Prac.g_00115	Prbn.g_00916
OG0000176	Prac.g_01943	Prbn.g_00010
OG0000177	Prac.g_01942	Prbn.g_00009
OG0000178	Prac.g_01941	Prbn.g_00008
OG0000179	Prac.g_01931	Prbn.g_00766
OG0000180	Prac.g_01930	Prbn.g_00765
OG0000181	Prac.g_01929	Prbn.g_00764
OG0000182	Prac.g_01928	Prbn.g_00763
OG0000183	Prac.g_01924	Prbn.g_00759
OG0000184	Prac.g_01885	Prbn.g_00733
OG0000185	Prac.g_01882	Prbn.g_00730
OG0000186	Prac.g_01867	Prbn.g_00714
OG0000187	Prac.g_01866	Prbn.g_00713
OG0000188	Prac.g_01849	Prbn.g_01339
OG0000189	Prac.g_01835	Prbn.g_01325
OG0000190	Prac.g_01834	Prbn.g_01323
OG0000191	Prac.g_01814	Prbn.g_01300
OG0000192	Prac.g_01810	Prbn.g_01295
OG0000193	Prac.g_01784	Prbn.g_01268
OG0000194	Prac.g_01781	Prbn.g_01265
OG0000195	Prac.g_01779	Prbn.g_01263
OG0000196	Prac.g_01769	Prbn.g_01252
OG0000197	Prac.g_01768	Prbn.g_01251
OG0000198	Prac.g_01767	Prbn.g_01250
OG0000199	Prac.g_01760	Prbn.g_01243, Prbn.g_00384
OG0000200	Prac.g_01746	Prbn.g_00370
OG0000201	Prac.g_01738	Prbn.g_00361
OG0000202	Prac.g_01737	Prbn.g_00360
OG0000203	Prac.g_01736	Prbn.g_00359
OG0000204	Prac.g_01735	Prbn.g_00358
OG0000205	Prac.g_01728	Prbn.g_00351
OG0000206	Prac.g_01723	Prbn.g_00346
OG0000207	Prac.g_01721	Prbn.g_00343
OG0000208	Prac.g_01720	Prbn.g_00342
OG0000209	Prac.g_01711	Prbn.g_00333
OG0000210	Prac.g_01710	Prbn.g_00332
OG0000211	Prac.g_01697	Prbn.g_00317
OG0000212	Prac.g_01690	Prbn.g_00309
OG0000213	Prac.g_01674	Prbn.g_00024
OG0000214	Prac.g_01664	Prbn.g_00034
OG0000215	Prac.g_01639	Prbn.g_00061
OG0000216	Prac.g_01637	Prbn.g_00062
OG0000217	Prac.g_01634	Prbn.g_00065
OG0000218	Prac.g_01632	Prbn.g_00067
OG0000219	Prac.g_01631	Prbn.g_00068
OG0000220	Prac.g_01630	Prbn.g_00069
OG0000221	Prac.g_01629	Prbn.g_00070
OG0000222	Prac.g_01621	Prbn.g_00077
OG0000223	Prac.g_01608	Prbn.g_00089
OG0000224	Prac.g_01606	Prbn.g_00091
OG0000225	Prac.g_01188	Prbn.g_00117
OG0000226	Prac.g_01184	Prbn.g_00121
OG0000227	Prac.g_01182	Prbn.g_00123
OG0000228	Prac.g_01179	Prbn.g_00697
OG0000229	Prac.g_01111	Prbn.g_00677
OG0000230	Prac.g_01109	Prbn.g_00675
OG0000231	Prac.g_01098	Prbn.g_00664
OG0000232	Prac.g_01089	Prbn.g_00653
OG0000233	Prac.g_01082	Prbn.g_00647
OG0000234	Prac.g_01068	Prbn.g_00638
OG0000235	Prac.g_01065	Prbn.g_00635
OG0000236	Prac.g_01051	Prbn.g_00621
OG0000237	Prac.g_00865	Prbn.g_00608
OG0000238	Prac.g_00859	Prbn.g_00602
OG0000239	Prac.g_00847	Prbn.g_00591
OG0000240	Prac.g_00846	Prbn.g_00590
