Orthogroup	Prac	Syak
OG0000001	Prac.g_00202	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579
OG0000004	Prac.g_00676	Syak.g_01219, Syak.g_00720
OG0000004	Prac.g_01698	Syak.g_00003, Syak.g_02297
OG0000005	Prac.g_00612	Syak.g_02401
OG0000005	Prac.g_00335	Syak.g_00885, Syak.g_02436
OG0000006	Prac.g_01689	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prac.g_00874	Syak.g_02595
OG0000007	Prac.g_00625	Syak.g_02416
OG0000008	Prac.g_00904	Syak.g_00267
OG0000009	Prac.g_01826	Syak.g_02194
OG0000010	Prac.g_01592, Prac.g_01248	Syak.g_01119
OG0000011	Prac.g_00142	Syak.g_00960
OG0000012	Prac.g_00748	Syak.g_00010
OG0000013	Prac.g_01604	Syak.g_01270, Syak.g_01275
OG0000014	Prac.g_01625	Syak.g_01505
OG0000015	Prac.g_00898	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000016	Prac.g_01934	Syak.g_01780
OG0000017	Prac.g_00773	Syak.g_02730, Syak.g_02738
OG0000018	Prac.g_01004	Syak.g_01072
OG0000019	Prac.g_01681, Prac.g_01496	Syak.g_01413
OG0000021	Prac.g_01169	Syak.g_00566
OG0000022	Prac.g_01022	Syak.g_00088
OG0000023	Prac.g_01174	Syak.g_00316, Syak.g_00223
OG0000025	Prac.g_01600, Prac.g_01441	Syak.g_00610
OG0000026	Prac.g_01916, Prac.g_01241	Syak.g_01757
OG0000027	Prac.g_01074	Syak.g_00127
OG0000028	Prac.g_00145, Prac.g_01611	Syak.g_01522
OG0000029	Prac.g_01158	Syak.g_00169, Syak.g_00178
OG0000030	Prac.g_00050	Syak.g_01684, Syak.g_01685
OG0000031	Prac.g_00249	Syak.g_01630
OG0000032	Prac.g_00242	Syak.g_01707
OG0000033	Prac.g_01761	Syak.g_02101
OG0000034	Prac.g_00185	Syak.g_00950, Syak.g_02133
OG0000035	Prac.g_00411	Syak.g_01041, Syak.g_01040
OG0000037	Prac.g_01822	Syak.g_02188
OG0000038	Prac.g_00090	Syak.g_01938, Syak.g_01936
OG0000039	Prac.g_00685	Syak.g_00772, Syak.g_01918
OG0000040	Prac.g_01005	Syak.g_01852
OG0000041	Prac.g_00579	Syak.g_02354, Syak.g_00752
OG0000042	Prac.g_00048	Syak.g_00843, Syak.g_01681
OG0000043	Prac.g_01405	Syak.g_00335
