Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
GCF_000007925.1_ASM792v1_genomic	99.99	0.01	Neural Network (Specific Model)	11	0.889	1751080	272.6357442348008	1751080	0.36	1908	1	1751080	None
GCF_000011465.1_ASM1146v1_genomic	99.99	0.03	Neural Network (Specific Model)	11	0.901	1657990	259.8178032274857	1657990	0.31	1921	1	1657990	None
GCF_000011485.1_ASM1148v1_genomic	99.99	0.04	Neural Network (Specific Model)	11	0.833	2410873	261.9465886939571	2410873	0.51	2565	1	2410873	None
GCF_000012465.1_ASM1246v1_genomic	99.99	0.09	Neural Network (Specific Model)	11	0.872	1842899	253.39253660840814	1842899	0.35	2117	1	1842899	None
GCF_000012645.1_ASM1264v1_genomic	100.0	0.02	Neural Network (Specific Model)	11	0.901	1709204	267.61290322580646	1709204	0.31	1922	1	1709204	None
GCF_000015645.1_ASM1564v1_genomic	99.97	0.06	Neural Network (Specific Model)	11	0.908	1669886	267.86039132734004	1669886	0.31	1891	1	1669886	None
GCF_000015665.1_ASM1566v1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.887	1704176	265.5060494476591	1704176	0.31	1901	1	1704176	None
GCF_000015685.1_ASM1568v1_genomic	99.99	0.07	Neural Network (Specific Model)	11	0.869	1864731	251.30208816705337	1864731	0.35	2155	1	1864731	None
GCF_000015705.1_ASM1570v1_genomic	99.99	0.16	Neural Network (Specific Model)	11	0.832	2682675	272.4139314369074	2682675	0.5	2742	1	2682675	None
GCF_000015965.1_ASM1596v1_genomic	100.0	0.02	Neural Network (Specific Model)	11	0.907	1641879	265.344	1641879	0.31	1875	1	1641879	None
GCF_000018065.1_ASM1806v1_genomic	100.0	0.22	Neural Network (Specific Model)	11	0.897	1738790	262.17774420946625	1738790	0.31	1986	1	1738790	None
GCF_000018585.1_ASM1858v1_genomic	99.99	0.03	Neural Network (Specific Model)	11	0.896	1688963	272.8063646170442	1688963	0.38	1854	1	1688963	None
GCF_000158595.1_ASM15859v1_genomic	99.98	0.07	Neural Network (Specific Model)	11	0.897	1691453	258.4558898521163	1691453	0.31	1961	1	1691453	None
GCF_000757845.1_ASM75784v1_genomic	100.0	0.41	Neural Network (Specific Model)	11	0.899	1780061	258.35572740454325	1780061	0.31	2069	1	1780061	None
GCF_000757865.1_ASM75786v1_genomic	99.99	0.11	Neural Network (Specific Model)	11	0.869	1929203	254.74215552523876	1929203	0.35	2199	1	1929203	None
GCF_000759855.1_ASM75985v1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.894	170362	260.5082135523614	1699937	0.31	1948	13	322433	None
GCF_000759865.1_ASM75986v1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.895	117620	258.92493573264784	1685398	0.31	1945	22	250154	None
GCF_000759875.1_ASM75987v1_genomic	99.99	0.03	Neural Network (Specific Model)	11	0.901	328627	259.0343392299688	1654739	0.31	1922	8	554753	None
GCF_000759885.1_ASM75988v1_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.908	416038	266.12216216216217	1624310	0.31	1850	11	459909	None
GCF_000759935.1_ASM75993v1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.894	137374	258.8213374170495	1697748	0.31	1959	18	307275	None
GCF_000759955.1_ASM75995v1_genomic	100.0	0.05	Neural Network (Specific Model)	11	0.906	145955	257.28077314343847	1672416	0.31	1966	21	299563	None
GCF_000759975.1_ASM75997v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.894	242124	262.87695410993445	1745343	0.31	1983	17	383692	None
GCF_000760015.1_ASM76001v1_genomic	100.0	0.02	Neural Network (Specific Model)	11	0.9	189094	265.7643410852713	1711064	0.31	1935	17	395981	None
GCF_000760035.1_ASM76003v1_genomic	99.99	0.13	Neural Network (Specific Model)	11	0.905	221824	261.6446492575525	1690556	0.31	1953	16	393049	None
GCF_000760055.1_ASM76005v1_genomic	99.99	0.08	Neural Network (Specific Model)	11	0.907	259210	262.48093994778066	1658664	0.31	1915	10	361189	None
GCF_000760075.1_ASM76007v1_genomic	99.99	0.2	Neural Network (Specific Model)	11	0.907	367597	262.5556717198118	1657550	0.31	1913	11	557610	None
GCF_000760095.1_ASM76009v1_genomic	99.99	0.15	Neural Network (Specific Model)	11	0.907	110519	262.2628571428571	1666808	0.31	1925	17	474619	None
GCF_000760115.1_ASM76011v1_genomic	100.0	0.02	Neural Network (Specific Model)	11	0.909	1237529	266.68315789473684	1669823	0.32	1900	4	1237529	None
GCF_000760155.1_ASM76015v1_genomic	99.99	0.01	Neural Network (Specific Model)	11	0.889	326623	271.0494276795005	1754063	0.36	1922	14	353379	None
GCF_000760175.1_ASM76017v1_genomic	100.0	0.02	Neural Network (Specific Model)	11	0.895	547047	272.1412579957356	1707342	0.37	1876	6	766159	None
GCF_000760195.1_ASM76019v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.891	511704	270.68987012987014	1750918	0.36	1925	9	513189	None
GCF_000760215.1_ASM76021v1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.89	434668	271.2414151925078	1752482	0.36	1922	7	792996	None
GCF_000760235.1_ASM76023v1_genomic	99.99	0.0	Neural Network (Specific Model)	11	0.867	182484	245.28459770114944	1841163	0.35	2175	20	588843	None
GCF_000760255.1_ASM76025v1_genomic	99.99	0.01	Neural Network (Specific Model)	11	0.889	187268	270.22625843279707	1752772	0.36	1927	19	400814	None
GCF_000760275.1_ASM76027v1_genomic	99.99	0.01	Neural Network (Specific Model)	11	0.889	446270	271.49164926931104	1751015	0.36	1916	9	563258	None
GCF_000760295.1_ASM76029v1_genomic	99.98	0.01	Neural Network (Specific Model)	11	0.832	84463	266.39424141749726	2592571	0.51	2709	53	414082	None
GCF_000760315.1_ASM76031v1_genomic	99.98	0.01	Neural Network (Specific Model)	11	0.832	76101	264.851197053407	2583057	0.51	2715	61	345502	None
GCF_000760335.1_ASM76033v1_genomic	99.97	0.16	Neural Network (Specific Model)	11	0.832	81186	265.7810300111152	2575057	0.51	2699	61	295777	None
GCF_000760355.1_ASM76035v1_genomic	100.0	0.02	Neural Network (Specific Model)	11	0.889	232789	270.99007314524556	1746977	0.36	1914	12	468464	None
GCF_000760375.1_ASM76037v1_genomic	99.99	0.01	Neural Network (Specific Model)	11	0.889	124224	269.71672708441224	1754053	0.36	1931	22	264302	None
GCF_001180245.1_CLC_assembled_contigs_genomic	86.73	0.15	Neural Network (Specific Model)	11	0.913	125993	252.33488914819137	1418374	0.31	1714	136	500623	None
GCF_001631965.1_ASM163196v1_genomic	99.98	0.01	Neural Network (Specific Model)	11	0.836	135805	269.1281473130402	2560150	0.5	2661	47	725082	None
GCF_001631985.1_ASM163198v1_genomic	99.98	0.02	Neural Network (Specific Model)	11	0.838	486153	276.4063116370809	2498944	0.51	2535	12	772618	None
GCF_001632005.1_ASM163200v1_genomic	99.99	0.0	Neural Network (Specific Model)	11	0.837	263603	265.6502590673575	2561499	0.5	2702	53	408456	None
GCF_001632025.1_ASM163202v1_genomic	99.98	0.0	Neural Network (Specific Model)	11	0.837	326490	270.4580696202532	2440679	0.51	2528	26	502848	None
GCF_001632045.1_ASM163204v1_genomic	100.0	0.01	Neural Network (Specific Model)	11	0.832	232924	270.56170052671183	2584744	0.5	2658	27	816149	None
GCF_001632065.1_ASM163206v1_genomic	100.0	0.01	Neural Network (Specific Model)	11	0.831	296926	271.53976630229926	2590341	0.5	2653	28	687899	None
GCF_001632075.1_ASM163207v1_genomic	99.98	0.03	Neural Network (Specific Model)	11	0.837	494475	267.386641221374	2500454	0.5	2620	26	839702	None
GCF_001632125.1_ASM163212v1_genomic	99.99	0.0	Neural Network (Specific Model)	11	0.839	328388	274.2420814479638	2591587	0.5	2652	34	715496	None
GCF_001632145.1_ASM163214v1_genomic	99.96	0.0	Neural Network (Specific Model)	11	0.832	391365	267.92857142857144	2548000	0.5	2646	27	800664	None
GCF_001989415.1_ASM198941v1_genomic	100.0	0.16	Neural Network (Specific Model)	11	0.91	1656133	265.0052687038988	1656133	0.31	1898	1	1656133	None
GCF_001989435.1_ASM198943v1_genomic	100.0	0.16	Neural Network (Specific Model)	11	0.91	1657699	265.2597471022128	1657699	0.31	1898	1	1657699	None
GCF_001989455.1_ASM198945v1_genomic	100.0	0.2	Neural Network (Specific Model)	11	0.909	1656322	265.15445440168685	1656322	0.31	1897	1	1656322	None
GCF_002812945.1_ASM281294v1_genomic	100.0	0.04	Neural Network (Specific Model)	11	0.911	224121	265.5154137371552	1614308	0.31	1849	9	351972	None
GCF_003208055.1_ASM320805v1_genomic	99.74	0.07	Neural Network (Specific Model)	11	0.879	377251	265.5751008064516	1795147	0.34	1984	7	779354	None
GCF_003208065.1_ASM320806v1_genomic	99.99	0.01	Neural Network (Specific Model)	11	0.881	335809	261.40152671755726	1746033	0.35	1965	8	579406	None
