Orthogroup	Prad	Prau
OG0000000	Prad.g_00352	Prau.g_01352
OG0000000	Prad.g_01982	Prau.g_01665
OG0000000	Prad.g_00392	Prau.g_01648
OG0000000	Prad.g_00393	Prau.g_01266
OG0000000	Prad.g_00393	Prau.g_01647
OG0000000	Prad.g_01435	Prau.g_01266
OG0000000	Prad.g_01435	Prau.g_01647
OG0000000	Prad.g_00350	Prau.g_01350
OG0000000	Prad.g_00389	Prau.g_01650
OG0000001	Prad.g_00609	Prau.g_01394
OG0000001	Prad.g_01434, Prad.g_01994	Prau.g_01267, Prau.g_01269
OG0000002	Prad.g_00601	Prau.g_01402
OG0000002	Prad.g_01252	Prau.g_00718
OG0000004	Prad.g_01269	Prau.g_00735
OG0000004	Prad.g_01759	Prau.g_00233
OG0000005	Prad.g_00928	Prau.g_01745
OG0000005	Prad.g_00438	Prau.g_01607
OG0000006	Prad.g_01750	Prau.g_01316
OG0000007	Prad.g_00132	Prau.g_00538
OG0000007	Prad.g_00941	Prau.g_01732
OG0000008	Prad.g_01246	Prau.g_00712
OG0000009	Prad.g_00317	Prau.g_01324
OG0000009	Prad.g_00401	Prau.g_01641
OG0000009	Prad.g_01888	Prau.g_00106
OG0000010	Prad.g_01304	Prau.g_01698
OG0000010	Prad.g_01011	Prau.g_01096
OG0000010	Prad.g_00033	Prau.g_00515
OG0000011	Prad.g_00339	Prau.g_00441
OG0000011	Prad.g_01212	Prau.g_01307
OG0000012	Prad.g_01412	Prau.g_00663
OG0000013	Prad.g_01664	Prau.g_00329
OG0000014	Prad.g_01685	Prau.g_00308
OG0000015	Prad.g_01108	Prau.g_00817
OG0000016	Prad.g_01973	Prau.g_00013
OG0000017	Prad.g_01387	Prau.g_00636
OG0000018	Prad.g_01515	Prau.g_01188
OG0000018	Prad.g_01173	Prau.g_00881
OG0000019	Prad.g_01742	Prau.g_00251
OG0000019	Prad.g_01125	Prau.g_00834
OG0000020	Prad.g_00647	Prau.g_01153
OG0000020	Prad.g_01299	Prau.g_01704
OG0000021	Prad.g_01981	Prau.g_01680
OG0000021	Prad.g_00745	Prau.g_00367
OG0000022	Prad.g_01105	Prau.g_00814
OG0000022	Prad.g_01993	Prau.g_01170
OG0000023	Prad.g_00751	Prau.g_00362
OG0000024	Prad.g_01088	Prau.g_00796
OG0000024	Prad.g_01249	Prau.g_00715
OG0000025	Prad.g_01181	Prau.g_00888
OG0000025	Prad.g_01660	Prau.g_00333
OG0000026	Prad.g_01955	Prau.g_00030
OG0000026	Prad.g_01004	Prau.g_01103
OG0000027	Prad.g_00353	Prau.g_01353
OG0000028	Prad.g_01671	Prau.g_00322
OG0000028	Prad.g_01204	Prau.g_01338
OG0000029	Prad.g_00734	Prau.g_00378
OG0000029	Prad.g_01096	Prau.g_00804
OG0000032	Prad.g_00561	Prau.g_01475, Prau.g_01446
OG0000033	Prad.g_01822	Prau.g_00170
OG0000034	Prad.g_00618	Prau.g_01381
OG0000035	Prad.g_00515	Prau.g_01531, Prau.g_01528
OG0000037	Prad.g_01884	Prau.g_00110
OG0000038	Prad.g_01582	Prau.g_01976
OG0000039	Prad.g_01260	Prau.g_00726
OG0000040	Prad.g_00369	Prau.g_01662
OG0000040	Prad.g_01516	Prau.g_01187
OG0000041	Prad.g_00894	Prau.g_01778
OG0000042	Prad.g_01624	Prau.g_01932
OG0000043	Prad.g_00276	Prau.g_00926
OG0000043	Prad.g_00313	Prau.g_01321
OG0000045	Prad.g_00738	Prau.g_00374
OG0000047	Prad.g_00683	Prau.g_00414
OG0000047	Prad.g_01661	Prau.g_00332
OG0000048	Prad.g_00735	Prau.g_00377
OG0000049	Prad.g_00726	Prau.g_00387
OG0000049	Prad.g_01215	Prau.g_01319
OG0000049	Prad.g_00377	Prau.g_01303
OG0000050	Prad.g_00985	Prau.g_01123
OG0000051	Prad.g_00342	Prau.g_01347
OG0000053	Prad.g_00494	Prau.g_01551
OG0000054	Prad.g_01395	Prau.g_00644
OG0000055	Prad.g_01126	Prau.g_00835
OG0000057	Prad.g_01272	Prau.g_00738
OG0000058	Prad.g_00565	Prau.g_01432, Prau.g_01460
OG0000059	Prad.g_00855	Prau.g_01818
OG0000061	Prad.g_01496	Prau.g_01206
OG0000062	Prad.g_00436	Prau.g_01609
OG0000063	Prad.g_01953	Prau.g_00032
OG0000063	Prad.g_00081	Prau.g_01295
OG0000065	Prad.g_01886	Prau.g_00108
OG0000066	Prad.g_00090	Prau.g_00579
OG0000067	Prad.g_01146	Prau.g_00854
OG0000068	Prad.g_00594	Prau.g_01409
OG0000069	Prad.g_00952	Prau.g_01285
OG0000069	Prad.g_00400	Prau.g_01642
OG0000070	Prad.g_00057	Prau.g_00491
OG0000071	Prad.g_00628	Prau.g_01371
OG0000072	Prad.g_01820	Prau.g_00172
OG0000073	Prad.g_00130	Prau.g_00540
OG0000074	Prad.g_01256	Prau.g_00722
OG0000075	Prad.g_00775	Prau.g_01901
OG0000076	Prad.g_01631	Prau.g_00037, Prau.g_01925
OG0000077	Prad.g_01915	Prau.g_00079
OG0000078	Prad.g_01752	Prau.g_00240
OG0000079	Prad.g_01739	Prau.g_00254
OG0000080	Prad.g_00560	Prau.g_01440
OG0000081	Prad.g_00098	Prau.g_00571
OG0000082	Prad.g_01374	Prau.g_00624
OG0000083	Prad.g_01082	Prau.g_00792
OG0000083	Prad.g_01075	Prau.g_00785
OG0000084	Prad.g_00519	Prau.g_01524
OG0000085	Prad.g_00948	Prau.g_01725
OG0000086	Prad.g_01905	Prau.g_00089
OG0000087	Prad.g_01854	Prau.g_00140
OG0000088	Prad.g_01825	Prau.g_00167
OG0000089	Prad.g_00755	Prau.g_00358
OG0000090	Prad.g_00096	Prau.g_00573
OG0000091	Prad.g_01431	Prau.g_00682
OG0000092	Prad.g_00240	Prau.g_00961
OG0000093	Prad.g_00218	Prau.g_00983
OG0000094	Prad.g_01038	Prau.g_01070
OG0000095	Prad.g_01018	Prau.g_01089
OG0000096	Prad.g_00650	Prau.g_01156
OG0000096	Prad.g_00330	Prau.g_01331
OG0000097	Prad.g_01454	Prau.g_01247
OG0000098	Prad.g_00612	Prau.g_01391
OG0000099	Prad.g_00566	Prau.g_01434, Prau.g_01435
OG0000100	Prad.g_00440	Prau.g_01605
OG0000101	Prad.g_00807	Prau.g_01869
OG0000102	Prad.g_01626	Prau.g_01930
OG0000103	Prad.g_01548	Prau.g_02009
OG0000104	Prad.g_01540	Prau.g_02018
OG0000105	Prad.g_01717	Prau.g_00276
OG0000106	Prad.g_00739	Prau.g_00373
OG0000107	Prad.g_00724	Prau.g_00389
OG0000108	Prad.g_00027	Prau.g_00521
OG0000109	Prad.g_00013	Prau.g_00535
OG0000110	Prad.g_01364	Prau.g_00614
OG0000111	Prad.g_01273	Prau.g_00739
OG0000112	Prad.g_01109	Prau.g_00818
OG0000113	Prad.g_01168	Prau.g_00876
OG0000114	Prad.g_00245	Prau.g_00956
OG0000115	Prad.g_00641	Prau.g_01148
OG0000116	Prad.g_01506	Prau.g_01197
OG0000117	Prad.g_01214	Prau.g_01318
OG0000118	Prad.g_00616	Prau.g_01383
OG0000119	Prad.g_00598	Prau.g_01405
OG0000120	Prad.g_00564	Prau.g_01430
OG0000121	Prad.g_00513	Prau.g_01533
OG0000122	Prad.g_00474	Prau.g_01571
OG0000123	Prad.g_00800	Prau.g_01876
OG0000124	Prad.g_01616	Prau.g_01941
OG0000125	Prad.g_01580	Prau.g_01978
OG0000126	Prad.g_01541	Prau.g_02017
OG0000128	Prad.g_01975	Prau.g_00011
OG0000129	Prad.g_01943	Prau.g_00051
OG0000130	Prad.g_01924	Prau.g_00071
OG0000131	Prad.g_01846	Prau.g_00146
OG0000132	Prad.g_01827	Prau.g_00165
OG0000133	Prad.g_01669	Prau.g_00324
OG0000134	Prad.g_00754	Prau.g_00359
OG0000135	Prad.g_00727	Prau.g_00386
OG0000136	Prad.g_00066	Prau.g_00482
OG0000137	Prad.g_00032	Prau.g_00516
