Orthogroup	Prad	Syap
OG0000004	Prad.g_01759	Syap.g_01987
OG0000005	Prad.g_00928	Syap.g_01773
OG0000005	Prad.g_00438	Syap.g_01218
OG0000007	Prad.g_00132	Syap.g_00275
OG0000007	Prad.g_00941	Syap.g_00621
OG0000009	Prad.g_01888	Syap.g_02081
OG0000010	Prad.g_01304, Prad.g_01011, Prad.g_00033	Syap.g_02757
OG0000013	Prad.g_01664	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prad.g_01685	Syap.g_01675
OG0000016	Prad.g_01973	Syap.g_00071
OG0000017	Prad.g_01387	Syap.g_00449
OG0000018	Prad.g_01515, Prad.g_01173	Syap.g_02010
OG0000019	Prad.g_01742, Prad.g_01125	Syap.g_01586
OG0000025	Prad.g_01181, Prad.g_01660	Syap.g_01846
OG0000027	Prad.g_01298, Prad.g_00353	Syap.g_01440
OG0000028	Prad.g_01671, Prad.g_01204	Syap.g_01658
OG0000032	Prad.g_00561	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Prad.g_01822	Syap.g_01198
OG0000034	Prad.g_00618	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prad.g_00515	Syap.g_02465
OG0000037	Prad.g_01884	Syap.g_02492
OG0000038	Prad.g_01582	Syap.g_00139
OG0000039	Prad.g_01260	Syap.g_01749, Syap.g_01748
OG0000042	Prad.g_01624	Syap.g_01891, Syap.g_01120
OG0000043	Prad.g_00276, Prad.g_00313	Syap.g_01998
OG0000044	Prad.g_01213	Syap.g_00378
OG0000045	Prad.g_00738	Syap.g_02525
OG0000048	Prad.g_00735	Syap.g_02340
OG0000051	Prad.g_00342	Syap.g_01574
OG0000053	Prad.g_00494	Syap.g_02006
OG0000054	Prad.g_01395	Syap.g_00678
OG0000059	Prad.g_00855	Syap.g_01082, Syap.g_02478
OG0000061	Prad.g_01496	Syap.g_00228
OG0000062	Prad.g_00436	Syap.g_01365
OG0000063	Prad.g_01953, Prad.g_00081	Syap.g_01796
OG0000066	Prad.g_00090	Syap.g_01972
OG0000067	Prad.g_01146	Syap.g_00194
OG0000068	Prad.g_00594	Syap.g_00108, Syap.g_00144
OG0000070	Prad.g_00057	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Prad.g_01820	Syap.g_00555
OG0000073	Prad.g_00130	Syap.g_00273, Syap.g_01020
OG0000075	Prad.g_00775	Syap.g_01064, Syap.g_00664
OG0000076	Prad.g_01631	Syap.g_01111
OG0000079	Prad.g_01739	Syap.g_01589
OG0000080	Prad.g_00560	Syap.g_01003
OG0000085	Prad.g_00948	Syap.g_00611
OG0000087	Prad.g_01854	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prad.g_01825	Syap.g_01202
OG0000089	Prad.g_00755	Syap.g_00115, Syap.g_02042
OG0000090	Prad.g_00096	Syap.g_01451
OG0000091	Prad.g_01431	Syap.g_01861
OG0000094	Prad.g_01038	Syap.g_02781
OG0000095	Prad.g_01018	Syap.g_01556
OG0000098	Prad.g_00612	Syap.g_01975
OG0000099	Prad.g_00566	Syap.g_01385
OG0000101	Prad.g_00807	Syap.g_00472
OG0000102	Prad.g_01626	Syap.g_01116
OG0000103	Prad.g_01548	Syap.g_02607, Syap.g_02608
OG0000104	Prad.g_01540	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prad.g_01717	Syap.g_01369, Syap.g_01368
OG0000107	Prad.g_00724	Syap.g_02496
OG0000108	Prad.g_00027	Syap.g_00733, Syap.g_02255
OG0000109	Prad.g_00013	Syap.g_00279, Syap.g_02237
OG0000110	Prad.g_01364	Syap.g_01313
OG0000111	Prad.g_01273	Syap.g_01566, Syap.g_01568
OG0000112	Prad.g_01109	Syap.g_02023
OG0000113	Prad.g_01168	Syap.g_02714
OG0000114	Prad.g_00245	Syap.g_01255
OG0000115	Prad.g_00641	Syap.g_02004
OG0000116	Prad.g_01506	Syap.g_00241
OG0000117	Prad.g_01214	Syap.g_01889
OG0000118	Prad.g_00616	Syap.g_02286
OG0000120	Prad.g_00564	Syap.g_02075
OG0000121	Prad.g_00513	Syap.g_02471
OG0000123	Prad.g_00800	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prad.g_01616	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prad.g_01580	Syap.g_01046, Syap.g_01047
OG0000126	Prad.g_01541	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000128	Prad.g_01975	Syap.g_00069
OG0000129	Prad.g_01943	Syap.g_00130, Syap.g_00129
OG0000130	Prad.g_01924	Syap.g_01688, Syap.g_01689
OG0000131	Prad.g_01846	Syap.g_02189
OG0000132	Prad.g_01827	Syap.g_01205
OG0000133	Prad.g_01669	Syap.g_02017
OG0000134	Prad.g_00754	Syap.g_02047
OG0000135	Prad.g_00727	Syap.g_02090
OG0000136	Prad.g_00066	Syap.g_00089
OG0000137	Prad.g_00032	Syap.g_02756
OG0000138	Prad.g_00012	Syap.g_00278
OG0000139	Prad.g_00092	Syap.g_00410
OG0000140	Prad.g_00091	Syap.g_01976
OG0000141	Prad.g_01396	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prad.g_01424	Syap.g_00895, Syap.g_00894
OG0000143	Prad.g_01428	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prad.g_01226	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prad.g_01107	Syap.g_01860, Syap.g_01859
OG0000146	Prad.g_01110	Syap.g_02024
OG0000147	Prad.g_01111	Syap.g_02025
OG0000148	Prad.g_01162	Syap.g_02720
OG0000149	Prad.g_00301	Syap.g_00824
OG0000150	Prad.g_00293	Syap.g_01540
OG0000151	Prad.g_00235	Syap.g_00142
OG0000152	Prad.g_00186	Syap.g_02012
OG0000153	Prad.g_00167	Syap.g_02682
OG0000154	Prad.g_00139	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prad.g_01476	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prad.g_00359	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prad.g_00360	Syap.g_00249, Syap.g_00286
OG0000158	Prad.g_00567	Syap.g_01075
OG0000159	Prad.g_00563	Syap.g_00852
OG0000160	Prad.g_00514	Syap.g_02470, Syap.g_02469
OG0000161	Prad.g_00508	Syap.g_02476
OG0000162	Prad.g_00502	Syap.g_02531
OG0000164	Prad.g_00917	Syap.g_01391, Syap.g_01392
OG0000165	Prad.g_00910	Syap.g_01381, Syap.g_01382
OG0000166	Prad.g_00843	Syap.g_00512, Syap.g_01238
OG0000167	Prad.g_00777	Syap.g_02080
OG0000168	Prad.g_00767	Syap.g_01076
OG0000169	Prad.g_01637	Syap.g_01049, Syap.g_01093
OG0000170	Prad.g_01635	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prad.g_01617	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prad.g_01609	Syap.g_01143, Syap.g_00635
OG0000173	Prad.g_01594	Syap.g_00982, Syap.g_00983
OG0000174	Prad.g_01566	Syap.g_02092
OG0000175	Prad.g_01556	Syap.g_02654
OG0000176	Prad.g_01532	Syap.g_00059
OG0000177	Prad.g_01531	Syap.g_00061, Syap.g_00060
OG0000178	Prad.g_01530	Syap.g_00062
OG0000179	Prad.g_01970	Syap.g_00077, Syap.g_02638
OG0000180	Prad.g_01969	Syap.g_00078, Syap.g_02640
OG0000181	Prad.g_01968	Syap.g_00079, Syap.g_02641
OG0000182	Prad.g_01967	Syap.g_00080, Syap.g_02642
OG0000183	Prad.g_01963	Syap.g_00084
OG0000184	Prad.g_01940	Syap.g_01337
OG0000185	Prad.g_01937	Syap.g_01322
OG0000186	Prad.g_01929	Syap.g_01684
OG0000187	Prad.g_01928	Syap.g_01686
OG0000188	Prad.g_01911	Syap.g_02547
OG0000191	Prad.g_01876	Syap.g_02233
OG0000192	Prad.g_01872	Syap.g_02224
OG0000193	Prad.g_01845	Syap.g_02187, Syap.g_02188
OG0000194	Prad.g_01842	Syap.g_02183
OG0000195	Prad.g_01840	Syap.g_02180
OG0000196	Prad.g_01830	Syap.g_01208, Syap.g_02167
OG0000197	Prad.g_01829	Syap.g_01207, Syap.g_02166
OG0000198	Prad.g_01828	Syap.g_01206
OG0000199	Prad.g_01821	Syap.g_01197
OG0000200	Prad.g_01807	Syap.g_01181
OG0000201	Prad.g_01799	Syap.g_02265
OG0000202	Prad.g_01798	Syap.g_02264
OG0000203	Prad.g_01797	Syap.g_01601
OG0000204	Prad.g_01796	Syap.g_01602
OG0000205	Prad.g_01789	Syap.g_01616
OG0000206	Prad.g_01784	Syap.g_01628
OG0000207	Prad.g_01782	Syap.g_01426, Syap.g_00424
OG0000208	Prad.g_01781	Syap.g_00426, Syap.g_01425
OG0000209	Prad.g_01772	Syap.g_01906
OG0000210	Prad.g_01771	Syap.g_01905
OG0000211	Prad.g_01758	Syap.g_01160
OG0000212	Prad.g_01751	Syap.g_02664
OG0000213	Prad.g_01734	Syap.g_00107, Syap.g_01599
OG0000214	Prad.g_01724	Syap.g_02344, Syap.g_02345
OG0000215	Prad.g_01699	Syap.g_01347, Syap.g_01629
OG0000216	Prad.g_01697	Syap.g_01634
OG0000217	Prad.g_01694	Syap.g_01638
OG0000218	Prad.g_01692	Syap.g_01641, Syap.g_01640
OG0000219	Prad.g_01691	Syap.g_01642, Syap.g_01643
OG0000220	Prad.g_01690	Syap.g_01645
OG0000221	Prad.g_01689	Syap.g_01646
OG0000222	Prad.g_01681	Syap.g_01669
OG0000223	Prad.g_01668	Syap.g_02072, Syap.g_02073
OG0000224	Prad.g_01666	Syap.g_02064
OG0000225	Prad.g_01645	Syap.g_00553, Syap.g_00552
OG0000226	Prad.g_00761	Syap.g_02029, Syap.g_02144
OG0000227	Prad.g_00759	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Prad.g_00756	Syap.g_00116, Syap.g_02041
OG0000229	Prad.g_00666	Syap.g_02059
OG0000230	Prad.g_00069	Syap.g_02061
OG0000231	Prad.g_00058	Syap.g_02533
OG0000232	Prad.g_00049	Syap.g_02510, Syap.g_02511
OG0000233	Prad.g_00043	Syap.g_02133
OG0000234	Prad.g_00031	Syap.g_02755
OG0000235	Prad.g_00028	Syap.g_00732, Syap.g_02258
OG0000236	Prad.g_00014	Syap.g_02238
OG0000237	Prad.g_00123	Syap.g_00262, Syap.g_00263
OG0000238	Prad.g_00117	Syap.g_00257, Syap.g_00258
OG0000239	Prad.g_00104	Syap.g_02744
OG0000240	Prad.g_00103	Syap.g_02742
OG0000241	Prad.g_00099	Syap.g_00888
OG0000242	Prad.g_00097	Syap.g_01455
OG0000243	Prad.g_01333	Syap.g_01938
OG0000244	Prad.g_01336	Syap.g_01146, Syap.g_01145
OG0000245	Prad.g_01338	Syap.g_01148
OG0000246	Prad.g_01342	Syap.g_00308
OG0000247	Prad.g_01352	Syap.g_00288, Syap.g_00293
OG0000248	Prad.g_01354	Syap.g_00290
OG0000249	Prad.g_01356	Syap.g_01296, Syap.g_01295
OG0000250	Prad.g_01361	Syap.g_01306
OG0000251	Prad.g_01380	Syap.g_00442
OG0000252	Prad.g_01383	Syap.g_01857
OG0000253	Prad.g_01384	Syap.g_00443
OG0000254	Prad.g_01400	Syap.g_01527, Syap.g_01528
OG0000256	Prad.g_01416	Syap.g_01287
OG0000257	Prad.g_01419	Syap.g_00886
OG0000258	Prad.g_01432	Syap.g_00907
OG0000260	Prad.g_01237	Syap.g_01970
OG0000261	Prad.g_01239	Syap.g_01962, Syap.g_01961
OG0000262	Prad.g_01243	Syap.g_01954
OG0000263	Prad.g_01255	Syap.g_00432, Syap.g_00433
OG0000266	Prad.g_01059	Syap.g_00519
OG0000267	Prad.g_01070	Syap.g_02333, Syap.g_02332
OG0000268	Prad.g_01071	Syap.g_00646
OG0000269	Prad.g_01141	Syap.g_00188
OG0000270	Prad.g_01144	Syap.g_00192
OG0000271	Prad.g_01152	Syap.g_00200, Syap.g_00201
OG0000272	Prad.g_01153	Syap.g_00202
OG0000273	Prad.g_01176	Syap.g_02703
OG0000274	Prad.g_01177	Syap.g_02702
OG0000275	Prad.g_01180	Syap.g_01847
OG0000276	Prad.g_01185	Syap.g_01838, Syap.g_01839
OG0000277	Prad.g_00308	Syap.g_01837
OG0000278	Prad.g_00305	Syap.g_01834
OG0000279	Prad.g_00298	Syap.g_00829, Syap.g_00830
OG0000280	Prad.g_00297	Syap.g_00365
OG0000281	Prad.g_00292	Syap.g_01977
OG0000282	Prad.g_00243	Syap.g_01252
OG0000283	Prad.g_00209	Syap.g_01728
OG0000284	Prad.g_00204	Syap.g_01736
OG0000285	Prad.g_00199	Syap.g_01746, Syap.g_01744
OG0000286	Prad.g_00187	Syap.g_02014, Syap.g_02013
OG0000288	Prad.g_00140	Syap.g_02764, Syap.g_02763
OG0000289	Prad.g_01035	Syap.g_02784
OG0000290	Prad.g_01021	Syap.g_01552
OG0000292	Prad.g_00972	Syap.g_02314
OG0000293	Prad.g_01505	Syap.g_00240
OG0000294	Prad.g_01504	Syap.g_00239
OG0000295	Prad.g_01484	Syap.g_00206
OG0000296	Prad.g_01482	Syap.g_00204
OG0000299	Prad.g_01455	Syap.g_02620
OG0000302	Prad.g_01449	Syap.g_02444, Syap.g_02445
OG0000303	Prad.g_01442	Syap.g_02435
OG0000304	Prad.g_01438	Syap.g_02430
OG0000305	Prad.g_00602	Syap.g_01557
OG0000306	Prad.g_00599	Syap.g_01966
OG0000307	Prad.g_00585	Syap.g_02517
OG0000308	Prad.g_00584	Syap.g_02514, Syap.g_02515
OG0000309	Prad.g_00580	Syap.g_02198, Syap.g_02446
OG0000310	Prad.g_00530	Syap.g_02660, Syap.g_02661
OG0000311	Prad.g_00528	Syap.g_02657
OG0000312	Prad.g_00525	Syap.g_02114
OG0000313	Prad.g_00511	Syap.g_02473
OG0000315	Prad.g_00477	Syap.g_00017
OG0000316	Prad.g_00457	Syap.g_00030
OG0000317	Prad.g_00943	Syap.g_00618
OG0000318	Prad.g_00940	Syap.g_00622, Syap.g_02786
OG0000319	Prad.g_00927	Syap.g_01764, Syap.g_01771
OG0000320	Prad.g_00925	Syap.g_01761, Syap.g_01769
OG0000321	Prad.g_00924	Syap.g_01760, Syap.g_01768
OG0000322	Prad.g_00923	Syap.g_01759, Syap.g_01767
OG0000323	Prad.g_00914	Syap.g_01389
OG0000324	Prad.g_00887	Syap.g_01503
OG0000325	Prad.g_00878	Syap.g_02680
OG0000326	Prad.g_00872	Syap.g_00544
OG0000327	Prad.g_00848	Syap.g_01233, Syap.g_01913
OG0000328	Prad.g_00847	Syap.g_01234, Syap.g_01912
OG0000329	Prad.g_00830	Syap.g_00498
OG0000330	Prad.g_00829	Syap.g_00497
OG0000331	Prad.g_00828	Syap.g_00496
OG0000332	Prad.g_00814	Syap.g_00481
OG0000333	Prad.g_00812	Syap.g_00478
OG0000334	Prad.g_00804	Syap.g_00468
OG0000335	Prad.g_00799	Syap.g_00101, Syap.g_00463
OG0000336	Prad.g_00795	Syap.g_00417, Syap.g_00607
OG0000337	Prad.g_00779	Syap.g_01054
OG0000338	Prad.g_00778	Syap.g_01059
OG0000339	Prad.g_00774	Syap.g_01068
OG0000340	Prad.g_00766, Prad.g_01294	Syap.g_01077
OG0000341	Prad.g_00764	Syap.g_01079
OG0000342	Prad.g_00763	Syap.g_01080, Syap.g_02477
OG0000343	Prad.g_00762	Syap.g_01086, Syap.g_02078
OG0000344	Prad.g_01639	Syap.g_01091
OG0000345	Prad.g_01634	Syap.g_01107, Syap.g_01470
OG0000346	Prad.g_01630	Syap.g_01113
OG0000347	Prad.g_01615	Syap.g_01131, Syap.g_02459
OG0000348	Prad.g_01606	Syap.g_00632
OG0000349	Prad.g_01589	Syap.g_00110, Syap.g_01813
OG0000351	Prad.g_01553	Syap.g_02594
OG0000352	Prad.g_01552	Syap.g_02596, Syap.g_02597
OG0000353	Prad.g_01537	Syap.g_00054
OG0000354	Prad.g_01041	Syap.g_00075, Syap.g_02635
OG0000355	Prad.g_01535	Syap.g_00056
OG0000356	Prad.g_01534	Syap.g_00057
OG0000357	Prad.g_01533	Syap.g_00058
OG0000358	Prad.g_01529	Syap.g_00063
OG0000359	Prad.g_01528	Syap.g_00065
OG0000360	Prad.g_01527	Syap.g_00067
OG0000361	Prad.g_01976	Syap.g_00068
OG0000362	Prad.g_01974	Syap.g_00070
OG0000363	Prad.g_01972	Syap.g_00072
OG0000364	Prad.g_01971	Syap.g_00620
OG0000365	Prad.g_01966	Syap.g_00081
OG0000366	Prad.g_01965	Syap.g_00082
OG0000367	Prad.g_01964	Syap.g_00083
OG0000368	Prad.g_01962	Syap.g_00085
OG0000369	Prad.g_01961	Syap.g_00086
OG0000370	Prad.g_01960	Syap.g_00087
OG0000372	Prad.g_01951	Syap.g_01805
OG0000373	Prad.g_01950	Syap.g_01806
OG0000374	Prad.g_01949	Syap.g_01807
OG0000375	Prad.g_01947	Syap.g_01808
OG0000376	Prad.g_01945	Syap.g_01811
OG0000377	Prad.g_01941	Syap.g_00128
OG0000378	Prad.g_01939	Syap.g_01326
OG0000380	Prad.g_01927	Syap.g_01687
OG0000381	Prad.g_01923	Syap.g_01690
OG0000382	Prad.g_01912	Syap.g_02548
OG0000383	Prad.g_01910	Syap.g_02359
OG0000384	Prad.g_01909	Syap.g_02360
OG0000385	Prad.g_01908	Syap.g_02361
OG0000386	Prad.g_01907	Syap.g_02362
OG0000387	Prad.g_01894	Syap.g_01864
OG0000391	Prad.g_01877	Syap.g_02234
OG0000392	Prad.g_01873	Syap.g_02225
OG0000393	Prad.g_01871	Syap.g_02222
OG0000394	Prad.g_01870	Syap.g_02221
OG0000395	Prad.g_01869	Syap.g_02220
OG0000396	Prad.g_01866	Syap.g_02217
OG0000397	Prad.g_01864	Syap.g_02215
OG0000398	Prad.g_01862	Syap.g_02211
OG0000399	Prad.g_01861	Syap.g_02210
OG0000400	Prad.g_01860	Syap.g_02209
OG0000401	Prad.g_01859	Syap.g_02208
OG0000402	Prad.g_01857	Syap.g_02206
OG0000403	Prad.g_01856	Syap.g_02205
OG0000404	Prad.g_01855	Syap.g_02204, Syap.g_02618
OG0000405	Prad.g_01851	Syap.g_02191
OG0000406	Prad.g_01844	Syap.g_02186
OG0000407	Prad.g_01843	Syap.g_02185
OG0000408	Prad.g_01841	Syap.g_02181, Syap.g_02182
OG0000409	Prad.g_01839	Syap.g_02179
OG0000410	Prad.g_01838	Syap.g_02178
OG0000411	Prad.g_01837	Syap.g_02177
OG0000412	Prad.g_01836	Syap.g_02176
OG0000413	Prad.g_01835	Syap.g_02174
OG0000414	Prad.g_01834	Syap.g_02173
OG0000415	Prad.g_01833	Syap.g_02172
OG0000416	Prad.g_01832	Syap.g_02171
OG0000417	Prad.g_01831	Syap.g_02169
OG0000418	Prad.g_01826	Syap.g_01204
OG0000419	Prad.g_01824	Syap.g_01201
OG0000420	Prad.g_01823	Syap.g_01199
OG0000421	Prad.g_01818	Syap.g_01195
OG0000422	Prad.g_01817	Syap.g_01194
OG0000423	Prad.g_01816	Syap.g_01193
OG0000424	Prad.g_01815	Syap.g_01192
OG0000425	Prad.g_01814	Syap.g_01191
OG0000426	Prad.g_01813	Syap.g_01190
OG0000427	Prad.g_01812	Syap.g_01189
OG0000428	Prad.g_01810	Syap.g_01186
OG0000429	Prad.g_01809	Syap.g_01184
OG0000430	Prad.g_01808	Syap.g_01182
OG0000431	Prad.g_01806	Syap.g_01179
OG0000432	Prad.g_01803	Syap.g_02277
OG0000433	Prad.g_01802	Syap.g_02272
OG0000434	Prad.g_01801	Syap.g_02271
OG0000435	Prad.g_01800	Syap.g_02268
OG0000436	Prad.g_01795	Syap.g_01607
OG0000437	Prad.g_01794	Syap.g_01608
OG0000438	Prad.g_01793	Syap.g_01612
OG0000439	Prad.g_01791	Syap.g_01614
OG0000440	Prad.g_01790	Syap.g_01615
OG0000441	Prad.g_01787	Syap.g_01619
OG0000442	Prad.g_01786	Syap.g_01620
OG0000443	Prad.g_01785	Syap.g_01622
OG0000444	Prad.g_01780	Syap.g_01424
OG0000445	Prad.g_01779	Syap.g_01421
OG0000446	Prad.g_01778	Syap.g_01419
OG0000447	Prad.g_01777	Syap.g_01410
OG0000448	Prad.g_01776	Syap.g_01407
OG0000449	Prad.g_01775	Syap.g_01406
OG0000450	Prad.g_01774	Syap.g_01909
OG0000451	Prad.g_01773	Syap.g_01908
OG0000452	Prad.g_01770	Syap.g_01904
