Orthogroup	Prad	Prat
OG0000000	Prad.g_00352	Prat.g_01191
OG0000000	Prad.g_00392	Prat.g_01549
OG0000000	Prad.g_01297	Prat.g_01510, Prat.g_01189, Prat.g_01547
OG0000002	Prad.g_00601	Prat.g_00977
OG0000002	Prad.g_01252	Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751
OG0000004	Prad.g_01269	Prat.g_00772
OG0000004	Prad.g_01759	Prat.g_00236
OG0000005	Prad.g_00438	Prat.g_01440
OG0000006	Prad.g_01750	Prat.g_00248
OG0000007	Prad.g_00132	Prat.g_00458
OG0000007	Prad.g_00941	Prat.g_01592
OG0000009	Prad.g_00317	Prat.g_01451
OG0000010	Prad.g_00033	Prat.g_00682, Prat.g_00662, Prat.g_00433
OG0000011	Prad.g_01212	Prat.g_01532
OG0000012	Prad.g_01412	Prat.g_00586
OG0000013	Prad.g_01664	Prat.g_00334
OG0000014	Prad.g_01685	Prat.g_00314
OG0000015	Prad.g_01108	Prat.g_00701
OG0000016	Prad.g_01973	Prat.g_00014
OG0000017	Prad.g_01387	Prat.g_00560
OG0000018	Prad.g_01515	Prat.g_01177
OG0000018	Prad.g_01173	Prat.g_01009
OG0000019	Prad.g_01742	Prat.g_00255
OG0000019	Prad.g_01125	Prat.g_01180
OG0000020	Prad.g_00647	Prat.g_01470
OG0000020	Prad.g_01299	Prat.g_00648
OG0000021	Prad.g_01981, Prad.g_00745	Prat.g_00854
OG0000022	Prad.g_01105	Prat.g_01192
OG0000022	Prad.g_01993	Prat.g_01448
OG0000023	Prad.g_00751	Prat.g_00834
OG0000024	Prad.g_01088	Prat.g_00622
OG0000024	Prad.g_01249	Prat.g_00749
OG0000025	Prad.g_01181, Prad.g_01660	Prat.g_01003
OG0000026	Prad.g_01955, Prad.g_01004	Prat.g_00033
OG0000027	Prad.g_01298, Prad.g_00353	Prat.g_01474
OG0000028	Prad.g_01671	Prat.g_00327
OG0000028	Prad.g_01204	Prat.g_00380
OG0000032	Prad.g_00572	Prat.g_01394
OG0000033	Prad.g_01822	Prat.g_00170
OG0000034	Prad.g_00618	Prat.g_01259
OG0000035	Prad.g_00515	Prat.g_01353
OG0000037	Prad.g_01884	Prat.g_00106
OG0000038	Prad.g_01582	Prat.g_01839
OG0000039	Prad.g_01260	Prat.g_00760
OG0000040	Prad.g_00369	Prat.g_01578
OG0000041	Prad.g_00894	Prat.g_01640
OG0000042	Prad.g_01624	Prat.g_01796
OG0000043	Prad.g_00276	Prat.g_01176
OG0000044	Prad.g_01213	Prat.g_00619
OG0000045	Prad.g_00738	Prat.g_01203
OG0000047	Prad.g_00683	Prat.g_00374
OG0000048	Prad.g_00735	Prat.g_00278
OG0000050	Prad.g_01291	Prat.g_00685
OG0000052	Prad.g_00571	Prat.g_00058
OG0000053	Prad.g_00494	Prat.g_01375
OG0000054	Prad.g_01395	Prat.g_00569
